name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993
NetIncomeCommonStockholders,"43,900,000","43,900,000","93,519,000","473,463,000","100,648,000","686,000","-233,195,000","-794,339,000","211,971,000","242,351,000","-59,467,000","-264,948,000","-153,323,000","160,053,000","327,088,000","120,930,000","71,484,000","51,471,000","30,863,000","23,758,000","11,992,000","6,700,000","7,500,000","2,300,000","5,500,000","5,000,000","2,800,000","1,300,000"
	NetIncome,"43,900,000","43,900,000","93,519,000","473,463,000","109,310,000","686,000","-233,195,000","-794,339,000","211,971,000","242,351,000","-59,467,000","-264,948,000","-153,323,000","160,053,000","327,088,000","120,930,000","71,484,000","51,471,000","30,863,000","23,758,000","11,992,000","6,700,000","7,500,000","2,300,000","5,500,000","5,000,000","2,800,000","1,300,000"
		NetIncomeIncludingNoncontrollingInterests,"43,100,000","43,100,000","93,514,000","473,463,000","109,310,000","686,000","-233,195,000","-794,339,000","211,971,000","242,351,000","-61,660,000","-267,413,000","-153,323,000","160,053,000","327,088,000","120,930,000","71,484,000","51,471,000","30,863,000","23,758,000","11,992,000","6,700,000","7,500,000","2,300,000","5,500,000","5,000,000","2,800,000","1,300,000"
			NetIncomeContinuousOperations,"43,100,000","43,100,000","93,514,000","473,463,000","109,310,000","686,000","-233,195,000","-794,339,000","211,971,000","242,351,000","-61,660,000","-267,413,000","-153,323,000","160,053,000","213,080,000","87,177,000","87,340,000","51,471,000","36,014,000","23,758,000","18,575,000","6,700,000","7,500,000","3,800,000","5,500,000","5,000,000","2,700,000","1,300,000"
			NetIncomeDiscontinuousOperations,,,,,,,,,,,,,"0",,"114,008,000","33,753,000","-15,856,000",,,,,,,,,,,
			NetIncomeFromTaxLossCarryforward,,,,,,,,,,,,,,,,,,,"-5,151,000",,"-6,583,000",,,"-1,500,000",,,"100,000",
		MinorityInterests,"800,000","800,000","5,000",,,,,,"0","0","2,193,000","2,465,000",,,,,,,,,,,,,,,,
	PreferredStockDividends,,,"-5,000",,"8,662,000",,,,,,,,,,,,,,,,,,,,,,,
DilutedNIAvailtoComStockholders,"43,900,000","43,900,000","93,519,000","473,463,000","100,648,000","686,000","-233,195,000","-794,339,000","211,971,000","242,351,000","-59,467,000","-264,948,000","-153,323,000","160,053,000","327,088,000","120,930,000","71,484,000","51,471,000","30,863,000","23,758,000","11,992,000","6,700,000","7,500,000","2,300,000","5,500,000","5,000,000","2,800,000","1,300,000"
BasicEPS,,"0.38","0.96","5.53","1.21","0.01","-2.97","-10.17","2.24","2.52","-0.76","-3.39","-1.81","1.87","3.88","1.46","0.89","0.65","0.41","0.388","0.2","0.113","0.125","0.038","0.098","0.098","0.055","0.038"
