name,ttm,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015,01/31/2014,01/31/2013,01/31/2012,01/31/2011,01/31/2010,01/31/2009
TotalRevenue,"6,146,000,000","6,146,000,000","6,047,000,000","5,121,000,000","7,439,000,000","7,388,000,000","8,882,000,000","8,487,000,000","8,035,000,000","6,933,000,000","6,449,000,000","7,418,000,000","9,768,000,000"
	OperatingRevenue,"6,146,000,000","6,146,000,000","6,047,000,000","5,121,000,000","7,439,000,000","7,388,000,000","8,882,000,000","8,487,000,000","8,035,000,000","6,933,000,000","6,449,000,000","7,418,000,000","9,768,000,000"
CostOfRevenue,"3,743,000,000","3,743,000,000","3,672,000,000","3,088,000,000","4,907,000,000","4,932,000,000","6,324,000,000","6,015,000,000","5,715,000,000","4,942,000,000","4,608,000,000","5,422,000,000","7,134,000,000"
GrossProfit,"2,403,000,000","2,403,000,000","2,375,000,000","2,033,000,000","2,532,000,000","2,456,000,000","2,558,000,000","2,472,000,000","2,320,000,000","1,991,000,000","1,841,000,000","1,996,000,000","2,634,000,000"
OperatingExpense,"1,672,000,000","1,672,000,000","1,642,000,000","1,419,000,000","1,732,000,000","1,710,000,000","1,933,000,000","1,975,000,000","1,997,000,000","1,836,000,000","1,796,000,000","2,066,000,000","2,466,000,000"
	SellingGeneralAndAdministration,"1,566,000,000","1,566,000,000","1,543,000,000","1,334,000,000","1,637,000,000","1,599,000,000","1,726,000,000","1,733,000,000","1,661,000,000","1,510,000,000","1,455,000,000","1,680,000,000","2,063,000,000"
	DepreciationAmortizationDepletionIncomeStatement,"106,000,000","106,000,000","99,000,000","85,000,000","95,000,000","111,000,000","207,000,000","242,000,000","336,000,000","326,000,000","341,000,000","386,000,000","403,000,000"
		DepreciationAndAmortizationInIncomeStatement,"106,000,000","106,000,000","99,000,000","85,000,000","95,000,000","111,000,000","207,000,000","242,000,000","336,000,000","326,000,000","341,000,000","386,000,000","403,000,000"
OperatingIncome,"731,000,000","731,000,000","733,000,000","614,000,000","800,000,000","746,000,000","625,000,000","497,000,000","323,000,000","155,000,000","45,000,000","-70,000,000","168,000,000"
NetNonOperatingInterestIncomeExpense,"-110,000,000","-110,000,000","-129,000,000","-164,000,000","-269,000,000","-394,000,000","-461,000,000","-528,000,000","-658,000,000","-639,000,000","-623,000,000","-602,000,000","-642,000,000"
	InterestIncomeNonOperating,"0","0","1,000,000","2,000,000",,,,,,,,"0","2,000,000"
	InterestExpenseNonOperating,"110,000,000","110,000,000","130,000,000","166,000,000","269,000,000","394,000,000","461,000,000","528,000,000","658,000,000","639,000,000","623,000,000","602,000,000","644,000,000"
OtherIncomeExpense,"-8,000,000","-8,000,000","-78,000,000","-90,000,000","-188,000,000","-111,000,000","-112,000,000","-116,000,000","-861,000,000","1,000,000","-7,000,000","-44,000,000","-1,098,000,000"
	SpecialIncomeCharges,"-8,000,000","-8,000,000","-78,000,000","-90,000,000","-188,000,000","-110,000,000","-115,000,000","-96,000,000","-861,000,000","0","-10,000,000","-44,000,000","-1,098,000,000"
		RestructuringAndMergernAcquisition,"8,000,000","8,000,000","9,000,000","6,000,000","9,000,000","10,000,000","7,000,000","9,000,000","0","0","8,000,000","28,000,000","34,000,000"
		ImpairmentOfCapitalAssets,,,,,,,,"0","152,000,000","0","0","224,000,000","1,053,000,000"
		OtherSpecialCharges,,,"69,000,000","84,000,000","179,000,000","100,000,000","108,000,000","87,000,000","709,000,000",,"2,000,000","-208,000,000","11,000,000"
	OtherNonOperatingIncomeExpenses,,,,,,"-1,000,000","3,000,000","-20,000,000",,"1,000,000","3,000,000",,
PretaxIncome,"613,000,000","613,000,000","526,000,000","360,000,000","343,000,000","241,000,000","52,000,000","-147,000,000","-1,196,000,000","-483,000,000","-585,000,000","-716,000,000","-1,572,000,000"
TaxProvision,"162,000,000","162,000,000","135,000,000","193,000,000","139,000,000","-1,085,000,000","56,000,000","62,000,000","3,000,000","79,000,000","28,000,000","-211,000,000","-318,000,000"
NetIncomeCommonStockholders,"452,000,000","452,000,000","394,000,000","970,000,000","196,000,000","1,472,000,000","3,000,000","-218,000,000","-388,000,000","-543,000,000","-619,000,000","-514,000,000","-1,255,000,000"
	NetIncome,"452,000,000","452,000,000","394,000,000","970,000,000","196,000,000","1,472,000,000","3,000,000","-218,000,000","-1,179,000,000","-543,000,000","-619,000,000","-514,000,000","-1,255,000,000"
		NetIncomeIncludingNoncontrollingInterests,"452,000,000","452,000,000","394,000,000","970,000,000","196,000,000","1,472,000,000","3,000,000","-218,000,000","-1,179,000,000","-543,000,000","-619,000,000","-514,000,000","-1,255,000,000"
			NetIncomeContinuousOperations,"451,000,000","451,000,000","391,000,000","167,000,000","204,000,000","1,326,000,000","-4,000,000","-209,000,000","-1,199,000,000","-562,000,000","-613,000,000","-505,000,000","-1,254,000,000"
			NetIncomeDiscontinuousOperations,"1,000,000","1,000,000","3,000,000","803,000,000","-8,000,000","146,000,000","7,000,000","-9,000,000","20,000,000","19,000,000","-6,000,000","-9,000,000","-1,000,000"
	OtherunderPreferredStockDividend,,,,,,,,,"-791,000,000",,,,
DilutedNIAvailtoComStockholders,"452,000,000","452,000,000","394,000,000","970,000,000","196,000,000","1,472,000,000","3,000,000","-218,000,000","-388,000,000","-543,000,000","-619,000,000","-514,000,000","-1,255,000,000"
BasicEPS,,,"2.18","5.05","0.98","7.47","0.02","-1.31","-2.11","-2.955","-3.368","-2.797","-6.829"
DilutedEPS,,,"2.17","5.01","0.97","7.31","0.02","-1.31","-2.11","-2.955","-3.368","-2.797","-6.829"
BasicAverageShares,,,"181,099,000","192,236,000","199,385,000","197,011,000","193,962,000","166,905,000","183,770,155","183,770,155","183,770,155","183,770,155","183,770,155"
DilutedAverageShares,,,"181,929,000","193,668,000","202,000,000","201,308,000","193,962,000","166,905,000","183,770,155","183,770,155","183,770,155","183,770,155","183,770,155"
TotalOperatingIncomeAsReported,"723,000,000","723,000,000","724,000,000","608,000,000","791,000,000","736,000,000","618,000,000","488,000,000","171,000,000","155,000,000","37,000,000","-322,000,000","-919,000,000"
TotalExpenses,"5,415,000,000","5,415,000,000","5,314,000,000","4,507,000,000","6,639,000,000","6,642,000,000","8,257,000,000","7,990,000,000","7,712,000,000","6,778,000,000","6,404,000,000","7,488,000,000","9,600,000,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"452,000,000","452,000,000","394,000,000","970,000,000","196,000,000","1,472,000,000","3,000,000","-218,000,000","-1,179,000,000","-543,000,000","-619,000,000","-514,000,000","-1,255,000,000"
NormalizedIncome,"456,888,000","456,888,000","448,954,000","232,700,000","316,800,000","1,392,000,000","65,000,000","-146,600,000","-639,350,000","-562,000,000","-606,500,000","-473,980,000","-377,796,000"
InterestIncome,"0","0","1,000,000","2,000,000",,,,,,,,"0","2,000,000"
InterestExpense,"110,000,000","110,000,000","130,000,000","166,000,000","269,000,000","394,000,000","461,000,000","528,000,000","658,000,000","639,000,000","623,000,000","602,000,000","644,000,000"
NetInterestIncome,"-110,000,000","-110,000,000","-129,000,000","-164,000,000","-269,000,000","-394,000,000","-461,000,000","-528,000,000","-658,000,000","-639,000,000","-623,000,000","-602,000,000","-642,000,000"
EBIT,"723,000,000","723,000,000","656,000,000","526,000,000","612,000,000","635,000,000","513,000,000","381,000,000","-538,000,000","156,000,000","38,000,000","-114,000,000","-928,000,000"
EBITDA,"836,000,000"
