name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997
TotalAssets,"3,932,600,000","3,565,300,000","2,907,000,000","2,911,800,000","3,676,000,000","4,095,200,000","5,396,100,000","5,090,200,000","4,496,700,000","4,271,700,000","3,968,200,000","3,875,500,000","3,869,000,000","3,637,400,000","3,517,200,000","3,538,900,000","2,874,200,000","2,687,700,000","2,717,000,000","2,584,900,000","2,492,600,000","2,577,800,000","3,773,000,000"
	CurrentAssets,"1,134,900,000","857,300,000","728,600,000","654,800,000","1,184,500,000","1,690,900,000","2,294,400,000","2,440,200,000","2,149,100,000","1,904,200,000","1,628,700,000","1,498,200,000","1,578,500,000","1,368,800,000","1,253,600,000","1,228,500,000","928,900,000","830,400,000","748,100,000","773,900,000","779,800,000","625,600,000","2,175,500,000"
		CashCashEquivalentsAndShortTermInvestments,"282,500,000","200,500,000","152,800,000","90,600,000","329,900,000","557,500,000","964,800,000","1,336,900,000","1,048,300,000","1,015,700,000","893,000,000","481,700,000","581,400,000","536,300,000","474,700,000","510,400,000","309,200,000","283,000,000","181,300,000","191,900,000","199,800,000","65,300,000","47,600,000"
			CashAndCashEquivalents,"282,500,000","200,500,000","152,800,000","90,600,000","329,900,000","557,500,000","964,800,000","1,336,900,000","1,048,300,000","1,015,700,000","893,000,000","460,100,000","480,500,000","536,300,000","474,700,000","510,400,000","309,200,000","283,000,000","181,300,000","191,900,000","199,800,000","65,300,000","47,600,000"
			OtherShortTermInvestments,,,,,,,,,,,"0","21,600,000","100,900,000",,,,,,,,,,
		Receivables,"335,300,000","288,500,000","285,200,000","273,900,000","458,100,000","481,100,000","481,800,000","490,400,000","473,000,000","386,100,000","383,700,000","462,600,000","498,100,000","426,300,000","401,700,000","390,900,000","347,500,000","311,300,000","302,100,000","197,200,000","193,600,000","196,900,000","353,100,000"
			AccountsReceivable,"307,000,000","288,500,000","285,200,000","273,900,000","458,100,000","481,100,000","481,800,000","490,400,000","473,000,000","386,100,000","383,700,000","462,600,000","498,100,000","426,300,000","401,700,000","390,900,000","347,500,000","311,300,000","302,100,000",,,,
				GrossAccountsReceivable,"320,300,000","300,100,000","296,900,000","276,100,000","465,800,000","486,900,000","487,800,000","495,600,000","481,100,000","393,100,000",,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-13,300,000","-11,600,000","-11,700,000","-2,200,000","-7,700,000","-5,800,000","-6,000,000","-5,200,000","-8,100,000","-7,000,000",,,,,,,,,,,,,
			TaxesReceivable,"4,200,000",,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,"24,100,000",,,,,,,,,,,,,,,,,,,,,,
		Inventory,"309,900,000","281,100,000","230,900,000","228,000,000","304,100,000","332,800,000","295,300,000","278,600,000","329,100,000","259,300,000","220,600,000","354,800,000","303,500,000","284,600,000","278,300,000","248,300,000","214,600,000","172,400,000","174,800,000","144,200,000","128,200,000","130,100,000","129,600,000"
