name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012
CommonStockEquity,"5,757,433,000","5,568,058,000","4,712,295,000","2,089,638,000","1,264,492,000","707,241,000","108,032,000","6,017,000"
CapitalLeaseObligations,"131,713,000",,,,,,,
NetTangibleAssets,"5,757,433,000","5,568,058,000","4,712,295,000","2,089,638,000","1,264,492,000","707,241,000","108,032,000","6,017,000"
WorkingCapital,"-397,251,000","-108,233,000","307,397,000","-45,466,000","259,829,000","-16,704,000","-54,171,000","-9,981,000"
InvestedCapital,"7,940,265,000","7,752,138,000","6,894,172,000","3,198,176,000","1,821,367,000","1,384,736,000","538,229,000","125,680,000"
TangibleBookValue,"5,757,433,000","5,568,058,000","4,712,295,000","2,089,638,000","1,264,492,000","707,241,000","108,032,000","6,017,000"
TotalDebt,"2,314,545,000","2,184,080,000","2,181,877,000","1,108,538,000","556,875,000","677,495,000","430,197,000","119,663,000"
NetDebt,"2,162,093,000","2,020,864,000","1,627,688,000","975,159,000","213,791,000","626,945,000","410,804,000","105,990,000"
ShareIssued,"317,680,391","317,374,769","314,547,858","207,738,606","168,874,124","126,083,243","117,813,549","117,813,549"
OrdinarySharesNumber,"316,661,701","316,753,024","314,388,557","207,599,190","168,768,703","126,046,504","117,813,549","117,813,549"
TreasurySharesNumber,"1,018,690","621,745","159,301","139,416","105,421","36,739",,
