name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995
MarketCap,"3,605,625,001","3,442,040,000","5,248,128,000","5,367,384,000","5,064,179,337","4,645,547,729","4,939,371,000","5,247,637,574","5,085,824,628","5,016,483,102","4,590,697,459","4,108,164,610","3,757,912,000","3,836,556,000","3,871,864,458","3,190,266,000","3,613,274,000","3,852,394,000","3,497,620,000","3,356,640,000","3,249,917,000","3,193,520,000","3,130,948,000","2,684,054,000","2,772,285,000","2,691,072,000","2,609,327,000","2,411,952,000","2,153,511,074","2,229,178,065","1,716,182,000","1,669,997,596","1,762,352,748","1,851,580,678","1,568,230,545","1,583,300,000","1,704,492,000","2,045,300,000","2,097,728,000","2,110,300,000","1,944,450,000","1,945,006,000","2,110,425,000","2,070,633,000","1,935,988,000","1,473,843,329","2,195,005,872","2,316,968,000","2,159,000,000","2,114,447,443","2,377,424,826","2,294,381,787","2,531,634,596","2,374,324,935","2,493,680,000","2,271,667,000","2,415,714,000","2,736,324,000","2,243,049,000","2,209,218,000","1,984,315,000","1,920,700,650","1,746,556,000","1,430,016,000","1,798,160,000","1,838,060,000","1,630,810,000","1,261,930,000","953,470,000","744,993,000","534,290,000","636,000,000","2,452,804,200","2,379,700,000","2,356,695,000","2,372,565,000","3,036,000,000","2,739,792,000","3,820,750,000","3,407,895,400","2,791,587,500","2,754,000,000","3,014,875,000","2,581,275,000","3,296,064,600","3,105,553,200","3,391,475,000","3,598,607,250","3,919,500,000","3,850,768,250","2,996,280,000","2,636,280,000","2,005,712,500","1,759,762,500","1,678,350,000","1,628,250,000","1,496,737,500","1,321,387,500","1,352,700,000"
EnterpriseValue,"4,169,225,001","3,879,740,000","5,758,328,000","5,840,684,000","5,548,679,337","4,402,747,729","5,599,071,000","5,789,837,574","5,614,824,628","5,426,983,102","5,150,297,459","4,577,064,610","4,287,512,000","4,340,356,000","4,353,864,458","3,626,466,000","4,009,974,000","4,326,394,000","3,925,320,000","3,608,040,000","3,687,517,000","3,723,720,000","3,524,748,000","2,981,754,000","3,199,885,000","3,108,772,000","2,945,827,000","2,660,152,000","2,440,611,074","2,513,778,065","2,000,782,000","2,066,597,596","2,052,152,748","1,942,280,678","1,547,130,545","1,562,200,000","1,840,792,000","2,387,500,000","2,413,228,000","2,478,700,000","2,315,950,000","2,368,106,000","2,227,825,000","2,271,233,000","1,964,888,000","1,658,543,329","2,309,505,872","2,514,568,000","2,362,200,000","2,393,047,443","2,613,924,826","2,502,181,787","2,821,934,596","2,510,424,935","2,610,580,000","2,387,067,000","2,531,114,000","2,694,924,000","2,319,449,000","2,285,618,000","2,079,615,000","2,092,600,650","1,768,856,000","1,721,216,000","2,090,760,000","2,157,360,000","1,749,810,000","1,435,330,000","801,470,000","676,793,000","343,990,000","-116,800,000","2,478,304,200","2,312,300,000","2,289,295,000","2,158,665,000","2,476,700,000","2,716,692,000","3,768,650,000","3,658,795,400","3,042,487,500","2,698,900,000","2,817,175,000","2,824,575,000","3,545,764,600","3,389,753,200","3,261,975,000","3,856,607,250","4,165,600,000","4,092,968,250","3,016,280,000","3,027,680,000","2,242,312,500","2,029,562,500","1,740,450,000","2,156,550,000","1,888,837,500","1,554,887,500","1,352,700,000"
PeRatio,"14.443","8.578","17.388","18.024","17.408","20.534","16.997","21.531","22.773","24.924","37.398","20.845","30.882","24.947","16.08","14.15","10.631","12.208","10.675","10.898","11.769","11.539","12.447","10.446","12.098","11.232","21.174","23.641","35.457","48.706","37.98","17.174","33.161","57.491","37.516","38.106","16.686","14.849","13.782","14.826","14.404","10.295","12.073","13.731","30.984","30.989","26.362","17.921","9.793","9.457","10.044","11.36","12.873","12.533","11.349","25.215","26.814","29.285","30.713","30.25","9.997","12.104","9.656","10.839","14.322","15.563","18.877","14.43",,,,,"98.298",,,"14.851","15.797","14.024","18.88","16.915","13.856","12.26","8.957","8.127","11.785","11.26","17.38","15.095","13.402","13.856","13.073","14.545","13.699","11.667","9.227","9.981","10.795","10.105",
ForwardPeRatio,"12.077","10.917","15.106","15.06","16.026","13.986",,,,,,,,,,,,,,,,"24.331",,,"21.142","20.576","16.42","18.553","15.949","16.367","8.757","11.834","13.021","9.69","8.977","8.842","9.452","10.905","11.377",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PegRatio,,,,,,,,,,,,,,,,,,,,,,"0.347",,,"0.302","0.293","0.234","0.265","0.228","0.233","0.125","0.169","0.186","0.708","0.599","0.59","0.63","0.727","0.758",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PsRatio,"0.8","0.752","1.193","1.216","1.18","1.092","0.933","0.994","0.98","0.978","0.908","0.828","0.766","0.787","0.809","0.679","0.757","0.803","0.715","0.68","0.65","0.643","0.639","0.556","0.582","0.575","0.565","0.53","0.476","0.49","0.382","0.38","0.42","0.479","0.439","0.446","0.517","0.639","0.686","0.73","0.729","0.675","0.801","0.768","0.725","0.553","0.829","0.843","0.784","0.77","0.861","0.845","0.943","0.911","0.979","0.915","0.973","1.085","0.736","0.725","0.654","0.625","0.567","0.459","0.571","0.574","0.502","0.386","0.285","0.224","0.161","0.191","0.741","0.72","0.714","0.759","0.975","0.907","1.277","1.143","0.937","0.923","0.982","0.763","1.002","0.933","1.017","1.039","1.135","1.075","0.806","0.679","0.601","0.533","0.513","0.506","0.464","0.418",
PbRatio,"1.318","1.18","1.7","1.825","1.736","1.573","1.656","1.775","1.744","1.671","1.546","1.383","1.29","1.343","1.267","1.06","1.222","1.354","1.216","1.154","1.121","1.123","1.13","0.96","1.034","1.037","1.026","0.966","0.811","0.842","0.661","0.631","0.675","0.732","0.635","0.645","0.686","0.822","0.853","0.851","0.827","0.845","0.895","0.86","0.872","0.749","1.163","1.136","0.976","0.911","1.034","1.093","1.205","1.188","1.306","1.283","1.365","1.485","1.201","1.183","0.797","0.826","0.747","0.623","0.815","0.803","0.735","0.574","0.428","0.352","0.258","0.302","1.029","0.995","0.986","0.948","1.213","1.137","1.621","1.489","1.22","1.214","1.346","1.173","1.466","1.301","1.379","1.451","1.543","1.56","1.258","1.165","1.125","1.052","0.973","0.997","0.962","0.839",
EnterprisesValueRevenueRatio,"0.882","3.673","4.578","4.808","4.629","3.61","5.077","4.963","4.12","4.078","3.866","3.454","3.386","3.442","3.469","2.922","3.281","3.524","3.258","2.925","2.843","2.867","2.743","2.356","2.514","2.499","2.397","2.213","2.064","2.13","1.69","1.785","1.821","1.731","1.362","1.41","2.156","2.863","2.896","3.083","3.014","3.172","3.051","3.206","2.821","2.373","3.481","3.916","3.448","3.336","3.722","3.6","4.081","3.596","3.989","3.556","3.871","4.055","3.53","3.633","2.808","2.691","2.294","2.266","2.677","2.699","2.177","1.822","0.974","0.796","0.423","-0.137","3.104","2.723","2.808","2.532","3.113","3.202","4.857","4.608","3.872","3.686","3.695","3.708","4.636","3.555","3.757","4.572","4.862","4.738","3.538","3.538","2.693","2.374","2.073","2.675","2.36","1.877","1.723"
