name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009
TotalRevenue,"20,173,000,000","4,015,000,000","5,163,000,000","5,068,000,000","5,927,000,000","5,195,000,000","4,516,000,000","6,143,000,000","6,027,000,000","4,703,000,000","5,212,000,000","4,453,000,000","4,081,000,000","3,942,000,000","3,695,000,000","3,279,000,000","3,043,000,000","2,265,000,000","2,955,000,000","3,308,000,000","3,779,000,000","3,165,000,000","4,338,000,000","5,094,000,000","5,560,000,000","5,115,000,000","4,827,000,000","5,195,000,000","4,594,000,000","4,377,000,000","3,802,000,000","4,462,000,000","4,279,000,000","4,686,000,000","3,991,000,000","3,989,000,000","4,085,000,000","3,631,000,000","2,831,000,000","3,222,000,000","3,318,000,000","3,602,000,000","1,930,594,000","3,080,000,000","2,871,000,000","2,736,000,000"
	OperatingRevenue,"20,173,000,000","4,015,000,000","5,163,000,000","5,068,000,000","5,927,000,000","5,195,000,000","4,516,000,000","6,143,000,000","6,027,000,000","4,703,000,000","5,212,000,000","4,453,000,000","4,081,000,000","3,942,000,000","3,695,000,000","3,279,000,000","3,043,000,000","2,265,000,000","2,955,000,000","3,308,000,000","3,779,000,000","3,165,000,000","4,338,000,000","5,094,000,000","5,560,000,000","5,115,000,000","4,827,000,000","5,195,000,000","4,594,000,000","4,377,000,000","3,802,000,000","4,462,000,000","4,279,000,000","4,686,000,000","3,991,000,000","3,989,000,000","4,085,000,000","3,631,000,000","2,831,000,000","3,222,000,000","3,318,000,000","3,602,000,000","1,930,594,000","3,080,000,000","2,871,000,000","2,736,000,000"
CostOfRevenue,"11,781,000,000","2,795,000,000","2,965,000,000","2,768,000,000","3,249,000,000","2,866,000,000","2,924,000,000","3,161,000,000","2,778,000,000","2,557,000,000","2,842,000,000","2,286,000,000","2,511,000,000","2,674,000,000","2,057,000,000","2,615,000,000","2,028,000,000","1,924,000,000","2,498,000,000","2,434,000,000","2,444,000,000","2,255,000,000","3,406,000,000","3,320,000,000","3,504,000,000","3,136,000,000","3,324,000,000","3,532,000,000","3,044,000,000","2,668,000,000","931,000,000","3,250,000,000","3,385,000,000","3,629,000,000","2,984,000,000","3,122,000,000","2,985,000,000","2,802,000,000","2,024,000,000","2,286,000,000","2,630,000,000","2,224,000,000","1,235,628,400","2,103,000,000","1,995,000,000","1,543,000,000"
GrossProfit,"8,392,000,000","1,220,000,000","2,198,000,000","2,300,000,000","2,678,000,000","2,329,000,000","1,592,000,000","2,982,000,000","3,249,000,000","2,146,000,000","2,370,000,000","2,167,000,000","1,570,000,000","1,268,000,000","1,638,000,000","664,000,000","1,015,000,000","341,000,000","457,000,000","874,000,000","1,335,000,000","910,000,000","932,000,000","1,774,000,000","2,056,000,000","1,979,000,000","1,503,000,000","1,663,000,000","1,550,000,000","1,709,000,000","2,871,000,000","1,212,000,000","894,000,000","1,057,000,000","1,007,000,000","867,000,000","1,100,000,000","829,000,000","807,000,000","936,000,000","688,000,000","1,378,000,000","694,965,600","977,000,000","876,000,000","1,193,000,000"
OperatingExpense,"8,132,000,000","2,136,000,000","2,151,000,000","1,878,000,000","1,967,000,000","1,768,000,000","3,927,000,000","2,729,000,000","2,336,000,000","2,365,000,000","2,836,000,000","1,745,000,000","1,423,000,000","1,164,000,000","1,123,000,000","987,000,000","966,000,000","1,014,000,000","1,261,000,000","1,080,000,000","1,066,000,000","1,119,000,000","1,261,000,000","1,207,000,000","1,327,000,000","1,373,000,000","1,192,000,000","1,037,000,000","1,145,000,000","1,117,000,000","2,777,000,000","695,000,000","436,000,000","400,000,000","702,000,000","-104,000,000","71,000,000","681,000,000","727,000,000","577,000,000","384,000,000","679,000,000","849,952,800","634,000,000","434,000,000","600,000,000"
	SellingGeneralAndAdministration,"285,000,000","21,000,000","127,000,000","72,000,000","65,000,000","72,000,000","87,000,000","78,000,000","109,000,000","179,000,000","91,000,000","116,000,000","58,000,000","43,000,000","101,000,000","71,000,000","94,000,000","60,000,000","115,000,000","75,000,000","73,000,000","72,000,000","67,000,000","80,000,000","102,000,000","109,000,000","81,000,000","103,000,000","82,000,000","83,000,000","98,000,000","104,000,000","57,000,000","93,000,000","89,000,000","38,000,000","55,000,000","113,000,000","436,000,000","262,000,000","59,000,000","343,000,000","214,506,000","243,000,000","52,000,000","207,000,000"
		GeneralAndAdministrativeExpense,"285,000,000","21,000,000","127,000,000","72,000,000","65,000,000","72,000,000","87,000,000","78,000,000","109,000,000","179,000,000","91,000,000","116,000,000","58,000,000","43,000,000","101,000,000","71,000,000","94,000,000","60,000,000","115,000,000","75,000,000","73,000,000","72,000,000","67,000,000","80,000,000","102,000,000","109,000,000","81,000,000","103,000,000","82,000,000","83,000,000","98,000,000",,,,,,,,"166,000,000","49,000,000",,"52,000,000","54,854,800","49,000,000",,"41,000,000"
			OtherGandA,"285,000,000","21,000,000","127,000,000","72,000,000","65,000,000","72,000,000","87,000,000","78,000,000","109,000,000","179,000,000","91,000,000","116,000,000","58,000,000","43,000,000","101,000,000","71,000,000","94,000,000","60,000,000","115,000,000","75,000,000","73,000,000","72,000,000","67,000,000","80,000,000","102,000,000","109,000,000","81,000,000","103,000,000","82,000,000","83,000,000","98,000,000",,,,,,,,"166,000,000","49,000,000",,"52,000,000","54,854,800","49,000,000",,"41,000,000"
		SellingAndMarketingExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"270,000,000","213,000,000",,"291,000,000","159,651,200","194,000,000",,"166,000,000"
	ResearchAndDevelopment,"19,000,000","3,000,000","4,000,000","6,000,000","6,000,000","4,000,000","2,000,000","4,000,000","7,000,000","12,000,000","21,000,000","6,000,000","5,000,000","4,000,000","6,000,000","5,000,000","7,000,000","18,000,000","7,000,000","6,000,000","7,000,000","7,000,000","6,000,000","3,000,000","4,000,000","2,000,000","10,000,000",,,,,,,,,,,,,,,,,,,
