name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005
TotalRevenue,"4,410,000,000","922,000,000","1,246,000,000","1,115,000,000","1,127,000,000","1,104,000,000","1,067,000,000","1,192,000,000","945,000,000","947,000,000","780,000,000","627,000,000","567,000,000","612,000,000","524,577,000","430,548,000","396,299,000","283,564,000","389,152,000","463,474,000","537,425,000","413,522,000","594,223,000","700,263,000","704,702,000","660,959,000","632,086,000","652,920,000","562,786,000","472,127,000","381,666,000","497,547,000","432,796,000","507,805,000","478,427,000","454,468,000","446,232,000","360,840,000","304,370,000","240,496,000","215,710,000","212,000,000","177,619,000","153,494,000","127,332,000","86,002,000","119,238,000","170,457,000","137,383,000","106,711,000","98,786,000","69,098,000","66,103,000","60,346,000","57,546,000","57,546,000","57,546,000","25,652,000","13,734,000","13,734,000","13,734,000","13,734,000"
	OperatingRevenue,"4,410,000,000","922,000,000","1,246,000,000","1,115,000,000","1,127,000,000","1,104,000,000","1,067,000,000","1,192,000,000","945,000,000","947,000,000","780,000,000","627,000,000","567,000,000","612,000,000","524,577,000","430,548,000","396,299,000","283,564,000","389,152,000","463,474,000","537,425,000","413,522,000","594,223,000","700,263,000","704,702,000","660,959,000","632,086,000","652,920,000","562,786,000","472,127,000","381,666,000","497,547,000","432,796,000","507,805,000","478,427,000","454,468,000","446,232,000","360,840,000","304,370,000","240,496,000","215,710,000","212,000,000","177,619,000","153,494,000","127,332,000","86,002,000","119,238,000","170,457,000","137,383,000","106,711,000","98,786,000","69,098,000","66,103,000","60,346,000","57,546,000","57,546,000","57,546,000","25,652,000","13,734,000","13,734,000","13,734,000","13,734,000"
CostOfRevenue,"3,066,000,000","762,000,000","791,000,000","763,000,000","750,000,000","725,000,000","695,000,000","651,000,000","510,000,000","517,000,000","472,000,000","438,000,000","425,000,000","418,000,000","399,499,000","402,784,000","391,190,000","425,039,000","457,213,000","467,592,000","447,067,000","392,740,000","399,919,000","397,490,000","372,389,000","348,316,000","341,974,000","320,856,000","295,949,000","269,265,000","642,366,000","96,666,000","87,689,000","92,150,000","86,102,000","87,548,000","69,577,000","63,658,000","53,073,000","48,697,000","41,326,000","37,995,000","32,561,000","28,215,000","27,241,000","30,761,000","43,499,000","43,865,000","22,702,000","10,558,000","18,645,000","19,905,000","12,814,000","12,387,000",,,,,,,,
GrossProfit,"1,344,000,000","160,000,000","455,000,000","352,000,000","377,000,000","379,000,000","372,000,000","541,000,000","435,000,000","430,000,000","308,000,000","189,000,000","142,000,000","194,000,000","125,078,000","27,764,000","5,109,000","-141,475,000","-68,061,000","-4,118,000","90,358,000","20,782,000","194,304,000","302,773,000","332,313,000","312,643,000","290,112,000","332,064,000","266,837,000","202,862,000","-260,700,000","400,881,000","345,107,000","415,655,000","392,325,000","366,920,000","376,655,000","297,182,000","251,297,000","191,799,000","174,384,000","174,005,000","145,058,000","125,279,000","100,091,000","55,241,000","75,739,000","126,592,000","114,681,000","96,153,000","80,141,000","49,193,000","53,289,000","47,959,000",,,,,,,,
OperatingExpense,"3,325,000,000","2,840,000,000","227,000,000","129,000,000","129,000,000","167,000,000","141,000,000","113,000,000","91,000,000","96,000,000","83,000,000","73,000,000","82,000,000","73,000,000","89,791,000","65,618,000","76,376,000","78,367,000","78,945,000","76,696,000","74,990,000","66,550,000","270,199,000","71,514,000","79,545,000","74,796,000","118,084,000","53,402,000","50,831,000","63,094,000","-382,135,000","200,872,000","188,863,000","170,223,000","165,430,000","139,354,000","122,614,000","113,110,000","160,117,000","143,463,000","-40,719,000","52,767,000","123,448,000","75,553,000","148,481,000","67,818,000","-143,481,000","-119,316,000","134,495,000","55,220,000","66,356,000","25,212,000","31,310,000","28,325,000",,,,,,,,
	SellingGeneralAndAdministration,"462,000,000","124,000,000","119,000,000","105,000,000","114,000,000","121,000,000","115,000,000","104,000,000","86,000,000","80,000,000","68,000,000","68,000,000","64,000,000","60,000,000","63,001,000","59,802,000","59,323,000","60,301,000","56,863,000","65,681,000","67,297,000","65,165,000","60,263,000","58,854,000","55,393,000","52,898,000","49,672,000","45,037,000","46,113,000","47,455,000","39,568,000","34,873,000","31,968,000","27,387,000","29,378,000","22,873,000","22,618,000","21,392,000","18,134,000","15,045,000","17,538,000","13,558,000","13,644,000","12,715,000","14,172,000","11,746,000","10,827,000","11,884,000","10,385,000","7,680,000","12,879,000","4,646,000","7,629,000","7,646,000",,,,,,,,
		GeneralAndAdministrativeExpense,"323,000,000","74,000,000","77,000,000","80,000,000","92,000,000","95,000,000","96,000,000","88,000,000","77,000,000","69,000,000","68,000,000","68,000,000","64,000,000","60,000,000","63,001,000","59,802,000","59,323,000","60,301,000","56,863,000","65,681,000","67,297,000","65,165,000","60,263,000","58,854,000","55,393,000","52,898,000","49,672,000","45,037,000","46,113,000","47,455,000","39,568,000","34,873,000","31,968,000","27,387,000",,"22,873,000","22,618,000",,,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,"79,000,000","18,000,000","18,000,000","20,000,000","23,000,000","24,000,000","24,000,000","23,000,000","18,000,000","17,000,000","17,000,000","17,000,000","14,000,000","12,000,000","15,726,000","14,728,000","12,451,000","16,022,000","15,801,000","16,327,000","15,450,000","15,495,000","12,458,000","13,465,000","9,775,000","11,432,000","9,800,000","9,923,000","8,588,000","6,767,000",,"7,959,000","7,347,000","6,128,000",,"4,673,000","4,725,000",,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"244,000,000","56,000,000","59,000,000","60,000,000","69,000,000","71,000,000","72,000,000","65,000,000","59,000,000","52,000,000","51,000,000","51,000,000","50,000,000","48,000,000","47,275,000","45,074,000","46,872,000","44,279,000","41,062,000","49,354,000","51,847,000","49,670,000","47,805,000","45,389,000","45,618,000","41,466,000","39,872,000","35,114,000","37,525,000","40,688,000","61,002,000","26,914,000","24,621,000","21,259,000",,"18,200,000","17,893,000",,,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,"139,000,000","50,000,000","42,000,000","25,000,000","22,000,000","26,000,000","19,000,000","16,000,000","9,000,000","11,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
