name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,11/30/2012,11/30/2011,11/30/2010,11/30/2009,11/30/2008,11/30/2007,11/30/2006,11/30/2005,11/30/2003
	LongTermDebtAndCapitalLeaseObligation,"25,701,000,000","27,228,000,000","26,326,000,000","25,443,000,000","24,724,000,000","22,544,000,000","20,474,000,000","17,993,000,000","19,729,000,000","18,287,178,000","17,705,728,000","2,428,101,000","1,735,383,000","2,134,093,000","1,507,578,000","863,745,000","931,554,000"
		LongTermDebt,"25,701,000,000","27,228,000,000","26,326,000,000","25,443,000,000","24,724,000,000","22,543,000,000","20,473,000,000","17,993,000,000","19,727,000,000","18,287,178,000","17,705,728,000","2,428,101,000","1,735,383,000","2,134,093,000","1,507,578,000","863,745,000","931,554,000"
		LongTermCapitalLeaseObligation,,,,,,"1,000,000","1,000,000",,"2,000,000",,,,,,,,
	OtherLiabilities,,,,,,,,,,,"54,328,122,000",,"2,941,688,000","1,476,825,000",,,"19,291,904,000"
TotalEquityGrossMinorityInterest,"11,859,000,000","11,130,000,000","10,892,000,000","11,323,000,000","11,275,000,000","11,134,000,000","10,809,000,000","9,873,000,000","9,778,000,000","8,242,211,000","6,456,846,000","8,435,547,000","5,915,823,000","5,599,422,000","5,774,772,000","4,600,449,000","3,809,285,000"
	StockholdersEquity,"11,859,000,000","11,130,000,000","10,892,000,000","11,323,000,000","11,275,000,000","11,134,000,000","10,809,000,000","9,873,000,000","9,778,000,000","8,242,211,000","6,456,846,000","8,435,547,000","5,915,823,000","5,599,422,000","5,774,772,000","4,600,449,000","3,809,285,000"
		CapitalStock,"569,000,000","569,000,000","569,000,000","565,000,000","565,000,000","565,000,000","565,000,000",,"565,000,000","5,497,000","5,471,000","1,163,514,000","4,805,000","4,777,000","100,000","100,000",
			PreferredStock,"563,000,000","563,000,000","563,000,000","560,000,000","560,000,000","560,000,000","560,000,000",,"560,000,000",,"0","1,158,066,000",,,,,
			CommonStock,"6,000,000","6,000,000","6,000,000","5,000,000","5,000,000","5,000,000","5,000,000",,"5,000,000","5,497,000","5,471,000","5,448,000","4,805,000","4,777,000","100,000","100,000",
		RetainedEarnings,"21,290,000,000","18,906,000,000","16,687,000,000","15,130,000,000","13,250,000,000","11,467,000,000","9,611,000,000",,"7,373,000,000","5,243,318,000","3,126,488,000","3,873,262,000","3,046,956,000","2,717,905,000","3,008,421,000","2,431,805,000",
		AdditionalPaidInCapital,"4,206,000,000","4,130,000,000","4,042,000,000","3,962,000,000","3,885,000,000","3,790,000,000","3,687,000,000",,"3,593,000,000","3,507,754,000","3,435,318,000","3,573,231,000","2,938,657,000","2,846,127,000","2,636,265,000","2,123,324,000",
		TreasuryStock,"14,087,000,000","12,319,000,000","10,254,000,000","8,173,000,000","6,265,000,000","4,550,000,000","2,986,000,000",,"1,678,000,000","462,679,000","27,883,000","19,642,000","8,257,000","1,419,000",,,
		GainsLossesNotAffectingRetainedEarnings,"-119,000,000","-156,000,000","-152,000,000","-161,000,000","-160,000,000","-138,000,000","-68,000,000",,"-75,000,000","-51,679,000","-82,548,000","-154,818,000","-66,338,000","32,032,000","129,986,000","45,220,000",
TotalCapitalization,"37,560,000,000","38,358,000,000","37,218,000,000","36,766,000,000","35,999,000,000","33,677,000,000","31,282,000,000","27,866,000,000","29,505,000,000","26,529,389,000","24,162,574,000","10,863,648,000","7,651,206,000","7,733,515,000","7,282,350,000","5,464,194,000","4,740,839,000"
PreferredStockEquity,"563,000,000","563,000,000","563,000,000","560,000,000","560,000,000","560,000,000","560,000,000",,"560,000,000",,,"1,158,066,000",,,,,
CommonStockEquity,"11,296,000,000","10,567,000,000","10,329,000,000","10,763,000,000","10,715,000,000","10,574,000,000","10,249,000,000","9,873,000,000","9,218,000,000","8,242,211,000","6,456,846,000","7,277,481,000","5,915,823,000","5,599,422,000","5,774,772,000","4,600,449,000","3,809,285,000"
CapitalLeaseObligations,,,,,,"1,000,000","1,000,000",,"2,000,000",,,,,,,,
NetTangibleAssets,"11,449,000,000","10,714,000,000","10,474,000,000","10,902,000,000","10,852,000,000","10,701,000,000","10,340,000,000","9,398,000,000","9,302,000,000","7,798,772,000","6,012,452,000","7,984,490,000","5,457,083,000","5,245,958,000","5,039,867,000","4,278,405,000","3,809,285,000"
InvestedCapital,"36,997,000,000","37,795,000,000","36,655,000,000","36,206,000,000","35,439,000,000","33,230,000,000","30,862,000,000","17,993,000,000","29,229,000,000","26,579,389,000","24,162,574,000","9,705,582,000","8,151,206,000","10,908,941,000","14,022,028,000","9,237,254,000","4,740,839,000"
TangibleBookValue,"10,886,000,000","10,151,000,000","9,911,000,000","10,342,000,000","10,292,000,000","10,141,000,000","9,780,000,000","9,398,000,000","8,742,000,000","7,798,772,000","6,012,452,000","6,826,424,000","5,457,083,000","5,245,958,000","5,039,867,000","4,278,405,000","3,809,285,000"
TotalDebt,"25,701,000,000","27,228,000,000","26,326,000,000","25,443,000,000","24,724,000,000","22,657,000,000","20,614,000,000","17,993,000,000","20,013,000,000","18,337,178,000","17,705,728,000","2,428,101,000","2,235,383,000","5,309,519,000","8,247,256,000","4,636,805,000","931,554,000"
NetDebt,"18,777,000,000","13,929,000,000","13,020,000,000","13,529,000,000","15,152,000,000","15,372,000,000","14,059,000,000","8,887,000,000","16,085,000,000","15,487,335,000","12,606,995,000",,,"2,804,215,000","7,372,899,000","4,079,635,000","931,554,000"
ShareIssued,"566,653,650","564,851,848","563,497,702","562,414,040","560,679,352","558,194,324","555,349,629","497,503,969","553,049,298","549,748,783","547,128,270","544,799,041","480,517,188","477,688,223","477,554,488","477,554,488","477,554,488"
OrdinarySharesNumber,"310,157,158","331,445,843","357,920,195","388,766,017","421,678,929","449,188,286","472,244,051","497,503,969","497,871,361","528,830,429","544,681,764","542,922,246","479,986,639","477,688,223","477,554,488","477,554,488","477,554,488"
PreferredSharesNumber,"5,700","5,700","5,700","575,000","575,000","575,000","575,000",,"575,000",,,"1,224,558",,,,,
TreasurySharesNumber,"256,496,492","233,406,005","205,577,507","173,648,023","139,000,423","109,006,038","83,105,578",,"55,177,937","20,918,354","2,446,506","1,876,795","530,549",,,,
