name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003
MarketCap,"14,714,060,348","19,878,863,921","14,963,708,939","22,790,892,700","18,656,525,120","17,638,709,787","6,396,750,724","6,714,231,258","2,932,624,025","3,187,548,000","5,806,219,373","4,894,376,551","1,593,077,894","3,815,283,073","2,036,365,094","925,085,959","699,616,610","517,035,222"
EnterpriseValue,"15,813,349,134","19,878,863,921","14,963,708,939","22,790,892,700","18,656,525,120","17,638,709,787","6,396,750,724","6,714,231,258","2,932,624,025","3,187,548,000","5,806,219,373","4,894,376,551","1,593,077,894","3,815,283,073","2,036,365,094","925,085,959","699,616,610","517,035,222"
PeRatio,"15.235","72.823","33.623","467.511","112.932",,"44.729","53.365","28.401","25.198","38.478","52.505","25.18","71.939","48.292","69.435","45.022","611.937"
ForwardPeRatio,"18.692","21.008",,"40.816","60.241","41.494","63.291","28.49","22.676","18.149","31.646",,,"18.484",,,,
PegRatio,"0.662","0.801",,"0.742","1.458","0.719","5.361","2.167","0.271","0.794","0.99",,,"0.583",,,,
PsRatio,"3.154","3.911","3.992","6.776","8.588","11.057","7.569","9.781","4.91","8.677","13.996","17.4","7.545","22.224","22.239","15.94","17.977","11.669"
PbRatio,"1.005","1.382","1.173","1.906","2.11","9.686","4.209","5.243","2.821","3.097","6.309","11.425","5.63","19.192","15.822","9.761","9.998","8.685"
EnterprisesValueRevenueRatio,"0.443","0.557","0.483","0.851","0.97","1.619","0.871","1.246","0.705","0.911","2.015","2.306","1.003","2.96","2.444","1.774","2.096","2.986"
EnterprisesValueEBITDARatio,"1.295","1.628","3.392","4.015","-60.309","4.867","13.329","5.076","3.891","2.758","5.458","5.896","2.794","24.599","6.3","4.05","4.912","8.129"
