name,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,12/31/1993
	TotalNonCurrentAssets,"73,634,000,000","73,854,000,000","74,310,000,000","69,705,000,000","68,539,000,000","68,939,000,000","68,705,000,000","68,828,000,000","68,970,000,000","68,867,000,000","68,021,000,000","53,798,000,000","54,312,000,000","54,427,000,000","54,551,000,000","54,684,000,000","55,216,000,000","57,284,000,000","56,983,000,000","57,151,000,000","56,711,000,000","55,923,000,000","54,895,000,000","50,389,000,000","49,538,000,000","48,782,000,000","48,275,000,000","47,604,000,000","47,066,000,000","45,722,000,000","45,278,000,000","44,971,000,000","44,497,000,000","42,669,000,000","42,035,000,000","41,563,000,000","40,497,000,000","40,065,000,000","40,155,000,000","39,297,000,000","39,133,000,000","39,017,000,000","39,489,000,000","40,284,000,000","39,258,135,017","37,653,821,588","36,512,314,268","35,086,925,213","33,932,863,244","33,233,628,143","32,656,748,140","32,099,861,624","30,921,481,827","23,575,500,168","22,466,257,669","21,586,875,292","19,801,139,667","18,768,873,403","18,061,863,263","18,055,622,733","17,171,826,254","16,002,267,859","15,476,984,656","15,026,232,949","13,342,779,853","13,086,169,638","12,858,300,689","12,936,682,827","12,584,198,930","12,539,682,540","8,598,272,466","8,647,227,533","8,517,987,902","8,016,411,551","7,845,688,351","7,717,168,532","7,164,067,187","7,302,374,512","5,231,611,662","5,103,668,262","4,554,398,148","4,519,442,406","3,127,016,720","3,109,433,962","3,054,179,567","2,988,523,336","2,972,218,139","2,951,773,050","2,746,247,320","2,574,230,079","2,389,233,954","2,292,993,631","1,911,900,000","1,808,200,000","1,066,300,000","1,025,700,000","836,300,000","812,200,000","759,100,000","731,100,000","677,500,000","401,200,000"
		NetPPE,"72,411,000,000","72,543,000,000","72,977,000,000","68,362,000,000","67,196,000,000","67,695,000,000","67,467,000,000","67,611,000,000","67,802,000,000","67,773,000,000","66,952,000,000","52,800,000,000","53,292,000,000","53,440,000,000","53,563,000,000","53,587,000,000","54,061,000,000","56,267,000,000","56,154,000,000","56,229,000,000","56,037,000,000","55,395,000,000","54,388,000,000","49,979,000,000","49,096,000,000","48,431,000,000","47,906,000,000","47,217,000,000","46,639,000,000","45,384,000,000","44,931,000,000","44,603,000,000","41,631,000,000","42,300,000,000","39,280,000,000","41,175,000,000","40,472,000,000","40,035,000,000","40,107,000,000","39,252,000,000","39,115,000,000","38,996,000,000","39,430,000,000","39,916,000,000","38,965,517,241","37,628,273,366","36,481,783,025","35,050,920,687","33,902,075,678","33,190,897,347","32,601,487,779","32,036,439,114","30,766,542,404","23,446,965,463","22,351,366,425","21,465,436,712","19,694,150,483","18,659,698,026","17,947,710,814","17,973,397,823","17,063,834,893","15,930,452,312","15,402,268,179","14,947,534,103","13,269,354,631","13,006,482,982","12,777,252,465","12,857,352,725","12,500,786,906","12,482,539,683","8,598,272,466","8,647,227,533","8,443,170,965","7,942,243,964","7,819,969,743","7,660,413,054","7,141,571,686","7,285,843,102","5,225,691,875","5,103,668,262","4,554,398,148","4,513,573,001","3,122,616,603","3,094,339,623","3,034,055,728","2,968,630,451","2,973,688,079","2,950,354,610","2,746,247,320","2,574,230,079","2,389,233,954","2,292,993,631","1,912,000,000","1,808,200,000","1,066,300,000","1,025,700,000","836,400,000","812,100,000","759,100,000","731,100,000","677,500,000","401,100,000"
			GrossPPE,"134,157,000,000","133,245,000,000","132,413,000,000","126,897,000,000","126,459,000,000","126,049,000,000","124,838,000,000","123,655,000,000","122,381,000,000","121,444,000,000","119,811,000,000","104,806,000,000","104,208,000,000","103,089,000,000","102,138,000,000","101,109,000,000","101,011,000,000","101,988,000,000","100,142,000,000","99,205,000,000","97,073,000,000","94,958,000,000","92,526,000,000","87,227,000,000","85,157,000,000","83,147,000,000","81,570,000,000","79,768,000,000","78,099,000,000","75,619,000,000","74,328,000,000","72,940,000,000","69,054,000,000","68,947,000,000","64,686,000,000","65,752,000,000","64,220,000,000",,,,"59,006,000,000",,,,"56,450,947,061","49,432,616,564","48,286,179,524","46,855,261,804","45,705,631,145","44,994,534,433","44,405,951,116","43,839,944,649","42,571,062,441","32,832,234,268","31,736,754,044","30,850,070,061","29,078,962,670","26,023,228,804","25,311,157,481","25,336,154,776","24,426,445,884","21,399,773,214","20,871,247,499","20,417,103,883","18,738,889,605","17,096,164,235","16,867,486,154","16,947,260,173","16,591,123,702","15,326,984,127","11,442,642,825","11,491,395,793","11,287,806,431","9,925,832,413","9,803,328,291","9,643,701,719","9,124,175,165","8,644,424,406","6,584,282,966","6,462,229,955","5,912,905,092","5,498,165,811","4,106,776,181","4,078,490,566","4,018,575,852","3,632,746,748","3,638,100,838","3,614,184,397","3,409,578,271","2,955,392,902","2,770,186,335","2,673,774,578","2,293,300,000","2,011,600,000","1,269,700,000","1,229,100,000","1,039,800,000","937,200,000","884,200,000","856,200,000","802,600,000","472,000,000"
				MachineryFurnitureEquipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"259,000,000","249,000,000","239,000,000",,"232,000,000","228,000,000","222,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				OtherProperties,"1,789,000,000","1,839,000,000","1,865,000,000","1,584,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,"56,386,000,000","55,555,000,000","54,611,000,000","532,000,000","51,640,000,000","50,010,000,000","49,052,000,000","504,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			AccumulatedDepreciation,"-61,746,000,000","-60,702,000,000","-59,436,000,000","-58,535,000,000","-59,263,000,000","-58,354,000,000","-57,371,000,000","-56,044,000,000","-54,579,000,000","-53,671,000,000","-52,859,000,000","-52,006,000,000","-50,916,000,000","-49,649,000,000","-48,575,000,000","-47,522,000,000","-46,950,000,000","-45,721,000,000","-43,988,000,000","-42,976,000,000","-41,036,000,000","-39,563,000,000","-38,138,000,000","-37,248,000,000","-36,061,000,000","-34,716,000,000","-33,664,000,000","-32,551,000,000","-31,460,000,000","-30,235,000,000","-29,397,000,000","-28,337,000,000","-27,423,000,000","-26,647,000,000","-25,406,000,000","-24,577,000,000","-23,748,000,000",,,,"-19,891,000,000",,,,"-17,485,429,820","-11,804,343,198","-11,804,396,499","-11,804,341,117","-11,803,555,467","-11,803,637,086","-11,804,463,337","-11,803,505,535","-11,804,520,037","-9,385,268,805","-9,385,387,619","-9,384,633,349","-9,384,812,187","-7,363,530,778","-7,363,446,667","-7,362,756,953","-7,362,610,991","-5,469,320,902","-5,468,979,320","-5,469,569,780","-5,469,534,974","-4,089,681,253","-4,090,233,689","-4,089,907,448","-4,090,336,796","-2,844,444,444","-2,844,370,359","-2,844,168,260","-2,844,635,466","-1,983,588,449","-1,983,358,548","-1,983,288,665","-1,982,603,479","-1,358,581,304","-1,358,591,091","-1,358,561,693","-1,358,506,944","-984,592,810","-984,159,578","-984,150,943","-984,520,124","-664,116,297","-664,412,759","-663,829,787","-663,330,951","-381,162,823","-380,952,381","-380,780,947","-381,300,000","-203,400,000","-203,400,000","-203,400,000","-203,400,000","-125,100,000","-125,100,000","-125,100,000","-125,100,000","-70,900,000"
		InvestmentsAndAdvances,,,,,"287,000,000",,,,,,,,,,,,,,,,,,"308,000,000","305,000,000","306,000,000","307,000,000",,"308,000,000","310,000,000",,,"321,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			LongTermEquityInvestment,,,,,"287,000,000",,,,,,,,,,,,,,,,,,"308,000,000","305,000,000","306,000,000","307,000,000",,"308,000,000","310,000,000",,,"321,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		FinancialAssets,,,,,"373,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NonCurrentAccountsReceivable,,,,,"591,000,000",,,,,,,,,,,,,,,,,,"115,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DuefromRelatedPartiesNonCurrent,,,,,"591,000,000",,,,,,,,,,,,,,,,,,"115,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherNonCurrentAssets,"1,223,000,000","1,311,000,000","1,333,000,000","1,343,000,000","92,000,000","1,244,000,000","1,238,000,000","1,217,000,000","1,168,000,000","1,094,000,000","1,069,000,000","998,000,000","1,020,000,000","987,000,000","988,000,000","1,097,000,000","1,155,000,000","1,017,000,000","829,000,000","922,000,000","674,000,000","528,000,000","84,000,000","105,000,000","136,000,000","44,000,000","369,000,000","79,000,000","117,000,000","338,000,000","347,000,000","47,000,000","2,866,000,000","369,000,000","2,755,000,000","388,000,000","25,000,000","30,000,000","48,000,000","45,000,000","18,000,000","21,000,000","59,000,000","368,000,000","292,617,776","25,548,222","30,531,243","36,004,526","30,787,566","42,730,796","55,260,361","63,422,510","154,939,423","128,534,705","114,891,244","121,438,580","106,989,184","109,175,377","114,152,449","82,224,910","107,991,361","71,815,547","74,716,477","78,698,846","73,425,222","79,686,656","81,048,224","79,330,102","83,412,024","57,142,857",,,"74,816,937","74,167,587","25,718,608","56,755,478","22,495,501","16,531,410","5,919,787",,,"5,869,405","4,400,117","15,094,339","20,123,839","19,892,885","-1,469,940","1,418,440",,,,,"-100,000",,,,"-100,000","100,000",,,,"100,000"
TotalLiabilitiesNetMinorityInterest,"43,130,000,000","43,738,000,000","44,681,000,000","41,700,000,000","39,585,000,000","39,951,000,000","41,268,000,000","41,188,000,000","42,214,000,000","41,649,000,000","41,404,000,000","31,563,000,000","32,381,000,000","32,316,000,000","32,176,000,000","31,366,000,000","31,894,000,000","33,143,000,000","32,770,000,000","32,284,000,000","31,309,000,000","31,082,000,000","30,766,000,000","26,911,000,000","25,982,000,000","25,874,000,000","26,259,000,000","25,469,000,000","24,697,000,000","23,749,000,000","23,660,000,000","23,739,000,000","24,380,000,000","23,331,000,000","23,206,000,000","23,246,000,000","21,684,000,000","20,505,000,000","21,196,000,000","21,036,000,000","21,598,000,000","21,788,000,000","23,174,000,000","24,628,000,000","24,276,347,742","23,323,397,914","26,259,922,654","23,686,863,491","22,792,730,162","22,709,927,457","22,751,328,374","23,351,014,760","22,470,876,048","14,806,080,250","15,133,296,152","15,128,444,652","13,615,536,690","13,763,066,202","12,718,792,193","12,840,386,941","11,085,913,127","10,226,785,939","9,942,628,419","9,672,088,143","8,080,638,928","7,986,223,663","7,948,129,137","8,691,053,327","8,490,714,511","8,553,968,254","5,137,141,991","5,372,848,948","5,173,511,621","4,842,985,640","4,824,508,321","4,866,782,280","4,559,088,182","5,036,068,530","3,431,996,448","3,468,174,569","2,958,622,685","2,983,125,459","1,993,253,153","2,012,075,472","1,970,588,235","1,954,093,344","1,977,068,940","1,985,815,603","1,726,947,820","1,599,226,626","1,392,684,610","1,326,502,354","988,400,000","889,300,000","591,300,000","586,500,000","404,100,000","384,400,000","441,900,000","430,800,000","381,600,000","265,700,000"
	CurrentLiabilities,"6,637,000,000","7,855,000,000","7,900,000,000","5,611,000,000","4,762,000,000","4,794,000,000","4,858,000,000","4,328,000,000","6,261,000,000","5,791,000,000","5,439,000,000","6,049,000,000","5,092,000,000","5,142,000,000","5,363,000,000","3,818,000,000","4,595,000,000","4,708,000,000","4,545,000,000","5,228,000,000","5,142,000,000","5,922,000,000","5,929,000,000","5,382,000,000","5,234,000,000","4,127,000,000","3,746,000,000","3,671,000,000","3,976,000,000","4,287,000,000","4,201,000,000","4,612,000,000","4,034,000,000","3,019,000,000","4,041,000,000","4,324,000,000","3,156,000,000","2,375,000,000","2,345,000,000","2,541,000,000","2,405,000,000","2,232,000,000","2,386,000,000","3,028,000,000","3,420,349,684","3,277,624,015","6,533,686,139","4,240,304,495","3,563,412,454","2,871,906,986","2,834,218,916","3,318,726,937","3,070,829,450","2,655,638,762","3,522,587,842","3,917,561,887","3,824,863,356","4,281,068,525","3,074,751,442","2,950,423,216","1,889,848,812","1,732,392,592","1,499,666,444","1,933,368,311","1,360,298,854","1,320,907,618","1,311,630,420","1,333,920,964","788,479,698","1,039,682,540","700,106,077","737,731,039","530,085,960","732,207,669","726,172,466","827,684,061","688,362,328","710,850,616","412,905,135","455,270,407","260,416,667","1,175,348,496","133,470,226","146,415,094","136,222,910","197,398,623","129,354,696","272,340,426","204,431,737","295,539,290","118,702,553","423,705,345","151,500,000","94,100,000","58,600,000","126,300,000","54,300,000","51,300,000","46,200,000","66,200,000","56,200,000","33,500,000"
