name,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,12/31/1993
TotalAssets,"78,121,000,000","78,532,000,000","78,955,000,000","73,968,000,000","71,559,000,000","73,344,000,000","73,679,000,000","73,214,000,000","73,867,000,000","72,988,000,000","72,390,000,000","57,940,000,000","58,648,000,000","57,960,000,000","58,195,000,000","58,362,000,000","59,275,000,000","60,628,000,000","60,543,000,000","60,699,000,000","60,200,000,000","59,016,000,000","57,989,000,000","53,248,000,000","51,754,000,000","51,426,000,000","50,810,000,000","49,843,000,000","48,980,000,000","47,869,000,000","47,582,000,000","47,128,000,000","47,278,000,000","45,475,000,000","44,658,000,000","43,841,000,000","42,669,000,000","41,925,000,000","42,255,000,000","41,304,000,000","41,024,000,000","40,853,000,000","41,762,000,000","43,344,000,000","42,650,558,524","39,828,614,009","39,866,680,236","37,755,374,961","36,113,814,679","35,281,725,132","34,631,243,358","34,315,036,900","33,160,531,221","25,199,508,215","24,435,025,098","23,438,813,638","21,852,540,993","20,944,250,871","19,797,471,462","19,718,258,767","18,410,127,190","17,100,919,743","16,532,354,903","16,037,513,116","14,198,119,284","13,878,984,333","13,710,657,841","13,953,283,385","13,358,514,322","13,214,285,714","9,169,571,147","9,300,509,879","9,041,706,463","8,593,971,911","8,458,396,369","8,314,677,597","7,775,944,811","8,017,733,694","5,682,995,412","5,518,341,308","4,850,983,796","4,776,228,907","3,313,288,354","3,307,169,811","3,247,678,019","3,204,284,621","3,204,468,617","3,201,418,440","2,930,664,761","2,775,859,688","2,535,541,753","2,442,536,693","2,062,600,000","1,922,200,000","1,128,400,000","1,103,600,000","900,400,000","867,900,000","819,600,000","798,100,000","737,800,000","436,900,000"
	CurrentAssets,"4,487,000,000","4,678,000,000","4,645,000,000","4,263,000,000","3,020,000,000","4,405,000,000","4,974,000,000","4,386,000,000","4,897,000,000","4,121,000,000","4,369,000,000","4,142,000,000","4,336,000,000","3,533,000,000","3,644,000,000","3,678,000,000","4,059,000,000","3,344,000,000","3,560,000,000","3,548,000,000","3,489,000,000","3,093,000,000","3,094,000,000","2,859,000,000","2,216,000,000","2,644,000,000","2,535,000,000","2,239,000,000","1,914,000,000","2,147,000,000","2,304,000,000","2,157,000,000","2,781,000,000","2,806,000,000","2,623,000,000","2,278,000,000","2,172,000,000","1,860,000,000","2,100,000,000","2,007,000,000","1,891,000,000","1,836,000,000","2,273,000,000","3,060,000,000","3,392,423,507","2,174,792,421","3,354,365,968","2,668,449,748","2,180,951,435","2,048,096,989","1,974,495,218","2,215,175,277","2,239,049,394","1,624,008,047","1,968,767,429","1,851,938,347","2,051,401,326","2,175,377,468","1,735,608,199","1,662,636,034","1,238,300,936","1,098,651,884","1,055,370,247","1,011,280,168","855,339,431","792,814,695","852,357,153","1,016,600,558","774,315,392","674,603,175","571,298,682","653,282,345","523,718,561","577,560,360","612,708,018","597,509,065","611,877,624","715,359,182","451,383,750","414,673,046","296,585,648","256,786,500","186,271,634","197,735,849","193,498,452","215,761,285","232,250,478","249,645,390","184,417,441","201,629,609","146,307,798","149,543,063","150,700,000","114,000,000","62,100,000","77,900,000","64,100,000","55,700,000","60,500,000","67,000,000","60,300,000","35,700,000"
		CashCashEquivalentsAndShortTermInvestments,"629,000,000","743,000,000","945,000,000","639,000,000","625,000,000","954,000,000","927,000,000","933,000,000","1,030,000,000","1,200,000,000","882,000,000","834,000,000","930,000,000","624,000,000","579,000,000","1,110,000,000","1,043,000,000","30,000,000","32,000,000","34,000,000","25,000,000","16,000,000","31,000,000","19,000,000","16,000,000","18,000,000","17,000,000","18,000,000","37,000,000","21,000,000","10,000,000","13,000,000","34,000,000","18,000,000","6,000,000","50,000,000","22,000,000","27,000,000","19,000,000","21,000,000","13,000,000","14,000,000","25,000,000","10,000,000","26,711,996","13,838,620","22,389,579","26,746,220","20,856,093","20,868,528","10,626,993","13,837,638","23,299,161","12,294,624","14,500,837","11,676,787","17,443,889","11,614,402","30,686,142","41,112,455","27,597,792","12,599,219","16,010,674","26,232,949","104,341,105","29,713,668","17,560,448","17,628,911","29,902,424","14,285,714","1,515,381","36,647,546","14,326,648","34,716,743","31,770,045","31,530,821","28,494,301",,,,,,,,,,,,,,,,"300,000",,,,,,,,,
			CashAndCashEquivalents,"139,000,000","176,000,000","398,000,000","90,000,000","101,000,000","296,000,000","182,000,000","152,000,000","137,000,000","312,000,000","50,000,000","19,000,000","17,000,000","19,000,000","24,000,000","15,000,000","69,000,000","30,000,000","32,000,000","34,000,000","25,000,000","16,000,000","31,000,000","19,000,000","16,000,000","18,000,000","17,000,000","18,000,000","37,000,000","21,000,000","10,000,000","13,000,000","34,000,000","18,000,000","6,000,000","50,000,000","22,000,000","27,000,000","19,000,000","21,000,000","13,000,000","14,000,000","25,000,000","10,000,000","26,711,996","13,838,620","22,389,579","26,746,220","20,856,093","20,868,528","10,626,993","13,837,638","23,299,161","12,294,624","14,500,837","11,676,787","17,443,889","11,614,402","30,686,142","41,112,455","27,597,792","12,599,219","16,010,674","26,232,949","104,341,105","29,713,668","17,560,448","17,628,911","29,902,424","14,285,714","1,515,381","36,647,546","14,326,648","34,716,743","31,770,045","31,530,821","28,494,301",,,,,,,,,,,,,,,,"300,000",,,,,,,,,
			OtherShortTermInvestments,"490,000,000","567,000,000","547,000,000","549,000,000","524,000,000","658,000,000","745,000,000","781,000,000","893,000,000","888,000,000","832,000,000","815,000,000","913,000,000","605,000,000","555,000,000","1,095,000,000","974,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"2,478,000,000","2,405,000,000","2,124,000,000","2,287,000,000","1,148,000,000","1,977,000,000","2,611,000,000","2,200,000,000","2,719,000,000","1,665,000,000","2,200,000,000","2,131,000,000","2,285,000,000","1,876,000,000","1,959,000,000","1,745,000,000","1,954,000,000","1,913,000,000","2,141,000,000","2,020,000,000","2,117,000,000","1,997,000,000","1,997,000,000","1,918,000,000","1,427,000,000","1,727,000,000","1,614,000,000","1,443,000,000","1,197,000,000","1,365,000,000","1,527,000,000","1,346,000,000","2,077,000,000","1,998,000,000","1,859,000,000","1,624,000,000","1,481,000,000","1,246,000,000","1,363,000,000","1,324,000,000","1,148,000,000","1,006,000,000","1,179,000,000","1,142,000,000","1,514,084,507","1,967,213,115","2,339,710,971","2,134,554,058","1,661,535,406","1,786,743,516","1,737,513,284","1,911,900,369","1,946,644,921","1,429,529,451","1,506,971,556","1,345,165,810","1,545,528,550","2,162,601,626","1,703,694,612","1,621,523,579","1,175,905,928","1,087,312,587","1,039,359,573","985,047,219","750,998,325","763,101,026","833,445,900","998,971,647","744,412,968","660,317,460","569,783,301","616,634,799","509,391,913","511,282,941","549,167,927","531,294,340","550,389,922",,,,"250,289,352",,,,"143,962,848",,,,"184,417,441",,,,"150,400,000",,,,"64,000,000",,,,"51,300,000","35,700,000"
			AccountsReceivable,"2,465,000,000","2,405,000,000","2,124,000,000","2,287,000,000","1,148,000,000","1,977,000,000","2,611,000,000","2,076,000,000","2,397,000,000","1,481,000,000","1,627,000,000","1,390,000,000","1,434,000,000","1,082,000,000","1,161,000,000","1,028,000,000","1,277,000,000","1,314,000,000","1,488,000,000","1,458,000,000","1,889,000,000","1,908,000,000","1,992,000,000","1,918,000,000","1,427,000,000","1,727,000,000","1,614,000,000","1,443,000,000","1,197,000,000","1,365,000,000","1,527,000,000","1,346,000,000","2,077,000,000","1,998,000,000","1,859,000,000","1,624,000,000","1,481,000,000","1,246,000,000","1,363,000,000","1,324,000,000","1,148,000,000","1,006,000,000","1,179,000,000","1,142,000,000","1,514,084,507","1,967,213,115","2,339,710,971","2,134,554,058","1,661,535,406","1,786,743,516","1,737,513,284","1,911,900,369","1,946,644,921","1,429,529,451","1,506,971,556","1,345,165,810","1,545,528,550","2,162,601,626","1,703,694,612","1,621,523,579","1,175,905,928","1,087,312,587","1,039,359,573","985,047,219","750,998,325","763,101,026","833,445,900","998,971,647","744,412,968","660,317,460","569,783,301","616,634,799","509,391,913","511,282,941","549,167,927","531,294,340","550,389,922",,,,"250,289,352",,,,"143,962,848",,,,"184,417,441",,,,"150,400,000",,,,"64,000,000",,,,"51,300,000","35,700,000"
			TaxesReceivable,"13,000,000",,,,"0","0",,"124,000,000","322,000,000","184,000,000","573,000,000","741,000,000","851,000,000","794,000,000","798,000,000","717,000,000","677,000,000","599,000,000","653,000,000","562,000,000","228,000,000","89,000,000","5,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,"1,152,000,000","1,151,000,000","1,189,000,000","1,072,000,000","955,000,000","1,118,000,000","1,041,000,000","989,000,000","894,000,000","877,000,000","929,000,000","658,000,000","689,000,000","616,000,000","611,000,000","590,000,000","525,000,000","663,000,000","733,000,000","716,000,000","665,000,000","799,000,000","789,000,000","748,000,000","632,000,000","697,000,000","656,000,000","627,000,000","554,000,000","570,000,000","593,000,000","671,000,000","550,000,000","625,000,000","605,000,000","496,000,000","610,000,000","582,000,000","610,000,000","640,000,000","584,000,000","637,000,000","590,000,000","525,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"31,560,675","30,257,186","34,683,904","34,493,101",,,,"46,296,296",,,,"49,535,604",,,,,,,,,,,,,,,,"8,900,000",
			RawMaterials,"684,000,000",,,,"658,000,000",,,,"609,000,000",,,,"426,000,000",,,,"339,000,000",,,,"333,000,000",,,,"290,000,000",,,,"239,000,000",,,,"222,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			FinishedGoods,"468,000,000",,,,"297,000,000",,,,"285,000,000",,,,"263,000,000",,,,"186,000,000",,,,"332,000,000",,,,"342,000,000",,,,"315,000,000",,,,"328,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		PrepaidAssets,"174,000,000","309,000,000","315,000,000","192,000,000","176,000,000","293,000,000","310,000,000","178,000,000","175,000,000","291,000,000","324,000,000","239,000,000","149,000,000","227,000,000","232,000,000","185,000,000","162,000,000","270,000,000","290,000,000","178,000,000","172,000,000","257,000,000","277,000,000","174,000,000","141,000,000","202,000,000","213,000,000","151,000,000","126,000,000","191,000,000","133,000,000","127,000,000","120,000,000","165,000,000","153,000,000","108,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDeferredAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"59,000,000","5,000,000","0","0","146,000,000","30,000,000",,,,"193,740,686","992,265,418","506,120,769","479,690,138","203,716,586","190,223,167","252,536,900","163,094,129","182,183,972","447,295,036","495,095,750","487,265,961",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			CurrentDeferredTaxesAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"59,000,000","5,000,000","0","0","146,000,000","30,000,000",,,,"193,740,686","992,265,418","506,120,769","479,690,138","203,716,586","190,223,167","252,536,900","163,094,129","182,183,972","447,295,036","495,095,750","487,265,961",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherCurrentAssets,"54,000,000","70,000,000","72,000,000","73,000,000","116,000,000","63,000,000","85,000,000","86,000,000","79,000,000","88,000,000","34,000,000","280,000,000","283,000,000","190,000,000","263,000,000","48,000,000","375,000,000","468,000,000","364,000,000","600,000,000","510,000,000","24,000,000",,,,,"35,000,000",,,,"41,000,000",,,,,,,,"108,000,000","22,000,000",,"149,000,000","479,000,000","1,383,000,000","1,851,627,004",,,"1,028,701","18,869,798","36,768,359","36,131,774","36,900,370","106,011,183",,,,"1,162,926","1,161,440","1,227,445",,"34,797,216","-1,259,922",,,"1","1","1,350,805",,,"1",,,,"1","1,512,860",,"-1,499,700",,,,,,,,,,,,,,,,,,,,"100,000",,,,"100,000",
