name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
MarketCap,"7,792,947,994","9,686,113,470","8,035,130,313","10,485,730,898","4,051,693,982","9,335,604,966","3,664,195,008","3,045,666,204"
EnterpriseValue,"7,792,947,994","9,686,113,470","8,035,130,313","10,485,730,898","4,051,693,982","9,335,604,966","3,664,195,008","3,045,666,204"
PeRatio,"6.688","11.199","27.912","93.888",,,"130.759",
ForwardPeRatio,"16.863","19.011","17.065","31.546","53.763","147.059",,
PsRatio,"3.554","4.528","4.538","7.293","3.981","12.221","16.124","23.254"
PbRatio,"1.78","2.407","2.574","3.6","1.576","3.395","7.368",
EnterprisesValueRevenueRatio,"0.5","0.622","0.612","1.041","0.534","2.012","2.229","3.448"
EnterprisesValueEBITDARatio,"2.396","2.978","2.87","5.183","-11.788","-6.265","48.087","26.069"
