name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011
TotalAssets,"6,961,000,000","5,819,000,000","5,334,000,000","4,109,000,000","1,523,500,000","539,500,000","584,200,000","144,900,000","134,700,000"
	CurrentAssets,"414,000,000","129,000,000","292,000,000","100,000,000","77,400,000","36,200,000","439,400,000","500,000","400,000"
		CashCashEquivalentsAndShortTermInvestments,"286,000,000","1,000,000","185,000,000","2,000,000","48,000,000","8,300,000","425,100,000","0","0"
			CashAndCashEquivalents,"286,000,000","1,000,000","185,000,000","2,000,000","48,000,000","8,300,000","425,100,000","0","0"
		Receivables,"105,000,000","95,000,000","86,000,000","83,000,000","24,700,000","23,000,000","11,400,000","200,000","100,000"
			AccountsReceivable,"105,000,000","95,000,000","86,000,000","83,000,000","24,700,000","23,000,000","11,400,000","200,000","100,000"
		Inventory,"13,000,000","13,000,000","12,000,000","11,000,000","2,500,000","2,200,000","600,000","300,000",
			RawMaterials,"13,000,000","13,000,000","12,000,000","11,000,000","2,500,000","2,200,000","600,000","300,000",
		PrepaidAssets,"10,000,000","20,000,000","9,000,000","4,000,000",,,,,
		OtherCurrentAssets,,,,,"2,200,000","2,700,000","2,300,000",,"300,000"
	TotalNonCurrentAssets,"6,547,000,000","5,690,000,000","5,042,000,000","4,009,000,000","1,446,100,000","503,300,000","144,800,000","144,400,000","134,300,000"
		NetPPE,"3,349,000,000","3,052,000,000","2,918,000,000","2,675,000,000","492,400,000","485,100,000","135,900,000","135,800,000","127,300,000"
			GrossPPE,"4,408,000,000","3,995,000,000","3,754,000,000","3,400,000,000","760,400,000","732,400,000","214,500,000","208,200,000","193,700,000"
				LandAndImprovements,"19,000,000","19,000,000","19,000,000","19,000,000","6,000,000","17,400,000","4,000,000","4,000,000","4,000,000"
				BuildingsAndImprovements,"94,000,000","89,000,000","88,000,000","88,000,000","30,000,000","27,300,000","6,100,000","5,400,000","5,300,000"
				MachineryFurnitureEquipment,"3,928,000,000","3,671,000,000","3,600,000,000","3,266,000,000","711,700,000","633,200,000","201,300,000","197,100,000","174,200,000"
				OtherProperties,"3,791,000,000","3,534,000,000","3,463,000,000","3,129,000,000","575,400,000","499,700,000","201,300,000","197,100,000","174,200,000"
				ConstructionInProgress,"367,000,000","216,000,000","47,000,000","27,000,000","12,700,000","54,500,000","3,100,000","1,700,000","10,200,000"
			AccumulatedDepreciation,"-1,059,000,000","-943,000,000","-836,000,000","-725,000,000","-268,000,000","-247,300,000","-78,600,000","-72,400,000","-66,400,000"
		GoodwillAndOtherIntangibleAssets,"185,000,000","185,000,000","185,000,000","185,000,000","2,500,000","10,900,000","2,500,000","2,500,000","2,500,000"
			Goodwill,"185,000,000","185,000,000","185,000,000","185,000,000","2,500,000","2,500,000","2,500,000","2,500,000","2,500,000"
			OtherIntangibleAssets,,,,,,"8,400,000",,,
