name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988
TotalAssets,"46,799,000,000","45,502,000,000","16,998,000,000","17,255,000,000","17,469,000,000","17,724,000,000","17,958,000,000","18,206,000,000","16,257,000,000","15,619,300,000","12,922,200,000","10,248,800,000","9,716,600,000","6,217,000,000","5,357,900,000","5,126,800,000","4,567,300,000","4,685,600,000","4,597,300,000","4,145,700,000","3,916,830,000","4,534,300,000","4,427,600,000","2,488,100,000","2,581,800,000","1,027,800,000","1,098,400,000","1,009,600,000","1,091,000,000","1,106,400,000","1,106,800,000","1,126,300,000"
	CurrentAssets,"10,665,000,000","11,662,000,000","3,323,000,000","1,394,000,000","1,553,000,000","1,938,000,000","2,189,000,000","2,496,000,000","2,408,000,000","2,139,900,000","2,271,700,000","2,267,200,000","1,811,300,000","1,310,200,000","1,110,800,000","1,243,600,000","733,900,000","832,000,000","819,600,000","871,700,000","726,235,000","774,200,000","734,500,000","460,700,000","501,100,000","164,700,000","158,600,000","140,800,000","125,000,000","121,700,000","141,700,000","166,900,000"
		CashCashEquivalentsAndShortTermInvestments,"671,000,000","2,314,000,000","116,000,000","32,000,000","91,000,000","215,000,000","628,000,000","562,000,000","430,000,000","411,900,000","385,400,000","283,200,000","719,500,000","325,700,000","93,900,000","458,900,000","4,700,000","24,500,000","45,300,000","100,000,000","44,037,000","68,000,000","8,800,000","-6,300,000","40,500,000","16,600,000",,"7,400,000","4,300,000","3,000,000","4,200,000","61,100,000"
			CashAndCashEquivalents,"671,000,000","2,314,000,000","116,000,000","32,000,000","91,000,000","215,000,000","628,000,000","562,000,000","430,000,000","411,900,000","385,400,000","276,800,000","719,500,000","325,700,000","93,900,000","458,900,000","4,700,000","24,500,000","45,300,000","100,000,000","44,037,000","68,000,000","8,800,000","-6,300,000","40,500,000","16,600,000",,"7,400,000","4,300,000","3,000,000","4,200,000","61,100,000"
				CashFinancial,"532,000,000","1,506,000,000","14,000,000","13,000,000","30,000,000","89,000,000","129,000,000","64,000,000",,,,,,,,,,,,,,,,,,,,,,,,
				CashEquivalents,"139,000,000","808,000,000","102,000,000","19,000,000","61,000,000","126,000,000","499,000,000","498,000,000",,,,,,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,,,,,,,,,,,,"6,400,000",,,,,,,,,,,,,,,,,,,,
		Receivables,"3,542,000,000","3,342,000,000","468,000,000","518,000,000","589,000,000","910,000,000","638,000,000","939,000,000","1,195,000,000","1,043,700,000","1,137,900,000","1,189,900,000","596,200,000","442,300,000","453,300,000","352,600,000","305,000,000","267,800,000","256,700,000","326,600,000","269,264,000","303,000,000","351,200,000","230,800,000","223,400,000","74,100,000","63,300,000","59,000,000","53,000,000","48,700,000","69,100,000","47,600,000"
			AccountsReceivable,"3,047,000,000","2,746,000,000","390,000,000","427,000,000","468,000,000","708,000,000","500,000,000","716,000,000",,"1,013,400,000","507,000,000","1,106,500,000","596,200,000","442,300,000","409,500,000","352,600,000","305,000,000","267,800,000","256,700,000","326,600,000",,,,,,,,,,,,
				GrossAccountsReceivable,"3,130,000,000","2,836,000,000","396,000,000","433,000,000","475,000,000","715,000,000","507,000,000","724,000,000",,,,,,,,,,,,,,,,,,,,,,,,
