name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997
		CurrentDebtAndCapitalLeaseObligation,"139,361,000","43,475,000","46,657,000","35,454,000","14,051,000","13,372,000","13,264,000","9,948,000","172,832,000","4,936,000","5,637,000","76,712,000","6,989,000","10,970,000","28,324,000","9,265,000","3,979,000","3,827,000","7,278,000","3,466,000","4,200,000","4,600,000","3,300,000"
			CurrentDebt,"6,089,000","38,017,000","41,288,000","32,161,000","12,060,000","11,156,000","10,903,000","7,551,000","170,654,000","2,507,000","3,127,000","72,098,000","6,989,000","10,970,000","28,324,000","9,265,000","3,979,000","3,827,000","7,278,000","3,466,000","4,200,000","4,600,000","3,300,000"
				OtherCurrentBorrowings,"6,089,000","38,017,000","41,288,000","32,161,000","12,060,000","11,156,000","10,903,000","7,551,000","170,654,000","2,507,000","3,127,000","72,098,000",,,,,,,,,,,
			CurrentCapitalLeaseObligation,"133,272,000","5,458,000","5,369,000","3,293,000","1,991,000","2,216,000","2,361,000","2,397,000","2,178,000","2,429,000","2,510,000","4,614,000",,,,,,,,,,,
		CurrentDeferredLiabilities,"58,592,000","59,293,000","51,996,000","44,200,000","35,887,000","34,661,000","33,151,000","35,794,000","28,272,000","10,775,000","13,320,000","20,506,000","24,212,000","15,426,000","11,036,000","11,813,000","1,374,000",,,,,,
			CurrentDeferredTaxesLiabilities,"4,000",,,,"0","745,000","618,000","1,685,000",,,,"5,592,000","7,609,000","4,108,000","3,023,000","1,864,000","1,374,000",,,,,,
			CurrentDeferredRevenue,"58,588,000","59,293,000","51,996,000","44,200,000","35,887,000","33,916,000","32,533,000","34,109,000","28,272,000","10,775,000","13,320,000","14,914,000","16,603,000","11,318,000","8,013,000","9,949,000",,,,,,,
		OtherCurrentLiabilities,"1,055,002,000","36,102,000","22,495,000","63,772,000","25,903,000",,,,,,,"3,359,000","41,099,000","9,463,000","60,390,000","102,657,000","9,727,000","7,974,000","3,813,000","11,777,000","16,900,000","9,400,000","1,600,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"1,444,344,000","709,919,000","532,831,000","633,215,000","462,854,000","469,866,000","227,649,000","328,290,000","205,098,000","319,135,000","354,598,000","394,467,000","630,105,000","407,364,000","353,547,000","177,507,000","69,978,000","40,619,000","45,789,000","85,225,000","79,400,000","90,500,000","11,500,000"
		LongTermDebtAndCapitalLeaseObligation,"1,332,916,000","597,981,000","413,765,000","568,632,000","409,619,000","412,516,000","191,382,000","291,292,000","165,943,000","288,468,000","322,280,000","328,265,000","550,823,000","362,482,000","327,229,000","156,894,000","59,032,000","40,619,000","45,789,000","85,225,000","79,200,000","90,500,000","11,300,000"
			LongTermDebt,"1,090,939,000","589,782,000","404,012,000","561,663,000","405,472,000","410,368,000","188,510,000","286,703,000","161,694,000","286,105,000","320,283,000","321,909,000","539,303,000","349,073,000","315,000,000","140,000,000","55,792,000","36,318,000","38,146,000","85,225,000","79,200,000","90,500,000","11,300,000"
			LongTermCapitalLeaseObligation,"241,977,000","8,199,000","9,753,000","6,969,000","4,147,000","2,148,000","2,872,000","4,589,000","4,249,000","2,363,000","1,997,000","6,356,000","11,520,000","13,409,000","12,229,000","16,894,000","3,240,000","4,301,000","7,643,000",,,,
		NonCurrentDeferredLiabilities,"56,067,000","57,145,000","54,969,000","44,079,000","33,924,000","38,959,000","17,695,000","22,031,000","26,003,000","21,958,000","23,854,000","51,745,000","74,641,000","43,071,000","25,157,000","17,520,000","7,828,000",,,,,,
			NonCurrentDeferredTaxesLiabilities,"56,067,000","57,145,000","54,969,000","44,079,000","33,924,000","38,959,000","17,695,000","22,031,000","26,003,000","21,958,000","23,854,000","51,745,000","74,641,000","43,071,000","25,157,000","17,520,000","7,828,000",,,,,,
		OtherNonCurrentLiabilities,"55,361,000","54,793,000","64,097,000","20,504,000","19,311,000","18,391,000","18,572,000","14,967,000","13,152,000","8,709,000","8,464,000","14,457,000","4,641,000","1,811,000","1,161,000","3,093,000","3,118,000",,,,"200,000",,"200,000"
