name,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015,03/31/2014,03/31/2013,03/31/2012,03/31/2011,03/31/2010,03/31/2009,03/31/2008,03/31/2007,03/31/2006,03/31/2005,03/31/2004,03/31/2003,03/31/2002,03/31/2001,03/31/2000,03/31/1999,03/31/1998
		GainsLossesNotAffectingRetainedEarnings,"-61,343,000,000","-45,566,000,000","-21,270,000,000","-6,222,000,000","30,373,000,000","2,000,000","-36,263,000,000","-96,056,000,000","-96,180,000,000","-79,459,000,000","-92,384,000,000","-19,244,192,120","55,139,909,760","27,660,075,750","-1,822,958,620","-30,859,050,800","-36,807,644,640","-13,423,888,790","6,683,817,810","535,347,298",,"-20,790,000,000"
		OtherEquityInterest,,,,,,,,,,,,,,,,,,"2,259,466,430",,,"29,319,994,930","2,711,000,000"
	MinorityInterest,"56,127,000,000","116,450,000,000","139,927,000,000","162,388,000,000","165,873,000,000","176,438,000,000","43,977,000,000","77,368,000,000","55,589,000,000","17,777,000,000","43,463,000,000","41,080,866,080","39,116,346,240","34,604,520,300",,,,,,,,
TotalCapitalization,"7,083,296,000,000","6,508,928,000,000","6,362,682,000,000","6,251,337,000,000","6,285,143,000,000","5,777,614,000,000","5,705,130,000,000","5,663,617,000,000","5,850,609,000,000","5,134,954,000,000","5,621,375,000,000","5,702,662,361,280","5,047,422,508,800","4,197,975,581,700","3,583,936,646,920","3,223,728,273,100","3,299,828,936,620","3,303,871,559,820","2,841,253,118,100","2,292,677,824,645.8","2,596,546,358,480","2,358,391,000,000"
CommonStockEquity,"2,897,074,000,000","2,682,424,000,000","2,507,698,000,000","2,310,431,000,000","2,152,198,000,000","1,918,740,000,000","1,643,596,000,000","1,396,137,000,000","1,319,341,000,000","1,298,684,000,000","1,167,530,000,000","1,261,840,680,200","1,191,870,357,120","955,508,489,100","726,288,160,780","563,490,437,750","496,077,390,100","501,202,818,090","469,506,673,710","412,051,883,088.2","329,665,353,230","313,821,000,000"
NetTangibleAssets,"2,897,074,000,000","2,682,424,000,000","2,507,698,000,000","2,310,431,000,000","2,152,198,000,000","1,918,740,000,000","1,643,596,000,000","1,396,137,000,000","1,319,341,000,000","1,298,684,000,000","1,167,530,000,000","1,261,840,680,200","1,191,870,357,120","955,508,489,100","726,288,160,780","563,490,437,750","496,077,390,100","501,202,818,090","469,506,673,710","412,051,883,088.2","329,665,353,230","313,821,000,000"
InvestedCapital,"7,392,845,000,000","6,815,682,000,000","6,646,149,000,000","6,600,961,000,000","6,569,928,000,000","6,087,205,000,000","6,125,856,000,000","6,121,590,000,000","6,329,242,000,000","5,708,519,000,000","6,419,542,000,000","7,026,423,473,120","6,219,499,052,160","5,537,076,355,350","4,530,373,869,280","4,126,772,523,200","4,399,457,320,240","4,944,111,278,210","4,431,245,098,260","4,144,241,292,426.6","4,793,711,989,920","4,934,874,000,000"
TangibleBookValue,"2,897,074,000,000","2,682,424,000,000","2,507,698,000,000","2,310,431,000,000","2,152,198,000,000","1,918,740,000,000","1,643,596,000,000","1,396,137,000,000","1,319,341,000,000","1,298,684,000,000","1,167,530,000,000","1,261,840,680,200","1,191,870,357,120","955,508,489,100","726,288,160,780","563,490,437,750","496,077,390,100","501,202,818,090","469,506,673,710","412,051,883,088.2","329,665,353,230","313,821,000,000"
TotalDebt,"4,495,771,000,000","4,133,258,000,000","4,138,451,000,000","4,290,530,000,000","4,417,730,000,000","4,168,465,000,000","4,482,260,000,000","4,725,453,000,000","5,009,901,000,000","4,409,835,000,000","5,252,012,000,000","5,764,582,792,920","5,027,628,695,040","4,581,567,866,250","3,804,085,708,500","3,563,282,085,450","3,903,379,930,140","4,442,908,460,120","3,961,738,424,550","3,732,189,409,338.4","4,464,046,636,690","4,621,053,000,000"
NetDebt,"3,334,739,000,000","2,812,017,000,000","3,098,581,000,000","3,560,110,000,000","3,590,212,000,000","3,333,656,000,000","3,647,608,000,000","3,914,491,000,000","4,272,626,000,000","3,770,200,000,000","4,791,363,000,000","5,445,009,550,720","4,811,899,689,120","4,329,566,920,800","3,650,206,554,400","3,410,550,634,700","3,701,291,804,280","4,088,039,320,820","3,794,769,089,070","3,467,290,832,215","4,199,178,234,075","4,352,838,000,000"
ShareIssued,"1,324,629,128","1,324,495,728","1,324,107,328","1,324,058,828","1,323,644,528","1,336,110,962","1,248,714,760","1,102,544,220","1,102,458,460","1,102,299,480","964,805,000","984,451,670","918,026,780","899,121,630","873,887,060","843,663,140","843,659,140","851,597,050","844,941,450","686,302,940",,
OrdinarySharesNumber,"1,279,961,352","1,280,000,872","1,302,587,061","1,309,514,020","1,308,642,971","1,322,777,628","1,221,433,050","1,075,217,210","1,074,985,020","1,074,842,470","936,636,530","967,489,630","915,181,940","899,121,630","873,887,060","843,663,140","843,659,140","851,597,050","844,941,450","686,302,940",,
TreasurySharesNumber,"44,667,776","44,494,856","21,520,267","14,544,808","15,001,557","13,333,334","27,281,710","27,327,010","27,473,440","27,457,010","28,168,470","16,962,040","2,844,840",,,,,,,,,
