name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988
TotalAssets,"33,876,356,000","30,210,706,000","29,159,178,000","28,173,301,000","25,215,178,000","26,702,511,000","26,110,185,000","26,284,738,000","27,766,276,000","18,961,045,000","22,518,210,000","23,274,716,000","22,727,686,000","22,146,238,000","20,699,420,000","11,115,029,000","10,709,710,000","10,504,985,000","10,497,443,000","10,734,601,000","2,760,700,000","1,773,800,000","1,398,400,000","1,287,700,000","1,282,200,000","1,140,800,000","1,160,100,000","1,063,500,000","473,100,000","375,900,000","292,400,000","277,300,000"
	CurrentAssets,"4,007,693,000","2,526,778,000","2,374,627,000","2,229,587,000","2,408,749,000","3,027,160,000","2,719,439,000","2,507,092,000","2,812,720,000","1,455,645,000","3,053,501,000","1,533,030,000","1,175,386,000","1,514,751,000","1,018,583,000","820,202,000","757,621,000","605,410,000","661,927,000","795,644,000","269,900,000","208,100,000","170,800,000","226,700,000","212,700,000","203,500,000","266,200,000","582,000,000","223,200,000","40,600,000","130,000,000","49,800,000"
		CashCashEquivalentsAndShortTermInvestments,"2,329,604,000","1,526,762,000","1,499,995,000","1,446,581,000","1,670,312,000","2,283,715,000","1,803,669,000","1,543,509,000","1,865,913,000","498,964,000","2,056,207,000","295,644,000","412,390,000","452,944,000","377,933,000","435,128,000","178,047,000","211,234,000","208,971,000","227,968,000","121,500,000","82,000,000","34,600,000","61,400,000","110,000,000","75,900,000","211,300,000","580,000,000","209,800,000","6,200,000","98,100,000","15,500,000"
			CashAndCashEquivalents,"2,329,604,000","1,526,762,000","1,499,995,000","1,446,581,000","1,670,312,000","1,713,715,000","1,803,669,000","1,543,509,000","1,865,913,000","498,964,000","2,056,207,000","295,644,000","412,390,000","452,944,000","377,933,000","435,128,000","178,047,000","211,234,000","208,971,000","227,968,000","121,500,000","82,000,000","34,600,000","61,400,000","110,000,000","75,900,000","211,300,000","580,000,000","209,800,000","6,200,000","98,100,000","15,500,000"
			OtherShortTermInvestments,,,,,"0","570,000,000",,,,,"0",,,,,,,,,,,,,,,,,,,,,
		Receivables,"1,374,884,000","685,637,000","583,096,000","542,924,000","496,552,000","488,020,000","488,217,000","443,677,000","491,730,000","497,876,000","753,029,000","368,101,000","412,345,000","381,540,000","352,673,000","204,151,000","149,376,000","139,935,000","156,451,000","236,650,000","83,100,000","69,100,000","79,000,000","80,500,000","78,600,000","96,100,000","30,500,000","600,000","11,500,000","29,600,000","27,600,000","29,500,000"
			AccountsReceivable,"612,717,000","657,206,000","540,545,000","542,924,000","480,559,000","473,345,000","488,217,000","443,677,000","491,730,000","321,894,000","368,474,000","303,416,000","412,345,000","362,921,000","352,673,000","204,151,000","139,475,000","139,935,000","144,374,000",,,,,,,,,,,,,
				GrossAccountsReceivable,"707,278,000","747,981,000","633,116,000","640,844,000","570,348,000","562,947,000","569,930,000","541,588,000","592,937,000",,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-94,561,000","-90,775,000","-92,571,000","-97,920,000","-89,789,000","-89,602,000","-81,713,000","-97,911,000","-101,207,000",,,,,,,,,,,,,,,,,,,,,,,
			TaxesReceivable,"27,167,000","28,431,000","42,551,000","0","15,993,000","14,675,000",,,"0","175,982,000","384,555,000",,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,"735,000,000",,,,,,,,,,,"64,685,000",,"18,619,000",,,"9,901,000",,"12,077,000",,,,,,,,,,,,,
		Inventory,"102,888,000","110,831,000","102,292,000","97,733,000","104,200,000","104,011,000","107,907,000","107,577,000","112,735,000","96,392,000","101,809,000","111,505,000","126,116,000","118,459,000","111,825,000","70,333,000","65,189,000","83,582,000","78,037,000","86,279,000","15,200,000","11,100,000","16,500,000","13,500,000","11,000,000","17,200,000","12,700,000","200,000",,"1,900,000","1,700,000","2,000,000"
		PrepaidAssets,"200,317,000","203,548,000","189,244,000","142,349,000","137,685,000","151,414,000","238,657,000","232,898,000","251,282,000","252,321,000","103,969,000","155,652,000","105,412,000","124,414,000","110,634,000","81,662,000","89,641,000","86,311,000","69,623,000",,,,,,,,,,,,,
		CurrentDeferredAssets,,,,,,"0","80,989,000","179,431,000","91,060,000","110,092,000","38,487,000","63,153,000","63,453,000","68,046,000","65,518,000","28,928,000","49,286,000","84,348,000","148,845,000",,,,,,,,,,,,,
			CurrentDeferredTaxesAssets,,,,,,"0","80,989,000","179,431,000","91,060,000","110,092,000","38,487,000","63,153,000","63,453,000","68,046,000","65,518,000","28,928,000","49,286,000","84,348,000","148,845,000",,,,,,,,,,,,,
		OtherCurrentAssets,,,,,,,,,,,,"538,975,000","55,670,000","369,348,000",,,"226,082,000",,,"244,747,000","50,100,000","45,900,000","40,700,000","71,300,000","13,100,000","14,300,000","11,700,000","1,200,000","1,900,000","2,900,000","2,600,000","2,800,000"
	TotalNonCurrentAssets,"29,868,663,000","27,683,928,000","26,784,551,000","25,943,714,000","22,806,429,000","23,675,351,000","23,390,746,000","23,777,646,000","24,953,556,000","17,505,400,000","19,464,709,000","21,741,686,000","21,552,300,000","20,631,487,000","19,680,837,000","10,294,827,000","9,952,089,000","9,899,575,000","9,835,516,000","9,938,957,000","2,490,800,000","1,565,700,000","1,227,600,000","1,061,000,000","1,069,500,000","937,300,000","893,900,000","481,500,000","249,900,000","335,300,000","162,400,000","227,500,000"
		NetPPE,"22,678,436,000","20,729,888,000","19,635,459,000","18,425,023,000","15,371,795,000","14,441,542,000","14,055,212,000","14,194,652,000","14,866,644,000","14,554,350,000","15,069,952,000","16,289,154,000","16,823,704,000","17,430,293,000","16,541,651,000","8,914,142,000","8,681,339,000","8,762,445,000","8,891,645,000","9,064,233,000","2,390,500,000","1,327,700,000","1,032,700,000","884,800,000","903,900,000","880,000,000","867,300,000","449,700,000","244,400,000","325,000,000","147,600,000","220,700,000"
			GrossPPE,"31,260,271,000","29,747,738,000","27,885,649,000","25,993,222,000","22,311,733,000","20,966,781,000","20,220,265,000","19,907,902,000","20,203,743,000","19,385,780,000","19,431,267,000","20,098,715,000","20,188,523,000","20,225,526,000","18,916,751,000","10,852,158,000","10,327,401,000","10,153,806,000","9,893,375,000","9,708,632,000","2,788,700,000","1,583,600,000","1,222,300,000","1,026,800,000","997,000,000","925,500,000","936,200,000","471,500,000","260,000,000","354,000,000","163,600,000","231,900,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,
				LandAndImprovements,"5,348,223,000","6,923,769,000","6,531,701,000","6,530,988,000","6,495,391,000","6,475,134,000","6,477,489,000","6,499,492,000","7,032,853,000","7,039,806,000","7,121,002,000","7,449,254,000","7,692,737,000","7,905,430,000","8,018,301,000","4,089,106,000","4,103,693,000","4,113,622,000","4,116,008,000",,,,,,,,,,,,,
				BuildingsAndImprovements,"15,291,801,000","16,437,695,000","12,245,950,000","11,969,984,000","9,429,945,000","9,313,308,000","9,264,455,000","9,272,556,000","9,122,080,000","8,504,655,000","8,428,766,000","8,806,135,000","8,713,703,000","7,869,972,000","7,595,257,000","4,228,138,000","3,798,143,000","3,807,228,000","3,740,468,000",,,,,,,,,,,,,
				MachineryFurnitureEquipment,"5,924,439,000","6,064,330,000","5,157,363,000","4,863,647,000","4,274,537,000","4,178,723,000","4,040,887,000","3,995,161,000","3,926,438,000","3,768,476,000","3,814,597,000","3,435,886,000","3,229,416,000","2,954,921,000","2,695,746,000","2,235,766,000","1,960,094,000","1,934,147,000","1,775,264,000",,,,,,,,,,,,,
				OtherProperties,"4,485,918,000",,,,,,,,,,,,,"188,433,000",,,,,,,,,,,,,,,,,,
				ConstructionInProgress,"209,890,000","321,944,000","3,950,635,000","2,628,603,000","2,111,860,000","999,616,000","437,434,000","140,693,000","122,372,000","72,843,000","66,902,000","407,440,000","552,667,000","1,306,770,000","607,447,000","299,148,000","465,471,000","298,809,000","261,635,000",,,,,,,,,,,,,
			AccumulatedDepreciation,"-8,581,835,000","-9,017,850,000","-8,250,190,000","-7,568,199,000","-6,939,938,000","-6,525,239,000","-6,165,053,000","-5,713,250,000","-5,337,099,000","-4,831,430,000","-4,361,315,000","-3,809,561,000","-3,364,819,000","-2,795,233,000","-2,375,100,000","-1,938,016,000","-1,646,062,000","-1,391,361,000","-1,001,730,000","-644,399,000","-398,200,000","-255,900,000","-189,600,000","-142,000,000","-93,100,000","-45,500,000","-68,900,000","-21,800,000","-15,600,000","-29,000,000","-16,000,000","-11,200,000"
		GoodwillAndOtherIntangibleAssets,"5,911,068,000","5,765,855,000","5,684,491,000","5,904,825,000","5,595,548,000","7,261,966,000","7,409,303,000","7,640,680,000","7,944,726,000","429,157,000","430,606,000","4,729,218,000","1,622,692,000","1,667,947,000","1,692,040,000","233,335,000","267,668,000","256,108,000","103,059,000","54,281,000","36,600,000","37,600,000","38,600,000","39,600,000","40,700,000","1,100,000","1,200,000","1,200,000","1,200,000","1,600,000","1,600,000","2,000,000"
			Goodwill,"2,084,564,000","1,821,392,000","1,806,531,000","1,817,119,000","1,430,767,000","2,897,110,000","2,897,442,000","2,902,847,000","2,896,609,000","86,353,000","86,353,000","86,353,000","1,262,922,000","1,300,747,000",,,,,,,,,,,,,,,,,,
			OtherIntangibleAssets,"3,826,504,000","3,944,463,000","3,877,960,000","4,087,706,000","4,164,781,000","4,364,856,000","4,511,861,000","4,737,833,000","5,048,117,000","342,804,000","344,253,000","4,642,865,000","359,770,000","367,200,000","1,692,040,000","233,335,000","267,668,000","256,108,000","103,059,000","54,281,000","36,600,000","37,600,000","38,600,000","39,600,000","40,700,000","1,100,000","1,200,000","1,200,000","1,200,000","1,600,000","1,600,000","2,000,000"
		InvestmentsAndAdvances,"822,366,000","732,867,000","1,034,161,000","1,220,443,000","1,491,497,000","1,559,034,000","1,374,836,000","1,444,547,000","1,635,572,000","1,923,155,000","3,611,799,000",,,,,,,,,,,,,,,,,,,,,
			LongTermEquityInvestment,"822,366,000","732,867,000","1,034,161,000","1,220,443,000","1,491,497,000","1,559,034,000","1,374,836,000","1,444,547,000",,,,,,,,,,,,,,,,,,,,,,,,
				InvestmentsinAssociatesatCost,"822,366,000","732,867,000","1,034,161,000","1,220,443,000","1,491,497,000","1,559,034,000","1,374,836,000","1,444,547,000",,,,,,,,,,,,,,,,,,,,,,,,
		OtherNonCurrentAssets,"456,793,000","455,318,000","430,440,000","393,423,000","347,589,000","412,809,000","551,395,000","497,767,000","506,614,000","598,738,000","352,352,000","723,314,000","3,105,904,000","1,533,247,000","1,447,146,000","1,147,350,000","1,003,082,000","881,022,000","840,812,000","820,443,000","63,700,000","200,400,000","156,300,000","136,600,000","124,900,000","56,200,000","25,400,000","30,600,000","4,300,000","8,700,000","13,200,000","4,800,000"
TotalLiabilitiesNetMinorityInterest,"21,213,437,000","19,740,915,000","17,512,463,000","18,203,989,000","17,450,751,000","19,074,237,000","18,234,562,000","18,168,722,000","17,884,054,000","15,962,500,000","18,647,778,000","19,300,355,000","16,666,983,000","18,296,689,000","17,464,348,000","8,343,325,000","8,175,922,000","7,840,841,000","7,986,743,000","8,352,156,000","1,726,900,000","809,400,000","296,800,000","314,300,000","697,700,000","611,400,000","678,300,000","536,700,000","26,200,000","117,500,000","27,300,000","72,700,000"
	CurrentLiabilities,"3,191,423,000","2,948,882,000","3,092,382,000","2,293,421,000","2,237,951,000","3,407,925,000","2,215,328,000","1,925,671,000","1,744,764,000","1,246,221,000","2,383,601,000","3,002,576,000","1,724,687,000","1,648,100,000","1,534,568,000","927,977,000","765,059,000","750,068,000","887,910,000","1,233,205,000","290,100,000","189,400,000","181,500,000","190,800,000","119,400,000","111,400,000","165,600,000","56,900,000","18,900,000","24,400,000","23,100,000","46,600,000"
		PayablesAndAccruedExpenses,"1,993,823,000","2,341,527,000","2,479,990,000","1,934,727,000","1,677,101,000","1,874,839,000","1,985,644,000","1,692,056,000","1,399,772,000","1,246,221,000","1,303,777,000","1,879,586,000","1,360,208,000","1,607,841,000","1,409,051,000","922,972,000","732,595,000","69,959,000","719,831,000","65,317,000","38,000,000","23,900,000","53,900,000","33,000,000","20,700,000","25,200,000","14,200,000","4,300,000","6,200,000","4,000,000","4,500,000",
			Payables,"581,687,000","881,263,000","930,251,000","698,408,000","585,682,000","685,182,000","590,219,000","424,278,000","362,181,000","167,084,000","173,719,000","142,693,000","219,556,000","416,640,000","265,601,000","198,050,000","85,439,000","69,959,000","75,787,000","65,317,000","38,000,000","23,900,000","53,900,000","33,000,000","20,700,000","25,200,000","14,200,000","4,300,000","6,200,000","4,000,000","4,500,000",
				AccountsPayable,"235,437,000","302,578,000","255,028,000","250,477,000","182,031,000","164,252,000","241,192,000","199,620,000","170,994,000","167,084,000","155,796,000","142,693,000","219,556,000","416,640,000","265,601,000","198,050,000","85,439,000","69,959,000","75,787,000","65,317,000","38,000,000","23,900,000","53,900,000","33,000,000","20,700,000","25,200,000","14,200,000","4,300,000","6,200,000","4,000,000","4,500,000",
				TotalTaxPayable,"218,027,000","235,160,000","170,639,000","177,570,000","153,531,000","350,491,000","349,027,000","224,658,000","191,187,000",,,,,,,,,,,,,,,,,,,,,,,
					IncomeTaxPayable,,,"0","10,654,000",,"0","14,813,000","1,350,000","7,611,000",,,,,,,,,,,,,,,,,,,,,,,
				DividendsPayable,"53,489,000","31,732,000","29,777,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				OtherPayable,"74,734,000","311,793,000","474,807,000","270,361,000","250,120,000","170,439,000",,,,,"17,923,000",,,,,,,,,,,,,,,,,,,,,
			CurrentAccruedExpenses,"1,412,136,000","1,460,264,000","1,549,739,000","1,236,319,000","1,091,419,000","1,189,657,000","1,395,425,000","1,267,778,000","1,037,591,000","1,079,137,000","1,130,058,000","1,736,893,000","1,140,652,000","1,191,201,000","1,143,450,000","724,922,000","647,156,000",,"644,044,000",,,,,,,,,,,,,
				InterestPayable,"122,250,000","140,046,000","135,785,000","159,028,000","165,914,000","191,155,000","188,522,000","206,736,000","203,422,000","211,914,000","206,357,000",,,,,,,,,,,,,,,,,,,,,
		PensionandOtherPostRetirementBenefitPlansCurrent,,,,,,,,,"344,992,000",,,,,,,,,,,,,,,,,,,,,,,
		CurrentDebtAndCapitalLeaseObligation,"95,448,000","43,411,000","158,042,000","8,375,000","328,442,000","1,245,320,000",,,,,"1,079,824,000","1,047,614,000",,,"14,000","14,000","9,008,000","6,956,000","168,079,000","525,407,000","13,000,000","15,200,000","16,700,000","15,700,000","2,200,000","2,100,000","3,400,000","32,600,000","300,000","500,000","300,000","19,700,000"
			CurrentDebt,,"43,411,000","158,042,000","8,375,000","328,442,000","1,245,320,000",,,,,"1,079,824,000","1,047,614,000",,,"14,000","14,000","9,008,000","6,956,000","168,079,000","525,407,000","13,000,000","15,200,000","16,700,000","15,700,000","2,200,000","2,100,000","3,400,000","32,600,000","300,000","500,000","300,000","19,700,000"
			CurrentCapitalLeaseObligation,"95,448,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDeferredLiabilities,"367,152,000","563,944,000","454,350,000","350,319,000","232,408,000","287,766,000","229,684,000","233,615,000",,,,,,,,,,,,,,,,,,,,,,,,
			CurrentDeferredTaxesLiabilities,,,,,"0","62,142,000",,,,,,,,,,,,,,,,,,,,,,,,,,
			CurrentDeferredRevenue,"367,152,000","563,944,000","454,350,000","350,319,000","232,408,000","225,624,000","229,684,000","233,615,000",,,,,,,,,,,,,,,,,,,,,,,,
		OtherCurrentLiabilities,"735,000,000",,,,,,,,,,,"75,376,000","364,479,000","40,259,000","125,503,000","4,991,000","23,456,000","673,153,000",,"642,481,000","239,100,000","150,300,000","110,900,000","142,100,000","96,500,000","84,100,000","148,000,000","20,000,000","12,400,000","19,900,000","18,300,000","26,900,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"18,022,014,000","16,792,033,000","14,420,081,000","15,910,568,000","15,212,800,000","15,666,312,000","16,019,234,000","16,243,051,000","16,139,290,000","14,716,279,000","16,264,177,000","16,297,779,000","14,942,296,000","16,648,589,000","15,929,780,000","7,415,348,000","7,410,863,000","7,090,773,000","7,098,833,000","7,118,951,000","1,436,800,000","620,000,000","115,300,000","123,500,000","578,300,000","500,000,000","512,700,000","479,800,000","7,300,000","93,100,000","4,200,000","26,100,000"
		LongTermDebtAndCapitalLeaseObligation,"15,446,874,000","15,088,005,000","12,751,052,000","12,979,220,000","12,368,311,000","12,913,882,000","13,447,230,000","13,589,283,000","13,637,194,000","12,246,946,000","13,232,874,000","12,416,552,000","11,175,229,000","12,994,869,000","12,355,433,000","5,458,848,000","5,521,890,000","5,213,778,000","5,295,313,000","5,355,412,000","1,323,900,000","537,600,000","51,700,000","78,300,000","561,500,000","485,600,000","495,500,000","473,200,000","400,000","83,200,000","200,000","24,400,000"
