name,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999
			OtherReceivables,"92,000,000",,,,"411,000,000",,,,"335,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,"126,000,000","132,000,000","96,000,000","150,000,000","198,000,000","279,000,000","247,000,000","134,000,000","168,000,000","146,000,000","100,000,000","123,000,000","181,000,000","157,000,000","113,000,000","85,000,000","120,000,000","105,000,000","90,000,000","107,000,000","137,000,000","202,000,000","193,000,000","135,000,000","159,000,000","143,900,000","107,200,000","95,200,000","108,096,000","140,719,000","102,227,000","2,451,000","22,783,000","18,426,000","17,202,000","30,430,000","26,099,000","25,651,000","28,948,000","21,350,000","13,493,000","14,873,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		PrepaidAssets,"25,000,000",,,,"16,000,000",,,,"17,000,000",,,,"16,000,000",,,,"21,000,000",,,,"18,000,000",,,,"15,000,000",,,,"10,514,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		HedgingAssetsCurrent,"40,000,000","48,000,000","20,000,000","11,000,000","54,000,000","5,000,000","4,000,000","12,000,000","4,000,000","6,000,000","9,000,000","6,000,000","9,000,000","13,000,000","15,000,000","13,000,000","14,000,000","11,000,000","20,000,000","38,000,000","51,000,000","5,000,000","7,000,000","9,000,000","4,000,000","5,200,000","4,900,000","1,500,000","7,528,000","21,885,000","37,770,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,328,000","4,643,000","3,168,000","3,181,000","2,896,000","125,397,000","2,022,000",,"90,519,000","53,927,000",,,,,,,,,,,,,,,,,,,,,,,,,"2,450,000","2,097,000","4,159,000","3,909,000","2,982,000","2,982,000","9,250,000","9,250,000","14,800,000","15,700,000","14,900,000","18,000,000","17,000,000",,,,,,
	TotalNonCurrentAssets,"32,166,000,000","26,897,000,000","26,592,000,000","26,306,000,000","25,651,000,000","25,132,000,000","25,044,000,000","24,906,000,000","24,544,000,000","15,645,000,000","15,383,000,000","14,997,000,000","14,341,000,000","13,999,000,000","13,605,000,000","12,645,000,000","12,260,000,000","11,855,000,000","11,400,000,000","11,108,000,000","10,574,000,000","9,258,000,000","8,983,000,000","8,769,000,000","8,494,000,000","8,242,400,000","8,047,400,000","7,880,100,000","7,801,847,000","7,721,664,000","7,649,671,000","3,193,137,000","3,163,509,000","3,018,613,000","2,859,622,000","2,806,319,000","2,549,438,000","2,429,230,000","2,408,168,000","2,428,127,000","2,430,461,000","2,383,065,000","2,374,167,000","2,054,128,000","2,039,431,000","2,044,311,000","2,055,661,000","1,973,480,000","1,893,895,000","1,811,865,000","1,776,003,000","1,698,380,000","1,629,396,000","1,584,331,000","1,578,217,000","1,559,174,000","1,528,107,000","1,514,359,000","1,501,772,000","1,512,892,000","1,522,468,000","1,528,738,000","1,540,322,000","1,549,487,000","1,537,512,000","1,510,546,000","1,503,312,000","1,240,250,000","1,221,011,000","1,219,479,000","1,235,339,000","1,245,862,000","1,259,559,000","1,019,208,000","1,035,266,000","1,053,704,000","1,072,386,000","1,092,035,000","632,231,000","644,549,000","499,977,000","506,612,000","510,410,000","519,264,000"
		NetPPE,"19,597,000,000","16,106,000,000","15,830,000,000","15,479,000,000","14,730,000,000","14,388,000,000","14,188,000,000","13,787,000,000","13,546,000,000","12,671,000,000","12,402,000,000","12,002,000,000","11,331,000,000","10,976,000,000","10,513,000,000","9,615,000,000","9,254,000,000","8,835,000,000","8,388,000,000","8,098,000,000","7,560,000,000","6,591,000,000","6,278,000,000","6,041,000,000","5,750,000,000","5,482,800,000","5,277,000,000","5,109,800,000","5,014,542,000","4,914,846,000","4,827,773,000","2,774,742,000","2,745,982,000","2,596,157,000","2,449,263,000","2,370,059,000","2,172,450,000","2,051,778,000","2,030,225,000","2,048,774,000","2,051,422,000","2,011,278,000","2,003,457,000","1,699,928,000","1,685,394,000","1,678,919,000","1,686,082,000","1,603,842,000","1,524,887,000","1,436,445,000","1,394,201,000","1,319,612,000","1,257,729,000","1,211,667,000","1,209,352,000","1,188,845,000","1,161,691,000","1,155,713,000","1,142,056,000","1,152,103,000","1,160,613,000","1,165,432,000","1,176,211,000","1,188,021,000","1,175,084,000","1,148,814,000","1,140,642,000","1,017,580,000","998,341,000","996,809,000","1,012,669,000","1,023,192,000","1,034,312,000","819,708,000","830,636,000","843,944,000","852,851,000","876,795,000","483,971,000","492,819,000","493,233,000","501,446,000","504,818,000","513,246,000"
			GrossPPE,"22,274,000,000","18,689,000,000","18,318,000,000","17,890,000,000","17,080,000,000","16,649,000,000","16,368,000,000","15,880,000,000","15,576,000,000","14,598,000,000","14,246,000,000","13,778,000,000","13,039,000,000","12,619,000,000","12,099,000,000","11,142,000,000","10,728,000,000","10,258,000,000","9,758,000,000","9,429,000,000","8,849,000,000","7,835,000,000","7,485,000,000","7,222,000,000","6,892,000,000","6,595,700,000","6,347,600,000","6,144,800,000","6,012,303,000","5,872,863,000","5,746,199,000","3,653,240,000","3,602,402,000","3,433,850,000","3,269,063,000","3,173,984,000","2,979,412,000","2,843,676,000","2,807,151,000","2,822,955,000","2,809,460,000","2,766,456,000","2,742,784,000","2,419,961,000","2,317,712,000","2,311,237,000","2,318,400,000","2,236,160,000","2,157,205,000","2,005,960,000","1,963,716,000","1,889,127,000","1,827,244,000","1,624,769,000","1,622,454,000","1,601,947,000","1,574,793,000","1,568,815,000","1,555,158,000","1,565,205,000","1,573,715,000","1,495,843,000","1,506,622,000","1,518,432,000","1,505,495,000","1,404,865,000","1,396,693,000","1,273,631,000","1,254,392,000","1,186,298,000","1,202,158,000","1,212,681,000","1,223,801,000","949,276,000","960,204,000","973,512,000","982,419,000","959,819,000","566,995,000","575,843,000","576,257,000","547,333,000","550,705,000","559,133,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2,674,100,000","2,686,738,000","0","0","0","0","0","1,561,343,000","1,481,330,000","1,460,063,000","1,155,526,000","1,438,137,000",,,,,,,,,,,,"1,827,244,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				LandAndImprovements,"456,000,000","362,000,000","357,000,000","347,000,000","340,000,000","335,000,000","338,000,000","337,000,000","329,000,000","272,000,000","272,000,000","218,000,000","218,000,000","208,000,000","149,000,000","149,000,000","149,000,000","148,000,000","148,000,000","148,000,000","148,000,000","110,000,000","110,000,000","106,000,000","106,000,000","97,800,000","97,500,000","88,000,000","88,004,000","86,218,000","80,336,000","62,220,000","67,219,000","62,222,000","62,206,000","62,297,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
