name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2000,12/31/1999
		LongTermDebtAndCapitalLeaseObligation,"3,800,000,000","2,668,000,000","3,127,000,000","3,678,654,000","764,115,000","763,997,000","763,879,000","763,761,000","764,563,000","764,482,000","515,400,000","510,319,000","511,414,000","260,156,000","265,689,000","296,889,000","509,089,000","491,677,000",,
			LongTermDebt,"3,445,000,000","2,668,000,000","3,127,000,000","3,678,654,000","764,115,000","763,997,000","763,879,000","763,761,000","764,563,000","764,482,000","515,400,000","510,319,000","511,414,000","260,156,000","265,689,000","296,889,000","509,089,000","491,677,000",,
			LongTermCapitalLeaseObligation,"355,000,000",,,,,,,,,,,,,,,,,,,
		NonCurrentDeferredLiabilities,"1,255,000,000","1,159,000,000","1,111,000,000","1,650,575,000","575,603,000","536,066,000","437,976,000","326,290,000","330,791,000","315,518,000","309,618,000","280,486,000","287,965,000","281,828,000","221,088,000","235,161,000","136,524,000","139,293,000",,
			NonCurrentDeferredTaxesLiabilities,"1,255,000,000","1,159,000,000","1,111,000,000","1,650,575,000","575,603,000","536,066,000","437,976,000","326,290,000","330,791,000","315,518,000","309,618,000","280,486,000","287,965,000","281,828,000","221,088,000","235,161,000","136,524,000","139,293,000",,
		EmployeeBenefits,"360,000,000","337,000,000","344,000,000","364,819,000",,,,,,,,,,,,,,,,
			NonCurrentPensionAndOtherPostretirementBenefitPlans,"360,000,000","337,000,000","344,000,000","364,819,000",,,,,,,,,,,,,,,,
		OtherNonCurrentLiabilities,"202,000,000","179,000,000","158,000,000","121,077,000","150,961,000","174,859,000","35,593,000","51,379,000","50,560,000","45,496,000","49,790,000","44,836,000","42,024,000","44,661,000","40,457,000","40,791,000","41,665,000","50,076,000",,
TotalEquityGrossMinorityInterest,"6,403,000,000","6,076,000,000","5,369,000,000","3,892,045,000","3,561,931,000","3,201,888,000","2,418,603,000","1,872,256,000","1,756,312,000","1,505,070,000","1,284,982,000","1,239,060,000","1,286,670,000","1,173,541,000","994,106,000","769,397,000","467,703,000","450,619,000","523,903,000","433,023,000"
	StockholdersEquity,"5,860,000,000","5,590,000,000","4,874,000,000","3,523,629,000","3,265,878,000","2,911,511,000","2,418,603,000","1,872,256,000","1,756,312,000","1,505,070,000","1,284,982,000","1,239,060,000","1,286,670,000","1,173,541,000","994,106,000","769,397,000","445,603,000","428,519,000","504,203,000","433,023,000"
		CapitalStock,"1,000,000","1,000,000","1,000,000","1,347,000","1,347,000","1,347,000","673,000","672,000","666,000","663,000","660,000","657,000","655,000","653,000","651,000","649,000","12,495,000","12,495,000",,
			PreferredStock,"0","0","0","0","0","0","0","0","0","0","0","0",,,,,"12,000,000","12,000,000",,
			CommonStock,"1,000,000","1,000,000","1,000,000","1,347,000","1,347,000","1,347,000","673,000","672,000","666,000","663,000","660,000","657,000","655,000","653,000","651,000","649,000","495,000","495,000",,
		AdditionalPaidInCapital,"553,000,000","556,000,000","555,000,000","550,641,000","542,148,000","530,441,000","512,105,000","496,254,000","467,796,000","452,703,000","442,469,000","435,581,000","431,197,000","427,893,000","424,537,000","420,124,000","205,011,000","205,011,000",,
		RetainedEarnings,"5,757,000,000","5,477,000,000","4,613,000,000","3,412,286,000","3,109,987,000","2,555,528,000","1,954,661,000","1,399,472,000","1,299,438,000","1,058,737,000","853,358,000","814,873,000","857,872,000","754,921,000","569,164,000","348,689,000","229,346,000","214,590,000",,
		TreasuryStock,"377,000,000","382,000,000","302,000,000","319,339,000","258,312,000","96,372,000","46,220,000","13,302,000","2,518,000",,,,,,,,,,,
		GainsLossesNotAffectingRetainedEarnings,"-74,000,000","-62,000,000","7,000,000","-121,306,000","-129,292,000","-79,433,000","-2,616,000","-10,840,000","-9,070,000","-7,033,000","-11,505,000","-12,051,000","-3,054,000","-9,926,000","-246,000","-65,000","-1,249,000","-3,577,000",,
			UnrealizedGainLoss,,,,,,,,,"1,185,000",,,,,,,,,,,
			ForeignCurrencyTranslationAdjustments,,,,,,,,,,"5,295,000","4,351,000","1,288,000","6,180,000","2,260,000","2,701,000","1,674,000","298,000","-1,571,000",,
			OtherEquityAdjustments,,,,,,,,,"-10,255,000","-12,328,000","-15,856,000","-13,339,000","-9,234,000","-12,186,000","-2,947,000","-1,739,000","-1,547,000","-2,006,000",,
	MinorityInterest,"543,000,000","486,000,000","495,000,000","368,416,000","296,053,000","290,377,000",,,,,,,,,,,"22,100,000","22,100,000","19,700,000",
TotalCapitalization,"9,305,000,000","8,258,000,000","8,001,000,000","7,202,283,000","4,029,993,000","3,675,508,000","3,182,482,000","2,636,017,000","2,520,875,000","2,269,552,000","1,800,382,000","1,749,379,000","1,798,084,000","1,433,697,000","1,259,795,000","1,066,286,000","954,692,000","920,196,000","504,203,000","433,023,000"
PreferredStockEquity,,,,,,,,,,,,,,,,,"12,000,000","12,000,000",,
CommonStockEquity,"5,860,000,000","5,590,000,000","4,874,000,000","3,523,629,000","3,265,878,000","2,911,511,000","2,418,603,000","1,872,256,000","1,756,312,000","1,505,070,000","1,284,982,000","1,239,060,000","1,286,670,000","1,173,541,000","994,106,000","769,397,000","433,603,000","416,519,000","504,203,000","433,023,000"
CapitalLeaseObligations,"355,000,000",,,,,,,,,,,,,,,,,,,
NetTangibleAssets,"4,076,000,000","3,929,000,000","3,085,000,000","1,789,622,000","3,052,474,000","2,693,080,000","2,259,557,000","1,823,964,000","1,707,249,000","1,452,967,000","1,228,445,000","1,177,914,000","1,221,995,000","1,098,469,000","994,106,000","769,397,000","445,603,000","428,519,000","504,203,000","433,023,000"
WorkingCapital,"1,501,000,000","1,659,000,000","1,496,000,000","1,225,233,000","1,652,547,000","1,474,107,000","1,244,224,000","1,352,903,000","1,391,561,000","1,152,382,000","701,812,000","586,701,000","650,923,000","527,875,000","597,014,000","421,723,000","197,715,000","158,993,000",,
InvestedCapital,"9,305,000,000","8,258,000,000","8,711,000,000","7,353,140,000","4,029,993,000","3,675,508,000","3,182,482,000","2,636,017,000","2,520,875,000","2,269,552,000","1,800,382,000","1,749,379,000","1,798,084,000","1,433,697,000","1,260,995,000","1,067,486,000","970,892,000","949,869,000","504,203,000","433,023,000"
TangibleBookValue,"4,076,000,000","3,929,000,000","3,085,000,000","1,789,622,000","3,052,474,000","2,693,080,000","2,259,557,000","1,823,964,000","1,707,249,000","1,452,967,000","1,228,445,000","1,177,914,000","1,221,995,000","1,098,469,000","994,106,000","769,397,000","433,603,000","416,519,000","504,203,000","433,023,000"
TotalDebt,"3,800,000,000","2,668,000,000","3,837,000,000","3,829,511,000","764,115,000","763,997,000","763,879,000","763,761,000","764,563,000","764,482,000","515,400,000","510,319,000","511,414,000","260,156,000","266,889,000","298,089,000","537,289,000","533,350,000",,
NetDebt,"2,717,000,000","1,915,000,000","2,306,000,000","3,370,058,000","101,590,000",,"302,578,000",,,"134,183,000","269,808,000","420,080,000","486,500,000","207,510,000","28,994,000","254,693,000","499,908,000","522,227,000",,
ShareIssued,"134,651,380","134,651,380","134,651,380","134,651,380","134,663,244","134,679,064","134,580,208","134,374,448","133,203,818","132,512,288","131,959,902","131,317,284","130,974,238","130,537,170","130,243,700","129,792,976","129,792,978","129,792,978","129,792,978","129,792,978"
OrdinarySharesNumber,"128,384,771","128,468,255","129,418,505","128,925,003","130,218,346","132,891,518","133,327,286","133,805,462","133,064,186","132,512,288","131,959,902","131,317,284","130,974,238","130,537,170","130,243,700","129,792,976","129,792,978","129,792,978","129,792,978","129,792,978"
TreasurySharesNumber,"6,266,609","6,183,125","5,232,875","5,726,377","4,444,898","1,787,546","1,252,922","568,986","139,632",,,,,,,,,,,
