name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987
	NetIncome,"321,186,000","382,723,000","360,418,000","255,439,000","207,127,000","206,340,000","199,752,000","179,549,000","173,697,000","151,379,000","74,315,000","-75,632,000","-321,830,000","96,773,000","133,790,000","185,855,000","153,833,000","163,248,000","152,732,000","133,188,000","118,291,000","95,350,000","70,500,000","33,800,000","25,600,000","18,300,000","16,500,000","17,000,000","5,700,000","3,400,000","-2,700,000","2,900,000","4,500,000","4,500,000"
		NetIncomeIncludingNoncontrollingInterests,"321,186,000","382,723,000","360,418,000","255,439,000","207,127,000","206,340,000","199,752,000","179,549,000","173,697,000","151,378,000","74,318,000","-75,610,000","-321,830,000","96,773,000","133,790,000","185,855,000","153,833,000","163,248,000","152,732,000","133,188,000","118,291,000","95,350,000","70,500,000","33,800,000","25,600,000","18,300,000","16,500,000","17,000,000","5,700,000","3,400,000","-2,700,000","2,900,000","4,500,000","4,500,000"
			NetIncomeContinuousOperations,"321,186,000","382,723,000","360,418,000","255,439,000","207,127,000","206,340,000","199,752,000","179,549,000","173,697,000","149,383,000","74,224,000","-75,912,000","-318,757,000","110,696,000","133,790,000","185,855,000","153,833,000","163,248,000","160,012,000","136,815,000","118,291,000","95,350,000","70,500,000","33,800,000","25,600,000","18,300,000","16,500,000","12,700,000","5,700,000","3,400,000","-2,700,000","2,900,000","4,500,000","4,500,000"
			NetIncomeDiscontinuousOperations,,,,,,,,"0","0","1,995,000","94,000","302,000","-3,073,000","-13,923,000",,,,,,,,,,,,,,,,,,,,
			NetIncomeExtraordinary,,,,,,,,,,,,,,,,,,,"-7,280,000","-3,627,000",,,,,,,,"4,300,000",,,,,,
		MinorityInterests,,,,,,,,"0","0","1,000","-3,000","-22,000",,,,,,,,,,,,,,,,,,,,,,
	PreferredStockDividends,"8,084,000","7,875,000","7,853,000","8,184,000","8,096,000","8,711,000","10,556,000","10,803,000","2,460,000","3,286,000","24,916,000","9,620,000","24,174,000",,,,,,,,,,,,"1,100,000","1,300,000","1,700,000","2,700,000","600,000",,,,,
DilutedNIAvailtoComStockholders,"311,457,000","372,985,000","351,703,000","246,831,000","198,423,000","196,969,000","188,522,000","168,129,000","171,237,000","148,093,000","49,399,000","-85,252,000","-333,917,000","96,773,000","133,790,000","185,855,000","153,833,000","163,248,000","152,732,000","133,188,000","118,291,000","95,350,000","70,500,000","33,800,000","24,500,000","17,000,000","14,800,000","14,300,000","5,100,000","3,400,000","-2,700,000","2,900,000","4,500,000","4,500,000"
BasicEPS,,"4.07","3.83","2.68","2.17","2.17","2.1","1.9","1.96","1.69","0.63","-1.4","-6.42","1.78","2.5","3.47","3.05","3.58","3.21","2.71","2.58","2.14","1.86","1.255","1.485","1.22","0.74","0.98","0.323","0.223","-0.164","0.168","0.255","0.25"
DilutedEPS,,"4.06","3.81","2.67","2.16","2.15","2.08","1.86","1.86","1.61","0.6","-2.14","-6.42","1.76","2.47","3.43","3","3.52","3.16","2.68","2.55","2.1","1.83","1.22","1.395","1.15","0.65","0.795","0.318","0.223","-0.164","0.168","0.255","0.25"
BasicAverageShares,,"91,642,506","91,828,460","92,101,119","91,439,171","91,073,272","90,093,333","88,813,684","87,365,816","87,628,994","78,175,000","60,943,000","52,020,000","54,469,000","53,435,000","53,577,000","50,506,000","45,542,000","47,584,000","49,146,863","45,849,225","44,556,075","37,903,226","26,932,271","23,899,982","13,934,426","10,964,000","7,200,000","7,068,000","6,986,000","6,984,000","7,758,000","8,190,000","8,190,000"
DilutedAverageShares,,"91,882,000","92,227,000","92,356,000","91,856,000","91,920,465","90,959,615","90,723,656","92,062,903","91,688,000","82,172,000","63,917,000","52,020,000","54,996,000","54,065,000","54,236,000","51,352,000","46,362,000","48,392,000","49,697,015","46,388,627","45,404,762","38,524,590","27,704,918","23,899,982","14,782,609","10,964,000","7,200,000","7,068,000","6,986,000","6,984,000","7,758,000","8,190,000","8,190,000"
InterestIncomeAfterProvisionForLoanLoss,"839,177,000","917,327,000","864,681,000","755,387,000","662,163,000","615,325,000","591,191,000","563,228,000","557,408,000","541,268,000","419,810,000","191,638,000","319,491,000","440,442,000","497,550,000","507,841,000","450,161,000","388,519,000","376,728,000","353,079,000","314,716,000","294,513,000","238,600,000","176,100,000","111,800,000","84,200,000","80,800,000","59,900,000","36,800,000","21,000,000","9,500,000","16,000,000",,
NetIncomeFromContinuingAndDiscontinuedOperation,"321,186,000","382,723,000","360,418,000","255,439,000","207,127,000","206,340,000","199,752,000","179,549,000","173,697,000","151,379,000","74,315,000","-75,632,000","-321,830,000","96,773,000","133,790,000","185,855,000","153,833,000","163,248,000","160,012,000","136,815,000","118,291,000","95,350,000","70,500,000","33,800,000","25,600,000","18,300,000","16,500,000","12,700,000","5,700,000","3,400,000","-2,700,000","2,900,000","4,500,000","4,500,000"
NormalizedIncome,"321,186,000","382,723,000","360,418,000","255,439,000","207,127,000","206,340,000","199,752,000","179,549,000","173,697,000","142,522,731.183","98,186,451.079","-79,829,450","29,106,901.726","130,294,930.925","165,700,362.92","177,980,745.307","144,643,672.672","150,135,495.021","156,040,029.695","134,976,825.184","112,380,037.482","92,386,893.932","68,476,956.522","33,800,000","25,600,000","18,300,000","16,500,000","12,280,000","5,700,000","3,400,000","-3,180,000","2,900,000","4,500,000","4,500,000"
ReconciledDepreciation,"3,847,000","37,507,000","38,750,000","37,172,000","36,449,000","34,678,000","30,585,000","97,414,000","108,539,000","83,154,000","89,475,000","65,875,000","56,945,000","61,804,000","56,053,000","53,694,000","52,769,000","53,522,000","44,414,000","51,024,000","48,148,000","38,058,000","32,800,000","17,400,000","16,100,000","6,100,000","10,600,000","6,200,000","1,200,000","1,000,000","1,200,000","1,000,000",,
NetIncomeFromContinuingOperationNetMinorityInterest,"321,186,000","382,723,000","360,418,000","255,439,000","207,127,000","206,340,000","199,752,000","179,549,000","173,697,000","149,384,000","74,221,000","-75,934,000","-318,757,000","110,696,000","133,790,000","185,855,000","153,833,000","163,248,000","160,012,000","136,815,000","118,291,000","95,350,000","70,500,000","33,800,000","25,600,000","18,300,000","16,500,000","12,700,000","5,700,000","3,400,000","-2,700,000","2,900,000","4,500,000","4,500,000"
TotalUnusualItemsExcludingGoodwill,,,,,,"-141,000","-540,000","0","0","9,523,000","-28,314,000","5,993,000","-419,716,000","-28,113,000","-46,050,000","11,573,000","13,305,000","19,520,000","5,808,000","2,771,000","8,815,000","4,434,000","3,300,000",,,,,"700,000",,,"800,000",,,
TotalUnusualItems,,,,,,"-141,000","-540,000","0","0","9,523,000","-28,314,000","5,993,000","-419,716,000","-28,113,000","-46,050,000","11,573,000","13,305,000","19,520,000","5,808,000","2,771,000","8,815,000","4,434,000","3,300,000",,,,,"700,000",,,"800,000",,,
TaxRateForCalcs,"0.217","0.214","0.184","0.278","0.317","0.313","0.314","0.299","0.301","0.28","0.154","0.35","0.171","0.303","0.307","0.32","0.309","0.328","0.316","0.337","0.329","0.332","0.387","0.368","0.362","0.309","0.183","0.4","0.4","0.382","0.4","0.4","0.4","0.4"
TaxEffectOfUnusualItems,"0","0","0","0","0","0","0","0","0","2,661,731.183","-4,348,548.921","2,097,550","-71,852,098.274","-8,514,069.075","-14,139,637.08","3,698,745.307","4,115,672.672","6,407,495.021","1,836,029.695","932,825.184","2,904,037.482","1,470,893.932","1,276,956.522","0","0","0","0","280,000","0","0","320,000","0","0","0"
