name,ttm,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013
TotalRevenue,"1,766,914,000","468,148,000","467,753,000","431,836,000","399,177,000","481,875,000","460,171,000","426,589,000","349,883,000","377,445,000","320,035,000","253,373,000","199,201,000","212,748,000","176,877,000","146,885,000","119,290,000","149,025,000","124,734,000","107,842,000","96,290,000","105,212,000","84,130,000","77,320,000","67,510,000","71,424,000","53,366,000","37,639,000","25,884,000"
	OperatingRevenue,"1,766,914,000","468,148,000","467,753,000","431,836,000","399,177,000","481,875,000","460,171,000","426,589,000","349,883,000","377,445,000","276,803,000","218,340,000","169,297,000","187,870,000","176,877,000","146,885,000","119,290,000","73,549,000","124,734,000","107,842,000","96,290,000","35,822,000","84,130,000","77,320,000","67,510,000","31,537,000","53,366,000","37,639,000","25,884,000"
CostOfRevenue,"328,826,000","90,566,000","73,471,000","81,972,000","82,817,000","82,940,000","70,016,000","61,790,000","62,902,000","72,005,000","62,428,000","50,372,000","46,450,000","49,454,000","44,494,000","40,657,000","36,626,000","42,105,000","37,241,000","33,689,000","28,925,000","25,786,000","20,670,000","19,700,000","17,443,000","16,242,000","14,524,000","17,438,000","11,687,000"
GrossProfit,"1,438,088,000","377,582,000","394,282,000","349,864,000","316,360,000","398,935,000","390,155,000","364,799,000","286,981,000","305,440,000","257,607,000","203,001,000","152,751,000","163,294,000","132,383,000","106,228,000","82,664,000","106,920,000","87,493,000","74,153,000","67,365,000","79,426,000","63,460,000","57,620,000","50,067,000","55,182,000","38,842,000","20,201,000","14,197,000"
OperatingExpense,"840,504,000","226,845,000","221,770,000","198,598,000","193,291,000","215,905,000","217,642,000","209,903,000","177,602,000","160,161,000","139,153,000","115,031,000","96,900,000","99,637,000","89,462,000","78,977,000","75,513,000","81,132,000","73,595,000","71,815,000","71,674,000","74,554,000","71,090,000","68,092,000","58,129,000","53,989,000","44,607,000","57,118,000","30,612,000"
	SellingGeneralAndAdministration,"556,060,000","151,658,000","152,734,000","128,230,000","123,438,000","153,390,000","151,420,000","149,290,000","117,079,000","102,257,000","88,383,000","69,503,000","57,709,000","59,768,000","49,788,000","41,366,000","38,579,000","44,518,000","36,102,000","36,806,000","37,346,000","41,442,000","39,333,000","35,937,000","29,321,000","27,858,000","19,978,000","27,561,000","10,189,000"
		GeneralAndAdministrativeExpense,"90,721,000","28,286,000","23,323,000","21,825,000","17,287,000","12,865,000","10,361,000","9,313,000","11,216,000","9,592,000","12,037,000","10,140,000","10,546,000","11,762,000","11,718,000","9,200,000","8,538,000","8,265,000","5,996,000","8,292,000","6,169,000","7,397,000","6,919,000","5,931,000","5,472,000","4,998,000","3,225,000","12,556,000","1,738,000"
			OtherGandA,"90,721,000","28,286,000","23,323,000","21,825,000","17,287,000","12,865,000","10,361,000","9,313,000","11,216,000","9,592,000","12,037,000","10,140,000","10,546,000","11,762,000","11,718,000","9,200,000","8,538,000","8,265,000","5,996,000","8,292,000","6,169,000","7,397,000","6,919,000","5,931,000","5,472,000","4,998,000","3,225,000","12,556,000","1,738,000"
		SellingAndMarketingExpense,"465,339,000","123,372,000","129,411,000","106,405,000","106,151,000","140,525,000","141,059,000","139,977,000","105,863,000","92,665,000","76,346,000","59,363,000","47,163,000","48,006,000","38,070,000","32,166,000","30,041,000","36,253,000","30,106,000","28,514,000","31,177,000","34,045,000","32,414,000","30,006,000","23,849,000","22,860,000","16,753,000","15,005,000","8,451,000"
	ResearchAndDevelopment,"284,444,000","75,187,000","69,036,000","70,368,000","69,853,000","62,515,000","66,222,000","60,613,000","60,523,000","57,904,000","50,770,000","45,528,000","39,191,000","39,869,000","39,674,000","37,611,000","36,934,000","36,614,000","37,493,000","35,009,000","34,328,000","33,112,000","31,757,000","32,155,000","28,808,000","26,131,000","24,629,000","29,557,000","20,423,000"
OperatingIncome,"597,584,000","150,737,000","172,512,000","151,266,000","123,069,000","183,030,000","172,513,000","154,896,000","109,379,000","145,279,000","118,454,000","87,970,000","55,851,000","63,657,000","42,921,000","27,251,000","7,151,000","25,788,000","13,898,000","2,338,000","-4,309,000","4,872,000","-7,630,000","-10,472,000","-8,062,000","1,193,000","-5,765,000","-36,917,000","-16,415,000"
NetNonOperatingInterestIncomeExpense,"55,490,000","22,045,000","4,665,000","17,999,000","12,331,000","11,038,000","11,218,000","12,481,000","9,128,000","4,363,000","4,937,000","2,558,000","2,222,000","2,885,000","1,911,000","2,411,000","1,420,000","1,449,000","1,818,000","1,621,000","1,459,000","3,017,000","1,943,000","1,501,000","297,000","361,000","-139,000","-1,173,000","-1,933,000"
