name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993
TaxProvision,"69,089,000","88,161,000","144,826,000","431,817,000","96,263,000","29,122,000","18,484,000","136,322,000","82,533,000","-130,014,000","92,719,000","-7,028,000","-6,539,000","55,078,000","2,192,000","27,593,000","17,005,000","13,890,000","29,068,000","29,029,000","45,725,000","39,909,000","38,066,000","40,923,000","97,020,000","53,400,000","38,100,000","20,700,000"
EarningsFromEquityInterestNetOfTax,"120,991,000","129,568,000","89,264,000","84,487,000","59,637,000","30,999,000","35,742,000","31,729,000","38,067,000","43,754,000","37,975,000","22,322,000",,,,,,,,,,,,,,,,
NetIncomeCommonStockholders,"506,863,000","533,228,000","693,562,000","54,850,000","643,675,000","334,906,000","133,316,000","413,171,000","311,536,000","436,280,000","323,720,000","178,368,000","194,202,000","229,690,000","142,969,000","114,867,000","54,839,000","71,945,000","74,745,000","68,167,000","101,776,000","88,829,000","84,732,000","79,982,000","156,059,000","78,200,000","51,300,000","21,800,000"
	NetIncome,"506,863,000","533,228,000","693,562,000","54,850,000","643,675,000","334,906,000","133,316,000","413,171,000","311,536,000","436,280,000","323,720,000","178,368,000","194,202,000","229,690,000","142,969,000","114,867,000","54,839,000","71,945,000","74,745,000","68,167,000","101,776,000","88,829,000","84,732,000","79,982,000","156,059,000","78,200,000","51,300,000","21,800,000"
		NetIncomeIncludingNoncontrollingInterests,"576,466,000","604,357,000","739,139,000","99,468,000","680,769,000","360,064,000","160,906,000","439,834,000","330,127,000","464,363,000","337,359,000","189,623,000","213,008,000","247,322,000","156,227,000","122,336,000","54,839,000","71,945,000","74,745,000","68,167,000","101,776,000","88,829,000","84,732,000","79,982,000","156,059,000","78,200,000","51,300,000","21,800,000"
			NetIncomeContinuousOperations,"576,466,000","604,357,000","739,139,000","99,468,000","478,638,000","360,064,000","230,437,000","439,834,000","330,127,000","464,363,000","337,359,000","189,623,000","213,008,000","229,690,000","142,969,000","114,867,000","54,839,000","74,165,000","74,745,000","68,167,000","101,776,000","88,829,000","84,732,000","79,982,000","156,059,000","78,200,000","51,300,000","21,800,000"
			NetIncomeDiscontinuousOperations,,,"0","0","202,131,000","0","-69,531,000",,,,,,,,,,,,,,,,,,,,,
			NetIncomeExtraordinary,,,,,,,,,,,,,,,,,,"-2,220,000",,,,,,,,,,
		MinorityInterests,"-69,603,000","-71,129,000","-45,577,000","-44,618,000","-37,094,000","-25,158,000","-27,590,000","-26,663,000","-18,591,000","-28,083,000","-13,639,000","-11,255,000","-18,806,000","-17,632,000","-13,258,000","-7,469,000",,,,,,,,,,,,
DilutedNIAvailtoComStockholders,"506,863,000","533,228,000","693,562,000","54,850,000","643,675,000","334,906,000","133,316,000","413,171,000","311,536,000","436,280,000","323,720,000","178,368,000","194,202,000","229,690,000","142,969,000","114,867,000","54,839,000","71,945,000","74,745,000","68,167,000","101,776,000","88,829,000","84,732,000","79,982,000","156,059,000","78,200,000","51,300,000","21,800,000"
