name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,09/30/2014,09/30/2013,09/30/2012,09/30/2011,09/30/2010,09/30/2009,09/30/2008,09/30/2007,09/30/2006,09/30/2005,09/30/2004,09/30/2003,09/30/2002,09/30/2001,09/30/2000,09/30/1999,09/30/1998
BasicEPS,,"2.04","1.96","0.58","1.07","0.6",,"0.34","0.58","0.52","0.31","0.54","0.67","0.61","0.48","0.49","0.49","0.3","0.329","0.28","0.221","0.171","0.09","0.116"
DilutedEPS,,"2.03","1.95","0.58","1.07","0.6",,"0.34","0.58","0.52","0.31","0.54","0.67","0.61","0.48","0.49","0.49","0.29","0.325","0.275","0.219","0.171","0.09","0.116"
BasicAverageShares,,"205,679,874","224,299,488","157,513,639","130,607,994","109,907,645",,"80,268,970","43,722,313","38,227,653","37,452,596","38,161,180","38,537,881","38,907,372","40,889,583","41,214,286","43,351,020","36,723,333","34,153,721","34,051,342","33,836,963","34,243,032","43,212,000","36,696,960"
DilutedAverageShares,,"206,131,628","224,816,996","158,124,270","131,234,462","110,329,353",,"80,534,043","43,760,313","38,248,046","37,453,542","38,185,122","38,705,837","39,226,641","40,889,583","41,214,286","43,351,020","37,989,655","34,628,078","34,609,561","34,185,798","34,243,032","43,212,000","36,696,960"
InterestIncomeAfterProvisionForLoanLoss,"721,124,000","872,938,000","921,403,000","550,143,000","384,269,000","295,516,000","213,249,000","198,888,000","100,017,000","85,852,000","74,706,000","83,334,000","76,270,000","88,140,000","82,938,000","83,557,000","85,120,000","60,726,000","44,830,000","41,850,000","33,294,000","31,155,000","29,100,000","25,331,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"339,751,000","427,041,000","447,254,000","93,031,000","139,972,000","66,114,000","58,684,000","27,678,000","25,254,000","19,888,000","11,739,000","20,492,000","25,861,000","23,778,000","19,627,000","20,195,000","21,242,000","11,017,000","11,251,000","9,527,000","7,482,000","5,872,000","3,900,000","4,242,000"
NormalizedIncome,"355,658,459.234","445,098,739","448,170,400","179,636,200","149,745,325","97,248,375","61,672,730.738","51,417,492","27,163,908","24,493,690.329","14,546,643.407","20,532,437.347","25,489,978.327","23,778,000","19,627,000","20,195,000","21,843,003.39","14,736,166.78","10,550,170.446","9,862,244.334","7,482,000","5,872,000","3,900,000","4,242,000"
ReconciledDepreciation,"38,525,000","39,107,000","43,995,000","24,678,000","20,791,000","17,519,000","15,752,000","15,915,000","5,539,000","5,991,000","7,603,000","6,993,000","6,860,000","7,168,000","8,435,000","10,294,000","11,564,000","7,105,000","3,691,000","2,545,000","2,209,000","3,335,000","3,400,000","1,390,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"339,751,000","427,041,000","447,254,000","93,031,000","139,972,000","66,114,000","58,684,000","27,678,000","25,254,000","19,888,000","11,739,000","20,492,000","25,861,000","23,778,000","19,627,000","20,195,000","21,242,000","11,017,000","11,251,000","9,527,000","7,482,000","5,872,000","3,900,000","4,242,000"
TotalUnusualItemsExcludingGoodwill,"-19,485,000","-22,829,000","-1,160,000","-144,342,000","-14,479,000","-46,125,000","-4,286,000","-32,431,000","-2,772,000","-6,032,000","-3,479,000","-54,000","517,000",,,,"-918,000","-5,453,000","1,096,000","-531,000",,,,
TotalUnusualItems,"-19,485,000","-22,829,000","-1,160,000","-144,342,000","-14,479,000","-46,125,000","-4,286,000","-32,431,000","-2,772,000","-6,032,000","-3,479,000","-54,000","517,000",,,,"-918,000","-5,453,000","1,096,000","-531,000",,,,
TaxRateForCalcs,"0.184","0.209","0.21","0.4","0.325","0.325","0.303","0.268","0.311","0.236","0.193","0.251","0.282","0.294","0.304","0.314","0.345","0.318","0.361","0.369","0.353","0.328","0.339","0.356"
TaxEffectOfUnusualItems,"-3,577,540.766","-4,771,261","-243,600","-57,736,800","-4,705,675","-14,990,625","-1,297,269.262","-8,691,508","-862,092","-1,426,309.671","-671,356.593","-13,562.653","145,978.327","0","0","0","-316,996.61","-1,733,833.22","395,170.446","-195,755.666","0","0","0","0"
