name,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995
TotalAssets,"12,277,400,000","12,490,500,000","12,627,200,000","12,159,900,000","11,983,400,000","12,399,700,000","15,624,300,000","15,403,600,000","15,334,200,000","15,469,600,000","15,389,300,000","14,792,700,000","14,490,800,000","14,220,400,000","14,363,700,000","14,163,600,000","14,027,700,000","13,790,900,000","14,041,000,000","14,144,700,000","13,925,600,000","13,759,700,000","13,960,200,000","13,964,800,000","13,643,000,000","13,378,700,000","13,463,300,000","13,306,400,000","13,442,100,000","13,484,900,000","13,330,100,000","13,118,700,000","12,913,400,000","12,624,400,000","12,684,500,000","8,981,300,000","8,514,900,000","8,569,900,000","8,596,700,000","8,373,400,000","8,068,500,000","8,042,700,000","8,088,600,000","7,747,700,000","7,698,100,000","9,230,200,000","9,254,800,000","9,463,800,000","9,700,600,000","9,815,600,000","9,845,200,000","9,805,700,000","9,776,200,000","9,856,600,000","9,844,000,000","9,689,100,000","10,156,800,000","10,634,000,000","21,647,100,000","21,846,600,000","22,167,800,000","23,719,200,000","23,107,000,000","23,664,200,000","24,380,400,000","25,112,500,000","25,008,000,000","25,173,200,000","24,372,800,000","26,578,900,000","27,528,600,000","29,157,300,000","30,292,200,000","30,336,100,000","28,913,800,000","31,437,500,000","30,556,400,000","31,588,000,000","32,634,800,000","32,088,600,000","31,854,100,000","30,769,600,000","29,080,000,000","29,826,400,000","28,461,200,000","27,607,900,000","25,244,600,000","25,816,400,000","24,511,800,000","22,549,000,000","21,967,200,000","20,963,500,000","19,625,600,000","18,997,700,000","18,728,900,000","18,506,100,000","18,162,700,000","17,757,700,000"
TotalLiabilitiesNetMinorityInterest,"9,540,800,000","9,574,300,000","9,540,400,000","9,218,800,000","9,056,400,000","9,445,000,000","12,641,900,000","12,463,800,000","12,421,100,000","12,471,900,000","12,417,300,000","11,820,200,000","11,577,300,000","11,362,900,000","11,318,000,000","11,153,900,000","11,070,700,000","10,946,500,000","11,163,500,000","11,236,200,000","11,025,700,000","10,915,700,000","11,188,300,000","11,169,700,000","10,961,900,000","10,784,200,000","10,919,100,000","10,810,700,000","10,818,100,000","10,889,500,000","10,630,700,000","10,501,200,000","10,334,400,000","10,114,600,000","10,229,600,000","6,496,300,000","6,026,200,000","6,109,400,000","6,117,900,000","6,021,800,000","5,766,300,000","5,684,100,000","5,681,500,000","5,526,600,000","5,730,500,000","7,343,000,000","7,214,700,000","7,251,100,000","7,379,900,000","7,516,600,000","7,652,600,000","7,706,300,000","7,675,500,000","7,857,400,000","7,934,700,000","7,919,100,000","8,313,800,000","8,682,700,000","19,779,400,000","19,356,100,000","19,842,600,000","21,379,700,000","20,812,800,000","21,457,000,000","22,091,100,000","22,892,300,000","22,811,400,000","22,647,600,000","21,956,900,000","24,206,700,000","25,123,200,000","26,465,600,000","27,607,400,000","27,645,000,000","26,084,000,000","28,634,800,000","27,753,900,000","28,878,900,000","29,977,500,000","29,500,000,000","29,286,400,000","28,229,400,000","26,580,300,000","27,277,700,000","25,773,700,000","24,849,300,000","22,310,600,000","22,814,800,000","21,583,600,000","19,714,800,000","19,257,600,000","18,050,300,000","16,871,200,000","16,489,000,000","16,344,500,000","16,218,800,000","15,872,300,000","15,425,000,000"
TotalEquityGrossMinorityInterest,"2,736,600,000","2,916,200,000","3,086,800,000","2,941,100,000","2,927,000,000","2,954,700,000","2,982,400,000","2,939,800,000","2,913,100,000","2,997,700,000","2,972,000,000","2,972,500,000","2,913,500,000","2,857,500,000","3,045,700,000","3,009,700,000","2,957,000,000","2,844,400,000","2,877,500,000","2,908,500,000","2,899,900,000","2,844,000,000","2,771,900,000","2,795,100,000","2,681,100,000","2,594,500,000","2,544,200,000","2,495,700,000","2,624,000,000","2,595,400,000","2,699,400,000","2,617,500,000","2,579,000,000","2,509,800,000","2,454,900,000","2,485,000,000","2,488,700,000","2,460,500,000","2,478,800,000","2,351,600,000","2,302,200,000","2,358,600,000","2,407,100,000","2,221,100,000","1,967,600,000","1,887,200,000","2,040,100,000","2,212,700,000","2,320,700,000","2,299,000,000","2,192,600,000","2,099,400,000","2,100,700,000","1,999,200,000","1,909,300,000","1,770,000,000","1,843,000,000","1,951,300,000","1,867,700,000","2,490,500,000","2,325,200,000","2,339,500,000","2,294,200,000","2,207,200,000","2,289,300,000","2,220,200,000","2,196,600,000","2,525,600,000","2,415,900,000","2,372,200,000","2,405,400,000","2,691,700,000","2,684,800,000","2,691,100,000","2,829,800,000","2,802,700,000","2,802,500,000","2,709,100,000","2,657,300,000","2,588,600,000","2,567,700,000","2,540,200,000","2,499,700,000","2,548,700,000","2,687,500,000","2,758,600,000","2,934,000,000","3,001,600,000","2,928,200,000","2,834,200,000","2,709,600,000","2,913,200,000","2,754,400,000","2,508,700,000","2,384,400,000","2,287,300,000","2,290,400,000","2,332,700,000"
	StockholdersEquity,"2,736,600,000","2,916,200,000","3,086,800,000","2,941,100,000","2,927,000,000","2,954,700,000","2,982,400,000","2,939,800,000","2,913,100,000","2,997,700,000","2,972,000,000","2,972,500,000","2,913,500,000","2,857,500,000","3,045,700,000","3,009,700,000","2,957,000,000","2,844,400,000","2,877,500,000","2,908,500,000","2,899,900,000","2,844,000,000","2,771,900,000","2,795,100,000","2,681,100,000","2,594,500,000","2,544,200,000","2,495,700,000","2,624,000,000","2,595,400,000","2,699,400,000","2,617,500,000","2,579,000,000","2,509,800,000","2,454,900,000","2,485,000,000","2,488,700,000","2,460,500,000","2,478,800,000","2,351,600,000","2,302,200,000","2,358,600,000","2,407,100,000","2,221,100,000","1,967,600,000","1,887,200,000","2,040,100,000","2,212,700,000","2,320,700,000","2,299,000,000","2,192,600,000","2,099,400,000","2,100,700,000","1,999,200,000","1,909,300,000","1,770,000,000","1,843,000,000","1,951,300,000","1,867,700,000","2,490,500,000","2,325,200,000","2,339,500,000","2,294,200,000","2,207,200,000","2,289,300,000","2,220,200,000","2,196,600,000","2,225,600,000","2,115,900,000","2,072,200,000","2,105,400,000","2,391,700,000","2,384,800,000","2,391,100,000","2,529,800,000","2,502,700,000","2,502,500,000","2,409,100,000","2,357,300,000","2,288,600,000","2,267,700,000","2,240,200,000","2,199,700,000","2,248,700,000","2,387,500,000","2,458,600,000","2,480,300,000","2,539,400,000","2,468,800,000","2,381,300,000","2,263,400,000","1,782,500,000","1,672,000,000","1,724,700,000","1,633,000,000","1,563,500,000","1,555,900,000","1,574,200,000"
		CapitalStock,"600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","500,000","500,000","500,000","500,000","500,000","500,000",
			PreferredStock,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0","0",,,,"0",,,,"0",,,,"0",,,,
			CommonStock,"600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","500,000","500,000","500,000","500,000","500,000","500,000",
		AdditionalPaidInCapital,"1,861,600,000","1,837,300,000","1,837,000,000","1,833,100,000","1,821,700,000","1,871,800,000","1,868,900,000","1,864,200,000","1,858,300,000","1,857,000,000","1,856,400,000","1,852,000,000","1,847,200,000","1,846,700,000","1,838,900,000","1,835,200,000","1,829,700,000","1,833,500,000","1,833,500,000","1,830,300,000","1,828,100,000","1,830,700,000","1,827,400,000","1,824,500,000","1,821,400,000","1,830,100,000","1,829,600,000","1,793,100,000","1,785,300,000","1,787,100,000","1,785,000,000","1,782,200,000","1,780,100,000","1,784,800,000","1,785,200,000","1,782,500,000","1,780,000,000","1,796,500,000","1,798,600,000","1,796,700,000","1,799,100,000","1,808,500,000","1,807,800,000","1,805,100,000","1,802,800,000","1,803,800,000","1,801,500,000","1,800,200,000","1,798,400,000","1,822,600,000","1,818,400,000","1,814,800,000","1,814,700,000","1,814,300,000","1,809,000,000","1,804,500,000","1,798,000,000","1,785,100,000","1,784,300,000","1,783,500,000","1,782,900,000","1,782,100,000","1,782,000,000","1,769,600,000","1,770,500,000","1,775,600,000","1,774,200,000","1,773,400,000","1,768,500,000","1,768,400,000","1,762,300,000","1,759,100,000","1,756,900,000","1,758,400,000","1,756,000,000","1,763,500,000","1,761,100,000","1,765,300,000","1,764,100,000","1,762,300,000","1,761,500,000","1,770,500,000","1,772,900,000","1,771,100,000","1,770,200,000","1,768,800,000","1,767,600,000","1,766,300,000","1,763,400,000","1,755,000,000","1,754,700,000","1,381,900,000","1,378,800,000","1,382,500,000","1,382,500,000","1,382,500,000","1,382,500,000",
		RetainedEarnings,"2,344,900,000","2,410,900,000","2,423,100,000","2,328,100,000","2,278,700,000","2,182,300,000","2,277,600,000","2,200,400,000","2,124,100,000","1,975,000,000","1,946,500,000","1,956,600,000","1,899,400,000","1,875,600,000","1,910,400,000","1,841,500,000","1,860,400,000","1,803,500,000","1,749,800,000","1,690,100,000","1,588,400,000","1,558,700,000","1,489,200,000","1,451,700,000","1,387,400,000","1,349,100,000","1,295,200,000","1,282,400,000","1,252,800,000","1,211,600,000","1,282,100,000","1,255,400,000","1,248,800,000","1,237,100,000","1,200,700,000","1,222,900,000","1,267,400,000","1,246,800,000","1,201,300,000","1,163,000,000","1,173,800,000","1,141,100,000","1,121,400,000","1,073,300,000","976,300,000","949,800,000","938,700,000","1,001,700,000","1,012,600,000","946,900,000","892,800,000","839,100,000","782,800,000","712,000,000","685,400,000","652,700,000","605,000,000","589,800,000","486,200,000","1,056,000,000","984,900,000","943,400,000","882,100,000","877,600,000","845,200,000","833,100,000","819,100,000","807,700,000","783,300,000","746,200,000","731,300,000","1,044,700,000","1,100,200,000","1,052,300,000","1,136,300,000","1,105,100,000","1,091,900,000","1,068,700,000","1,009,100,000","960,000,000","912,400,000","882,200,000","813,800,000","814,200,000","754,000,000","599,900,000","534,000,000","528,900,000","471,500,000","407,800,000","316,300,000","258,600,000","223,500,000","210,100,000","167,300,000","123,100,000","83,000,000","38,200,000"
		TreasuryStock,"1,541,100,000","1,485,200,000","1,327,400,000","1,328,900,000","1,177,800,000","983,500,000","973,900,000","956,300,000","949,500,000","942,500,000","945,500,000","943,600,000","922,900,000","928,200,000","931,200,000","897,000,000","885,100,000","847,100,000","810,400,000","752,500,000","744,100,000","752,400,000","759,400,000","748,800,000","756,400,000","762,900,000","769,000,000","770,100,000","737,800,000","729,700,000","732,300,000","723,800,000","715,600,000","723,100,000","723,100,000","703,500,000","704,300,000","720,100,000","724,900,000","734,900,000","739,100,000","620,400,000","511,900,000","484,900,000","479,000,000","482,200,000","482,800,000","489,400,000","467,200,000","450,700,000","452,500,000","453,500,000","476,300,000","487,800,000","498,200,000","499,800,000","434,400,000","364,700,000","368,000,000","381,200,000","382,500,000","389,600,000","392,300,000","393,400,000","394,200,000","405,200,000","403,700,000","403,400,000","397,900,000","405,600,000","400,300,000","399,100,000","402,000,000","406,500,000","407,800,000","412,100,000","414,900,000","420,300,000","380,200,000","370,600,000","357,400,000","337,800,000","339,000,000","339,500,000","212,600,000","91,200,000",,,,,,,,,,,,
