name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996
TotalAssets,"13,672,600,000","10,025,500,000","8,014,500,000","7,629,400,000","6,205,159,000","5,075,336,000","4,597,353,000","4,351,499,000","3,932,636,000","3,349,861,000","3,096,933,000","3,077,025,000","2,291,874,000","1,729,948,000","1,144,769,000","1,012,377,000","942,940,000","852,516,000","835,727,000","914,045,000","924,800,000","490,921,000","219,887,000","156,614,000"
	CurrentAssets,"5,868,600,000","5,206,000,000","3,354,900,000","3,299,700,000","2,650,807,000","2,118,176,000","1,724,228,000","1,515,529,000","1,300,884,000","1,194,841,000","939,918,000","999,768,000","1,070,976,000","807,445,000","531,098,000","436,257,000","372,940,000","306,305,000","286,513,000","321,061,000","348,682,000","166,444,000","127,779,000","98,723,000"
		CashCashEquivalentsAndShortTermInvestments,"451,900,000","480,900,000","268,000,000","258,500,000","216,583,000","250,413,000","152,726,000","152,159,000","184,454,000","251,897,000","69,263,000","45,893,000","78,580,000","50,612,000","28,658,000","30,143,000","63,105,000","13,654,000","10,446,000","18,843,000","23,308,000","16,941,000","30,660,000","7,207,000"
			CashAndCashEquivalents,"451,900,000","480,900,000","268,000,000","258,500,000","216,583,000","250,413,000","152,726,000","152,159,000","184,454,000","251,897,000","69,263,000","45,893,000","78,580,000","50,612,000","28,658,000","30,143,000","63,105,000","13,654,000","10,446,000","18,843,000","23,308,000","16,941,000","30,660,000","7,207,000"
		Receivables,"5,038,800,000","4,403,400,000","2,829,200,000","2,798,100,000","2,124,192,000","1,639,724,000","1,332,033,000","1,242,890,000","1,005,087,000","797,860,000","743,977,000","808,440,000","887,560,000","660,200,000","430,318,000","343,219,000","265,141,000","239,367,000","235,990,000","256,118,000","296,657,000","137,392,000","89,960,000","90,288,000"
			AccountsReceivable,"2,034,300,000","1,854,000,000","2,118,100,000","1,870,600,000","1,591,674,000","1,375,035,000","1,237,514,000","996,681,000","907,772,000","721,486,000","669,993,000","718,804,000","834,865,000","630,121,000","415,087,000","328,876,000","253,126,000","227,579,000","222,590,000","244,201,000","270,593,000","116,965,000","81,648,000","87,283,000"
				GrossAccountsReceivable,"2,102,400,000","1,906,000,000","2,169,400,000","1,907,700,000","1,614,860,000","1,392,896,000","1,256,297,000","1,016,207,000",,,,,,,,,,,"228,895,000","253,462,000","280,464,000","120,943,000",,
				AllowanceForDoubtfulAccountsReceivable,"-68,100,000","-52,000,000","-51,300,000","-37,100,000","-23,186,000","-17,861,000","-18,783,000","-19,526,000",,,,,,,,,,,"-6,305,000","-9,261,000","-9,871,000","-3,978,000",,
			LoansReceivable,"527,100,000","331,200,000","317,500,000","600,800,000","265,211,000","83,312,000","0","144,257,000",,,,,,,,,,,,,,,,
			NotesReceivable,"472,800,000","363,000,000","393,600,000","326,700,000","267,307,000","181,377,000","94,519,000","101,952,000","97,315,000","76,374,000","73,984,000","89,636,000","52,695,000","30,079,000","15,231,000","2,911,000","3,698,000","4,165,000","3,847,000","4,286,000","4,519,000","17,042,000",,
