name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004
TotalRevenue,"928,258,000","248,335,000","239,177,000","226,193,000","214,553,000","210,500,000","199,746,000","199,117,000","199,775,000","202,700,000","188,598,000","186,525,000","180,123,000","159,400,000","145,436,000","149,759,000","147,980,000","142,600,000","144,360,000","141,039,000","134,132,000","132,900,000","135,955,000","134,075,000","131,004,000","130,300,000","127,143,000","123,079,000","122,146,000","119,200,000","120,171,000","113,076,000","107,814,000","113,300,000","117,228,000","117,898,000","125,663,000","159,477,000","152,651,000","154,159,000","149,964,000","143,605,000","149,114,000","153,047,000","136,695,000","132,513,000","134,010,000","149,797,000","122,944,000","116,121,000","115,645,000","115,578,000","112,523,000","110,671,000","101,999,000","86,590,000","53,026,000","50,702,000","50,703,000","50,702,000","50,702,000","40,543,000","40,544,000","40,543,000","40,543,000"
	OperatingRevenue,"928,258,000","248,335,000","239,177,000","226,193,000","214,553,000","210,500,000","199,746,000","199,117,000","199,775,000","202,700,000","188,598,000","186,525,000","180,123,000","159,400,000","145,436,000","149,759,000","147,980,000","142,600,000","144,360,000","141,039,000","134,132,000","132,900,000","135,955,000","134,075,000","131,004,000","130,300,000","127,143,000","123,079,000","122,146,000","119,200,000","120,171,000","113,076,000","107,814,000","113,300,000","117,228,000","117,898,000","125,663,000","159,477,000","152,651,000","154,159,000","149,964,000","143,605,000","149,114,000","153,047,000","136,695,000","132,513,000","134,010,000","149,797,000","122,944,000","116,121,000","115,645,000","115,578,000","112,523,000","110,671,000","101,999,000","86,590,000","53,026,000","50,702,000","50,703,000","50,702,000","50,702,000","40,543,000","40,544,000","40,543,000","40,543,000"
CostOfRevenue,"583,920,000","158,356,000","149,961,000","142,138,000","133,465,000","131,100,000","125,205,000","129,013,000","132,892,000","128,400,000","124,450,000","125,525,000","124,747,000","107,400,000","97,535,000","99,695,000","98,684,000","92,200,000","93,818,000","90,493,000","88,800,000","86,800,000","85,113,000","84,545,000","86,239,000","81,900,000","81,669,000","79,689,000","84,397,000","81,400,000","80,829,000","75,325,000","73,438,000","78,200,000","82,098,000","85,231,000","95,410,000","126,110,000","121,520,000","120,990,000","123,227,000","109,644,000","113,956,000","116,139,000","99,509,000","99,887,000","97,030,000","114,912,000","98,487,000","88,786,000","91,862,000","92,468,000","90,206,000","85,157,000","81,250,000","67,337,000","37,430,000",,,,,,,,
GrossProfit,"344,338,000","89,979,000","89,216,000","84,055,000","81,088,000","79,400,000","74,541,000","70,104,000","66,883,000","74,300,000","64,148,000","61,000,000","55,376,000","52,000,000","47,901,000","50,064,000","49,296,000","50,400,000","50,542,000","50,546,000","45,332,000","46,000,000","50,842,000","49,530,000","44,765,000","48,300,000","45,474,000","43,390,000","37,749,000","37,800,000","39,342,000","37,751,000","34,376,000","35,100,000","35,130,000","32,667,000","30,253,000","33,367,000","31,131,000","33,169,000","26,737,000","33,961,000","35,158,000","36,908,000","37,186,000","32,626,000","36,980,000","34,885,000","24,457,000","27,335,000","23,783,000","23,110,000","22,317,000","25,514,000","20,749,000","19,253,000","15,596,000",,,,,,,,
OperatingExpense,"197,047,000","51,429,000","50,463,000","48,833,000","46,322,000","46,500,000","43,021,000","43,191,000","42,884,000","46,300,000","42,831,000","45,302,000","40,432,000","39,200,000","33,462,000","37,330,000","34,886,000","34,400,000","33,985,000","34,877,000","31,650,000","31,400,000","32,542,000","31,315,000","29,965,000","29,600,000","27,821,000","27,884,000","29,030,000","28,700,000","29,428,000","28,904,000","26,696,000","26,400,000","25,972,000","27,654,000","25,893,000","29,064,000","28,153,000","27,576,000","27,560,000","30,836,000","28,672,000","30,179,000","28,966,000","25,131,000","26,321,000","29,316,000","19,664,000","22,081,000","18,674,000","34,726,000","15,551,000","16,736,000","14,463,000","12,556,000","10,601,000",,,,,,,,
	SellingGeneralAndAdministration,"181,394,000","47,599,000","46,500,000","44,910,000","42,385,000","42,600,000","39,076,000","39,147,000","39,006,000","42,300,000","38,904,000","41,606,000","36,509,000","36,300,000","29,333,000","30,174,000","28,561,000","28,200,000","27,646,000","28,411,000","25,478,000","25,400,000","26,516,000","25,267,000","23,865,000","23,700,000","21,998,000","22,071,000","22,823,000","22,000,000","22,854,000","22,399,000","20,097,000","19,300,000","18,967,000","20,106,000","19,378,000","21,107,000","20,202,000","19,654,000","19,580,000","22,783,000","20,584,000","22,098,000","20,766,000","17,119,000","18,902,000","21,304,000","18,195,000","21,417,000","17,777,000","18,782,000","14,722,000","16,281,000","13,973,000","12,076,000","10,130,000",,,,,,,,
		GeneralAndAdministrativeExpense,"128,592,000","32,411,000","33,529,000","32,691,000","29,961,000","31,300,000","28,171,000","27,868,000","27,897,000","30,500,000","28,345,000","31,265,000","27,484,000","27,300,000","21,465,000","22,149,000","20,863,000","20,800,000","19,711,000","20,383,000","18,043,000","17,900,000","18,843,000","17,045,000","16,207,000","14,200,000","13,135,000","13,029,000","14,978,000","14,200,000","15,081,000","15,180,000","12,649,000","13,000,000","12,521,000","13,118,000","12,749,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"128,592,000","32,411,000","33,529,000","32,691,000","29,961,000","31,300,000","28,171,000","27,868,000","27,897,000","30,500,000","28,345,000","31,265,000","27,484,000","27,300,000","21,465,000","22,149,000","20,863,000","20,800,000","19,711,000","20,383,000","18,043,000","17,900,000","18,843,000","17,045,000","16,207,000","14,200,000","13,135,000","13,029,000","14,978,000","14,200,000","15,081,000","15,180,000","12,649,000","13,000,000","12,521,000","13,118,000","12,749,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,"52,802,000","15,188,000","12,971,000","12,219,000","12,424,000","11,300,000","10,905,000","11,279,000","11,109,000","11,800,000","10,559,000","10,341,000","9,025,000","9,000,000","7,868,000","8,025,000","7,698,000","7,400,000","7,935,000","8,028,000","7,435,000","7,500,000","7,673,000","8,222,000","7,658,000","9,500,000","8,863,000","9,042,000","7,845,000","7,800,000","7,773,000","7,219,000","7,448,000","6,300,000","6,446,000","6,988,000","6,629,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"15,653,000","3,830,000","3,963,000","3,923,000","3,937,000","3,900,000","3,945,000","4,044,000","3,878,000","4,000,000","3,927,000","3,696,000","3,923,000","2,900,000","4,129,000","7,156,000","6,325,000","6,200,000","6,339,000","6,466,000","6,172,000","6,000,000","6,026,000","6,048,000","6,100,000","5,900,000","5,823,000","5,813,000","6,207,000","6,700,000","6,574,000","6,505,000","6,599,000","7,100,000","7,005,000","7,548,000","7,840,000","7,957,000","7,951,000","7,922,000","7,980,000","8,053,000","8,088,000","8,081,000","8,200,000","8,012,000","7,419,000","8,012,000","1,469,000","664,000","897,000","479,000","829,000","455,000","490,000","480,000","471,000",,,,,,,,
