name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006
TotalAssets,"1,914,900,000","1,442,500,000","1,391,400,000","1,187,400,000","876,100,000","697,800,000","621,200,000","678,000,000","592,200,000","582,200,000","533,100,000","591,300,000","573,900,000","516,600,000"
	CurrentAssets,"708,200,000","618,500,000","588,600,000","485,000,000","396,200,000","387,900,000","396,600,000","451,100,000","359,100,000","356,400,000","303,400,000","357,000,000","369,800,000","313,400,000"
		CashCashEquivalentsAndShortTermInvestments,"39,500,000","43,000,000","34,000,000","33,200,000","37,200,000","33,300,000","29,400,000","99,000,000","9,000,000","13,700,000","14,400,000","43,600,000","9,500,000","10,300,000"
			CashAndCashEquivalents,"39,500,000","43,000,000","34,000,000","33,200,000","37,200,000","33,300,000","29,400,000","99,000,000","9,000,000","13,700,000","14,400,000","43,600,000","9,500,000","10,300,000"
		Receivables,"363,300,000","323,700,000","316,400,000","260,500,000","212,500,000","176,200,000","186,400,000","188,400,000","189,400,000","192,700,000","149,300,000","159,000,000","179,200,000","151,000,000"
			AccountsReceivable,"288,900,000","253,400,000","316,400,000","260,500,000","212,500,000","176,200,000","186,400,000","188,400,000","189,400,000","192,700,000","149,300,000","159,000,000","179,200,000","151,000,000"
				GrossAccountsReceivable,,,"319,600,000","263,600,000","214,600,000","179,200,000","190,100,000","192,100,000",,,,,,
				AllowanceForDoubtfulAccountsReceivable,,,"-3,200,000","-3,100,000","-2,100,000","-3,000,000","-3,700,000","-3,700,000",,,,,,
			OtherReceivables,"74,400,000","70,300,000",,,,,,,,,,,,
		Inventory,"245,000,000","206,100,000","190,200,000","139,600,000","104,900,000","111,800,000","117,600,000","109,200,000","122,300,000","106,700,000","107,000,000","123,000,000","147,200,000","110,200,000"
			RawMaterials,"100,800,000","82,100,000","72,600,000","62,900,000","55,000,000","53,700,000","59,900,000","59,900,000","61,600,000","65,800,000","61,700,000","71,900,000",,
			WorkInProcess,"65,800,000","70,600,000","73,700,000","57,300,000","36,800,000","45,300,000","41,700,000","30,600,000","27,100,000","29,800,000","28,500,000","41,200,000",,
			FinishedGoods,"149,500,000","118,800,000","109,200,000","86,200,000","81,800,000","79,200,000","80,500,000","82,000,000","94,200,000","69,600,000","74,600,000","64,900,000",,
			InventoriesAdjustmentsAllowances,"-71,100,000","-65,400,000","-65,300,000","-66,800,000","-68,700,000","-66,400,000","-64,500,000","-63,300,000","-60,600,000","-58,500,000","-57,800,000","-55,000,000",,
		PrepaidAssets,,,,,"8,000,000","7,300,000","6,500,000","5,800,000","5,100,000","5,100,000","4,500,000","4,300,000","4,100,000","4,200,000"
		CurrentDeferredAssets,,,,,,"23,200,000","20,600,000","19,300,000","8,300,000",,"6,600,000","6,700,000","6,100,000","6,300,000"
			CurrentDeferredTaxesAssets,,,,,,"23,200,000","20,600,000","19,300,000","8,300,000",,"6,600,000","6,700,000","6,100,000","6,300,000"
		AssetsHeldForSaleCurrent,,,,,"600,000","2,900,000","3,000,000","3,000,000","2,700,000",,,,,
		OtherCurrentAssets,"60,400,000","45,700,000","48,000,000","51,700,000","33,000,000","33,200,000","33,100,000","26,400,000","22,300,000","38,200,000","21,600,000","20,400,000","23,700,000","31,400,000"
	TotalNonCurrentAssets,"1,206,700,000","824,000,000","802,800,000","702,400,000","479,900,000","309,900,000","224,600,000","226,900,000","233,100,000","225,800,000","229,700,000","234,300,000","204,100,000","203,200,000"
		NetPPE,"265,600,000","239,700,000","233,000,000","210,200,000","181,100,000","147,600,000","132,700,000","126,200,000","124,700,000","128,700,000","126,500,000","119,700,000","126,800,000","119,800,000"
			GrossPPE,"573,800,000","529,600,000","506,300,000","448,200,000","404,900,000","380,300,000","374,600,000","361,700,000","355,800,000","354,200,000","344,600,000","316,700,000","126,800,000","119,800,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0",,
				LandAndImprovements,"21,100,000","19,600,000","17,200,000","14,700,000","10,600,000","9,700,000","9,000,000","8,900,000","7,100,000","7,000,000","6,900,000","6,400,000",,
				BuildingsAndImprovements,"125,100,000","110,800,000","101,500,000","92,700,000","87,600,000","66,700,000","62,700,000","60,300,000","59,200,000","59,000,000","57,600,000","55,400,000",,
				MachineryFurnitureEquipment,"400,700,000","377,000,000","366,500,000","326,000,000","293,600,000","282,600,000","289,000,000","284,200,000","282,300,000","280,400,000","274,300,000","246,700,000",,
				ConstructionInProgress,"26,900,000","22,200,000","21,100,000","14,800,000","13,100,000","21,300,000","13,900,000","8,300,000","7,200,000","7,800,000","5,800,000","8,200,000",,
			AccumulatedDepreciation,"-308,200,000","-289,900,000","-273,300,000","-238,000,000","-223,800,000","-232,700,000","-241,900,000","-235,500,000","-231,100,000","-225,500,000","-218,100,000","-197,000,000",,
		GoodwillAndOtherIntangibleAssets,"854,800,000","535,300,000","518,600,000","425,500,000","239,300,000","129,200,000","52,200,000","54,400,000","46,400,000","48,300,000","49,000,000","45,300,000","45,000,000","46,700,000"
			Goodwill,"528,900,000","321,400,000","301,800,000","239,500,000","152,500,000","69,200,000","30,800,000","30,600,000","28,200,000","28,400,000","28,200,000","26,700,000","23,800,000","23,400,000"
			OtherIntangibleAssets,"325,900,000","213,900,000","216,800,000","186,000,000","86,800,000","60,000,000","21,400,000","23,800,000","18,200,000","19,900,000","20,800,000","18,600,000","21,200,000","23,300,000"
		InvestmentsAndAdvances,,,,,"9,200,000","11,000,000","12,200,000","11,500,000","10,500,000","9,900,000","10,900,000","7,900,000","7,200,000","6,200,000"
