name,ttm,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,01/31/2008,10/31/2007,07/31/2007,04/30/2007,01/31/2007,10/31/2006,07/31/2006,04/30/2006,01/31/2006,10/31/2005,07/31/2005,04/30/2005,01/31/2005,10/31/2004,07/31/2004,04/30/2004,01/31/2004,10/31/2003,07/31/2003,04/30/2003,01/31/2003,10/31/2002,07/31/2002,04/30/2002,01/31/2002,10/31/2001,07/31/2001,04/30/2001,01/31/2001,10/31/2000,07/31/2000,04/30/2000,01/31/2000,10/31/1999,07/31/1999,04/30/1999,01/31/1999,10/31/1998,07/31/1998,04/30/1998,01/31/1998,10/31/1997,07/31/1997,04/30/1997,01/31/1997,10/31/1996,07/31/1996,04/30/1996,01/31/1996,10/31/1995,07/31/1995,04/30/1995,01/31/1995,10/31/1994
MarketCap,"30,292,249,089","48,852,462,246","47,334,068,684","48,015,498,093","50,232,253,132","46,708,232,605","48,601,333,072","50,639,702,609","48,633,997,901","53,019,844,182","49,905,165,929","49,215,300,545","46,233,084,117","48,741,662,837","41,088,065,541","40,981,217,284","41,861,525,718","34,453,855,381","37,085,807,357","36,033,359,548","42,231,898,364","37,410,165,461","47,009,101,303","48,050,539,133","44,493,059,712","39,288,078,075","44,624,988,890","40,039,028,519","40,762,179,498","40,969,491,788","38,413,746,337","37,093,254,000","38,467,176,369","37,234,462,379","37,852,690,293","36,003,264,258","37,112,529,050","32,724,262,554","32,967,318,597","34,009,242,133","35,193,679,855","26,863,854,929","25,410,498,188","27,521,207,307","17,890,964,334","14,437,676,805","18,101,229,006","23,643,358,569","25,156,629,510","28,196,502,282","33,194,304,699","31,188,978,250","31,341,808,694","29,849,751,934","31,045,016,898","28,351,069,458","29,095,831,486","30,009,770,811","24,520,738,713","24,943,767,187","22,451,287,188","22,288,832,888","23,677,394,430","20,867,677,089","18,944,530,934","21,880,808,296","18,706,235,857","15,821,771,597","13,824,552,684","13,522,403,210","12,110,694,950","10,930,014,277","11,718,294,354","11,101,338,529","10,451,736,341","13,507,596,246","11,569,429,790","14,374,137,564","12,117,675,334","11,283,445,616","9,833,326,954","8,878,814,000","10,164,306,048","9,643,660,000","11,142,716,910","11,657,932,000","10,808,963,308","12,760,345,792","14,310,045,464","12,063,840,166","11,274,688,936","10,937,430,000","9,466,963,128","9,000,578,562","7,895,846,312","6,209,455,196","6,290,784,000","6,386,674,000","5,866,991,250","5,525,849,500","5,339,621,250","4,779,554,310","4,910,954,500"
PeRatio,"7.772","11.631","10.309","10.443","11.781","11.777","13.251","14.447","13.679","12.822","12.089","11.894","12.777","14.322","12.697","12.682","12.229","11.436","12.118","11.761","12.483","11.311","12.432","12.458","11.932","10.888","11.746","10.74","10.489","10.305","9.611","9.444","10.149","10.498","11.183","11.914","12.656","11.735","13.188","14.176","13.956","16.89","16.536","17.804","12.963","8.757","11.407","13.49","12.989","14.488","15.4","14.463","14.855","13.761","13.508","12.619","13.805","14.509","12.487","13.246","12.384","12.064","13.311","13.713","12.8","16.778","14.365","13.848","13.682","15.274","14.302","18.223","17.724","13.604","12.748","11.526","10.302","12.895","10.768","11.272","10.496","9.313","12.354","11.85","13.304","14.233","12.522","14.63","16.017","14.556","13.148","12.459","11.408","10.998","9.798","8.098","8.408","9.023","8.76","9.036","9.111","8.44","8.407"
ForwardPeRatio,"7.463","10.215","9.775","9.699","11.099","10.02","10.225","11.038","11.161","11.877","11.737","11.338","11.655","12.788","11.351","11.261","10.953","9.921","10.707","10.288","11.038","9.911","11.521","11.723","11.161","10.04","11.351","10.05","9.911","10.01","9.94","9.881","9.756","9.662","10.32","10.395","10.881","10.101",,"11.223","11.82",,,,,,"10.101",,,"12.595",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PegRatio,,,,,,,,,,,,,,,,,,,,,"1.468","1.317","1.533","1.558","1.484","1.335","1.509","1.336","1.319","1.331","1.322","1.314","1.296","1.438","1.877","1.891","1.554","1.409",,"1.247","1.182",,,,,,"2.021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PsRatio,"1.704","2.546","2.47","2.586","2.873","2.713","2.808","3.021","2.845","3.135","2.984","2.839","2.965","3.16","2.635","2.707","2.722","2.577","2.829","2.706","2.949","2.812","3.147","3.189","2.995","2.723","2.927","2.59","2.559","2.629","2.452","2.365","2.439","2.473","2.545","2.673","2.82","2.614","2.849","2.919","2.874","2.55","2.441","2.628","1.923","1.635","2.13","2.538","2.727","3.097","3.443","3.529","3.68","3.564","3.562","3.232","3.346","3.516","3.008","2.659","3.061","2.982","3.097","2.999","2.799","3.209","2.747","2.527","2.296","2.35","2.186","2.113","2.24","2.115","2.035","2.377","2.108","2.535","2.217","2.041","1.817","1.612","2.058","1.979","2.222","2.467","2.219","2.592","2.857","2.52","2.277","2.238","2.026","1.938","1.734","1.431","1.483","1.545","1.424","1.368","1.385","1.283","1.239"
PbRatio,"0.929","1.409","1.375","1.406","1.578","1.484","1.547","1.673","1.619","1.634","1.645","1.512","1.631","1.672","1.472","1.521","1.374","1.335","1.382","1.403","1.476","1.5","1.735","1.77","1.658","1.56","1.719","1.527","1.554","1.442","1.342","1.454","1.531","1.539","1.337","1.952","1.616","1.494","1.627","1.983","1.943","1.43","1.402","1.501","1.213","0.994","1.212","1.43","1.548","1.826","2.063","2.168","2.319","2.394","2.313","2.181","2.297","2.419","2.09","2.39","2.16","2.113","2.367","2.322","2.173","2.628","2.237","2.035","1.873","1.95","1.819","1.697","1.846","1.787","1.722","1.992","1.76","2.094","1.799","1.696","1.522","1.345","1.61","1.627","1.824","2.037","1.957","2.266","2.514","2.306","2.082","2.028","1.838","1.746","1.574","1.291","1.321","1.386","1.278","1.244","1.28","1.185","1.17"
