name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988
OtherIncomeExpense,"900,493,000","-401,839,000","72,576,000","53,347,000","675,484,000","-1,338,491,000","-72,757,000","-248,101,000","-1,452,812,000","-3,543,594,000","-21,948,000","-285,590,000","-1,084,599,000","1,423,766,000","221,983,000","80,791,000","83,045,000","42,790,000","25,930,000","-76,247,000","-741,000","-900,000","10,900,000","-28,100,000","-53,700,000","-3,800,000","5,800,000","12,200,000","16,500,000","2,700,000","500,000","31,100,000","900,000"
	EarningsFromEquityInterest,"39,768,000","57,225,000","99,863,000","111,238,000","474,477,000","181,421,000","-23,958,000","-114,278,000","-136,402,000","91,094,000","-78,434,000",,,"203,357,000","-16,063,000",,,,,,,,,,,,,,,,,,
	SpecialIncomeCharges,"1,169,944,000","-275,802,000","-9,147,000","-9,650,000","273,705,000","-1,503,942,000","-41,002,000","-124,761,000","-708,049,000","-3,634,688,000","56,486,000","-285,590,000","-1,084,599,000","1,220,409,000","238,046,000","80,791,000","83,045,000","42,790,000","25,930,000","-76,247,000","-741,000","-900,000","10,900,000","-28,100,000","-53,700,000","-3,800,000","5,800,000","12,200,000","16,500,000","2,700,000","500,000","31,100,000","900,000"
		RestructuringAndMergernAcquisition,,,"0","0","-430,118,000",,,"0","0",,,,"443,000",,"1,035,000","-59,000","5,625,000","6,597,000","-17,021,000","23,721,000",,,,,,,,,,,,,
		ImpairmentOfCapitalAssets,,,,"0","0","1,467,991,000","0","64,864,000","532,975,000",,,,,,,,,,,,,,,,,,,,,,,,
		WriteOff,,,,"0","0","17,050,000","28,789,000","36,607,000","150,009,000",,,,,,,,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,,,,"-40,629,000","139,335,000",,,,,"138,683,000",,,"1,084,156,000",,"-239,081,000","-80,732,000","-88,670,000","-49,387,000","-8,909,000","52,526,000",,,,,,,,,,,,,
		GainOnSaleOfBusiness,,,"44,703,000","0","0","23,002,000",,,,"-3,496,005,000",,,,,,,,,,,,,,,,,,,,,,,
		GainOnSaleOfPPE,"1,169,944,000","-275,802,000","-53,850,000","-50,279,000","-17,078,000","-41,903,000","-12,213,000","-23,290,000","-25,065,000",,,,,,,,,,,,,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,"-309,219,000","-183,262,000","-18,140,000","-48,241,000","-72,698,000","-15,970,000","-7,797,000","-9,062,000","-608,361,000",,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"3,645,880,000","2,846,725,000","634,006,000","963,755,000","1,259,177,000","-1,046,243,000","410,886,000","87,765,000","-1,734,213,000","2,831,631,000","-2,216,025,000","-2,012,593,000","-668,988,000","2,158,428,000","977,926,000","678,900,000","555,815,000","353,704,000","466,314,000","277,589,000","275,040,000","150,100,000","109,500,000","180,300,000","99,100,000",,,,,,"-34,700,000","39,700,000","6,600,000"
TaxProvision,"823,138,000","632,345,000","50,112,000","-1,132,663,000","22,299,000","-6,594,000","283,708,000","31,263,000","-117,301,000","-403,313,000","-778,628,000","-720,911,000","186,298,000","757,883,000","341,930,000","235,644,000","205,959,000","116,592,000","173,551,000","106,996,000","108,880,000","55,000,000","40,600,000","65,000,000","24,600,000",,,,,,"-11,100,000","14,100,000","2,300,000"
EarningsFromEquityInterestNetOfTax,,,,,,,,,,,,"-88,227,000",,,,,,,,,,,,,,,,,,,,,
NetIncomeCommonStockholders,"2,822,005,000","2,046,433,000","445,446,000","1,941,923,000","1,101,412,000","-447,720,000","-149,873,000","-156,606,000","-1,767,691,000","3,114,637,000","-1,437,397,000","-1,291,682,000","-855,286,000","1,584,419,000","648,264,000","443,256,000","412,332,000","243,697,000","292,435,000","169,815,000","160,744,000","86,000,000","68,900,000","111,100,000","43,700,000","46,600,000","74,500,000","-117,600,000","-20,100,000","-12,200,000","-23,600,000","25,600,000","4,300,000"
	NetIncome,"2,824,718,000","2,049,146,000","466,772,000","1,960,286,000","1,101,440,000","-447,720,000","-149,873,000","-156,606,000","-1,767,691,000","3,114,637,000","-1,437,397,000","-1,291,682,000","-855,286,000","1,584,419,000","648,264,000","443,256,000","412,332,000","243,697,000","292,435,000","169,815,000","160,744,000","86,000,000","68,900,000","111,100,000","43,700,000","46,600,000","74,500,000","-117,600,000","-20,100,000","-12,200,000","-23,600,000","25,600,000","4,300,000"
		NetIncomeIncludingNoncontrollingInterests,"2,822,742,000","2,214,380,000","583,894,000","2,096,418,000","1,236,878,000","-1,039,649,000","127,178,000","56,502,000","-1,616,912,000","3,234,944,000","-1,437,397,000","-1,291,682,000","-855,286,000","1,584,419,000","648,264,000","443,256,000","412,332,000","243,697,000","292,435,000","169,815,000","160,744,000","86,000,000","68,900,000","111,100,000","43,700,000","46,600,000","74,500,000","-117,600,000","-20,100,000","-12,200,000","-23,600,000","25,600,000","4,300,000"
			NetIncomeContinuousOperations,"2,822,742,000","2,214,380,000","583,894,000","2,096,418,000","1,236,878,000","-1,039,649,000","127,178,000","56,502,000","-1,616,912,000","3,234,944,000","-1,437,397,000","-1,291,682,000","-855,286,000","1,400,545,000","635,996,000","443,256,000","349,856,000","237,112,000","292,763,000","170,593,000","166,160,000","95,100,000","68,900,000","115,300,000","74,500,000","46,600,000","73,500,000","-117,600,000","-20,100,000","-12,200,000","-23,600,000","25,600,000","4,300,000"
			NetIncomeDiscontinuousOperations,,,,,,,,,,,,"0",,"183,874,000","12,268,000",,"62,476,000","6,585,000",,,,,,,,,"1,000,000",,,,,,
			NetIncomeExtraordinary,,,,,,,,,,,,,,,,,,,,,,"-9,100,000",,,,,,,,,,,
			NetIncomeFromTaxLossCarryforward,,,,,,,,,,,,,,,,,,,"-328,000","-778,000","-5,416,000",,,"-4,200,000","-30,800,000",,,,,,,,
		MinorityInterests,"1,976,000","-165,234,000","-117,122,000","-136,132,000","-135,438,000","591,929,000","-277,051,000","-213,108,000","-150,779,000","-120,307,000",,,,,,,,,,,,,,,,,,,,,,,
	OtherunderPreferredStockDividend,,"2,713,000","21,326,000","18,363,000","28,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
AverageDilutionEarnings,,"-194,000","-206,000","-268,000","-51,000","0","-340,000","-104,000","0",,,,,,,,,,,,,,,,,,,,,,,,
DilutedNIAvailtoComStockholders,"2,821,811,000","2,046,239,000","445,240,000","1,941,655,000","1,101,361,000","-447,720,000","-150,213,000","-156,710,000","-1,767,691,000","3,114,637,000","-1,437,397,000","-1,291,682,000","-855,286,000","1,584,419,000","648,264,000","443,256,000","412,332,000","243,697,000","292,435,000","169,815,000","160,744,000","86,000,000","68,900,000","111,100,000","43,700,000","46,600,000","74,500,000","-117,600,000","-20,100,000","-12,200,000","-23,600,000","25,600,000","4,300,000"
BasicEPS,,"3.9","0.82","3.38","1.94","-0.82","-0.31","-0.32","-3.62","6.37","-3.19","-3.41","-3.06","5.52","2.29","1.56","1.475","0.82","0.925","0.535","0.555","0.37","0.31","0.483","0.2","0.24","0.38","-0.62","-0.12","-0.1","-0.235","0.305","0.06"
DilutedEPS,,"3.88","0.81","3.34","1.92","-0.82","-0.31","-0.32","-3.62","5.62","-3.19","-3.41","-3.06","5.31","2.22","1.5","1.425","0.805","0.915","0.53","0.545","0.36","0.305","0.473","0.2","0.24","0.38","-0.62","-0.12","-0.1","-0.235","0.305","0.06"
BasicAverageShares,,"524,173,000","544,253,000","572,253,000","568,134,000","542,873,000","490,875,000","489,661,000","488,988,000","488,652,000","450,449,000","378,513,000","279,815,000","287,032,428","283,084,716","284,138,462","279,547,119","297,191,463","316,145,946","317,411,215","289,628,829","233,160,000","222,712,000","229,900,000","216,940,000","194,176,000","195,952,000","189,677,419","167,500,000","122,000,000","100,425,532","83,934,426","71,666,667"
DilutedAverageShares,,"527,645,000","549,536,000","578,795,000","573,317,000","542,873,000","490,875,000","489,661,000","488,988,000","560,895,000","450,449,000","378,513,000","279,815,000","298,383,992","292,010,811","295,504,000","289,355,789","302,729,193","319,601,093","320,405,660","294,943,119","240,172,000","225,368,000","235,340,000","216,940,000","197,333,333","195,952,000","189,677,419","167,500,000","122,000,000","100,425,532","83,934,426","71,666,667"
TotalOperatingIncomeAsReported,"4,820,800,000","3,940,215,000","1,469,486,000","1,715,492,000","2,079,787,000","-156,232,000","1,323,538,000","1,111,512,000","80,526,000","-3,025,958,000","-1,080,497,000","-963,876,000","-129,603,000","2,863,930,000","1,758,248,000","1,357,208,000","950,860,000","713,069,000","766,761,000","627,902,000","537,716,000","209,800,000","131,500,000","219,600,000","186,600,000","109,600,000","129,800,000","-123,200,000","-18,600,000","-14,900,000","-34,200,000","9,200,000","8,500,000"
TotalExpenses,"8,441,242,000","8,803,176,000","10,432,153,000","9,194,751,000","8,176,657,000","8,100,241,000","8,781,280,000","8,616,450,000","8,325,887,000","7,379,265,000","7,099,730,000","6,854,238,000","7,337,927,000","4,827,707,000","5,416,673,000","5,124,818,000","3,281,619,000","3,189,150,000","3,281,555,000","3,357,995,000","2,981,217,000","1,181,900,000","642,400,000","608,000,000","618,200,000","612,200,000","612,400,000","181,000,000","68,600,000","161,800,000","210,700,000","203,800,000","199,400,000"
