name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001
TotalRevenue,"8,068,000,000","2,043,000,000","2,069,000,000","1,979,000,000","1,977,000,000","1,767,000,000","2,006,000,000","1,898,000,000","1,750,000,000","1,662,000,000","1,713,000,000","1,595,000,000","1,643,000,000","1,603,000,000","1,637,000,000","1,554,000,000","1,450,000,000","1,591,000,000","1,687,000,000","1,709,000,000","1,651,000,000","1,665,000,000","1,760,000,000","1,670,000,000","1,681,000,000","1,509,000,000","1,607,000,000","1,534,000,000","1,497,000,000","1,495,000,000","1,502,000,000","1,451,000,000","1,366,000,000","1,376,000,000","1,407,500,000","1,341,600,000","1,264,500,000","1,163,400,000","1,294,300,000","1,286,200,000","1,234,200,000","1,166,800,000","1,121,900,000","1,088,200,000","1,022,400,000","1,070,700,000","1,299,700,000","1,264,700,000","1,220,300,000","1,143,944,171.05","1,188,439,273.6","1,187,853,080.8","1,216,702,357.5","1,116,396,334.2","1,196,602,030.3","1,149,195,364.2","1,127,604,898.2","1,109,473,931.2","1,169,232,399.8","1,103,901,208.2","1,103,516,629.6","1,014,654,010.85","1,009,030,092.5","994,121,163.75","1,009,615,587.25","888,359,402","965,838,903.85","903,516,150.8","919,476,995","879,920,819.05","952,284,348.8","916,663,393.8","925,860,042.2","876,514,355.4","947,798,883.2","899,147,863.3"
	OperatingRevenue,"8,068,000,000","2,043,000,000","2,069,000,000","1,979,000,000","1,977,000,000","1,767,000,000","2,006,000,000","1,898,000,000","1,750,000,000","1,662,000,000","1,713,000,000","1,595,000,000","1,643,000,000","1,603,000,000","1,637,000,000","1,554,000,000","1,450,000,000","1,591,000,000","1,687,000,000","1,709,000,000","1,651,000,000","1,665,000,000","1,719,000,000","1,629,000,000","1,642,000,000","1,474,000,000","1,570,000,000","1,495,000,000","1,458,000,000","1,459,000,000","1,357,000,000","1,451,000,000","1,366,000,000","1,376,000,000","1,407,500,000","1,341,600,000","1,264,500,000","1,163,400,000","1,294,300,000","1,286,200,000","1,234,200,000","1,166,800,000","1,121,900,000","1,088,200,000","972,500,000","1,050,200,000","1,374,600,000","1,239,500,000","1,220,300,000","1,143,944,171.05","1,159,063,203.5","1,187,853,080.8","1,216,702,357.5","1,116,396,334.2","1,191,652,680.6","1,149,195,364.2","1,127,604,898.2","1,109,473,931.2","1,063,096,976.45","1,103,901,208.2","1,103,516,629.6","1,014,654,010.85","1,003,325,040.05","994,121,163.75","1,009,615,587.25","888,359,402","795,481,601.1","903,516,150.8","919,476,995","879,920,819.05","966,231,284.4","916,663,393.8","925,860,042.2","876,514,355.4","958,139,677.5","899,147,863.3"
CostOfRevenue,"3,505,000,000","897,000,000","885,000,000","833,000,000","890,000,000","867,000,000","882,000,000","845,000,000","839,000,000","847,000,000","716,000,000","648,000,000","687,000,000","654,000,000","705,000,000","669,000,000","658,000,000","717,000,000","738,000,000","752,000,000","729,000,000","813,000,000","797,000,000","814,000,000","839,000,000","897,000,000","853,000,000","794,000,000","831,000,000","931,000,000","1,711,000,000","567,000,000","626,000,000","383,000,000","592,900,000","558,000,000","575,700,000","567,400,000","513,100,000","459,400,000","487,100,000","483,300,000","447,100,000","374,100,000","359,800,000","458,000,000","655,900,000","484,000,000","0","499,210,262.8","903,434,966.85","434,683,134.3","346,342,107.5","435,694,380.9","960,183,405.25","403,461,434.7","408,569,970.6","416,315,209.2","435,255,515.4","398,811,175","401,033,814.4","395,016,025","353,025,377.1","364,019,005.35",,,"720,316,228.9","123,592,077.15","633,907,148.75","222,684,178.6","945,929,240.4","125,712,694.8","620,953,052","612,178,911","2,084,983,587.2","118,425,369.9"
GrossProfit,"4,563,000,000","1,146,000,000","1,184,000,000","1,146,000,000","1,087,000,000","900,000,000","1,124,000,000","1,053,000,000","911,000,000","815,000,000","997,000,000","947,000,000","956,000,000","949,000,000","932,000,000","885,000,000","792,000,000","874,000,000","949,000,000","957,000,000","922,000,000","852,000,000","963,000,000","856,000,000","842,000,000","612,000,000","754,000,000","740,000,000","666,000,000","564,000,000","-209,000,000","884,000,000","740,000,000","993,000,000","814,600,000","783,600,000","688,800,000","596,000,000","781,200,000","826,800,000","747,100,000","683,500,000","674,800,000","714,100,000","662,600,000","612,700,000","643,800,000","780,700,000","1,220,300,000","644,733,908.25","285,004,306.75","753,169,946.5","870,360,250","680,701,953.3","236,418,625.05","745,733,929.5","719,034,927.6","693,158,722","733,976,884.4","705,090,033.2","702,482,815.2","619,637,985.85","656,004,715.4","630,102,158.4",,,"245,522,674.95","779,924,073.65","285,569,846.25","657,236,640.45","6,355,108.4","790,950,699","304,906,990.2","264,335,444.4","-1,137,184,704","780,722,493.4"
OperatingExpense,"1,054,000,000","277,000,000","258,000,000","253,000,000","266,000,000","288,000,000","269,000,000","244,000,000","267,000,000","260,000,000","237,000,000","239,000,000","263,000,000","260,000,000","241,000,000","218,000,000","229,000,000","254,000,000","263,000,000","263,000,000","266,000,000","240,000,000","270,000,000","229,000,000","250,000,000","189,000,000","226,000,000","210,000,000","246,000,000","199,000,000","-617,000,000","508,000,000","501,000,000","719,000,000","511,900,000","459,000,000","458,300,000","486,800,000","483,500,000","489,100,000","473,000,000","478,500,000","401,100,000","452,900,000","436,800,000","473,300,000","338,900,000","477,500,000","969,200,000","447,044,854.75","2,211,952,300.7","431,482,426.6","562,355,692.5","451,299,804.45","-2,451,483,752.5","449,377,126.1","437,981,679.3","464,270,635.4","2,061,415,252.25","455,870,913.4","431,967,363.2","440,840,303.6","1,871,174,915.2","410,224,235.85","787,433,091.75","772,128,446.25","1,172,499,197.55","571,605,428.8","93,746,956.25","538,885,474.4","1,102,585,143.8","567,505,877.4","85,109,564","88,211,261.4","1,114,964,999.5","551,181,025.5"
	SellingGeneralAndAdministration,"504,000,000","131,000,000","128,000,000","124,000,000","121,000,000","127,000,000","129,000,000","118,000,000","119,000,000","119,000,000","118,000,000","114,000,000","117,000,000","114,000,000","88,000,000","117,000,000","121,000,000","128,000,000","124,000,000","115,000,000","144,000,000","240,000,000","147,000,000","133,000,000","137,000,000","189,000,000","149,000,000","133,000,000","246,000,000","145,000,000","-528,000,000","371,000,000","366,000,000","592,000,000","389,000,000","336,400,000","336,100,000","364,500,000","362,300,000","365,200,000","349,700,000","353,500,000","312,500,000","320,200,000","301,600,000","340,900,000","349,400,000","312,300,000","315,500,000","327,453,597","-156,008,953.2","313,487,507.5","443,138,038.75","332,648,055.6","-205,524,027.5","333,988,793.55","320,535,022.5","349,576,356.4","330,662,154","344,650,615.4","321,505,100.8","331,281,127","320,792,766","307,065,458.7","684,733,091.75","672,330,872.5","-69,314,501.6","475,686,522.8",,"445,466,910.85","-310,392,081","479,566,949.4",,,,
		GeneralAndAdministrativeExpense,"282,000,000","75,000,000","71,000,000","70,000,000","66,000,000","71,000,000","71,000,000","62,000,000","65,000,000","66,000,000","65,000,000","65,000,000","69,000,000","67,000,000","41,000,000","73,000,000","77,000,000","84,000,000","79,000,000","69,000,000","98,000,000","240,000,000","103,000,000","90,000,000","94,000,000","189,000,000","108,000,000","93,000,000","246,000,000","106,000,000","-681,000,000","371,000,000","366,000,000","592,000,000","389,000,000","336,400,000","336,100,000","364,500,000","362,300,000","365,200,000","349,700,000","353,500,000","312,500,000","320,200,000","301,600,000","340,900,000","349,400,000","312,300,000","315,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"371,000,000","366,000,000","391,000,000","389,000,000","336,400,000","336,100,000","364,500,000","362,300,000","365,200,000","349,700,000","353,500,000","312,500,000","320,200,000","301,600,000","340,900,000","349,400,000","312,300,000","315,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"282,000,000","75,000,000","71,000,000","70,000,000","66,000,000","71,000,000","71,000,000","62,000,000","65,000,000","66,000,000","65,000,000","65,000,000","69,000,000","67,000,000","41,000,000","73,000,000","77,000,000","84,000,000","79,000,000","69,000,000","98,000,000","240,000,000","103,000,000","90,000,000","94,000,000","189,000,000","108,000,000","93,000,000","246,000,000","106,000,000","242,000,000",,,"201,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,"222,000,000","56,000,000","57,000,000","54,000,000","55,000,000","56,000,000","58,000,000","56,000,000","54,000,000","53,000,000","53,000,000","49,000,000","48,000,000","47,000,000","47,000,000","44,000,000","44,000,000","44,000,000","45,000,000","46,000,000","46,000,000",,"44,000,000","43,000,000","43,000,000",,"41,000,000","40,000,000",,"39,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
