name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986
TotalAssets,"26,931,604,000","25,344,896,000","25,384,317,000","23,756,591,000","22,846,333,000","23,489,436,000","23,361,088,000","22,807,967,000","6,478,089,000","6,431,699,000","6,192,770,000","6,181,828,000","6,733,046,000","6,178,740,000","5,913,731,000","4,427,725,000","3,568,040,000","2,134,382,000","1,875,005,000","2,707,616,000","4,485,025,000","4,282,444,000","3,700,376,000","4,500,623,000","4,122,514,000","3,587,891,000","6,284,900,000","4,856,400,000","4,539,200,000","4,228,100,000","3,980,300,000","1,629,800,000","1,553,500,000","1,515,600,000"
	TotalInvestments,"18,891,828,000","17,523,038,000","18,800,642,000","18,111,269,000","17,832,439,000","18,835,343,000","18,992,162,000","18,326,946,000","4,826,810,000","4,805,202,000","4,414,689,000","4,276,141,000","4,614,964,000","3,933,774,000","3,102,639,000","2,294,511,000","1,765,185,000","1,304,657,000","1,347,337,000","886,600,000","1,927,747,000","2,126,033,000","2,060,999,000","2,714,117,000","2,337,738,000","1,935,734,000","2,072,600,000","2,167,400,000","2,067,600,000","1,981,900,000","1,745,200,000",,,
		FixedMaturityInvestments,"14,211,745,000","11,823,968,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		EquityInvestments,"2,505,496,000","3,572,790,000","16,820,866,000","16,092,736,000","16,611,871,000","17,414,125,000","17,032,343,000","17,423,552,000","3,550,478,000","4,333,097,000","3,913,559,000","3,389,537,000","4,190,470,000","3,495,207,000","2,385,563,000","1,824,394,000","1,538,024,000","1,066,959,000","550,826,000","544,259,000","1,649,949,000","2,126,033,000","2,060,999,000","2,714,117,000","2,337,738,000","1,935,734,000",,,,,,,,
		NetLoan,"686,206,000","676,532,000","658,364,000","594,878,000","177,947,000",,,,,,,,,,"91,535,000","91,665,000","92,082,000",,,,,,,,,,"2,072,600,000","2,167,400,000","2,067,600,000","1,981,900,000","1,745,200,000",,,
			MortgageAndConsumerloans,"686,206,000","676,532,000","658,364,000","594,878,000","177,947,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherShortTermInvestments,"914,776,000","893,776,000","17,398,920,000","16,871,146,000","16,977,681,000","18,129,678,000","18,350,238,000","17,789,596,000","1,096,517,000","264,811,000","262,903,000","636,197,000","424,494,000","438,567,000","625,541,000","378,452,000","135,079,000","237,698,000","796,511,000","342,341,000","277,798,000",,,,,,,,,,,,,
			ShortTermInvestmentsAvailableForSale,"914,776,000","893,776,000","17,398,920,000","16,871,146,000","16,977,681,000","18,129,678,000","18,350,238,000","17,789,596,000","1,096,517,000",,,,,,,,,,,,,,,,,,,,,,,,,
		OtherInvestedAssets,"573,605,000","555,972,000","743,358,000","645,245,000","676,811,000","705,665,000","641,924,000","537,350,000","179,815,000","207,294,000","238,227,000","250,407,000",,,,,,,,,,,,,,,,,,,,,,
	CashAndCashEquivalents,"1,179,098,000","1,038,763,000","838,375,000","594,091,000","475,267,000","605,259,000","498,315,000","649,524,000","84,749,000","76,741,000","32,526,000","18,125,000","65,115,000","68,332,000","160,762,000","288,436,000","231,583,000","27,423,000","15,717,000","10,247,000","26,786,000","25,441,000","45,772,000","59,954,000","178,068,000","107,942,000",,,,,,,,
	ReinsuranceRecoverable,"755,515,000","744,057,000","706,042,000","591,602,000",,,,,"995,791,000","1,017,360,000","1,136,885,000","1,241,840,000",,,,,,,,,,,,,,,,,,,,,,
	Receivables,"2,634,053,000","2,880,557,000","2,574,919,000","2,041,861,000","2,014,180,000","2,136,133,000","2,052,011,000","2,013,727,000","147,006,000","128,075,000","145,992,000","168,360,000","203,712,000","222,958,000","241,688,000","365,353,000","675,341,000","325,547,000","148,697,000","652,608,000","1,374,391,000","1,074,410,000","643,411,000","678,105,000","701,073,000","634,134,000",,,,"110,300,000","111,300,000",,,
		AccountsReceivable,"2,629,972,000","2,763,920,000","2,543,834,000","2,015,911,000","2,002,051,000","2,044,931,000","2,038,962,000","1,933,794,000","147,006,000","128,075,000","145,992,000","154,022,000","201,066,000","222,958,000","150,153,000","70,547,000","112,808,000","85,710,000","57,161,000","560,452,000","1,282,855,000","982,874,000","551,875,000","586,569,000","609,537,000","542,598,000",,,,"110,300,000","111,300,000",,,
		NotesReceivable,,,,,,,,,,,,,"0","91,536,000","91,535,000","91,665,000","92,082,000","92,358,000","91,536,000","92,156,000","91,536,000","91,536,000","91,536,000","91,536,000","91,536,000","91,536,000",,,,,,,,
		TaxesReceivable,"4,081,000","116,637,000","31,085,000","25,950,000","12,129,000","91,202,000","13,049,000","79,933,000",,,"0","14,338,000",,,,,,,,,,,,,,,,,,,,,,
		OtherReceivables,,,,,,,,,,,,,"2,646,000","-91,536,000",,"203,141,000","470,451,000","147,479,000",,,,,,,,,,,,,,,,
	AccruedInvestmentIncome,"96,516,000","91,913,000","105,877,000","113,763,000","115,313,000","136,511,000","146,381,000","165,857,000",,,,,,,,,,,,,,,,,,,,,,,,,,
	PrepaidAssets,"248,153,000","221,232,000","190,252,000","201,023,000","190,368,000","184,435,000","173,148,000","154,980,000",,,,,,,,,,,,,,,,,,,,,,,,,,
