name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004
TotalAssets,"16,684,599,000","15,205,970,000","14,094,869,000","12,973,911,000","12,264,757,000","11,573,077,000","6,650,978,000","5,938,427,000","5,562,411,000","5,563,513,000","4,811,348,000","5,047,141,000","5,033,698,000","4,629,624,000","4,008,091,000","3,484,986,000"
	CurrentAssets,"730,145,000","550,313,000","518,337,000","411,093,000","340,411,000","283,735,000","182,924,000","164,929,000","152,143,000","129,383,000","151,562,000","249,722,000","119,424,000","137,636,000","203,393,000","276,611,000"
		CashCashEquivalentsAndShortTermInvestments,"252,876,000","163,851,000","176,190,000","128,347,000","115,937,000","84,824,000","56,467,000","45,500,000","58,926,000","55,047,000","50,152,000","185,717,000","40,291,000","63,530,000","60,416,000","172,424,000"
			CashAndCashEquivalents,"252,876,000","163,851,000","176,190,000","128,347,000","115,937,000","84,824,000","56,467,000","45,500,000","58,926,000","55,047,000","50,152,000","185,717,000","40,291,000","63,530,000","60,416,000","172,424,000"
		Receivables,"75,109,000","55,249,000","43,961,000","63,215,000","44,996,000","32,432,000","18,260,000","15,062,000","8,159,000","7,879,000","7,868,000","6,047,000","8,408,000","10,244,000","11,691,000","10,806,000"
			AccountsReceivable,"75,109,000","55,249,000","43,961,000","63,215,000","44,996,000","32,432,000","18,260,000","15,062,000","8,159,000","7,879,000","7,868,000","6,047,000","8,173,000","10,244,000","11,691,000","10,806,000"
			OtherReceivables,,,,,,,,,,,,,"235,000",,,
		Inventory,"95,427,000","90,202,000","82,121,000","66,255,000","58,173,000","56,555,000","43,715,000","39,681,000","36,234,000","32,763,000","28,865,000","29,494,000","41,997,000",,"29,133,000","18,356,000"
		PrepaidAssets,"306,733,000","241,011,000","216,065,000","153,276,000","121,305,000","109,924,000","64,482,000","64,686,000","48,824,000","33,694,000","61,580,000","24,460,000","27,353,000","24,211,000","27,203,000","20,683,000"
		RestrictedCash,,,,,,,,,,,"3,097,000","4,004,000","1,375,000","1,226,000","48,034,000","28,520,000"
