name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014
TotalAssets,"1,817,049,000","1,691,621,000","1,727,324,000","1,736,171,000","1,758,973,000","1,762,703,000"
	CurrentAssets,"742,818,000","664,001,000","687,076,000","664,531,000","671,523,000","636,791,000"
		CashCashEquivalentsAndShortTermInvestments,"34,184,000","31,014,000","47,722,000","76,058,000","54,409,000","47,667,000"
			CashAndCashEquivalents,"34,184,000","31,014,000","47,722,000","76,058,000","54,409,000","47,667,000"
				CashFinancial,,,,"76,058,000","54,409,000","47,667,000"
		Receivables,"215,428,000","186,114,000","190,851,000","177,506,000","192,384,000","197,677,000"
			AccountsReceivable,"215,428,000","186,114,000","190,851,000","177,506,000","192,384,000","197,677,000"
				GrossAccountsReceivable,"220,766,000",,,,,
				AllowanceForDoubtfulAccountsReceivable,"-5,338,000",,,,,
		Inventory,"398,368,000","361,207,000","363,962,000","323,289,000","326,359,000","291,141,000"
			RawMaterials,"87,675,000","71,068,000","72,342,000","55,424,000","63,119,000","54,591,000"
			WorkInProcess,"22,024,000","21,763,000","23,956,000","21,558,000","18,210,000","16,601,000"
			FinishedGoods,"288,669,000","268,376,000","267,664,000","246,307,000","245,030,000","219,949,000"
		RestrictedCash,,,,"3,082,000","4,725,000","6,100,000"
		OtherCurrentAssets,"94,838,000","85,666,000","84,541,000","84,596,000","93,646,000","94,206,000"
	TotalNonCurrentAssets,"1,074,231,000","1,027,620,000","1,040,248,000","1,071,640,000","1,087,450,000","1,125,912,000"
		NetPPE,"231,575,000","228,388,000","228,922,000","239,748,000","254,894,000","266,592,000"
			GrossPPE,"468,153,000","436,256,000","409,292,000","391,112,000","379,162,000","363,389,000"
				Properties,"0","0","0","0","0","0"
				LandAndImprovements,"14,551,000","14,515,000","14,618,000","14,500,000","14,804,000","15,293,000"
				BuildingsAndImprovements,"146,727,000","142,113,000","138,570,000","133,844,000","131,231,000","131,215,000"
				MachineryFurnitureEquipment,"281,831,000","259,629,000","242,518,000","231,572,000","215,573,000","163,918,000"
				ConstructionInProgress,"25,044,000","19,999,000","13,586,000","11,196,000","17,554,000","52,963,000"
			AccumulatedDepreciation,"-236,578,000","-207,868,000","-180,370,000","-151,364,000","-124,268,000","-96,797,000"
		GoodwillAndOtherIntangibleAssets,"694,850,000","687,928,000","667,175,000","669,229,000","680,673,000","696,992,000"
			Goodwill,"214,056,000","209,671,000","185,941,000","179,241,000","181,179,000","187,580,000"
			OtherIntangibleAssets,"480,794,000","478,257,000","481,234,000","489,988,000","499,494,000","509,412,000"
		NonCurrentDeferredAssets,"70,541,000","78,028,000","110,318,000","130,416,000","132,265,000","131,112,000"
			NonCurrentDeferredTaxesAssets,"70,541,000","78,028,000","110,318,000","130,416,000","132,265,000","131,112,000"
