name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998
MarketCap,"2,792,000,239","2,264,859,884","4,072,076,195","3,832,844,308","3,956,716,375","3,756,784,292","3,408,933,830","4,021,736,663","3,981,086,246","3,766,927,431","4,104,004,542","4,091,990,285","3,777,155,632","4,032,250,099","4,415,531,875","4,103,787,147","2,679,614,277","3,233,433,307","3,790,476,814","4,362,939,695","4,693,854,002","4,646,581,536","4,428,314,298","3,662,327,040","4,466,334,361","3,871,919,111","4,255,894,353","3,854,246,000","2,757,838,594","3,012,491,666","2,716,976,550","2,716,123,919","1,918,440,235","2,224,631,968","1,737,154,014","1,443,872,000","2,093,489,880","1,854,412,560","1,604,382,000","1,215,588,000","1,046,733,120","1,328,687,640","1,390,761,240","1,755,526,220","1,523,009,280","853,874,117","705,658,421","1,094,569,081","1,406,564,500","1,855,822,360","1,659,049,200","1,923,096,151","2,021,453,905","1,926,069,927","2,226,599,540","2,209,742,847","2,015,940,785","2,016,076,113","1,789,835,367","1,547,725,760","1,388,799,200","1,294,456,790","1,375,431,970","1,164,376,720","1,434,259,417","1,261,843,200","1,305,898,600","953,442,000","892,261,260","456,358,250","484,322,330","558,243,048","832,514,883","758,354,265","602,778,044","387,146,240","410,305,000","227,575,793","147,068,223","163,765,230","173,457,125","181,423,175","190,286,614","270,122,685","218,218,594","164,994,547","180,911,720","294,230,744"
EnterpriseValue,"8,820,600,239","8,492,259,884","10,119,176,195","9,782,344,308","9,992,916,375","7,362,684,292","6,816,333,830","7,453,536,663","7,563,286,246","7,303,027,431","7,693,404,542","7,461,890,285","7,038,755,632","7,118,650,099","7,348,831,875","6,636,487,147","5,205,914,277","5,587,733,307","5,998,276,814","6,531,039,695","6,857,154,002","6,883,381,536","6,404,814,298","5,623,327,040","6,395,534,361","5,808,519,111","6,047,808,353","5,501,325,000","4,362,163,594","4,622,876,666","4,327,361,550","5,368,585,919","4,563,878,235","4,747,991,968","4,081,133,014","3,787,851,000","4,224,080,880","4,130,049,560","3,846,354,000","3,445,066,000","3,207,661,120","3,541,128,640","3,519,642,240","3,785,044,220","3,668,338,280","3,098,843,117","3,265,016,421","3,768,853,081","4,104,893,500","4,366,854,360","4,045,679,200","4,312,874,151","4,423,867,905","4,267,284,927","4,330,473,540","4,214,759,847","4,020,957,785","3,924,504,113","3,426,399,367","3,184,289,760","3,154,332,200","3,163,091,790","3,217,363,970","2,920,175,720","3,145,879,417","3,017,770,200","3,082,446,600","2,609,525,000","2,662,221,260","2,165,581,250","2,050,391,330","2,004,418,048","2,173,287,883","1,928,994,265","1,773,418,044","1,636,396,240","1,607,780,000","1,329,026,793","1,069,585,223","1,037,144,230","1,046,836,125","968,472,175","877,823,614","862,822,685","502,818,594","870,194,547","852,711,720","926,730,744"
PeRatio,"7.336","5.303","9.714","8.955","8.679","8.089","4.911","6.091","6.306","6.209","11.206","11.353","10.789","11.703","13.465","12.712","8.434","10.327","11.231","13.308","14.931","15.234","15.528","13.308","17.308","15.493","17.864","18.03","13.757","15.589","14.061","13.677","10.212","12.828","11.391","9.467","15.683","14.94","14.397","12.11","10.819","15.021","16.681",,,,,"8.434","9.571","12.719","12.933","15.45","14.993","14.604","12.672","14.182","12.939","16.412","15.403","13.323","12.213","11.177","11.98","10.586","13.552","12.785","15.121","9.829","11","7.231","8.483","6.091","13.022","17.206","19.702","13.752","14.831","8.414","4.343","6.322","6.992","7.869","8.85","21.147","15.769","11.742","14.356",
ForwardPeRatio,"10.811","5.045","9.268","8.673","8.389","7.905","7.189","8.554","9.208","8.78","10.071","10.341","10.288","11.013","12.195","11.588","8.17","9.259","10.06","11.534","12.707","12.531","13.123","11.39","13.141","10.917","13.106","12.346","9.166","10.616","10.56","10.718","7.123","10.917","10.299","8.857","12.837","11.39","12.484",,,,,,,,"10.661","15.924","20.45","27.027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PegRatio,"1.907","0.737","1.691","1.364","1.384","1.302","0.897","1.087","1.199","1.021","1.12","1.126","1.134","1.513","1.612","2.208","1.664","1.68","1.257","1.391","1.653","1.247","1.208","1.165","1.284","1.016","1.125","1.187","0.898","0.852","0.666","0.68","0.475","0.636","0.662","0.618","0.917","0.724","0.792",,,,,,,,"0.711","1.061","1.364","1.801",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PsRatio,"0.125","0.1","0.185","0.178","0.177","0.167","0.151","0.18","0.183","0.178","0.197","0.199","0.184","0.2","0.223","0.212","0.143","0.176","0.204","0.241","0.267","0.271","0.263","0.227","0.29","0.263","0.298","0.28","0.206","0.229","0.207","0.216","0.16","0.195","0.152","0.127","0.185","0.167","0.15","0.117","0.102","0.134","0.146","0.188","0.158","0.081","0.061","0.085","0.107","0.141","0.127","0.154","0.128","0.17","0.05","0.102","0.093","0.193","0.164","0.142","0.135","0.129","0.137","0.114","0.144","0.125","0.15","0.035","0.063","0.05","0.069","0.03","0.091","0.124","0.142","0.092","0.101","0.059","0.02","0.056","0.062","0.061","0.059","0.07","0.059","0.047","0.058","0.096"
PbRatio,"1.038","0.811","1.543","1.452","1.468","1.432","1.32","1.61","1.613","1.573","1.974","2.056","2.022","2.303","2.521","2.42","1.593","1.806","2.134","2.492","2.857","2.811","2.704","2.248","2.853","2.574","2.947","2.851","2.117","2.289","2.064","2.242","1.622","1.951","1.562","1.298","1.869","1.687","1.534","1.189","1.093","1.414","1.47","1.91","1.703","1.035","0.9","0.787","0.945","1.281","1.167","1.427","1.551","1.487","1.769","1.802","1.644","1.733","1.591","1.376","1.264","1.188","1.279","1.129","1.426","1.297","1.576","1.218","1.205","0.641","0.688","0.81","1.263","1.471","1.169","0.793","0.878","0.493","0.348","0.39","0.413","0.427","0.442","0.634","0.643","0.482","0.529","0.818"
EnterprisesValueRevenueRatio,"0.39","1.695","1.718","1.639","1.736","1.323","1.253","1.317","1.273","1.271","1.425","1.351","1.307","1.401","1.504","1.288","0.991","1.158","1.219","1.317","1.398","1.54","1.488","1.273","1.451","1.435","1.601","1.439","1.179","1.36","1.371","1.578","1.353","1.464","1.392","1.284","1.462","1.445","1.39","1.25","1.186","1.421","1.431","1.463","1.582","1.436","1.559","1.258","1.221","1.363","1.312","1.266","1.308","1.375","1.678","1.368","1.372","1.468","1.588","1.138","1.15","1.237","1.329","1.086","1.28","1.281","1.426","1.104","1.184","1.095","1.092","0.973","1.109","1.181","1.098","1.025","0.995","0.953","0.864","0.779","0.869","0.872","0.888","0.795","0.482","0.962","1.02","1.032"
EnterprisesValueEBITDARatio,"10.41","56.842","46.143","40.726","41.917","34.746","33.595","32.197","30.205","33.408","38.699","35.978","31.692","38.314","42.114","35.188","25.952","32.792","38.45","36.919","36.033","42.78","38.467","35.478","38.855","41.108","45.841","40.167","31.685","37.885","38.744","57.96","40.705","42.255","43.998","37.393","45.635","49.721","49.113","42.922","41.153","52.974","53.485","47.678","55.059","49.349","-5.264","49.215","39.845","46.023","46.704","39.593","41.455","46.391","58.861","43.396","40.718","48.874","40.917","35.497","35.828","43.019","40.834","34.709","40.327","44.546","46.665","35.484","37.979","39.229","72.434","31.765","33.91","40.406","38.34","32.578","30.101","26.985","26.885","22.34","24.025","29.666","17.833","31.605","18.152","45.323","284.237","35.781"
