name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995
MarketCap,"1,999,506,230","1,902,688,033","4,100,401,965","3,948,165,103","4,127,522,320","3,911,926,931","3,522,301,728","4,557,827,607","4,293,989,576","4,211,101,674","4,174,936,547","4,405,485,159","4,157,712,720","4,031,719,722","3,748,196,996","2,757,403,771","2,451,249,495","2,113,957,462","2,265,554,302","2,394,105,468","2,805,429,489","2,406,385,812","2,169,453,249","2,090,388,096","2,311,643,573","2,107,307,753","1,872,084,290","1,543,515,766","1,591,733,437","1,485,337,797","1,448,536,274","1,351,184,363","1,489,560,264","1,572,120,395","1,447,206,035","1,380,404,203","1,741,566,662","1,622,636,130","1,589,095,866","1,343,104,143","1,383,038,153","1,605,475,374","1,116,409,414","939,608,527","636,026,482","735,064,348","622,938,384","685,844,808","573,826,738","569,500,332","597,192,354","671,046,784","635,688,997","717,670,744","607,413,750","591,561,591","563,528,714","548,323,053","487,084,900","503,306,263","464,413,863","432,409,724","456,852,553","396,978,535","408,447,482","414,598,297","396,388,998","353,833,129","328,872,006","272,507,859","229,427,204","222,758,371","243,837,948","207,881,125","165,988,601","175,049,663","187,994,520","149,482,253","136,127,525","118,962,336","99,879,640","88,245,946","90,186,250","110,872,875","146,501,000","123,791,314","152,264,250","153,124,500","183,035,500","191,641,500","206,197,250","189,777,500","179,426,000","171,524,500","126,936,000","114,405,500","108,869,750","114,866,812","110,715,000","116,250,750","110,715,000"
PeRatio,"6.563","5.225","9.655","9.862","10.668","11.101","15.019","27.027","28.178","30.116","22.206","19.988","18.822","18.395","19.253","15.537","15.315","13.932","14.965","16.305","20.676","19.1","20.785","20.837","23.614","31.886","29.787","25.199","27.492","19.678","19.324","20.538","25.352","29.337","27.542","26.291","33.512","32.858","32.546","6.998","6.465","7.358","7.548","17.925","18.078","19.549","15.789","16.212","12.598","12.43","14.297","15.531","14.048","15.591","16.871","25.738","24.603","24.596","22.691","23.643","15.558","14.805","17.649","15.901","16.813","16.862","17.251","15.802","15.17","13.003","13.298","13.246","16.151","14.691","11.746","12.599","13.575","11.262","12.572","11.166","9.375","8.654","8.987","8.868","12.011","10.789","14.183","20.602","28.191","31.534","35.994","26.19","31.707","29.878","22.5","28.704","17.353","19.453",,,
ForwardPeRatio,"8.54","5.203","10.764","10.071","10.605","10.152",,"11.669","12.107","12.69","14.43","14.184","19.342","16.835","17.825","13.423","13.28","10.593","12.21","12.285","13.624","12.579","15.083","14.535","16.34","16.863","17.094","13.387","15.823","13.351","14.749","14.451","14.493","15.408","16.313","15.244","16.502","16.103","22.371","16.393",,"10.605",,"19.194","16.611","9.066",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PegRatio,,,,,,,,,,,,,,,,,,,,,,"1.797","2.155","2.077","2.333","2.411","2.441","1.912","2.26","1.908","2.107","1.204","1.207","1.467","1.631","1.451","1.651","1.609","2.035","1.821",,"1.061",,"2.133","1.845","0.809",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PsRatio,"1.664","1.589","3.42","3.514","3.587","3.462","2.998","3.896","3.779","3.974","4.026","4.187","3.97","3.728","3.917","3.187","2.873","2.482","2.673","2.841","3.379","3.195","3.388","3.317","3.762","3.825","3.391","2.772","2.885","2.645","2.597","2.617","2.822","3.341","3.036","2.898","3.812","3.6","3.824","2.404","2.016","2.955","1.96","2.455","2.33","2.747","2.724","2.996","2.575","2.606","2.951","3.913","4.063","4.841","5.029","5.334","5.099","4.942","4.551","4.742","4.412","4.129","4.931","4.347","4.517","4.483","4.48","3.993","3.744","3.125","3.168","3.042","3.478","3.067","2.452","2.682","2.843","2.281","2.04","1.718","1.442","1.307","1.347","1.691","2.296","2.125","2.825","3.274","4.096","4.386","4.917","4.767","4.92","5.048","4.163","4.985","5.171","5.746",,,
PbRatio,"0.46","0.463","0.967","0.985","0.999","0.997","0.924","1.205","1.134","1.242","1.161","1.313","1.25","1.436","1.48","1.101","0.992","0.873","0.912","1.012","1.294","1.299","1.194","1.162","1.479","1.376","1.227","1.026","1.045","0.971","0.947","0.902","0.995","1.064","0.984","0.938","1.156","1.235","1.219","1.033","1.066","1.243","1.17","1.105","0.963","1.121","0.964","1.323","1.126","1.113","1.199","1.421","1.346","2.246","2.167","2.221","2.115","2.042","1.887","1.95","1.76","1.628","2.075","1.859","1.999","1.909","2.031","1.874","1.759","1.495","1.643","1.557","1.768","1.547","1.235","1.294","1.417","1.177","1.096","0.999","0.839","0.753","0.77","0.923","1.239","1","1.228","1.269","1.536","1.632","1.784","1.646","1.574","1.499","1.113","1.019","0.901","0.96","0.941","1.001","0.954"
