name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995
TotalAssets,"12,490,500,000","12,399,700,000","15,469,600,000","14,220,400,000","13,790,900,000","13,759,700,000","13,378,700,000","13,484,900,000","12,624,400,000","8,569,900,000","8,042,700,000","9,230,200,000","9,815,600,000","9,856,600,000","10,634,000,000","23,719,200,000","25,112,500,000","26,578,900,000","30,336,100,000","31,588,000,000","30,769,600,000","27,607,900,000","22,549,000,000","18,997,700,000","17,757,700,000"
	TotalInvestments,"7,996,000,000","7,287,400,000","9,041,700,000","8,449,500,000","7,953,400,000","8,250,300,000","7,593,300,000","7,478,300,000","6,721,300,000","4,965,900,000","4,717,100,000","4,303,000,000","5,924,100,000","5,771,900,000","5,866,100,000","8,210,400,000","8,104,900,000","8,677,100,000","10,165,000,000","7,995,600,000","7,187,500,000","8,332,200,000","7,934,600,000","8,093,800,000","922,700,000"
		FixedMaturityInvestments,"6,687,100,000","6,161,500,000","7,779,700,000","7,331,300,000","6,983,400,000","7,378,100,000","6,970,600,000","6,952,200,000",,,,,,,,,,,,,,,,,
		EquityInvestments,"575,700,000","464,400,000","576,500,000","584,400,000","576,600,000","580,800,000","430,200,000","315,800,000","6,531,100,000","4,926,500,000","4,684,800,000","4,253,500,000","5,766,900,000","5,646,200,000","5,726,200,000","7,839,200,000","7,661,800,000","8,055,900,000","9,463,800,000","7,806,000,000","7,017,000,000","8,177,900,000","7,792,700,000","7,961,400,000",
		NetLoan,,,,,,,,,,,"14,100,000","31,100,000","157,200,000","125,700,000","139,900,000","371,200,000","443,100,000","621,200,000","701,200,000","189,600,000","170,500,000","154,300,000","141,900,000","132,400,000","922,700,000"
			MortgageAndConsumerloans,,,,,,,,,,,"14,100,000","31,100,000",,,,,,,,,,,,,
		OtherShortTermInvestments,"7,262,800,000","6,625,900,000","8,356,200,000","7,915,700,000","7,560,000,000","7,958,900,000","7,400,800,000","7,268,000,000",,,,,,,,,,,,,,,,,
			ShortTermInvestmentsAvailableForSale,"7,262,800,000","6,625,900,000","8,356,200,000","7,915,700,000","7,560,000,000","7,958,900,000","7,400,800,000","7,268,000,000",,,,,,,,,,,,,,,,,
		OtherInvestedAssets,"733,200,000","661,500,000","685,500,000","533,800,000","393,400,000","291,400,000","192,500,000","210,300,000","190,200,000","39,400,000","18,200,000","18,400,000",,,,,,,,,,,,,
	CashAndCashEquivalents,"215,700,000","1,020,700,000","376,400,000","282,600,000","338,800,000","373,300,000","486,200,000","564,800,000","820,400,000","290,400,000","316,500,000","416,900,000","275,400,000","372,700,000","701,500,000","486,500,000","380,500,000","389,800,000","350,200,000","279,200,000","442,200,000","550,300,000","215,100,000","178,500,000",
	ReinsuranceRecoverable,,,,,,,,,"2,262,200,000","1,254,200,000","1,197,900,000","1,130,300,000",,,,,,,,,,,,,
	Receivables,"3,074,400,000","2,825,300,000","4,624,600,000","4,049,900,000","4,026,700,000","3,629,100,000","3,659,600,000","3,788,500,000","1,168,100,000","772,000,000","590,800,000","578,500,000","2,008,400,000","1,935,200,000","2,110,500,000","2,511,800,000","2,592,100,000","2,640,500,000","2,055,200,000","2,040,500,000","1,863,400,000","1,646,500,000","1,594,700,000","533,000,000","526,700,000"
		AccountsReceivable,"3,074,400,000","2,825,300,000","4,624,600,000","4,049,900,000","4,026,700,000","3,629,100,000","3,659,600,000","3,788,500,000","1,168,100,000","772,000,000","590,800,000","578,500,000","629,500,000","584,700,000","493,200,000","485,400,000","480,900,000","564,700,000","628,400,000","617,200,000","583,500,000","510,500,000","554,400,000","533,000,000","526,700,000"
		OtherReceivables,,,,,,,,,,,,,"1,378,900,000","1,350,500,000","1,617,300,000","2,026,400,000","2,111,200,000","2,075,800,000","1,426,800,000","1,423,300,000","1,279,900,000","1,136,000,000","1,040,300,000",,
	AccruedInvestmentIncome,"53,000,000","53,200,000","62,700,000","61,700,000","62,900,000","66,900,000","68,000,000","69,000,000","71,800,000","53,800,000","52,300,000","53,000,000","72,500,000","72,300,000","76,500,000","118,200,000","126,500,000","138,300,000","152,300,000","140,800,000","134,700,000","142,300,000","142,300,000","149,000,000","163,200,000"
	DeferredPolicyAcquisitionCosts,"467,400,000","450,800,000","550,200,000","517,500,000","508,800,000","525,700,000","506,000,000","489,500,000","498,400,000","345,300,000","286,300,000","266,700,000","250,500,000","233,500,000","209,000,000","905,500,000","1,115,500,000","1,242,200,000","1,784,200,000","1,597,200,000","1,386,800,000","1,161,200,000","965,500,000","822,700,000","735,700,000"
	DeferredTaxAssets,"0","50,600,000","29,200,000","115,100,000","137,900,000","131,200,000","239,700,000","267,600,000","260,000,000","177,400,000","228,600,000","285,800,000","330,500,000","385,000,000","465,300,000","415,100,000","381,000,000","413,200,000","168,100,000","102,300,000","141,700,000","19,800,000","0","93,200,000",
	GoodwillAndOtherIntangibleAssets,"178,800,000","178,800,000","192,600,000","184,800,000","186,000,000","184,600,000","184,900,000","184,900,000","185,500,000","179,200,000","171,400,000","169,900,000","126,000,000","121,400,000","128,200,000","128,200,000","128,200,000","131,200,000",,,,,,,
		Goodwill,"178,800,000","178,800,000","192,600,000","184,800,000","186,000,000","184,600,000","184,900,000","184,900,000","185,500,000","179,200,000","171,400,000","169,900,000","126,000,000","121,400,000","128,200,000","128,200,000","128,200,000","131,200,000",,,,,,,
		OtherIntangibleAssets,,,,,,,,,,,,"169,900,000",,,,,,,,,,,,,
	SeparateAccountAssets,,,,,,,,,,,,,"481,300,000","543,600,000","571,900,000","10,455,000,000","11,835,400,000","12,343,400,000","14,838,400,000","17,437,400,000","17,629,600,000","13,697,700,000","9,755,400,000","6,233,000,000","4,348,800,000"
	AssetsOfDiscontinuedOperations,"102,800,000","161,300,000","88,000,000","79,500,000","83,000,000","112,000,000","114,900,000","130,500,000","121,200,000","133,600,000","130,600,000",,,,,,,,,,,,,,
	OtherAssets,"402,400,000","371,600,000","504,200,000","479,800,000","493,400,000","486,600,000","526,100,000","511,800,000","515,500,000","398,100,000","351,200,000","2,026,100,000","346,900,000","421,000,000","505,000,000","488,500,000","448,400,000","603,200,000","822,700,000","1,995,000,000","1,983,700,000","2,057,900,000","1,941,400,000","2,894,500,000","11,060,600,000"
TotalLiabilitiesNetMinorityInterest,"9,574,300,000","9,445,000,000","12,471,900,000","11,362,900,000","10,946,500,000","10,915,700,000","10,784,200,000","10,889,500,000","10,114,600,000","6,109,400,000","5,684,100,000","7,343,000,000","7,516,600,000","7,857,400,000","8,682,700,000","21,379,700,000","22,892,300,000","24,206,700,000","27,645,000,000","28,878,900,000","28,229,400,000","24,849,300,000","19,714,800,000","16,489,000,000","15,425,000,000"
	PolicyReservesBenefits,"8,071,100,000","7,581,900,000","10,508,600,000","9,510,400,000","9,115,200,000","8,975,600,000","8,747,300,000","8,671,800,000","8,052,400,000","4,798,000,000","4,454,400,000","4,491,900,000","8,241,900,000","8,324,400,000","8,755,800,000","11,512,900,000","11,954,700,000","12,686,500,000","14,045,400,000","11,751,300,000","11,419,800,000","11,900,900,000","10,721,800,000","11,054,400,000","9,258,900,000"
		UnpaidLossAndLossReserve,"5,654,400,000","5,304,100,000","7,745,000,000","6,949,400,000","6,574,400,000","6,391,700,000","6,231,500,000","6,197,000,000","5,760,300,000","3,277,700,000","3,153,900,000","3,245,600,000","5,740,700,000","5,785,800,000","6,153,700,000","6,641,300,000","6,681,700,000","6,966,600,000","7,129,400,000","5,782,400,000","5,663,600,000","5,618,500,000","5,423,700,000","5,557,800,000","3,081,300,000"
		UnearnedPremiums,"2,416,700,000","2,277,800,000","2,763,600,000","2,561,000,000","2,540,800,000","2,583,900,000","2,515,800,000","2,474,800,000","2,292,100,000","1,520,300,000","1,300,500,000","1,246,300,000","1,157,100,000","1,101,400,000","1,011,300,000","1,029,800,000","1,032,500,000","1,047,000,000","1,052,500,000","981,600,000","890,200,000","843,200,000","846,800,000","822,500,000","800,900,000"
		FuturePolicyBenefits,,,,,,,,,,,,,"1,164,900,000","1,242,300,000","1,336,100,000","3,462,300,000","3,556,800,000","3,900,100,000","4,099,600,000","2,907,200,000","2,825,000,000","2,802,200,000","2,598,600,000","2,613,700,000","2,639,300,000"
		PolicyholderFunds,,,,,,,,,,,,"1,800,000","179,200,000","194,900,000","254,700,000","379,500,000","683,700,000","772,800,000","1,763,900,000","2,080,100,000","2,041,000,000","2,637,000,000","1,852,700,000","2,060,400,000","2,737,400,000"
	PayablesAndAccruedExpenses,"681,100,000","947,100,000","1,061,000,000","979,900,000","930,100,000","922,200,000","1,011,900,000","1,242,000,000","1,021,800,000","576,100,000","661,700,000","692,100,000","696,400,000","980,700,000","1,154,000,000","1,239,300,000","959,200,000","1,674,600,000","1,059,400,000","890,100,000","868,500,000","766,300,000","708,400,000","653,700,000",
		Payables,"681,100,000","947,100,000","1,061,000,000","979,900,000","930,100,000","922,200,000","1,011,900,000","1,242,000,000","1,021,800,000","576,100,000","661,700,000","692,100,000","696,400,000","980,700,000","1,154,000,000","1,239,300,000","959,200,000","1,674,600,000","1,059,400,000","890,100,000","868,500,000","766,300,000","708,400,000","653,700,000",
			AccountsPayable,"53,400,000","37,300,000","344,800,000","251,900,000","205,200,000","226,800,000","374,700,000","466,200,000","378,900,000","34,400,000","58,500,000","61,300,000",,,,,,,,,,,,,
			TotalTaxPayable,"627,700,000","909,800,000","716,200,000","728,000,000","724,900,000","695,400,000","637,200,000","775,800,000","642,900,000","541,700,000","603,200,000","630,800,000",,,,,,,,,,,,,
				IncomeTaxPayable,"627,700,000","909,800,000","716,200,000","728,000,000","724,900,000","695,400,000","637,200,000","775,800,000","642,900,000","541,700,000","603,200,000","630,800,000",,,,,,,,,,,,,
	CurrentDebtAndCapitalLeaseObligation,,,,,,,,,,,,,,,,,,"0","83,300,000","56,600,000","45,000,000","221,300,000","33,000,000","38,400,000","31,200,000"
		CurrentDebt,,,,,,,,,,,,,,,,,,"0","83,300,000","56,600,000","45,000,000","221,300,000","33,000,000","38,400,000","31,200,000"
			OtherCurrentBorrowings,,,,,,,,,,,,,,,,,,"0","83,300,000","56,600,000","45,000,000","221,300,000","33,000,000","38,400,000","31,200,000"
	LongTermDebtAndCapitalLeaseObligation,"653,400,000","777,900,000","786,900,000","786,400,000","812,800,000","903,500,000","903,900,000","849,400,000","911,100,000","605,900,000","433,900,000","531,400,000","511,900,000","508,800,000","508,800,000","508,800,000","499,500,000","199,500,000","199,500,000","199,500,000","199,500,000","199,500,000","202,100,000","202,200,000","202,300,000"
		LongTermDebt,"653,400,000","777,900,000","786,900,000","786,400,000","812,800,000","903,500,000","903,900,000","849,400,000","911,100,000","605,900,000","433,900,000","531,400,000","511,900,000","508,800,000","508,800,000","508,800,000","499,500,000","199,500,000","199,500,000","199,500,000","199,500,000","199,500,000","202,100,000","202,200,000","202,300,000"
	NonCurrentDeferredLiabilities,"51,800,000",,,,,,,,,,,,,,,,,,,,,,"12,900,000",,
		NonCurrentDeferredTaxesLiabilities,"51,800,000",,,,,,,,,,,,,,,,,,,,,,"12,900,000",,
	SeparateAccountBusiness,,,,,,,,,,,,,"481,300,000","543,600,000","571,900,000","10,455,000,000","11,835,400,000","12,343,400,000","14,838,400,000","17,437,400,000","17,628,900,000","13,691,500,000","9,749,700,000","6,227,200,000","4,337,800,000"
	OtherLiabilities,"116,900,000","138,100,000","115,400,000","86,200,000","88,400,000","114,400,000","121,100,000","126,300,000","129,300,000","129,400,000","134,100,000","1,627,600,000","-2,414,900,000","-2,500,100,000","-2,307,800,000","-2,336,300,000","-2,356,500,000","-2,697,300,000","-2,581,000,000","-1,456,000,000","-1,932,300,000","-1,930,200,000","-1,713,100,000","-1,686,900,000","1,594,800,000"
TotalEquityGrossMinorityInterest,"2,916,200,000","2,954,700,000","2,997,700,000","2,857,500,000","2,844,400,000","2,844,000,000","2,594,500,000","2,595,400,000","2,509,800,000","2,460,500,000","2,358,600,000","1,887,200,000","2,299,000,000","1,999,200,000","1,951,300,000","2,339,500,000","2,220,200,000","2,372,200,000","2,691,100,000","2,709,100,000","2,540,200,000","2,758,600,000","2,834,200,000","2,508,700,000","2,332,700,000"
	StockholdersEquity,"2,916,200,000","2,954,700,000","2,997,700,000","2,857,500,000","2,844,400,000","2,844,000,000","2,594,500,000","2,595,400,000","2,509,800,000","2,460,500,000","2,358,600,000","1,887,200,000","2,299,000,000","1,999,200,000","1,951,300,000","2,339,500,000","2,220,200,000","2,072,200,000","2,391,100,000","2,409,100,000","2,240,200,000","2,458,600,000","2,381,300,000","1,724,700,000","1,574,200,000"
		CapitalStock,"600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","500,000",
			PreferredStock,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
			CommonStock,"600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","500,000",
		AdditionalPaidInCapital,"1,837,300,000","1,871,800,000","1,857,000,000","1,846,700,000","1,833,500,000","1,830,700,000","1,830,100,000","1,787,100,000","1,784,800,000","1,796,500,000","1,808,500,000","1,803,800,000","1,822,600,000","1,814,300,000","1,785,100,000","1,782,100,000","1,775,600,000","1,768,400,000","1,758,400,000","1,765,300,000","1,770,500,000","1,768,800,000","1,755,000,000","1,382,500,000",
		RetainedEarnings,"2,410,900,000","2,182,300,000","1,975,000,000","1,875,600,000","1,803,500,000","1,558,700,000","1,349,100,000","1,211,600,000","1,237,100,000","1,246,800,000","1,141,100,000","949,800,000","946,900,000","712,000,000","589,800,000","943,400,000","833,100,000","746,200,000","1,052,300,000","1,068,700,000","882,200,000","599,900,000","407,800,000","210,100,000","38,200,000"
		TreasuryStock,"1,485,200,000","983,500,000","942,500,000","928,200,000","847,100,000","752,400,000","762,900,000","729,700,000","723,100,000","720,100,000","620,400,000","482,200,000","450,700,000","487,800,000","364,700,000","389,600,000","405,200,000","405,600,000","406,500,000","420,300,000","337,800,000","91,200,000",,,
		GainsLossesNotAffectingRetainedEarnings,"152,600,000","-116,500,000","107,600,000","62,800,000","53,900,000","206,400,000","177,600,000","325,800,000","210,400,000","136,700,000",,"-384,800,000","-20,400,000","-39,900,000","-59,500,000","3,000,000","16,100,000","-37,400,000","-13,700,000","-5,200,000","-75,300,000","180,500,000","217,900,000","131,600,000",
		OtherEquityInterest,,,,,,,,,,,"28,800,000",,,,,,,,,,,,,,"1,536,000,000"
	MinorityInterest,,,,,,,,,,,,,,,,,"0","300,000,000","300,000,000","300,000,000","300,000,000","300,000,000","452,900,000","784,000,000","758,500,000"
TotalCapitalization,"3,569,600,000","3,732,600,000","3,784,600,000","3,643,900,000","3,657,200,000","3,747,500,000","3,498,400,000","3,444,800,000","3,420,900,000","3,066,400,000","2,792,500,000","2,418,600,000","2,810,900,000","2,508,000,000","2,460,100,000","2,848,300,000","2,719,700,000","2,271,700,000","2,590,600,000","2,608,600,000","2,439,700,000","2,658,100,000","2,583,400,000","1,926,900,000","1,776,500,000"
CommonStockEquity,"2,916,200,000","2,954,700,000","2,997,700,000","2,857,500,000","2,844,400,000","2,844,000,000","2,594,500,000","2,595,400,000","2,509,800,000","2,460,500,000","2,358,600,000","1,887,200,000","2,299,000,000","1,999,200,000","1,951,300,000","2,339,500,000","2,220,200,000","2,072,200,000","2,391,100,000","2,409,100,000","2,240,200,000","2,458,600,000","2,381,300,000","1,724,700,000","1,574,200,000"
NetTangibleAssets,"2,737,400,000","2,775,900,000","2,805,100,000","2,672,700,000","2,658,400,000","2,659,400,000","2,409,600,000","2,410,500,000","2,324,300,000","2,281,300,000","2,187,200,000","1,717,300,000","2,173,000,000","1,877,800,000","1,823,100,000","2,211,300,000","2,092,000,000","1,941,000,000","2,391,100,000","2,409,100,000","2,240,200,000","2,458,600,000","2,381,300,000","1,724,700,000","1,574,200,000"
InvestedCapital,"3,569,600,000","3,732,600,000","3,784,600,000","3,643,900,000","3,657,200,000","3,747,500,000","3,498,400,000","3,444,800,000","3,420,900,000","3,066,400,000","2,792,500,000","2,418,600,000","2,810,900,000","2,508,000,000","2,460,100,000","2,848,300,000","2,719,700,000","2,271,700,000","2,673,900,000","2,665,200,000","2,484,700,000","2,879,400,000","2,616,400,000","1,965,300,000","1,807,700,000"
TangibleBookValue,"2,737,400,000","2,775,900,000","2,805,100,000","2,672,700,000","2,658,400,000","2,659,400,000","2,409,600,000","2,410,500,000","2,324,300,000","2,281,300,000","2,187,200,000","1,717,300,000","2,173,000,000","1,877,800,000","1,823,100,000","2,211,300,000","2,092,000,000","1,941,000,000","2,391,100,000","2,409,100,000","2,240,200,000","2,458,600,000","2,381,300,000","1,724,700,000","1,574,200,000"
TotalDebt,"653,400,000","777,900,000","786,900,000","786,400,000","812,800,000","903,500,000","903,900,000","849,400,000","911,100,000","605,900,000","433,900,000","531,400,000","511,900,000","508,800,000","508,800,000","508,800,000","499,500,000","199,500,000","282,800,000","256,100,000","244,500,000","420,800,000","235,100,000","240,600,000","233,500,000"
NetDebt,"437,700,000",,"410,500,000","503,800,000","474,000,000","530,200,000","417,700,000","284,600,000","90,700,000","315,500,000","117,400,000","114,500,000","236,500,000","136,100,000",,"22,300,000","119,000,000",,,,,,"20,000,000","62,100,000","233,500,000"
ShareIssued,"60,500,000","60,500,000","60,500,000","60,500,000","60,500,000","60,500,000","60,500,000","60,500,000","60,500,000","60,500,000","60,500,000","60,500,000","51,908,839","51,100,000","53,700,000","53,200,000","53,000,000","52,900,000","52,900,000","52,700,000","54,200,000","58,600,000","60,000,000","50,100,000","50,100,000"
OrdinarySharesNumber,"38,400,000","42,300,000","42,500,000","42,400,000","43,000,000","43,900,000","43,700,000","44,300,000","44,600,000","44,900,000","47,500,000","50,900,000","51,908,839","51,100,000","53,700,000","53,200,000","53,000,000","52,900,000","52,900,000","52,700,000","54,200,000","58,600,000","60,000,000","50,100,000","50,100,000"
TreasurySharesNumber,"22,100,000","18,200,000","18,000,000","18,100,000","17,500,000","16,600,000","16,800,000","16,200,000","15,900,000","15,600,000","13,000,000","9,600,000",,,,,,,,,,,,,
