name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010
TotalRevenue,"105,068,000,000","20,878,000,000","29,125,000,000","27,218,000,000","27,847,000,000","23,103,000,000","29,098,000,000","29,788,000,000","28,980,000,000","23,595,000,000","29,746,000,000","25,627,000,000","24,087,000,000","22,894,000,000","23,397,000,000","21,624,000,000","21,849,000,000","17,409,000,000","21,893,000,000","25,792,000,000","28,512,000,000","22,778,000,000","34,963,000,000","40,417,000,000","45,549,000,000","40,283,000,000","42,892,000,000","44,201,000,000","43,240,000,000","41,263,000,000","43,714,000,000","42,948,000,000","47,012,000,000","45,786,000,000","49,935,000,000","50,407,000,000","52,646,000,000","44,783,000,000","41,113,000,000"
	OperatingRevenue,"105,068,000,000","20,878,000,000","29,125,000,000","27,218,000,000","27,847,000,000","23,103,000,000","29,098,000,000","29,788,000,000","28,980,000,000","23,595,000,000","29,746,000,000","25,627,000,000","24,087,000,000","22,894,000,000","23,397,000,000","21,624,000,000","21,849,000,000","17,409,000,000","21,893,000,000","25,792,000,000","28,512,000,000","22,778,000,000","34,963,000,000","40,417,000,000","45,549,000,000","40,283,000,000","42,892,000,000","44,201,000,000","43,240,000,000","41,263,000,000","43,796,000,000","42,944,000,000","46,935,000,000","45,784,000,000","49,715,000,000","50,389,000,000","52,637,000,000","44,780,000,000","41,115,000,000"
CostOfRevenue,"92,914,000,000","18,440,000,000","26,114,000,000","23,806,000,000","24,554,000,000","21,055,000,000","24,660,000,000","26,385,000,000","25,747,000,000","21,138,000,000","23,914,000,000","19,463,000,000","18,353,000,000","17,679,000,000","18,379,000,000","15,961,000,000","16,198,000,000","11,930,000,000","15,871,000,000","18,580,000,000","22,253,000,000","16,695,000,000","28,449,000,000","33,602,000,000","39,316,000,000","34,381,000,000","36,958,000,000","38,746,000,000","37,277,000,000","35,264,000,000","34,608,000,000","37,073,000,000","41,382,000,000","41,420,000,000","43,969,000,000","44,932,000,000","47,618,000,000","40,390,000,000","37,021,000,000"
GrossProfit,"12,154,000,000","2,438,000,000","3,011,000,000","3,412,000,000","3,293,000,000","2,048,000,000","4,438,000,000","3,403,000,000","3,233,000,000","2,457,000,000","5,832,000,000","6,164,000,000","5,734,000,000","5,215,000,000","5,018,000,000","5,663,000,000","5,651,000,000","5,479,000,000","6,022,000,000","7,212,000,000","6,259,000,000","6,083,000,000","6,514,000,000","6,815,000,000","6,233,000,000","5,902,000,000","5,934,000,000","5,455,000,000","5,963,000,000","5,999,000,000","9,106,000,000","5,875,000,000","5,630,000,000","4,366,000,000","5,966,000,000","5,475,000,000","5,028,000,000","4,393,000,000","4,092,000,000"
OperatingExpense,"8,494,000,000","2,159,000,000","2,327,000,000","2,027,000,000","1,981,000,000","2,094,000,000","2,169,000,000","2,077,000,000","2,008,000,000","2,068,000,000","5,887,000,000","5,313,000,000","5,234,000,000","4,673,000,000","5,134,000,000","5,165,000,000","5,282,000,000","5,132,000,000","5,262,000,000","5,380,000,000","5,253,000,000","5,133,000,000","5,541,000,000","5,617,000,000","5,543,000,000","5,333,000,000","5,530,000,000","5,208,000,000","5,091,000,000","4,856,000,000","8,038,000,000","4,078,000,000","4,185,000,000","3,990,000,000","4,116,000,000","4,273,000,000","4,210,000,000","4,027,000,000","4,198,000,000"
	SellingGeneralAndAdministration,"1,634,000,000","319,000,000","491,000,000","416,000,000","408,000,000","366,000,000","419,000,000","440,000,000","432,000,000","386,000,000","437,000,000","435,000,000","439,000,000","384,000,000","420,000,000","411,000,000","421,000,000","386,000,000","433,000,000","437,000,000","406,000,000","394,000,000","448,000,000","401,000,000","412,000,000","402,000,000","418,000,000","354,000,000","374,000,000","332,000,000","461,000,000","432,000,000","480,000,000","349,000,000","367,000,000","372,000,000","347,000,000","323,000,000","402,000,000"
	DepreciationAmortizationDepletionIncomeStatement,"1,352,000,000","342,000,000","340,000,000","336,000,000","334,000,000","331,000,000","337,000,000","346,000,000","337,000,000","336,000,000","346,000,000","337,000,000","320,000,000","315,000,000","305,000,000","293,000,000","290,000,000","280,000,000","281,000,000","270,000,000","274,000,000","253,000,000","273,000,000","249,000,000","239,000,000","234,000,000","235,000,000","236,000,000","231,000,000","245,000,000","244,000,000","229,000,000","224,000,000","216,000,000","241,000,000","222,000,000","226,000,000","219,000,000","220,000,000"
		DepreciationAndAmortizationInIncomeStatement,"1,352,000,000","342,000,000","340,000,000","336,000,000","334,000,000","331,000,000","337,000,000","346,000,000","337,000,000","336,000,000","346,000,000","337,000,000","320,000,000","315,000,000","305,000,000","293,000,000","290,000,000","280,000,000","281,000,000","270,000,000","274,000,000","253,000,000","273,000,000","249,000,000","239,000,000","234,000,000","235,000,000","236,000,000","231,000,000","245,000,000","244,000,000","229,000,000","224,000,000","216,000,000","241,000,000","222,000,000","226,000,000","219,000,000","220,000,000"
	OtherTaxes,"438,000,000","157,000,000","79,000,000","105,000,000","97,000,000","128,000,000","97,000,000","109,000,000","109,000,000","110,000,000","3,494,000,000","3,456,000,000","3,356,000,000","3,156,000,000","3,209,000,000","3,424,000,000","3,594,000,000","3,461,000,000","3,456,000,000","3,610,000,000","3,549,000,000","3,462,000,000","3,696,000,000","3,874,000,000","3,832,000,000","3,638,000,000","3,669,000,000","3,624,000,000","3,502,000,000","3,324,000,000","3,436,000,000","3,410,000,000","3,475,000,000","3,420,000,000","3,503,000,000","3,674,000,000","3,631,000,000","3,480,000,000","3,571,000,000"
	OtherOperatingExpenses,"5,070,000,000","1,341,000,000","1,417,000,000","1,170,000,000","1,142,000,000","1,269,000,000","1,316,000,000","1,182,000,000","1,130,000,000","1,236,000,000","1,610,000,000","1,085,000,000","1,119,000,000","818,000,000","1,200,000,000","1,037,000,000","977,000,000","1,005,000,000","1,092,000,000","1,063,000,000","1,024,000,000","1,024,000,000","1,124,000,000","1,093,000,000","1,060,000,000","1,059,000,000","1,208,000,000","994,000,000","984,000,000","955,000,000","3,897,000,000","7,000,000","6,000,000","5,000,000","5,000,000","5,000,000","6,000,000","5,000,000","5,000,000"
OperatingIncome,"3,660,000,000","279,000,000","684,000,000","1,385,000,000","1,312,000,000","-46,000,000","2,269,000,000","1,326,000,000","1,225,000,000","389,000,000","-55,000,000","851,000,000","500,000,000","542,000,000","-116,000,000","498,000,000","369,000,000","347,000,000","760,000,000","1,832,000,000","1,006,000,000","950,000,000","973,000,000","1,198,000,000","690,000,000","569,000,000","404,000,000","247,000,000","872,000,000","1,143,000,000","1,068,000,000","1,797,000,000","1,445,000,000","376,000,000","1,850,000,000","1,202,000,000","818,000,000","366,000,000","-106,000,000"
NetNonOperatingInterestIncomeExpense,"-407,000,000","-111,000,000","-72,000,000","-109,000,000","-115,000,000","-119,000,000","-76,000,000","-125,000,000","-135,000,000","-123,000,000","-83,000,000","-112,000,000","-107,000,000","-105,000,000","-70,000,000","-81,000,000","-83,000,000","-86,000,000","-47,000,000","-71,000,000","-79,000,000","-86,000,000","-52,000,000","-60,000,000","-66,000,000","-68,000,000","-48,000,000","-68,000,000","-69,000,000","-70,000,000","-58,000,000","-74,000,000","-83,000,000","-13,000,000","-6,000,000","-4,000,000","-3,000,000","-4,000,000","41,000,000"
	InterestExpenseNonOperating,"450,000,000","111,000,000","115,000,000","109,000,000","115,000,000","119,000,000","121,000,000","125,000,000","135,000,000","123,000,000","114,000,000","112,000,000","107,000,000","105,000,000","88,000,000","81,000,000","83,000,000","86,000,000","74,000,000","71,000,000","79,000,000","86,000,000","73,000,000","60,000,000","66,000,000","68,000,000","68,000,000","68,000,000","69,000,000","70,000,000","76,000,000","74,000,000","83,000,000","13,000,000","6,000,000","4,000,000","3,000,000","4,000,000","1,000,000"
OtherIncomeExpense,"-1,893,000,000","-2,646,000,000","454,000,000","-333,000,000","632,000,000","505,000,000","725,000,000","774,000,000","745,000,000","451,000,000","792,000,000","517,000,000","455,000,000","360,000,000","248,000,000","396,000,000","434,000,000","335,000,000","119,000,000","598,000,000","538,000,000","524,000,000","440,000,000","589,000,000","735,000,000","797,000,000","789,000,000","647,000,000","671,000,000","1,008,000,000","209,000,000","726,000,000","532,000,000","706,000,000","507,000,000","352,000,000","813,000,000","733,000,000","510,000,000"
	GainOnSaleOfSecurity,,,"0","9,000,000","-9,000,000","-5,000,000","1,000,000",,"14,000,000","16,000,000","6,000,000","-7,000,000",,"1,000,000","-1,000,000","9,000,000",,"7,000,000","1,000,000","-1,000,000",,"-49,000,000","-3,000,000","-13,000,000","-29,000,000","19,000,000","24,000,000","-1,000,000","19,000,000","-2,000,000","7,000,000","15,000,000","-8,000,000",,,"-18,000,000","31,000,000",,
	EarningsFromEquityInterest,"1,976,000,000","365,000,000","464,000,000","499,000,000","648,000,000","516,000,000","730,000,000","779,000,000","743,000,000","424,000,000","375,000,000","530,000,000","462,000,000","365,000,000","255,000,000","391,000,000","435,000,000","333,000,000","127,000,000","583,000,000","407,000,000","456,000,000","413,000,000","511,000,000","764,000,000","778,000,000","769,000,000","647,000,000","618,000,000","1,039,000,000","626,000,000","959,000,000","815,000,000","734,000,000","513,000,000","856,000,000","784,000,000","690,000,000","562,000,000"
	SpecialIncomeCharges,"-3,846,000,000","-3,005,000,000","-4,000,000","-835,000,000","-2,000,000","0","0","0","-6,000,000","17,000,000","417,000,000","-1,000,000","-1,000,000","-1,000,000","0","1,000,000","4,000,000","0","-4,000,000","21,000,000","137,000,000","122,000,000","36,000,000","97,000,000","6,000,000","6,000,000","2,000,000","7,000,000","40,000,000","-23,000,000","-399,000,000","-248,000,000","-275,000,000","-28,000,000","-40,000,000","-486,000,000","-2,000,000","43,000,000","-52,000,000"
		ImpairmentOfCapitalAssets,,"1,845,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"248,000,000","275,000,000","43,000,000","-16,000,000","486,000,000","2,000,000","0","51,000,000"
		WriteOff,"2,021,000,000","1,161,000,000","5,000,000","853,000,000","2,000,000","1,000,000","1,000,000","1,000,000","6,000,000",,"6,000,000","1,000,000","15,000,000","2,000,000","1,000,000","2,000,000","2,000,000",,"4,000,000","1,000,000","2,000,000","0","134,000,000","12,000,000","3,000,000","1,000,000","3,000,000","1,000,000","1,000,000","24,000,000","592,000,000",,,,,,,,
		OtherSpecialCharges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-15,000,000",,"-15,000,000",,,,"-43,000,000","1,000,000"
		GainOnSaleOfPPE,"20,000,000","1,000,000","1,000,000","18,000,000","0","1,000,000","1,000,000","1,000,000",,"17,000,000","0","0","14,000,000","1,000,000","1,000,000","3,000,000","6,000,000","0","0","22,000,000","139,000,000","122,000,000","170,000,000","109,000,000","9,000,000","7,000,000","5,000,000","8,000,000","41,000,000","1,000,000","4,000,000",,,,,,,,
	OtherNonOperatingIncomeExpenses,"-23,000,000","-6,000,000","-6,000,000","-6,000,000","-5,000,000","-6,000,000","-6,000,000","-5,000,000","-6,000,000","-6,000,000","-6,000,000","-5,000,000","-6,000,000","-5,000,000","-6,000,000","-5,000,000","-5,000,000","-5,000,000","-5,000,000","-5,000,000","-6,000,000","-5,000,000","-6,000,000","-6,000,000","-6,000,000","-6,000,000","-6,000,000","-6,000,000","-6,000,000","-6,000,000","-7,000,000",,,,,,,,
