name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999
TotalAssets,"6,787,000,000","7,154,000,000","8,471,000,000","7,449,000,000","6,576,000,000","4,477,215,000","3,002,937,000","1,934,822,000","1,652,146,000","1,509,214,000","1,245,235,000","1,149,186,000","1,171,305,000","864,475,000","621,814,000","533,859,000","344,585,000","204,966,000","149,620,000","102,012,000","101,636,000"
	CurrentAssets,"5,967,000,000","6,462,000,000","7,511,000,000","5,988,000,000","5,306,000,000","3,245,397,000","2,039,664,000","1,349,126,000","1,048,082,000","957,939,000","811,406,000","728,982,000","834,593,000","613,502,000","438,846,000","394,318,000","302,057,000",,,,
		CashCashEquivalentsAndShortTermInvestments,"4,398,000,000","4,507,000,000","5,879,000,000","4,577,000,000","4,130,000,000","2,558,525,000","1,638,947,000","1,138,615,000","830,743,000","751,261,000","644,345,000","577,032,000","701,919,000","485,131,000","352,640,000","316,601,000","240,672,000","2,000,000","102,750,000","45,785,000","26,120,000"
			CashAndCashEquivalents,"2,452,000,000","2,826,000,000","3,186,000,000","2,819,000,000","2,329,000,000","1,539,063,000","935,895,000","795,770,000","493,827,000","455,886,000","469,501,000","387,162,000","459,064,000","403,650,000","249,203,000","228,071,000","141,850,000","0","102,750,000","45,785,000","26,120,000"
			OtherShortTermInvestments,"1,946,000,000","1,681,000,000","2,693,000,000","1,758,000,000","1,801,000,000","1,019,462,000","703,052,000","342,845,000","336,916,000","295,375,000","174,844,000","189,870,000","242,855,000","81,481,000","103,437,000","88,530,000","98,822,000","2,000,000",,,
		Receivables,"1,406,000,000","1,330,000,000","925,000,000","1,013,000,000","610,000,000","596,456,000","331,677,000","149,682,000","179,577,000","168,190,000","142,721,000","132,581,000","111,537,000","118,795,000","73,546,000","65,430,000","53,689,000",,,,
			AccountsReceivable,"1,406,000,000","1,330,000,000","871,000,000","974,000,000","597,000,000","596,456,000","298,935,000","149,682,000","167,898,000","168,190,000","136,654,000","128,562,000",,,,,,,,,
			TaxesReceivable,,,"54,000,000","39,000,000","13,000,000","0","32,742,000","0","11,679,000","0","6,067,000","4,019,000",,,,,,,,,
		PrepaidAssets,"134,000,000","149,000,000","185,000,000","131,000,000","192,000,000","50,884,000","42,484,000","28,386,000","19,435,000","22,772,000","15,583,000","14,766,000","12,521,000","9,263,000","10,321,000","8,306,000","5,254,000",,,,
		CurrentDeferredAssets,,,,,,"39,532,000","26,556,000","32,443,000","18,327,000","15,716,000","8,757,000","4,603,000","8,616,000","313,000","2,339,000","3,981,000","2,442,000",,,,
			CurrentDeferredTaxesAssets,,,,,,"39,532,000","26,556,000","32,443,000","18,327,000","15,716,000","8,757,000","4,603,000","8,616,000","313,000","2,339,000","3,981,000","2,442,000",,,,
		HedgingAssetsCurrent,"29,000,000","476,000,000","522,000,000","267,000,000","374,000,000",,,,,,,,,,,,,,,,
		OtherCurrentAssets,,,,,,,,,,,,"4,019,000",,,,,,,,,
	TotalNonCurrentAssets,"820,000,000","692,000,000","961,000,000","1,461,000,000","1,270,000,000","1,231,818,000","963,273,000","585,696,000","604,064,000","551,275,000","433,829,000","420,204,000","336,712,000","250,973,000","182,968,000","139,541,000","42,528,000",,,,
		NetPPE,"385,000,000","241,000,000","342,000,000","454,000,000","393,000,000","340,778,000","292,083,000","221,443,000","190,934,000","100,537,000","78,171,000","65,058,000","49,555,000","41,903,000","31,794,000","25,826,000","18,380,000","13,660,000",,,
			GrossPPE,"915,000,000","774,000,000","883,000,000","919,000,000","755,000,000","618,392,000","500,017,000","392,500,000","319,384,000","203,336,000","166,424,000","131,793,000","49,555,000","41,903,000","31,794,000","25,826,000","18,380,000","13,660,000",,,
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,
