name,ttm,03/31/2019,03/31/2018,03/31/2017
MarketCap,"2,450,350,816","5,251,279,344","3,609,551,395","1,692,195,271"
EnterpriseValue,"2,658,773,550","5,284,623,990","3,664,237,688","1,869,255,249"
PeRatio,"22.58","50.801","72.089","62.647"
ForwardPeRatio,"27.248"
PsRatio,"3.665","9.046","8.99","5.825"
PbRatio,"6.902","18.281","19.855","33.254"
EnterprisesValueRevenueRatio,"2.731","6.363","6.198","4.629"
EnterprisesValueEBITDARatio,"10.033","24.098","24.085","36.93"
