name,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,03/31/2005
TotalAssets,"1,012,329,000","1,016,433,000","958,608,000","968,358,000","785,630,000","747,502,000","689,033,000","720,731,000","759,563,000","740,639,000","703,697,000","721,080,000","704,123,000","516,914,000","536,571,000","513,859,000","525,451,000","499,459,000","482,204,000","499,814,000","530,301,000","521,242,000","530,541,000","544,039,000","538,425,000","513,001,000","502,483,000","499,188,000","534,893,000","527,970,000","520,645,000","503,699,000","525,021,000","472,419,000","470,979,000","501,673,000","528,419,000","535,058,000","529,499,000","538,446,000","549,890,000","553,178,000","532,513,000","570,028,000","551,926,000","535,235,000","564,131,000","361,239,000","346,505,000","314,183,000","296,905,000","294,302,000","275,881,000","248,492,000","233,522,000","137,032,000","134,803,000","97,979,000"
	CurrentAssets,"428,834,000","399,988,000","342,539,000","334,459,000","335,411,000","310,047,000","263,171,000","287,189,000","400,549,000","386,907,000","357,059,000","377,841,000","363,054,000","313,599,000","323,227,000","303,976,000","322,458,000","299,849,000","274,704,000","283,603,000","315,080,000","295,415,000","294,706,000","295,130,000","253,860,000","252,679,000","235,344,000","227,883,000","203,806,000","237,790,000","220,582,000","212,975,000","225,623,000","175,016,000","153,804,000","165,336,000","184,765,000","187,550,000","173,899,000","181,510,000","176,937,000","170,128,000","149,631,000","171,647,000","163,541,000","141,442,000","150,635,000","176,169,000","182,078,000","177,511,000","166,003,000","158,954,000","183,422,000","156,509,000","145,016,000","54,880,000","57,395,000","43,994,000"
		CashCashEquivalentsAndShortTermInvestments,"222,570,000","196,354,000","140,654,000","142,418,000","153,357,000","134,922,000","82,180,000","114,450,000","220,789,000","207,904,000","183,386,000","194,087,000","181,795,000","152,607,000","159,557,000","146,502,000","174,843,000","149,177,000","129,109,000","135,239,000","165,990,000","154,007,000","153,728,000","156,435,000","117,508,000","122,508,000","108,417,000","102,467,000","74,351,000","86,327,000","60,283,000","64,966,000","73,109,000","34,729,000","16,134,000","20,302,000","27,102,000","36,269,000","24,660,000","48,947,000","43,728,000","59,519,000","43,589,000","50,347,000","53,235,000","36,628,000","31,328,000","76,451,000","110,772,000","96,525,000","96,615,000","87,375,000","124,340,000","103,319,000","92,238,000","11,645,000","18,549,000","9,099,000"
			CashAndCashEquivalents,"96,929,000","86,691,000","82,354,000","105,787,000","85,444,000","85,315,000","59,205,000","66,107,000","99,829,000","89,664,000","103,014,000","105,102,000","69,803,000","70,669,000","53,896,000","64,414,000","41,854,000","39,331,000","39,311,000","42,265,000","32,448,000","34,502,000","31,373,000","31,463,000","33,691,000","28,297,000","29,742,000","23,437,000","27,878,000","26,697,000","32,849,000","52,215,000","46,725,000","23,327,000","16,134,000","20,290,000","27,090,000","30,243,000","24,648,000","38,830,000","32,311,000","59,519,000","40,211,000","50,347,000","38,931,000","36,628,000","31,328,000","73,338,000","102,698,000","96,525,000","96,615,000","75,375,000","112,340,000","103,319,000","92,238,000","11,645,000","18,549,000","9,099,000"
				CashFinancial,"57,523,000","49,038,000","57,547,000","65,435,000","43,933,000","52,303,000","38,943,000","44,424,000","47,738,000","67,010,000","54,521,000","52,441,000","46,110,000","53,300,000","35,002,000","40,322,000","25,194,000","23,320,000","23,253,000","27,560,000","24,976,000","28,403,000","21,405,000","22,398,000","25,546,000","22,756,000","24,700,000","19,494,000","21,323,000","24,686,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
				CashEquivalents,"39,406,000","37,653,000","24,807,000","40,352,000","41,511,000","33,012,000","20,262,000","21,683,000","52,091,000","22,654,000","48,493,000","52,661,000","23,693,000","17,369,000","18,894,000","24,092,000","16,660,000","16,011,000","16,058,000","14,705,000","7,472,000","6,099,000","9,968,000","9,065,000","8,145,000","5,541,000","5,042,000","3,943,000","6,555,000","2,011,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,"125,641,000","109,663,000","58,300,000","36,631,000","67,913,000","49,607,000","22,975,000","48,343,000","120,960,000","118,240,000","80,372,000","88,985,000","111,992,000","81,938,000","105,661,000","82,088,000","132,989,000","109,846,000","89,798,000","92,974,000","133,542,000","119,505,000","122,355,000","124,972,000","83,817,000","94,211,000","78,675,000","79,030,000","46,473,000","59,630,000","27,434,000","12,751,000","26,384,000","11,402,000","0","12,000","12,000","6,026,000","12,000","10,117,000","11,417,000","0","3,378,000","0","14,304,000",,,"3,113,000","8,074,000",,,"12,000,000","12,000,000",,,,,
		Receivables,"162,463,000","164,087,000","152,292,000","147,182,000","146,983,000","136,927,000","154,159,000","142,343,000","140,777,000","130,762,000","127,346,000","126,310,000","118,582,000","108,355,000","110,507,000","109,828,000","106,419,000","106,922,000","107,813,000","110,006,000","102,517,000","105,828,000","103,788,000","105,976,000","103,807,000","100,909,000","95,114,000","92,330,000","95,746,000","113,944,000","103,303,000","92,047,000","102,299,000","101,479,000","93,557,000","101,590,000","110,655,000","114,346,000","114,853,000","92,977,000","46,347,000","63,812,000","65,175,000","73,858,000","62,066,000","63,394,000","88,494,000","72,050,000","49,067,000","56,533,000","48,808,000","49,656,000","41,881,000","39,136,000","37,501,000","30,101,000","29,003,000","26,014,000"
			AccountsReceivable,"89,772,000","82,920,000","75,397,000","74,252,000","73,872,000","73,804,000","80,766,000","72,176,000","71,388,000","67,475,000","66,176,000","62,727,000","60,423,000","55,938,000","57,616,000","58,137,000","54,911,000","56,733,000","55,509,000","54,298,000","55,768,000","59,673,000","63,830,000","66,539,000","61,983,000","61,963,000","58,379,000","57,602,000","64,438,000","61,584,000","69,315,000","58,276,000","66,421,000","66,999,000","55,951,000","70,206,000","78,030,000","79,879,000","70,401,000","58,573,000","44,821,000","61,387,000","62,520,000","72,416,000","61,321,000","62,268,000","86,531,000","70,977,000","47,888,000","55,372,000","47,356,000","48,130,000","40,592,000","39,136,000","37,501,000","30,101,000","28,081,000","25,235,000"
				GrossAccountsReceivable,"91,362,000",,,,"75,054,000",,,,"71,952,000","70,023,000","68,829,000","64,415,000","62,136,000","57,606,000","59,661,000","60,140,000","59,357,000","61,465,000","60,649,000","59,854,000","61,104,000","65,789,000","69,108,000","71,743,000","66,982,000","67,644,000","64,028,000","62,984,000","69,583,000","67,509,000","74,938,000","63,895,000",,"72,037,000","60,958,000","74,748,000",,,,,,,,,,,,,,,,,,,,,,
