name,ttm,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015,01/31/2014,01/31/2013
TotalRevenue,"6,052,700,000","6,052,700,000","5,243,800,000","4,486,900,000","4,171,500,000","3,829,200,000","3,524,700,000","3,194,100,000","2,896,200,000"
	OperatingRevenue,"6,052,700,000","6,052,700,000","5,243,800,000","4,439,300,000","4,125,200,000","3,776,400,000","3,481,300,000","3,194,100,000","2,896,200,000"
CostOfRevenue,"4,598,700,000","4,598,700,000","3,990,400,000","3,419,400,000","3,162,600,000","2,915,000,000","2,679,100,000","2,386,400,000","2,158,500,000"
GrossProfit,"1,454,000,000","1,454,000,000","1,253,400,000","1,067,500,000","1,008,900,000","914,200,000","845,600,000","807,700,000","737,700,000"
OperatingExpense,"878,400,000","878,400,000","773,900,000","654,500,000","628,900,000","572,100,000","540,600,000","518,700,000","484,200,000"
	SellingGeneralAndAdministration,"639,400,000","639,400,000","551,600,000","454,900,000","445,400,000","408,500,000","386,500,000","374,500,000","355,800,000"
		GeneralAndAdministrativeExpense,"256,900,000","256,900,000","214,700,000","166,300,000","163,900,000","143,500,000","144,400,000","143,800,000","127,500,000"
			OtherGandA,"256,900,000","256,900,000","214,700,000","166,300,000","163,900,000","143,500,000","144,400,000","143,800,000","127,500,000"
		SellingAndMarketingExpense,"382,500,000","382,500,000","336,900,000","288,600,000","281,500,000","265,000,000","242,100,000","230,700,000","228,300,000"
	ResearchAndDevelopment,"238,400,000","238,400,000","221,700,000","198,600,000","184,100,000","164,400,000","158,200,000","144,900,000","128,200,000"
	OtherOperatingExpenses,"600,000","600,000","600,000","1,000,000","-600,000","-800,000","-4,100,000","-700,000","200,000"
OperatingIncome,"575,600,000","575,600,000","479,500,000","413,000,000","380,000,000","342,100,000","305,000,000","289,000,000","253,500,000"
NetNonOperatingInterestIncomeExpense,"-88,700,000","-88,700,000","-73,900,000","-57,900,000","-61,200,000","-59,100,000","-56,600,000","-62,000,000","-60,700,000"
	InterestIncomeNonOperating,"2,200,000","2,200,000","3,000,000","2,200,000","1,500,000","3,500,000","2,700,000","2,500,000","1,900,000"
	InterestExpenseNonOperating,"86,400,000","86,400,000","61,800,000","55,500,000","59,000,000","61,300,000","57,400,000","62,200,000","58,800,000"
	TotalOtherFinanceCost,"4,500,000","4,500,000","15,100,000","4,600,000","3,700,000","1,300,000","1,900,000","2,300,000","3,800,000"
OtherIncomeExpense,"18,800,000","18,800,000","-76,700,000","39,000,000","8,300,000","-182,600,000","-123,900,000","-109,900,000","-41,200,000"
	GainOnSaleOfSecurity,"-18,800,000","-18,800,000","-75,200,000","47,000,000","77,900,000","-110,200,000","-123,900,000","-101,500,000","4,800,000"
	SpecialIncomeCharges,"37,600,000","37,600,000","-1,500,000","-8,000,000","-69,600,000","-72,400,000",,"11,200,000","-35,000,000"
		RestructuringAndMergernAcquisition,"2,400,000","2,400,000","200,000","2,100,000","-1,100,000","2,100,000",,"-1,600,000","26,000,000"
		ImpairmentOfCapitalAssets,,,,,"0","70,300,000",,"300,000","7,100,000"
		OtherSpecialCharges,"-40,000,000","-40,000,000","1,300,000","5,900,000","70,700,000",,,"-11,000,000",
		GainOnSaleOfPPE,,,,,,,,"-1,700,000","-1,900,000"
	OtherNonOperatingIncomeExpenses,,,,,,,,"-19,600,000","-11,000,000"
PretaxIncome,"505,700,000","505,700,000","328,900,000","394,100,000","327,100,000","100,400,000","124,500,000","117,100,000","151,600,000"
TaxProvision,"135,100,000","135,100,000","101,600,000","119,600,000","70,100,000","48,800,000","54,400,000","57,400,000","32,400,000"
NetIncomeCommonStockholders,"371,400,000","371,400,000","227,000,000","274,200,000","257,200,000","51,600,000","70,200,000","59,900,000","119,200,000"
	NetIncome,"371,400,000","371,400,000","227,000,000","274,200,000","257,200,000","51,600,000","70,200,000","59,900,000","119,200,000"
		NetIncomeIncludingNoncontrollingInterests,"370,600,000","370,600,000","227,300,000","274,500,000","257,000,000","51,600,000","70,100,000","59,700,000","119,200,000"
			NetIncomeContinuousOperations,"370,600,000","370,600,000","227,300,000","274,500,000","257,000,000","51,600,000","70,100,000","59,700,000","119,200,000"
		MinorityInterests,"800,000","800,000","-300,000","-300,000","200,000",,"100,000","200,000","0"
DilutedNIAvailtoComStockholders,"371,400,000","371,400,000","227,000,000","274,200,000","257,200,000","51,600,000","70,200,000","59,900,000","119,200,000"
BasicEPS,,,"2.31","2.56","2.28","0.44","0.59","0.53","1.009"
DilutedEPS,,,"2.28","2.54","2.27","0.44","0.59","0.53","1.009"
BasicAverageShares,,,"98,291,845","106,961,014","112,946,239","117,013,234","118,292,458","112,587,807","118,126,562"
DilutedAverageShares,,,"99,588,888","107,917,087","113,205,095","117,457,146","118,913,791","113,406,206","118,126,562"
TotalOperatingIncomeAsReported,"604,300,000","604,300,000","472,600,000","400,100,000","306,300,000","265,300,000","305,000,000","295,100,000","219,700,000"
TotalExpenses,"5,477,100,000","5,477,100,000","4,764,300,000","4,073,900,000","3,791,500,000","3,487,100,000","3,219,700,000","2,905,100,000","2,642,700,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"371,400,000","371,400,000","227,000,000","274,200,000","257,200,000","51,600,000","70,200,000","59,900,000","119,200,000"
NormalizedIncome,"357,622,503.461","357,622,503.461","280,006,719.368","247,035,574.727","250,678,752.675","185,811,000","161,266,500","127,625,000","142,945,646.438"
InterestIncome,"2,200,000","2,200,000","3,000,000","2,200,000","1,500,000","3,500,000","2,700,000","2,500,000","1,900,000"
InterestExpense,"86,400,000","86,400,000","61,800,000","55,500,000","59,000,000","61,300,000","57,400,000","62,200,000","58,800,000"
NetInterestIncome,"-88,700,000","-88,700,000","-73,900,000","-57,900,000","-61,200,000","-59,100,000","-56,600,000","-62,000,000","-60,700,000"
EBIT,"592,100,000","592,100,000","390,700,000","449,600,000","386,100,000","161,700,000","181,900,000","179,300,000","210,400,000"
EBITDA,"826,200,000"
ReconciledCostOfRevenue,"4,598,700,000","4,598,700,000","3,990,400,000","3,419,400,000","3,162,600,000","2,915,000,000","2,679,100,000","2,386,400,000","2,158,500,000"
ReconciledDepreciation,"234,100,000","234,100,000","177,300,000","149,200,000","133,100,000","126,200,000","113,200,000","95,100,000","85,100,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"371,400,000","371,400,000","227,000,000","274,200,000","257,200,000","51,600,000","70,200,000","59,900,000","119,200,000"
TotalUnusualItemsExcludingGoodwill,"18,800,000","18,800,000","-76,700,000","39,000,000","8,300,000","-182,600,000","-123,900,000","-90,300,000","-30,200,000"
TotalUnusualItems,"18,800,000","18,800,000","-76,700,000","39,000,000","8,300,000","-182,600,000","-123,900,000","-90,300,000","-30,200,000"
NormalizedEBITDA,"807,400,000","807,400,000","644,700,000","559,800,000","510,900,000","470,500,000","419,000,000","364,700,000","325,700,000"
TaxRateForCalcs,"0.267","0.267","0.309","0.303","0.214","0.265","0.265","0.25","0.214"
TaxEffectOfUnusualItems,"5,022,503.461","5,022,503.461","-23,693,280.632","11,835,574.727","1,778,752.675","-48,389,000","-32,833,500","-22,575,000","-6,454,353.562"
