name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012
		AdditionalPaidInCapital,"1,006,182,000","960,535,000","905,423,000","879,067,000","828,347,000","821,411,000","490,006,000","330,520,000"
		RetainedEarnings,"243,282,000","254,500,000","161,182,000","74,255,000","6,080,000","-75,685,000","-39,943,000","-156,743,000"
		GainsLossesNotAffectingRetainedEarnings,"-160,108,000","-170,659,000","-136,470,000","-224,686,000","-132,307,000","-69,509,000","16,869,000","2,176,000"
			OtherEquityAdjustments,"-160,108,000","-170,659,000","-136,470,000","-224,686,000","-132,307,000","-69,509,000","16,869,000","2,176,000"
	MinorityInterest,"0","6,390,000","5,710,000",,,,,
TotalCapitalization,"2,230,169,000","2,127,414,000","2,156,168,000","1,526,304,000","1,592,236,000","1,625,352,000","1,713,147,000","627,033,000"
CommonStockEquity,"1,089,991,000","1,045,030,000","930,771,000","729,252,000","702,722,000","676,815,000","467,335,000","175,957,000"
CapitalLeaseObligations,"209,973,000",,,,,,,
NetTangibleAssets,"-1,051,342,000","-1,154,178,000","-1,365,489,000","-716,704,000","-846,014,000","-958,094,000","-1,331,537,000","-423,092,000"
WorkingCapital,"-31,642,000","-116,519,000","-94,592,000","60,538,000","43,796,000","22,367,000","-11,270,000","18,317,000"
InvestedCapital,"2,343,969,000","2,127,414,000","2,276,457,000","1,557,554,000","1,592,236,000","1,625,352,000","1,732,047,000","630,391,000"
TangibleBookValue,"-1,051,342,000","-1,154,178,000","-1,365,489,000","-716,704,000","-846,014,000","-958,094,000","-1,331,537,000","-423,092,000"
TotalDebt,"1,463,951,000","1,082,384,000","1,345,686,000","828,302,000","889,514,000","948,537,000","1,264,712,000","454,434,000"
NetDebt,"1,017,746,000","938,163,000","1,153,457,000","683,679,000","768,449,000","863,345,000","1,192,557,000","345,223,000"
ShareIssued,"63,491,550","65,394,526","63,623,950","61,597,705","60,245,009","59,814,444","57,262,377","57,262,377"
OrdinarySharesNumber,"63,491,550","65,394,526","63,623,950","61,597,705","60,245,009","59,814,444","57,262,377","57,262,377"
