name,ttm,02/29/2020,11/30/2019,08/31/2019,05/31/2019,02/28/2019,11/30/2018,08/31/2018,05/31/2018,02/28/2018,11/30/2017,08/31/2017,05/31/2017,02/28/2017,11/30/2016,08/31/2016,05/31/2016,02/29/2016,11/30/2015,08/31/2015,05/31/2015,02/28/2015,11/30/2014,08/31/2014,05/31/2014,02/28/2014,11/30/2013,08/31/2013,05/31/2013,02/28/2013,11/30/2012,08/31/2012,05/31/2012,02/29/2012,11/30/2011,08/31/2011,05/31/2011,02/28/2011,11/30/2010,08/31/2010,05/31/2010,02/28/2010,11/30/2009,08/31/2009,05/31/2009,02/28/2009,11/30/2008,08/31/2008,05/31/2008,02/29/2008,11/30/2007,08/31/2007,05/31/2007,02/28/2007,11/30/2006,08/31/2006,05/31/2006,02/28/2006,11/30/2005,08/31/2005,05/31/2005,02/28/2005,11/30/2004,08/31/2004,05/31/2004,02/29/2004,11/30/2003,08/31/2003,05/31/2003,02/28/2003,11/30/2002,08/31/2002,05/31/2002,02/28/2002,11/30/2001,08/31/2001,05/31/2001,02/28/2001,11/30/2000,08/31/2000,05/31/2000,02/29/2000,11/30/1999,08/31/1999,05/31/1999,02/28/1999,11/30/1998,08/31/1998,05/31/1998,02/28/1998,11/30/1997,08/31/1997,05/31/1997
TotalRevenue,"20,319,987,000","4,962,490,000","4,790,028,000","5,201,151,000","5,366,318,000","4,318,602,000","4,295,871,000","4,766,035,000","4,792,592,000","4,084,218,000","4,107,017,000","4,386,640,000","4,542,334,000","4,049,960,000","3,701,524,000","3,997,248,000","4,126,386,000","3,705,805,000","3,544,069,000","3,884,913,000","4,014,888,000","3,514,092,000","3,405,234,000","3,599,194,000","3,750,196,000","3,076,283,000","2,941,407,000","3,245,552,000","3,311,057,000","2,827,948,000","2,602,446,000","2,758,004,000","2,774,420,000","2,475,849,000","2,260,514,000","2,587,819,000","2,679,417,000","2,252,633,000","2,119,129,000","2,341,880,000","2,261,912,000","1,833,245,000","1,725,977,000","2,076,671,000","1,834,300,000","1,470,517,000","1,455,632,000","1,839,054,000","2,208,763,000","2,044,607,000","1,885,300,000","2,122,530,000","2,147,134,000","1,882,828,000","1,768,147,000","1,929,542,000","1,885,139,000","1,623,774,000","1,423,980,000","1,633,853,000","1,578,360,000","1,396,054,000","1,215,711,000","1,323,507,000","1,324,990,000","1,116,865,000","1,071,534,000","1,236,457,000","1,172,835,000","946,640,000","936,819,000","1,076,083,000","1,001,564,000","779,158,000","774,324,000","851,363,000","796,820,000","639,996,000","561,693,000","673,561,000","625,741,000","504,284,000","489,000,000","535,700,000","486,100,000","374,000,000","345,900,000","400,000,000","346,400,000","263,100,000","227,100,000","206,400,000","177,600,000"
CostOfRevenue,"17,597,647,000","4,289,633,000","4,176,381,000","4,507,698,000","4,623,935,000","3,719,224,000","3,726,634,000","4,115,399,000","4,131,252,000","3,547,490,000","3,567,829,000","3,782,635,000","3,893,396,000","3,487,800,000","3,198,389,000","3,451,886,000","3,553,749,000","3,216,540,000","3,079,738,000","3,363,543,000","3,471,094,000","3,038,255,000","2,958,614,000","3,135,855,000","3,248,465,000","2,692,142,000","2,559,686,000","2,810,809,000","2,862,961,000","2,458,713,000","2,257,227,000","2,390,011,000","2,392,505,000","2,137,677,000","1,957,295,000","2,233,544,000","2,296,322,000","1,931,981,000","1,821,219,000","1,992,762,000","1,928,364,000","1,568,024,000","1,483,114,000","1,762,122,000","1,558,063,000","1,240,210,000","1,256,396,000","1,583,141,000","1,926,049,000","1,787,480,000","1,642,417,000","1,834,336,000","1,862,913,000","1,641,995,000","1,539,538,000","1,676,177,000","1,636,884,000","1,416,576,000","1,246,807,000","1,425,269,000","1,380,601,000","1,221,734,000","1,070,265,000","1,160,307,000","1,157,760,000","983,095,000","945,292,000","1,073,352,000","1,025,064,000","836,295,000","829,879,000","951,870,000","883,661,000","678,967,000","683,298,000","742,837,000","688,167,000","553,861,000","485,110,000","578,442,000","535,703,000","438,378,000","431,800,000","467,700,000","421,400,000","324,200,000","303,800,000","351,600,000","304,400,000","239,300,000","210,200,000","186,600,000","160,000,000"
GrossProfit,"2,722,340,000","672,857,000","613,647,000","693,453,000","742,383,000","599,378,000","569,237,000","650,636,000","661,340,000","536,728,000","539,188,000","604,005,000","648,938,000","562,160,000","503,135,000","545,362,000","572,637,000","489,265,000","464,331,000","521,370,000","543,794,000","475,837,000","446,620,000","463,339,000","501,731,000","384,141,000","381,721,000","434,743,000","448,096,000","369,235,000","345,219,000","367,993,000","381,915,000","338,172,000","303,219,000","354,275,000","383,095,000","320,652,000","297,910,000","349,118,000","333,548,000","265,221,000","242,863,000","314,549,000","276,237,000","230,307,000","199,236,000","255,913,000","282,714,000","257,127,000","242,883,000","288,194,000","284,221,000","240,833,000","228,609,000","253,365,000","248,255,000","207,198,000","177,173,000","208,584,000","197,759,000","174,320,000","145,446,000","163,200,000","167,230,000","133,770,000","126,242,000","163,105,000","147,771,000","110,345,000","106,940,000","124,213,000","117,903,000","100,191,000","91,026,000","108,526,000","108,653,000","86,135,000","76,583,000","95,119,000","90,038,000","65,906,000","57,200,000","68,000,000","64,700,000","49,800,000","42,100,000","48,400,000","42,000,000","23,800,000","16,900,000","19,800,000","17,600,000"
OperatingExpense,"1,940,067,000","484,728,000","484,848,000","480,831,000","489,660,000","428,967,000","409,520,000","453,554,000","438,234,000","408,814,000","399,672,000","405,062,000","403,503,000","385,413,000","356,735,000","366,126,000","380,230,000","333,860,000","337,512,000","330,784,000","349,779,000","330,009,000","316,632,000","297,638,000","313,446,000","297,454,000","284,366,000","283,206,000","290,189,000","265,475,000","257,282,000","254,674,000","253,603,000","223,842,000","232,304,000","236,435,000","248,205,000","233,456,000","219,707,000","225,236,000","226,692,000","378,541,000","192,140,000","218,122,000","206,225,000","196,744,000","217,482,000","225,148,000","242,984,000","219,854,000","210,508,000","214,196,000","213,814,000","201,835,000","187,318,000","200,049,000","186,966,000","165,752,000","161,727,000","165,274,000","159,235,000","143,993,000","137,170,000","134,737,000","130,688,000","117,825,000","114,282,000","121,174,000","115,553,000","99,573,000","101,810,000","70,836,000","68,550,000","70,262,000","61,215,000","62,262,000","63,243,000","70,632,000","61,713,000","65,918,000","64,020,000","65,441,000","59,400,000","60,100,000","58,500,000","63,000,000","52,400,000","51,900,000","47,000,000","59,400,000","31,500,000","22,400,000","19,100,000"
	SellingGeneralAndAdministration,"1,940,067,000","484,728,000","484,848,000","480,831,000","489,660,000","428,967,000","409,520,000","453,554,000","438,234,000","408,814,000","399,672,000","405,062,000","403,503,000","385,413,000","356,735,000","366,126,000","380,230,000","333,860,000","337,512,000","330,784,000","349,779,000","330,009,000","316,632,000","297,638,000","313,446,000","297,454,000","284,366,000","283,206,000","290,189,000","265,475,000","257,282,000","254,674,000","253,603,000","223,842,000","232,304,000","236,435,000","248,205,000","233,456,000","219,707,000","225,236,000","226,692,000","202,204,000","192,140,000","218,122,000","206,225,000","196,744,000","217,482,000","225,148,000","242,984,000","219,854,000","210,508,000","214,196,000","213,814,000","201,835,000","187,318,000","200,049,000","186,966,000","165,752,000","161,727,000","165,274,000","159,235,000","143,993,000","137,170,000","134,737,000","130,688,000","117,825,000","114,282,000","121,174,000","115,553,000","99,573,000","101,810,000","70,836,000","68,550,000","70,262,000","61,215,000","62,262,000","58,550,000","66,566,000","56,809,000","61,348,000","59,444,000","61,400,000","55,000,000","55,900,000","55,900,000","59,700,000","50,000,000","49,700,000","44,900,000","58,200,000","30,000,000","21,400,000","18,200,000"
	OperatingExpense,"1,940,067,000","484,728,000","484,848,000","480,831,000","489,660,000","428,967,000","409,520,000","453,554,000","438,234,000","408,814,000","399,672,000","405,062,000","403,503,000","385,413,000","356,735,000","366,126,000","380,230,000","333,860,000","337,512,000","330,784,000","349,779,000","330,009,000","316,632,000","297,638,000","313,446,000","297,454,000","284,366,000","283,206,000","290,189,000","265,475,000","257,282,000","254,674,000","253,603,000","223,842,000","232,304,000","236,435,000","248,205,000","233,456,000","219,707,000","225,236,000","226,692,000","378,541,000","192,140,000","218,122,000","206,225,000","196,744,000","217,482,000","225,148,000","242,984,000","219,854,000","210,508,000","214,196,000","213,814,000","201,835,000","187,318,000","200,049,000","186,966,000","165,752,000","161,727,000","165,274,000","159,235,000","143,993,000","137,170,000","134,737,000","130,688,000","117,825,000","114,282,000","121,174,000","115,553,000","99,573,000","101,810,000","70,836,000","68,550,000","70,262,000","61,215,000","62,262,000","63,243,000","70,632,000","61,713,000","65,918,000","64,020,000","65,441,000","59,400,000","60,100,000","58,500,000","63,000,000","52,400,000","51,900,000","47,000,000","59,400,000","31,500,000","22,400,000","19,100,000"
OperatingIncome,"782,273,000","188,129,000","128,799,000","212,622,000","252,723,000","170,411,000","159,717,000","197,082,000","223,106,000","127,914,000","139,516,000","198,943,000","245,435,000","176,747,000","146,400,000","179,236,000","192,407,000","155,405,000","126,819,000","190,586,000","194,015,000","145,828,000","129,988,000","165,701,000","188,285,000","86,687,000","97,355,000","151,537,000","157,907,000","103,760,000","87,937,000","113,319,000","128,312,000","114,330,000","70,915,000","117,840,000","134,890,000","87,196,000","78,203,000","123,882,000","106,856,000","-113,320,000","50,723,000","96,427,000","70,012,000","33,563,000","-18,246,000","30,765,000","39,730,000","37,273,000","32,375,000","73,998,000","70,407,000","38,998,000","41,291,000","53,316,000","61,289,000","41,446,000","15,446,000","43,310,000","38,524,000","30,327,000","8,276,000","28,463,000","36,542,000","15,945,000","11,960,000","41,931,000","32,218,000","10,772,000","5,130,000","53,377,000","49,353,000","29,929,000","29,811,000","46,264,000","45,410,000","15,503,000","14,870,000","29,201,000","26,018,000","465,000","-2,200,000","7,900,000","6,200,000","-13,200,000","-10,300,000","-3,500,000","-5,000,000","-35,600,000","-14,600,000","-2,600,000","-1,500,000"
InterestExpense,"83,007,000","22,307,000","21,843,000","21,073,000","17,784,000","20,976,000","18,814,000","17,950,000","18,052,000","19,666,000","17,405,000","16,836,000","16,838,000","16,353,000","15,071,000","13,904,000","11,088,000","11,784,000","10,021,000","7,450,000","7,103,000","2,183,000","7,338,000","7,351,000","7,601,000","7,546,000","7,649,000","7,761,000","7,878,000","7,997,000","8,065,000","8,152,000","8,143,000","31,356,000","780,000","787,000","791,000","824,000","801,000","1,413,000","72,000","372,000","674,000","1,348,000","1,066,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"5,690,000","-1,096,000","6,570,000","-143,000","359,000","2,689,000","-2,820,000","686,000","-963,000","802,000","279,000","189,000","93,000","-977,000","-1,027,000","435,000","616,000","-9,768,000","-1,157,000","-1,593,000","-41,000","-1,196,000","-1,536,000","-283,000","-277,000","-254,000","-411,000","-1,073,000","241,000","-222,879,000","72,593,000","75,935,000","75,464,000","66,418,000","62,531,000","-63,826,000","69,661,000","54,139,000","55,745,000","52,604,000","57,495,000",,"-65,806,000","-72,130,000","21,636,000","27,968,000","-15,360,000","-7,141,000","9,819,000","-962,000","16,347,000","34,152,000","37,068,000","31,745,000","31,974,000","36,512,000","32,394,000","25,461,000","27,971,000","23,824,000","27,071,000","19,609,000","21,131,000","20,744,000","21,816,000","20,470,000","18,856,000","22,677,000","25,748,000","9,731,000","19,220,000",,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"1,160,986,000","276,633,000","227,559,000","305,537,000","351,257,000","255,829,000","247,808,000","289,485,000","319,684,000","210,123,000","225,200,000","290,232,000","338,053,000","242,315,000","219,661,000","261,736,000","282,693,000","226,186,000","207,957,000","279,822,000","295,979,000","232,832,000","210,836,000","250,641,000","275,022,000","159,708,000","173,200,000","227,125,000","237,289,000","172,151,000","152,465,000","181,102,000","195,633,000","149,392,000","132,666,000","180,989,000","203,863,000","140,611,000","133,345,000","175,175,000","164,359,000","121,704,000","115,900,000","167,399,000","47,493,000","60,938,000","-34,396,000","22,501,000","47,755,000","34,824,000","48,963,000","107,445,000","105,837,000","70,049,000","73,504,000","87,793,000","92,003,000","65,248,000","43,249,000","66,950,000","64,536,000","48,074,000","29,582,000","48,949,000","57,918,000","36,630,000","30,980,000","64,407,000","57,334,000","31,625,000","24,325,000","52,420,000","48,327,000","29,672,000","29,747,000","44,178,000","42,859,000","12,543,000","12,206,000","26,243,000","22,490,000","-2,697,000","-5,000,000","5,200,000","4,400,000","-16,400,000","-12,000,000","-4,900,000","-5,300,000","-36,300,000","-14,900,000","-2,800,000","-2,000,000"
