name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008
MarketCap,"10,002,579,815","16,403,140,000","12,427,480,000","8,234,582,093","10,639,040,195","10,773,630,000","14,930,994,000","20,730,034,000","15,096,790,000","13,232,148,464","13,814,415,000","10,005,300,000","3,766,084,482"
EnterpriseValue,"24,423,579,815","30,958,140,000","29,378,480,000","15,948,582,093","18,413,040,195","17,570,630,000","21,704,994,000","26,801,034,000","19,140,790,000","16,451,148,464","16,968,415,000","12,996,300,000","7,457,084,482"
PeRatio,"6.507","11.727",,"11.084","15.045","15.568","21.274","15.192","23.307","7.822","12.312","10.2","15.753"
ForwardPeRatio,"6.761","8.045","6.54","9.99","11.669","11.947","15.699","20.661","17.762","13.263","17.301",,
PegRatio,"0.791","0.575","0.532","0.729","0.761","0.918","1.065","0.956","1.049","0.629","0.895",,
PsRatio,"1.194","1.966","1.56","1.852","2.581","2.594","3.693","2.944","4.954","1.88","2.086","1.603","1.252"
PbRatio,"1.01","1.682","1.49","1.401","2.008","1.868","2.517","2.132","1.575","1.099","1.671","1.214","0.681"
EnterprisesValueRevenueRatio,"2.196","2.778","2.784","2.32","2.834","2.748","3.464","4.842","4.266","3.885","4.497","3.696","2.166"
EnterprisesValueEBITDARatio,"3.45","4.317","4.564","6.186","4.47","4.473","5.48","7.64","6.965","6.022","13.361","8.926","5.649"
