name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
MarketCap,"9,605,961,676","9,445,688,163","9,235,547,869","11,639,735,232","2,858,019,528","3,947,865,583","4,021,494,646","3,846,942,192"
EnterpriseValue,"7,818,192,582","9,445,688,163","9,235,547,869","11,639,735,232","2,858,019,528","3,947,865,583","4,021,494,646","3,846,942,192"
PeRatio,"21.439","21.245","27.456","37.488","19.002","32.385","47.137","61.181"
ForwardPeRatio,"19.048","19.608","20","22.124","14.368","17.825","27.322",
PegRatio,,,,,,,"0.667",
PsRatio,"8.146","8.354","9.918","7.911","5.165","10.664","17.511","21.907"
PbRatio,"4.672","4.934","6.323","6.358","3.444","5.685","8.926","13.81"
EnterprisesValueRevenueRatio,"0.928","1.122","1.277","1.874","0.479","1.14","1.885","3.162"
EnterprisesValueEBITDARatio,"2.718","3.284","3.512","5.459","2.337","2.962","4.093","6.404"
