name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012
MarketCap,"6,371,025,581","14,764,957,106","15,228,148,536","12,393,620,236","9,109,945,970","4,468,722,042","3,400,739,711","2,491,070,914","707,182,491"
EnterpriseValue,"11,899,025,581","19,425,957,106","17,052,061,536","13,619,803,236","9,440,489,970","4,913,895,042","3,950,095,711","2,888,200,914","681,162,491"
PeRatio,"39.599","13.209","14.067","30.06",,,"26.335","80.893","59.784"
ForwardPeRatio,"17.483","10.173","11.588","23.641","32.787","80.645","24.814","30.121","18.939"
PegRatio,"3.003","1.384","0.992","0.641","0.663","3.896","0.733",,
PsRatio,"1.637","4.098","4.733","11.804","15.879","8.748","6.898","15.752","9.434"
PbRatio,"0.497","1.051","2.567","2.53","3.622","2.173","2.059","3.027","1.53"
EnterprisesValueRevenueRatio,"2.976","4.901","7.836","11.302","17.91","11","7.968","13.885","9.087"
EnterprisesValueEBITDARatio,"4.42","6.625","10.207","15.755","26.598","-10.031","7.801","18.054","14.113"
