name,02/29/2020,11/30/2019,08/31/2019,05/31/2019,02/28/2019,11/30/2018,08/31/2018,05/31/2018,02/28/2018,11/30/2017,08/31/2017,05/31/2017,02/28/2017,11/30/2016,08/31/2016,05/31/2016,02/29/2016,11/30/2015,08/31/2015,05/31/2015,02/28/2015,11/30/2014,08/31/2014,05/31/2014,02/28/2014,11/30/2013,08/31/2013,05/31/2013,02/28/2013,11/30/2012,08/31/2012,05/31/2012,02/29/2012,11/30/2011,08/31/2011,05/31/2011,02/28/2011,11/30/2010,08/31/2010,05/31/2010,02/28/2010,11/30/2009,08/31/2009,05/31/2009,02/28/2009,11/30/2008,08/31/2008,05/31/2008,02/29/2008,11/30/2007,08/31/2007,05/31/2007,02/28/2007,11/30/2006,08/31/2006,05/31/2006,02/28/2006,11/30/2005,08/31/2005,05/31/2005,02/28/2005,11/30/2004,08/31/2004,05/31/2004,02/29/2004,11/30/2003,08/31/2003,05/31/2003,02/28/2003,11/30/2002,08/31/2002,05/31/2002,02/28/2002,11/30/2001,08/31/2001,05/31/2001,02/28/2001,11/30/2000,08/31/2000,05/31/2000,02/29/2000,11/30/1999,08/31/1999,05/31/1999,02/28/1999,11/30/1998,08/31/1998,05/31/1998,02/28/1998,11/30/1997,08/31/1997,05/31/1997,02/28/1997,11/30/1996,08/31/1996,05/31/1996,02/29/1996,11/30/1995,08/31/1995,05/31/1995
			OtherReceivables,,,,"48,400,000",,,,"43,600,000",,,,"33,200,000",,,,"20,600,000",,,,"31,800,000",,,,"44,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,"12,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			ReceivablesAdjustmentsAllowances,,,,"-300,000",,,,"-300,000",,,,"-300,000",,,,"-500,000",,,,"-900,000",,,,"-300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,"229,600,000","212,200,000","199,000,000","207,300,000","209,500,000","209,400,000","194,600,000","205,300,000","208,000,000","199,100,000","176,300,000","178,900,000","168,000,000","183,600,000","161,800,000","175,400,000","178,900,000","170,000,000","162,600,000","163,900,000","172,800,000","193,500,000","201,600,000","196,800,000","461,000,000","418,000,000","373,300,000","356,900,000","432,600,000","425,300,000","404,000,000","404,100,000","453,600,000","396,600,000","343,000,000","300,100,000","326,900,000","273,900,000","210,000,000","220,800,000","218,100,000","251,300,000","230,500,000","247,000,000","310,000,000","324,100,000","275,800,000","216,700,000","285,900,000","294,900,000","226,500,000","209,600,000","282,400,000","284,091,000","208,653,000","198,723,000","245,254,000","247,353,000","225,717,000","235,444,000","271,088,000","236,441,000","217,989,000","198,781,000","262,761,000","256,997,000","173,735,000","173,644,000","213,856,000","231,814,000","180,590,000","172,413,000","229,427,000","226,796,000","171,672,000","148,429,000","208,041,000","207,850,000","176,066,000","142,187,000","204,800,000","215,300,000","192,500,000","144,100,000","150,900,000","137,100,000","145,200,000","182,400,000","176,300,000","182,800,000","122,300,000","132,200,000","147,400,000","139,900,000","119,500,000","120,700,000","146,200,000","171,400,000","164,500,000","163,000,000"
		PrepaidAssets,"83,500,000","109,200,000","69,400,000","139,700,000","100,900,000","120,500,000","118,300,000","105,800,000","153,100,000","93,600,000","91,200,000","86,900,000","85,900,000","126,800,000","92,500,000","122,500,000","97,700,000","113,100,000","100,700,000","88,300,000","89,000,000","84,100,000","75,100,000","83,200,000","87,100,000","93,000,000","97,000,000","89,800,000","95,200,000","94,900,000","81,800,000","87,100,000","82,200,000","105,700,000","86,900,000","82,200,000","82,000,000","59,500,000","57,900,000","53,900,000","58,200,000","62,000,000","75,800,000","97,400,000","52,700,000","56,100,000","46,500,000","46,700,000","38,400,000","36,500,000","34,100,000","33,500,000","33,000,000","34,496,000","38,371,000","29,889,000","30,246,000","31,723,000","35,708,000","28,927,000","29,036,000","22,670,000","27,803,000","25,316,000","21,950,000","24,736,000","32,658,000","25,126,000","17,013,000","17,424,000","16,574,000","23,076,000","16,727,000","16,355,000","18,131,000","26,942,000",,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDeferredAssets,,,,,,,,,,,,"211,800,000","182,700,000","173,100,000","168,600,000","163,300,000","164,700,000","161,100,000","166,600,000","157,400,000","174,500,000","172,700,000","173,000,000","124,000,000","165,100,000","155,700,000","150,200,000","144,600,000","153,600,000","152,300,000","130,500,000","124,500,000","125,500,000","169,700,000","163,500,000","145,600,000","127,800,000","120,700,000","111,300,000","101,800,000","106,200,000","107,600,000","108,300,000","110,400,000","88,900,000","94,000,000","92,000,000","91,800,000","95,400,000","99,100,000","72,600,000","81,700,000","75,100,000","72,860,000","71,887,000","69,550,000","66,339,000","63,613,000","65,153,000","63,584,000","60,693,000","60,338,000","56,745,000","55,258,000","58,162,000","53,971,000","51,194,000","49,206,000","49,874,000","46,966,000","53,918,000","52,127,000","50,538,000","48,502,000","48,483,000","48,000,000",,,,,,,,,,,,,,,,,,,,,,,,
			CurrentDeferredTaxesAssets,,,,,,,,,,,,"211,800,000","182,700,000","173,100,000","168,600,000","163,300,000","164,700,000","161,100,000","166,600,000","157,400,000","174,500,000","172,700,000","173,000,000","124,000,000","165,100,000","155,700,000","150,200,000","144,600,000","153,600,000","152,300,000","130,500,000","124,500,000","125,500,000","169,700,000","163,500,000","145,600,000","127,800,000","120,700,000","111,300,000","101,800,000","106,200,000","107,600,000","108,300,000","110,400,000","88,900,000","94,000,000","92,000,000","91,800,000","95,400,000","99,100,000","72,600,000","81,700,000","75,100,000","72,860,000","71,887,000","69,550,000","66,339,000","63,613,000","65,153,000","63,584,000","60,693,000","60,338,000","56,745,000","55,258,000","58,162,000","53,971,000","51,194,000","49,206,000","49,874,000","46,966,000","53,918,000","52,127,000","50,538,000","48,502,000","48,483,000","48,000,000",,,,,,,,,,,,,,,,,,,,,,,,
		AssetsHeldForSaleCurrent,,,,"0","0","11,100,000","11,100,000","11,900,000","11,100,000","11,100,000","11,100,000","13,200,000","13,300,000","13,300,000","16,900,000","20,300,000","19,000,000","18,400,000","23,800,000","32,900,000","45,400,000","44,900,000","54,300,000","1,390,300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29,800,000","102,600,000","140,800,000","144,000,000",,,,,,,,,"599,000","889,000",,,"710,000",,,,"9,613,000","10,087,000","10,688,000","10,047,000","10,579,000","10,489,000","12,978,000","10,087,000","76,603,000","80,628,000","80,878,000","94,209,000","95,800,000","111,100,000","112,900,000","122,300,000","123,400,000","127,400,000","143,600,000","154,300,000","148,100,000","158,300,000","151,700,000","163,400,000","117,500,000","126,900,000","113,100,000","112,200,000","118,100,000","126,000,000","103,700,000","99,200,000"
	TotalNonCurrentAssets,"9,287,300,000","9,207,200,000","9,049,200,000","5,000,200,000","5,010,600,000","4,988,000,000","4,952,300,000","4,916,000,000","4,885,100,000","4,832,400,000","4,740,500,000","4,704,400,000","3,794,900,000","3,778,500,000","3,759,500,000","3,762,300,000","3,772,000,000","3,798,800,000","4,821,900,000","4,938,300,000","5,021,000,000","5,068,500,000","5,120,200,000","5,124,300,000","6,315,600,000","6,323,000,000","6,254,300,000","6,172,000,000","6,104,400,000","6,032,100,000","5,293,600,000","5,186,600,000","5,122,100,000","5,066,600,000","4,862,200,000","4,802,800,000","4,716,100,000","4,689,300,000","4,606,200,000","4,568,900,000","4,543,600,000","4,517,300,000","4,486,300,000","4,470,400,000","4,447,200,000","4,401,800,000","4,320,700,000","4,262,700,000","4,185,600,000","4,123,100,000","2,379,200,000","2,335,400,000","2,671,300,000","2,663,772,000","2,633,875,000","2,632,563,000","2,596,205,000","2,592,218,000","2,564,512,000","2,530,505,000","2,499,031,000","2,476,244,000","2,442,769,000","2,434,041,000","2,449,708,000","2,423,468,000","2,373,048,000","2,339,004,000","2,273,490,000","2,202,526,000","2,149,573,000","2,080,205,000","2,023,859,000","1,974,908,000","1,943,819,000","1,890,316,000","1,817,709,000","1,766,819,000","1,729,596,000","1,680,963,000","1,642,800,000","1,594,200,000","1,571,100,000","1,578,000,000","1,566,100,000","1,575,600,000","1,576,500,000","1,587,200,000","1,595,700,000","1,598,900,000","1,612,600,000","1,626,300,000","1,774,800,000","1,787,500,000","1,797,500,000","1,800,500,000","1,759,100,000","1,748,400,000","1,739,500,000","1,805,800,000"
		NetPPE,"6,825,300,000","6,759,600,000","6,607,700,000","2,552,600,000","2,539,900,000","2,521,100,000","2,473,600,000","2,429,800,000","2,404,800,000","2,386,200,000","2,318,800,000","2,272,300,000","2,069,100,000","2,056,900,000","2,035,900,000","2,041,600,000","2,058,100,000","2,074,600,000","3,104,200,000","3,215,800,000","3,288,500,000","3,338,300,000","3,380,000,000","3,381,000,000","4,512,200,000","4,521,800,000","4,469,600,000","4,391,100,000","4,335,000,000","4,285,700,000","4,036,400,000","3,951,300,000","3,882,900,000","3,838,500,000","3,690,200,000","3,622,000,000","3,553,500,000","3,520,600,000","3,444,200,000","3,403,700,000","3,374,600,000","3,352,500,000","3,319,000,000","3,306,700,000","3,276,700,000","3,216,000,000","3,135,300,000","3,066,000,000","2,994,900,000","2,925,300,000","2,221,300,000","2,184,400,000","2,483,700,000","2,475,979,000","2,449,324,000","2,446,035,000","2,408,896,000","2,404,948,000","2,380,936,000","2,351,454,000","2,318,359,000","2,292,062,000","2,261,646,000","2,250,616,000","2,264,048,000","2,239,571,000","2,191,119,000","2,157,132,000","2,101,089,000","2,039,977,000","1,984,980,000","1,920,768,000","1,870,658,000","1,824,715,000","1,796,138,000","1,779,515,000","1,709,729,000","1,662,370,000","1,625,616,000","1,578,541,000","1,539,200,000","1,491,400,000","1,468,600,000","1,473,600,000","1,468,100,000","1,478,700,000","1,479,700,000","1,490,300,000","1,500,600,000","1,503,400,000","1,517,600,000","1,533,300,000","1,680,500,000","1,692,200,000","1,700,700,000","1,702,900,000","1,661,600,000","1,677,900,000","1,669,400,000","1,738,000,000"
