name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014
MarketCap,"5,839,720,138","4,106,014,005","6,177,430,350","5,522,825,530","5,285,771,400","5,370,255,280","4,067,688,200","5,321,150,444","4,824,668,613","3,685,027,125","4,553,387,843","5,450,678,333","3,354,788,560","2,625,211,716","2,986,842,870","2,529,798,957","2,201,502,048","2,356,001,167","2,766,958,153","2,386,032,800","2,256,876,979","2,004,183,909","1,573,097,605"
EnterpriseValue,"8,717,608,138","6,861,934,005","9,064,297,350","8,452,844,530","8,268,157,400","8,042,007,280","6,811,138,200","8,050,885,444","7,609,061,613","6,371,489,125","7,306,640,843","5,754,032,333","3,678,249,560","3,020,464,716","3,381,473,870","2,910,311,957","2,620,552,048","2,772,829,167","3,105,920,153","2,762,632,800","2,519,481,979","2,297,709,909","1,975,699,605"
PeRatio,"30.14","31.536","72.53","332.563","283.833","225.043",,,,,,"32.086","27.857","22.586","27.979","22.179","20.5","21.133","118.317","2,000",,,"21.229"
ForwardPeRatio,"18.553","10.672","17.212","15.015","16.367","16.639","12.804","16.313","16.921","12.626","11.765","16.611","22.075","17.094","18.587","16.447","15.748","15.798","22.371",,,,
PegRatio,"2.136","0.767","1.445","1.173","1.275","1.32","1.574","6.552","2.501","1.725","0.835","1.509","2.007","1.555",,,,,,,,,
PsRatio,"1.254","0.885","1.365","1.225","1.198","1.234","0.944","1.276","1.226","0.995","1.363","1.839","2.053","1.583","1.846","1.629","1.48","1.771","2.19","1.829","1.844","1.48","1.395"
PbRatio,"1.961","1.355","2.154","1.956","1.862","1.88","1.436","1.885","1.66","1.219","1.505","15.422","9.449","8.226","10.799","8.275","8.255","10.235","8.222","8.058","5.519","5.112","5.36"
EnterprisesValueRevenueRatio,"1.847","5.898","7.473","7.182","7.086","7.187","5.946","7.221","7.094","6.027","6.786","6.997","9.404","7.909","8.327","7.428","6.557","6.712","7.709","7.89","7.47","7.438","6.03"
EnterprisesValueEBITDARatio,"16.697","55.187","85.156","51.947","64.299","105.48","41.866","78.377","58.53","96.198","77.251","-198.347","191.815","64.217","55.257","56.616","51.423","66.371","58.049","48.31","60.337","45.788","-162.155"
