name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,09/30/2007,09/30/2006
TotalRevenue,"1,641,850,000","411,210,000","426,217,000","399,296,000","405,127,000","398,951,000","403,080,000","377,177,000","345,327,000","332,213,000","337,072,000","357,313,000","370,454,000","366,837,000","351,156,000","332,043,000","276,388,000","250,888,000","233,038,000","216,433,000","206,456,000","189,453,000","188,353,000","189,325,000","160,084,000","167,657,000","178,562,000","171,551,000","159,934,000","155,557,000","167,426,000","158,625,000","142,757,000","139,019,000","96,609,000","186,347,000","190,348,000","194,851,000","184,631,000","173,740,000","157,411,000","136,890,000","114,393,000","97,018,000","82,400,000","84,834,000","128,044,000","145,861,000","118,220,000","122,866,000"
	OperatingRevenue,"1,641,850,000","411,210,000","426,217,000","399,296,000","405,127,000","398,951,000","403,080,000","377,177,000","345,327,000","332,213,000","337,072,000","357,313,000","370,454,000","366,837,000","351,156,000","332,043,000","276,388,000","250,888,000","233,038,000","216,433,000","206,456,000","189,453,000","188,353,000","189,325,000","160,084,000","167,657,000","178,562,000","171,551,000","159,934,000","155,557,000","167,426,000","158,625,000","142,757,000","139,019,000","96,609,000","186,347,000","190,348,000","194,851,000","184,631,000","173,740,000","157,411,000","136,890,000","114,393,000","84,244,000","82,400,000","84,834,000","128,044,000","106,007,000","117,541,000","120,842,000"
CostOfRevenue,"1,455,743,000","366,874,000","377,059,000","353,309,000","358,501,000","352,193,000","357,516,000","336,901,000","306,346,000","295,280,000","299,906,000","316,981,000","325,694,000","322,791,000","308,110,000","292,435,000","242,546,000","219,711,000","204,545,000","190,422,000","181,907,000","167,796,000","167,292,000","168,819,000","142,309,000","150,374,000","158,032,000","152,906,000","142,863,000","139,302,000","149,056,000","140,903,000","127,537,000","124,138,000","87,680,000","163,463,000","166,363,000","169,528,000","160,968,000","151,964,000","138,031,000","117,761,000","99,520,000","86,058,000","74,049,000","75,299,000","111,173,000","122,537,000","102,460,000","105,598,000"
GrossProfit,"186,107,000","44,336,000","49,158,000","45,987,000","46,626,000","46,758,000","45,564,000","40,276,000","38,981,000","36,933,000","37,166,000","40,332,000","44,760,000","44,046,000","43,046,000","39,608,000","33,842,000","31,177,000","28,493,000","26,011,000","24,549,000","21,657,000","21,061,000","20,506,000","17,775,000","17,283,000","20,530,000","18,645,000","17,071,000","16,255,000","18,370,000","17,722,000","15,220,000","14,881,000","8,929,000","22,884,000","23,985,000","25,323,000","23,663,000","21,776,000","19,380,000","19,129,000","14,873,000","10,960,000","8,351,000","9,535,000","16,831,000","23,324,000","15,760,000","17,268,000"
OperatingExpense,"63,960,000","17,111,000","17,078,000","16,000,000","13,771,000","14,132,000","12,727,000","14,437,000","16,559,000","12,418,000","13,157,000","15,678,000","15,057,000","17,086,000","17,651,000","15,832,000","11,839,000","12,299,000","13,715,000","11,900,000","10,739,000","9,670,000","10,314,000","8,737,000","6,705,000","7,352,000","6,913,000","6,694,000","5,340,000","6,801,000","5,787,000","1,039,000","4,923,000","6,586,000","45,584,000","6,638,000","6,512,000","7,516,000","5,951,000","4,827,000","4,227,000","4,356,000","3,800,000","3,809,000","3,336,000","3,992,000","4,988,000","9,644,000","4,983,000","4,027,000"
	SellingGeneralAndAdministration,"63,960,000","17,111,000","17,078,000","16,000,000","13,771,000","14,132,000","12,727,000","14,437,000","16,559,000","12,418,000","13,157,000","15,678,000","15,057,000","17,086,000","17,651,000","15,832,000","11,839,000","12,299,000","13,715,000","11,900,000","10,739,000","9,670,000","10,314,000","8,737,000","6,705,000","7,352,000","6,913,000","6,694,000","5,340,000","6,801,000","5,787,000","5,859,000","4,923,000","6,586,000","5,319,000","6,638,000","6,512,000","7,516,000","5,951,000","4,827,000","4,227,000","4,356,000","3,800,000","3,809,000","3,336,000","3,992,000","4,988,000","9,644,000","4,983,000","4,027,000"
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-4,820,000",,"55,623,000","40,265,000",,,,,,,,,,,,,,,
OperatingIncome,"122,147,000","27,225,000","32,080,000","29,987,000","32,855,000","32,626,000","32,837,000","25,839,000","22,422,000","24,515,000","24,009,000","24,654,000","29,703,000","26,960,000","25,395,000","23,776,000","22,003,000","18,878,000","14,778,000","14,111,000","13,810,000","11,987,000","10,747,000","11,769,000","11,070,000","9,931,000","13,617,000","11,951,000","11,731,000","9,454,000","12,583,000","16,683,000","10,297,000","8,295,000","-36,655,000","16,246,000","17,473,000","17,807,000","17,712,000","16,949,000","15,153,000","14,773,000","11,073,000","7,151,000","5,015,000","5,543,000","11,883,000","13,680,000","10,777,000","13,241,000"
NetNonOperatingInterestIncomeExpense,"3,489,000","1,804,000","1,759,000","-295,000","221,000","721,000","-434,000","810,000","264,000","329,000","-230,000","-44,000","-297,000","72,000","-235,000","-885,000","12,000","-122,000","36,000","40,000","56,000","133,000","207,000","241,000","384,000","388,000","150,000","158,000","100,000","63,000","8,000","-98,000","-5,000","145,000","156,000","121,000","64,000","62,000","24,000","-13,000","-30,000","-46,000","-47,000","-50,000","-86,000","-123,000","-225,000","-76,000","-287,000","-383,000"
	InterestIncomeNonOperating,"8,009,000","2,042,000","1,940,000","2,098,000","1,929,000","2,144,000","1,182,000","1,444,000","1,371,000","1,149,000","596,000","809,000","507,000","713,000","320,000","437,000","425,000","213,000","455,000","442,000","297,000","258,000","324,000","374,000","531,000","560,000","338,000","364,000","322,000","302,000","271,000","188,000","216,000","209,000","224,000","195,000","139,000","143,000","114,000","98,000","73,000","62,000","81,000","111,000","134,000","165,000","149,000","308,000","379,000","332,000"
	InterestExpenseNonOperating,"4,520,000","238,000","181,000","2,393,000","1,708,000","1,423,000","1,616,000","634,000","1,107,000","820,000","826,000","853,000","804,000","641,000","555,000","1,322,000","413,000","335,000","419,000","402,000","241,000","125,000","117,000","133,000","147,000","172,000","188,000","206,000","222,000","239,000","263,000","286,000","221,000","64,000","68,000","74,000","75,000","81,000","90,000","111,000","103,000","108,000","128,000","161,000","220,000","288,000","374,000","384,000","666,000","715,000"
OtherIncomeExpense,"-893,000","195,000","-607,000","-1,576,000","1,095,000","-3,219,000","-178,000","3,060,000","-842,000","-2,337,000","-2,874,000","-1,837,000","-930,000","-3,594,000","2,092,000","1,800,000","-560,000","4,037,000","6,272,000","-11,253,000","45,000","-162,000","-1,204,000","-3,000","183,000","38,070,000","-601,000","7,869,000","3,544,000","12,536,000","4,838,000","467,000","-2,939,000","-54,852,000","846,000","-90,000","-1,294,000","65,000","-659,000","-374,000","244,000","-97,000","26,000","-60,000","-289,000","-2,405,000","419,000","246,000","-242,000","-5,000"
	GainOnSaleOfSecurity,"-1,135,000","-8,000","-988,000","-1,953,000","1,814,000","-3,055,000","-421,000","3,068,000","-877,000","-2,428,000","-1,348,000","-1,934,000","-1,042,000","-3,702,000","1,945,000","1,657,000","-670,000","3,080,000","6,166,000","-10,492,000","91,000","-87,000","83,000","-106,000","-70,000","-254,000","-788,000","1,088,000","-731,000","978,000","-170,000","277,000","255,000","714,000","787,000","-187,000",,,,,,,,,,,,,,
	SpecialIncomeCharges,"-805,000","0","-16,000","0","-789,000","-323,000","-319,000","-85,000","0","0","-1,776,000",,"0","0","0","0","0","900,000","0","-864,000","0","0","-1,153,000","0","0","38,151,000","0","6,597,000","4,095,000","11,419,000","4,825,000","190,000","-3,589,000","-55,566,000","59,000","97,000","136,000","65,000","-659,000","-374,000","244,000","-97,000","26,000","-60,000","-289,000","-2,405,000","419,000","246,000","-242,000","-5,000"
		RestructuringAndMergernAcquisition,"805,000","0","16,000","0","789,000","323,000","319,000","85,000","0","0","1,776,000",,,,,,"0","0","0",,"0","0","1,153,000",,,,,,"2,052,000",,,,"1,978,000",,,,,,,,"0","0",,,"0","2,389,000",,,,
		OtherSpecialCharges,,,"16,000",,"789,000","323,000","319,000","85,000","0",,"1,776,000",,,,,,"0","-900,000",,"864,000","0",,"1,153,000",,"0","-38,151,000",,"-6,597,000","-6,147,000","-11,419,000","-4,825,000",,"1,398,000",,,,,,,,"-244,000","97,000",,,"289,000","16,000",,,,
	OtherNonOperatingIncomeExpenses,"1,047,000","203,000","397,000","377,000","70,000","159,000","562,000","77,000","35,000","91,000","250,000","97,000","112,000","108,000","147,000","143,000","110,000","57,000","106,000","103,000","-46,000","-75,000","-134,000","103,000","253,000","173,000","187,000","184,000","180,000","139,000","183,000",,"182,000",,,,,,,,,,,,,,,,,
PretaxIncome,"124,743,000","29,224,000","33,232,000","28,116,000","34,171,000","30,128,000","32,225,000","29,709,000","21,844,000","22,507,000","20,905,000","22,773,000","28,476,000","23,438,000","27,252,000","24,691,000","21,455,000","22,793,000","21,086,000","2,898,000","13,911,000","11,958,000","9,750,000","12,007,000","11,637,000","48,389,000","13,166,000","19,978,000","15,375,000","22,053,000","17,429,000","17,052,000","7,353,000","-46,412,000","-35,653,000","16,277,000","16,949,000","18,276,000","17,077,000","16,562,000","15,367,000","14,630,000","11,052,000","7,041,000","4,640,000","3,015,000","12,037,000","13,850,000","10,248,000","12,853,000"
