name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011
TotalRevenue,"5,275,263,000","5,179,594,000","4,607,971,000","4,430,869,000","3,523,638,000","2,511,393,000","1,863,755,000","931,846,000","808,453,000","674,931,000"
	TotalPremiumsEarned,"4,229,091,000","4,118,042,000","3,732,202,000","3,654,176,000","2,993,781,000","2,129,810,000","1,633,220,000","688,066,000","574,252,000","498,210,000"
		NetPremiumsWritten,"4,269,560,000","4,224,621,000","3,827,713,000","3,577,595,000","3,071,306,000","2,186,246,000","1,870,024,000","679,316,000","632,494,000","538,236,000"
			GrossPremiumsWritten,"5,549,856,000","5,583,080,000","5,416,839,000","4,755,985,000","3,499,508,000","2,589,748,000","2,135,107,000","1,338,755,000","1,351,925,000","1,178,891,000"
			CededPremiums,"-1,280,296,000","-1,358,459,000","-1,589,126,000","-1,178,390,000","-428,202,000","-403,502,000","-265,083,000","-659,439,000","-719,431,000","-640,655,000"
		IncreaseDecreaseInNetUnearnedPremiumReserves,,,"-95,511,000","76,581,000","-77,525,000","-56,436,000","-236,804,000","8,750,000","-58,242,000","-40,026,000"
	NetInvestmentIncome,"138,031,000","141,233,000","119,034,000","110,720,000","77,484,000","60,093,000","50,182,000","27,939,000","30,550,000","28,355,000"
	NetRealizedGainLossOnInvestments,"6,590,000","13,473,000","-29,545,000","46,788,000","25,956,000","4,940,000","-648,000","1,200,000","16,612,000","4,775,000"
	FeeRevenueAndOtherIncome,"901,551,000","906,846,000","786,280,000","619,185,000","426,417,000","316,550,000","181,001,000","214,641,000","187,039,000","143,591,000"
		FeesAndCommissions,"875,123,000","880,418,000","786,280,000","619,383,000","426,417,000","317,338,000","181,001,000","214,641,000","187,039,000","143,591,000"
		OtherIncomeExpense,,"26,428,000",,"-198,000",,"-788,000","-1,660,000","16,000",,
TotalExpenses,"4,849,920,000","4,775,151,000","4,386,963,000","4,258,593,000","3,313,539,000","2,346,803,000","1,736,312,000","879,589,000","762,100,000","626,276,000"
	LossAdjustmentExpense,"2,894,657,000","2,854,468,000","2,662,226,000","2,626,082,000","1,958,545,000","1,381,641,000","1,053,065,000","462,124,000","394,666,000","340,152,000"
		NetPolicyholderBenefitsAndClaims,"2,894,657,000","2,854,468,000","2,662,226,000","2,626,082,000","1,958,545,000","1,381,641,000","1,053,065,000","462,124,000","394,666,000","340,152,000"
	PolicyAcquisitionExpense,"843,691,000","827,367,000","735,266,000","672,429,000","497,158,000","405,930,000","315,089,000","134,887,000","110,771,000","75,191,000"
	SellingGeneralAndAdministration,"1,061,247,000","1,041,772,000","938,046,000","912,996,000","844,114,000","530,347,000","348,762,000","280,552,000","258,604,000","208,939,000"
		GeneralAndAdministrativeExpense,"1,061,247,000","1,041,772,000","938,046,000","912,996,000","844,114,000","530,347,000","348,762,000","280,552,000","258,604,000","208,939,000"
			OtherGandA,"1,061,247,000","1,041,772,000","938,046,000","912,996,000","844,114,000","530,347,000","348,762,000","280,552,000","258,604,000","208,939,000"
	NetNonOperatingInterestIncomeExpense,"-50,325,000","-51,544,000","-51,425,000","-47,086,000","-40,180,000","-28,885,000","-17,736,000","-2,042,000","-1,787,000","-1,994,000"
		InterestExpenseNonOperating,"50,325,000","51,544,000","51,425,000","47,086,000","40,180,000","28,885,000","17,736,000","2,042,000","1,787,000","1,994,000"
	IncomefromAssociatesandOtherParticipatingInterests,,,,,,,,"1,274,000",,
	SpecialIncomeCharges,,,,,"26,458,000",,"-1,660,000","16,000","3,728,000","0"
		ImpairmentOfCapitalAssets,,,,,"26,458,000",,"1,660,000","16,000","3,728,000","0"
PretaxIncome,"425,343,000","404,443,000","221,008,000","172,276,000","210,099,000","164,590,000","127,443,000","52,257,000","46,353,000","48,655,000"
TaxProvision,"82,679,000","77,013,000","53,484,000","61,273,000","42,616,000","18,956,000","23,876,000","11,140,000","12,309,000","28,301,000"
