name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001
TotalCapitalization,"6,771,130,000","6,391,362,000","6,554,914,000","6,290,680,000","5,537,487,000","5,378,748,000","5,211,537,000","5,420,796,000","5,489,262,000","5,495,194,000","5,066,822,000","1,775,189,000","1,829,839,000","4,901,475,000","-97,791,000","-63,614,000","16,487,000","17,051,000","13,827,000"
CommonStockEquity,"2,712,072,000","2,402,332,000","2,437,524,000","1,921,143,000","1,926,211,000","1,943,458,000","1,970,397,000","1,979,656,000","1,865,106,000","1,827,061,000","1,793,363,000","1,775,189,000","1,829,839,000","2,111,773,000","-97,791,000","-63,614,000","16,487,000","17,051,000","13,827,000"
CapitalLeaseObligations,"10,882,000",,,,,,,,"86,801,000",,,,,,,,,,
NetTangibleAssets,"2,703,677,000","2,397,093,000","2,431,243,000","1,914,008,000","1,919,739,000","1,937,943,000","1,964,665,000","1,972,961,000","1,858,727,000","1,817,705,000","1,781,672,000","1,757,026,000","1,805,526,000","2,077,636,000","-97,791,000","-63,614,000","16,487,000","17,051,000","13,827,000"
WorkingCapital,"-393,302,000","401,000","170,677,000","126,959,000","117,476,000","33,689,000","57,083,000","382,931,000","395,061,000","252,737,000","29,923,000",,,,,,,,
InvestedCapital,"7,331,130,000","6,536,362,000","6,554,914,000","6,290,680,000","5,537,487,000","5,378,748,000","5,211,537,000","5,420,796,000","5,489,262,000","5,495,194,000","5,066,822,000","5,467,974,000","1,829,839,000","4,901,475,000","2,125,709,000","-63,614,000","16,487,000","17,051,000","13,827,000"
TangibleBookValue,"2,703,677,000","2,397,093,000","2,431,243,000","1,914,008,000","1,919,739,000","1,937,943,000","1,964,665,000","1,972,961,000","1,858,727,000","1,817,705,000","1,781,672,000","1,757,026,000","1,805,526,000","2,077,636,000","-97,791,000","-63,614,000","16,487,000","17,051,000","13,827,000"
TotalDebt,"4,629,940,000","4,134,030,000","4,117,390,000","4,369,537,000","3,611,276,000","3,435,290,000","3,241,140,000","3,441,140,000","3,710,957,000","3,668,133,000","3,273,459,000","3,692,785,000",,"2,789,702,000","2,223,500,000",,,,
NetDebt,"4,465,375,000","3,987,803,000","3,940,745,000","4,256,610,000","3,509,478,000","3,416,467,000","3,196,934,000","3,067,937,000","3,217,179,000","3,395,714,000","3,200,719,000","3,684,130,000",,"2,785,166,000","2,115,218,000",,,,
ShareIssued,"175,369,746","170,214,809","169,564,927","151,530,210","146,919,187","144,869,101","142,605,390","141,245,896","131,070,239","124,131,557","121,596,427","121,976,841","120,181,300","115,005,860","114,282,812","114,282,812","114,282,812","114,282,812","114,282,812"
OrdinarySharesNumber,"175,369,746","170,214,809","169,564,927","151,530,210","146,919,187","144,869,101","142,605,390","141,245,896","131,070,239","124,131,557","121,596,427","121,976,841","120,181,300","115,005,860","114,282,812","114,282,812","114,282,812","114,282,812","114,282,812"
