name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995
TotalRevenue,"6,715,123,000","6,783,919,000","5,474,329,000","5,369,307,000","4,451,732,000","3,977,253,000","4,052,734,000","3,478,121,000","3,380,298,000","3,063,307,000","3,244,067,000","3,501,622,000","2,966,813,000","3,452,445,000","3,452,678,000","3,167,529,000","3,104,050,000","2,343,737,000","721,769,000","76,454,000","122,516,000","348,768,000","247,133,000","120,972,000","50,171,000","5,000,000"
InterestExpense,"124,362,000","120,872,000","120,484,000","117,431,000","66,252,000","45,874,000","45,634,000","27,060,000","28,525,000","31,691,000","30,007,000","24,440,000","23,838,000","22,093,000","22,090,000","22,504,000","17,970,000",,,,,,,,,
OtherIncomeExpense,"32,586,000","27,094,000","17,492,000","27,682,000","56,373,000","35,098,000","-110,000","7,053,000","-12,094,000","-2,114,000","18,511,000","20,016,000","12,282,000","16,584,000","10,245,000","10,367,000","14,226,000","24,829,000","16,383,000","15,034,000","2,191,000",,,,,
PretaxIncome,"1,246,997,000","1,849,110,000","841,772,000","757,277,000","855,552,000","567,194,000","844,247,000","742,505,000","589,387,000","427,012,000","850,456,000","897,653,000","304,505,000","873,544,000","739,893,000","285,435,000","343,127,000","306,500,000","54,540,000","24,144,000","-4,615,000","-52,231,000","4,462,000","1,893,000","4,610,000","0"
TaxProvision,"137,869,000","155,810,000","113,951,000","127,568,000","31,374,000","40,612,000","22,987,000","32,774,000","-4,010,000","-9,346,000","7,868,000","20,708,000","13,539,000","15,601,000","26,679,000","28,949,000","26,228,000","26,725,000","556,000","2,128,000","5,425,000","-19,557,000","235,000","-338,000","337,000","100,000"
NetIncomeContinuousOperations,"1,109,128,000","1,693,300,000","727,821,000","629,709,000","824,178,000","526,582,000","821,260,000","709,731,000","593,397,000","436,358,000","842,588,000","876,945,000","290,966,000","832,099,000","692,559,000","256,486,000","316,899,000","279,775,000","55,096,000","22,016,000","-8,741,000","-32,053,000","3,091,000","2,039,000","4,112,000","1,000,000"
NetIncome,"1,331,908,000","1,636,319,000","757,971,000","619,278,000","692,738,000","537,738,000","834,355,000","709,731,000","593,397,000","436,358,000","842,588,000","876,945,000","290,966,000","857,943,000","713,214,000","256,486,000","316,899,000","280,591,000","58,982,000","22,016,000","-8,741,000","-32,436,000","3,091,000","2,039,000","4,112,000","1,000,000"
NetIncomeCommonStockholders,"1,290,296,000","1,594,707,000","713,616,000","566,502,000","664,668,000","515,800,000","812,417,000","687,793,000","557,706,000","410,514,000","816,744,000","851,101,000","265,122,000","832,099,000","692,559,000","256,486,000","316,899,000","280,591,000","58,982,000","22,016,000","-8,741,000","-32,436,000","3,091,000","2,039,000","4,112,000","1,000,000"
BasicEPS,,"3.97","1.76","1.403","1.833","1.413","2.07","1.747","1.383","1.033","1.809","1.588","0.474","1.302","1.051","0.807","1.116","1.187","0.326","0.19","-0.073","-0.211","0.02","0.013","0.027","0.007"
DilutedEPS,,"3.87","1.73","1.357","1.777","1.363","2.007","1.69","1.343","0.99","1.728","1.527","0.454","1.253","1.009","0.381","0.486","0.46","0.11","0.143","-0.073","-0.211","0.019","0.013","0.027","0.007"
BasicAverageShares,,"401,802,815","404,347,621","404,138,364","362,376,342","365,358,381","392,452,830","394,066,176","403,338,474","396,665,910","451,635,444","536,043,249","558,910,827","638,961,048","658,911,888","318,083,850","284,046,633","236,376,495","180,861,282","115,701,012","118,782,675","153,780,588","153,586,485","153,293,409","152,835,516","150,000,000"
DilutedAverageShares,,"411,609,478","412,906,478","417,785,025","374,152,479","378,116,229","404,766,966","407,331,549","414,776,541","414,869,106","472,695,471","557,344,188","583,101,468","663,861,771","686,220,525","672,388,722","652,671,405","610,000,146","536,959,602","153,020,079","118,782,675","153,781,272","159,464,007","153,772,092","152,835,516","150,000,000"
