name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002
MarketCap,"2,439,213,865","1,718,941,760","5,361,568,846","4,881,257,511","6,018,032,171","7,089,283,024","5,903,344,885","8,862,393,517","9,709,052,778","8,923,296,013","11,622,782,531","10,830,254,465","8,963,059,491","11,365,502,130","12,905,631,246","12,760,336,060","11,333,831,180","9,222,656,022","8,475,062,546","9,690,470,882","10,419,487,690","10,090,338,396","9,284,808,710","11,039,553,717","12,484,166,795","10,366,513,732","9,143,136,987","8,371,223,977","5,618,368,992","6,520,568,436","4,999,185,694","5,034,571,345","4,724,791,593","6,469,032,858","5,307,438,404","4,775,837,142","7,694,326,983","9,857,629,023","7,545,829,850","5,605,490,870","6,019,490,179","4,981,004,605","4,425,219,475","3,617,739,450","2,363,599,955","1,530,989,375","2,230,014,304","4,072,815,521","5,788,001,203","4,535,254,051","3,510,496,714","3,072,718,639","3,275,805,624","3,083,268,451","3,025,240,815","2,915,492,168","3,556,742,377","3,573,088,597","3,543,054,683","3,735,002,792","3,193,589,455","1,629,218,799","1,581,529,100","1,453,527,584","1,251,319,640","1,195,599,791","1,095,988,898","816,109,229","987,848,190","807,425,885","741,244,513","702,209,187"
EnterpriseValue,"4,666,433,865","3,941,260,760","7,670,890,846","7,181,225,511","8,311,630,171","7,777,171,024","6,527,545,885","9,939,309,517","10,732,572,778","10,009,682,013","12,686,483,531","11,796,756,465","9,872,651,491","12,200,565,130","13,694,306,246","13,605,392,060","12,143,403,180","9,928,894,022","9,075,750,546","10,333,590,882","11,798,555,690","11,184,476,396","10,221,151,710","12,410,998,717","13,504,636,795","11,285,982,732","10,038,605,987","9,258,691,977","6,469,836,992","7,201,030,436","5,679,647,694","5,687,639,345","5,292,385,593","6,871,626,858","5,596,598,404","5,064,997,142","8,028,350,983","10,149,508,023","7,781,703,850","5,781,659,870","6,221,734,179","5,238,797,605","4,814,230,475","4,138,530,450","3,065,977,955","2,239,093,375","2,817,522,304","4,352,886,521","6,098,585,203","4,865,571,051","3,860,214,714","3,540,847,639","3,777,174,624","3,521,887,451","3,416,769,815","3,313,663,168","3,954,913,377","3,873,919,597","3,953,977,683","4,145,925,792","3,709,531,455","1,516,193,799","1,465,783,100","1,361,330,584","1,193,238,640","1,157,106,791","1,055,568,898","759,251,229","940,358,190","795,194,885","752,983,513","722,903,187"
PeRatio,,,"10.415","7.707","8.962","8.401","9.026","14.918","17.633","18.015","33.519","44.23",,,,,,,,,,"19.912","14.54","17.501","20.436","18.41","19.945","20.821","16.75","18.536","14.184","12.173","9.171","12.272","10.049","9.042","14.574","20.289","13.213","10.012","12.782","12.853",,,,,,"14.957","10.186","10.776","10.399","10.552","10.978","9.007","6.426","6.78","8.285","8.335","11.469","12.088","9.703","10.026","10.557","12.132","12.092","13.505","12.243","8.991","18.13","14.847","13.664",
ForwardPeRatio,"5.624","17.361","9.843","6.849","9.479","11.601",,"11.442","15.038","13.605","17.391","20.661","22.989","24.51","38.314","39.683",,"59.88","294.118","526.316","97.087","104.167","29.674","17.762","18.484","16.208","15.129","15.674","11.494","12.595","9.843","9.346","7.262","10.953","10.627","7.692","10.834","13.812","13.495",,,,,,,,,,,"28.986",,,,,,,,,,,,,,,,,,,,,,
PegRatio,,,,,,,,,,,,,,,,,,,,,,,"2.106","1.182","1.14","0.719","0.672","0.637","0.467","0.889","0.695","0.658","0.511","1.826","2.935","0.513","0.362","0.37","6.159",,,,,,,,,,,"5.272",,,,,,,,,,,,,,,,,,,,,,
PsRatio,"1.055","0.704","2.193","1.965","2.384","2.804","2.551","4.072","4.671","4.558","6.525","6.559","6.003","8.874","10.673","10.368","8.491","6.227","4.852","4.641","4.333","4.074","3.784","4.688","5.653","5.091","4.653","4.656","3.403","3.95","3.023","3.084","2.71","3.613","3.07","2.763","4.602","6.223","4.597","3.602","4.269","3.989","4.292","3.687","1.768","0.887","1.107","1.963","3.157","2.9","2.515","2.469","2.668","2.457","2.205","2.081","2.543","2.548","2.314","2.438","2.185","2.29","2.401","2.582","2.471","2.725","2.506","1.938","3.436","2.814","2.589",
PbRatio,"0.874","0.481","1.378","1.264","1.601","2.129","1.951","3.078","3.527","3.474","4.848","4.684","4.054","4.816","5.54","5.437","4.335","3.297","2.468","2.309","2.55","2.242","2.096","2.575","3.01","2.577","2.396","2.275","1.582","1.877","1.439","1.539","1.467","2.066","1.762","1.585","2.665","3.622","2.891","2.24","2.542","2.226","2.171","1.871","1.249","0.826","0.949","1.197","1.598","1.335","1.077","0.992","1.085","1.036","1.041","1.044","1.274","1.318","1.46","1.539","1.386","2.185","2.257","2.233","2.058","2.095","2.05","1.552","1.966","1.684","1.666","1.639"
EnterprisesValueRevenueRatio,"2.066","8.335","11.671","12.332","15.21","13.48","10.459","16.804","19.294","17.65","23.027","25.442","21.629","27.284","35.834","40.526","40.631","41.267","29.156","29.022","27.808","30.982","18.979","19.101","21.211","18.835","19.432","16.494","13.103","16.89","12.883","13.978","14.987","16.244","13.007","11.676","17.183","23.792","19.071","15.272","16.438","11.679","14.642","16.612","13.768","10.704","9.381","7.55","9.894","10.199","8.804","10.301","11.042","11.477","11.558","10.263","12.62","11.555","14.64","10.253","14.694","7.909","7.383","7.995","7.011","8.513","9.897","6.772","9.493","5.831","6.303","22.211"
EnterprisesValueEBITDARatio,"-160.034","-7.025","-61.57","24.601","22.8","32.889","11.004","29.187","31.707","25.792","40.086","44.432","35.46","38.186","69.291","128.557","-42.543","-66.937","-10.944","-10.419","-16.569","-26.946","29.271","27.024","30.725","28.153","19.946","23.984","17.965","25.396","18.931","20.897","23.188","23.845","18.874","16.249","22.541","37.029","28.231","20.335","22.965","13.281","20.594","30.565","24.82","-3.287","-1.308","10.063","12.491","13.472","12.285","15.127","16.17","16.539","19.054","14.048","17.427","15.609","11.597","15.375","25.257","14.38","12.942","14.285","13.244","15.348","19.532","12.801","16.901","10.961","16.432","29.996"
