name,ttm,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010
TotalRevenue,"52,329,000,000","13,335,000,000","13,172,000,000","13,963,000,000","12,589,000,000","14,250,000,000","13,282,000,000","14,014,000,000","13,073,000,000","14,600,000,000","14,740,000,000","17,704,000,000","9,400,000,000","14,202,000,000","11,109,000,000","10,806,000,000","9,400,000,000","10,723,000,000","11,376,000,000","10,900,000,000","10,605,000,000","12,018,000,000","12,239,000,000","12,201,000,000","10,605,000,000","11,711,000,000","11,729,000,000","10,587,000,000","9,169,000,000","10,287,000,000","10,268,000,000","9,870,000,000","9,332,000,000","9,874,000,000","10,217,000,000","9,952,000,000","9,003,000,000","9,473,000,000","9,323,000,000","9,174,000,000","8,327,000,000"
	OperatingRevenue,"52,329,000,000","13,335,000,000","13,172,000,000","13,963,000,000","12,589,000,000","14,250,000,000","13,282,000,000","14,014,000,000","13,073,000,000","14,600,000,000","14,740,000,000","17,704,000,000","9,400,000,000","14,202,000,000","11,109,000,000","10,806,000,000","9,400,000,000","10,723,000,000","11,376,000,000","10,900,000,000","10,605,000,000","12,018,000,000","12,239,000,000","12,201,000,000","10,605,000,000","11,711,000,000","11,729,000,000","10,587,000,000","9,169,000,000","10,287,000,000","10,268,000,000","9,870,000,000","9,332,000,000","9,874,000,000","10,217,000,000","9,952,000,000","9,003,000,000","9,473,000,000","9,323,000,000","9,174,000,000","8,327,000,000"
CostOfRevenue,"20,362,000,000","5,270,000,000","5,140,000,000","5,263,000,000","4,875,000,000","5,193,000,000","4,982,000,000","5,196,000,000","4,988,000,000","5,166,000,000","5,546,000,000","6,896,000,000","3,778,000,000","5,408,000,000","4,393,000,000","4,224,000,000","3,778,000,000","4,031,000,000","4,444,000,000","4,375,000,000","4,287,000,000","4,636,000,000","4,966,000,000","4,867,000,000","4,287,000,000","4,482,000,000","4,757,000,000","4,451,000,000","3,904,000,000","4,106,000,000","4,276,000,000","4,209,000,000","3,855,000,000","4,014,000,000","4,389,000,000","4,332,000,000","3,899,000,000","4,192,000,000","4,130,000,000","4,112,000,000","3,718,000,000"
GrossProfit,"31,967,000,000","8,065,000,000","8,032,000,000","8,700,000,000","7,714,000,000","9,057,000,000","8,300,000,000","8,818,000,000","8,085,000,000","9,434,000,000","9,194,000,000","10,808,000,000","5,622,000,000","8,794,000,000","6,716,000,000","6,582,000,000","5,622,000,000","6,692,000,000","6,932,000,000","6,525,000,000","6,318,000,000","7,382,000,000","7,273,000,000","7,334,000,000","6,318,000,000","7,229,000,000","6,972,000,000","6,136,000,000","5,265,000,000","6,181,000,000","5,992,000,000","5,661,000,000","5,477,000,000","5,860,000,000","5,828,000,000","5,620,000,000","5,104,000,000","5,281,000,000","5,193,000,000","5,062,000,000","4,609,000,000"
OperatingExpense,"15,798,000,000","4,189,000,000","3,918,000,000","4,022,000,000","3,876,000,000","4,408,000,000","3,992,000,000","4,379,000,000","4,149,000,000","4,583,000,000","4,513,000,000","5,467,000,000","2,929,000,000","4,755,000,000","3,502,000,000","3,384,000,000","2,929,000,000","3,235,000,000","3,298,000,000","3,082,000,000","3,191,000,000","3,189,000,000","3,378,000,000","3,301,000,000","3,191,000,000","2,943,000,000","3,064,000,000","2,982,000,000","2,514,000,000","2,603,000,000","2,694,000,000","3,026,000,000","2,590,000,000","2,314,000,000","2,580,000,000","2,562,000,000","2,349,000,000","2,240,000,000","2,296,000,000","2,322,000,000","2,139,000,000"
	SellingGeneralAndAdministration,"16,421,000,000","4,149,000,000","4,193,000,000","4,222,000,000","4,036,000,000","4,154,000,000","4,173,000,000","4,493,000,000","4,298,000,000","4,668,000,000","4,652,000,000","5,687,000,000","3,092,000,000","4,811,000,000","3,649,000,000","3,619,000,000","3,092,000,000","3,474,000,000","3,527,000,000","3,337,000,000","3,394,000,000","3,536,000,000","3,659,000,000","3,796,000,000","3,394,000,000","3,326,000,000","3,354,000,000","3,172,000,000","2,707,000,000","2,733,000,000","2,880,000,000","2,901,000,000","2,715,000,000","2,607,000,000","2,742,000,000","2,696,000,000","2,454,000,000","2,452,000,000","2,464,000,000","2,444,000,000","2,225,000,000"
		GeneralAndAdministrativeExpense,"3,548,000,000",,,,,,,,,,,,,"1,107,000,000","597,000,000","624,000,000","555,000,000","682,000,000","615,000,000","574,000,000","689,000,000","781,000,000","651,000,000","670,000,000","689,000,000","802,000,000","663,000,000","583,000,000","491,000,000","562,000,000","597,000,000","519,000,000","508,000,000","3,866,000,000","500,000,000","470,000,000","520,000,000","3,398,000,000","480,000,000","-165,000,000","1,159,000,000"
			OtherGandA,"3,548,000,000",,,,,,,,,,,,,"1,107,000,000","597,000,000","624,000,000","555,000,000","682,000,000","615,000,000","574,000,000","689,000,000","781,000,000","651,000,000","670,000,000","689,000,000","802,000,000","663,000,000","583,000,000","491,000,000","562,000,000","597,000,000","519,000,000","508,000,000","3,866,000,000","500,000,000","470,000,000","520,000,000","3,398,000,000","480,000,000","-165,000,000","1,159,000,000"
		SellingAndMarketingExpense,"12,873,000,000",,,,,,,,,,,,,"3,704,000,000","3,052,000,000","2,995,000,000","2,537,000,000","2,792,000,000","2,912,000,000","2,763,000,000","2,705,000,000","2,755,000,000","3,008,000,000","3,126,000,000","2,705,000,000","2,524,000,000","2,691,000,000","2,589,000,000","2,216,000,000","2,171,000,000","2,283,000,000","2,382,000,000","2,207,000,000","-1,259,000,000","2,242,000,000","2,226,000,000","1,934,000,000","-946,000,000","1,984,000,000","2,609,000,000","1,066,000,000"
	OtherTaxes,"79,000,000"
