name,ttm,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,06/30/2010,03/31/2010,06/30/2009,03/31/2009
TotalRevenue,"11,212,000,000","2,911,000,000","3,055,000,000","2,859,000,000","2,387,000,000","2,683,000,000","2,767,561,000","2,521,280,000","2,091,224,000","2,225,142,000","2,373,011,000","1,989,181,000","1,593,106,000","1,669,923,000","1,773,806,000","1,656,919,000","1,437,985,000","1,506,315,000","1,600,180,000","1,457,759,000","1,210,370,000","1,296,237,000","1,387,501,000","1,246,971,000","1,034,019,000","1,120,214,000","1,146,666,000","1,034,810,000","866,937,000","883,197,000","893,637,000","798,234,000","649,458,000","650,736,000","626,686,000","547,740,000","424,435,000","438,863,000","340,945,000","315,296,000","253,536,000"
	OperatingRevenue,"11,060,000,000","2,859,000,000","3,028,000,000","2,804,000,000","2,369,000,000","2,645,000,000","2,751,804,000","2,515,683,000","2,084,769,000","2,212,110,000","2,364,566,000","1,978,669,000","1,584,838,000","1,658,558,000","1,763,573,000","1,681,567,000","1,519,864,000","1,593,287,000","1,693,356,000","1,542,384,000","1,281,824,000","1,372,911,000","1,471,503,000","1,323,006,000","1,097,808,000","1,188,386,000","1,216,102,000","1,097,073,000","919,283,000","936,665,000","947,642,000","846,415,000","688,555,000","689,921,000","664,479,000","580,794,000","450,384,000","438,863,000","340,945,000","315,296,000","253,536,000"
	ExciseTaxes,,,,,,,,,,"0",,"0","0","0","0","33,642,000","82,507,000","86,972,000","93,176,000","84,625,000","71,454,000","76,674,000","84,002,000","76,035,000","63,789,000","68,172,000","69,436,000","62,263,000","52,346,000","53,468,000","54,005,000","48,181,000","39,097,000","39,185,000","37,793,000","33,054,000","25,949,000",,,,
CostOfRevenue,"7,190,000,000","1,878,000,000","1,834,000,000","1,743,000,000","1,735,000,000","1,737,000,000","1,657,803,000","1,575,100,000","1,506,035,000","1,623,449,000","1,504,070,000","1,348,270,000","1,198,962,000","1,264,602,000","1,249,701,000","1,217,412,000","1,200,459,000","1,198,604,000","1,166,759,000","1,088,159,000","1,058,624,000","1,048,926,000","983,259,000","928,860,000","916,982,000","876,713,000","823,214,000","746,557,000","735,181,000","694,075,000","630,025,000","580,436,000","549,368,000","493,818,000","452,579,000","395,673,000","361,267,000","273,633,000","272,202,000","239,090,000","241,650,000"
GrossProfit,"4,022,000,000","1,033,000,000","1,221,000,000","1,116,000,000","652,000,000","946,000,000","1,109,758,000","946,180,000","585,189,000","601,693,000","868,941,000","640,911,000","394,144,000","405,321,000","524,105,000","439,507,000","237,526,000","307,711,000","433,421,000","369,600,000","151,746,000","247,311,000","404,242,000","318,111,000","117,037,000","243,501,000","323,452,000","288,253,000","131,756,000","189,122,000","263,612,000","217,798,000","100,090,000","156,918,000","174,107,000","152,067,000","63,168,000","165,230,000","68,743,000","76,206,000","11,886,000"
OperatingExpense,"1,914,000,000","549,000,000","518,000,000","459,000,000","388,000,000","354,000,000","334,986,000","275,144,000","278,603,000","370,525,000","277,597,000","198,205,000","226,801,000","219,603,000","173,066,000","176,119,000","166,772,000","177,129,000","151,740,000","169,938,000","162,515,000","198,463,000","202,131,000","159,861,000","136,882,000","158,299,000","152,379,000","159,061,000","136,680,000","159,838,000","143,280,000","135,394,000","112,378,000","122,558,000","118,231,000","111,602,000","86,723,000","60,692,000","51,535,000","38,248,000","43,624,000"
	SellingGeneralAndAdministration,"1,961,000,000","939,000,000","390,000,000","349,000,000","283,000,000","377,000,000","324,675,000","272,604,000","224,578,000","334,677,000","205,286,000","180,951,000","199,611,000","189,576,000","154,497,000","154,932,000","139,662,000","175,024,000","143,809,000","139,974,000","123,770,000","168,164,000","153,130,000","115,532,000","92,738,000","125,853,000","99,941,000","103,180,000","82,713,000","90,003,000","143,280,000","135,394,000","112,378,000","122,558,000","118,231,000","111,602,000","86,723,000","60,692,000","51,535,000","38,248,000","43,624,000"
		GeneralAndAdministrativeExpense,"1,535,000,000","805,000,000","277,000,000","247,000,000","206,000,000","269,000,000","233,353,000","189,514,000","158,752,000","236,213,000","153,725,000","135,689,000","165,343,000","143,434,000","123,233,000","118,868,000","106,607,000","128,233,000","101,426,000","95,408,000","77,942,000","102,985,000","99,520,000","78,280,000","61,344,000","80,765,000","62,661,000","71,233,000","58,900,000","61,044,000","118,964,000","108,067,000","90,167,000","93,251,000","93,374,000","88,909,000","68,826,000","44,185,000","37,024,000","21,943,000","34,777,000"
			SalariesAndWages,"14,000,000"
			RentAndLandingFees,"460,000,000"
			OtherGandA,"1,061,000,000","331,000,000","277,000,000","247,000,000","206,000,000","269,000,000","233,353,000","189,514,000","158,752,000","236,213,000","153,725,000","135,689,000","165,343,000","143,434,000","123,233,000","118,868,000","106,607,000","128,233,000","101,426,000","95,408,000","77,942,000","102,985,000","99,520,000","78,280,000","61,344,000","80,765,000","62,661,000","71,233,000","58,900,000","61,044,000","118,964,000","108,067,000","90,167,000","-73,251,000","93,374,000","88,909,000","68,826,000","44,185,000","37,024,000","21,943,000","34,777,000"
		SellingAndMarketingExpense,"426,000,000","134,000,000","113,000,000","102,000,000","77,000,000","108,000,000","91,322,000","83,090,000","65,826,000","98,464,000","51,561,000","45,262,000","34,268,000","46,142,000","31,264,000","36,064,000","33,055,000","46,791,000","42,383,000","44,566,000","45,828,000","65,179,000","53,610,000","37,252,000","31,394,000","45,088,000","37,280,000","31,947,000","23,813,000","28,959,000","24,316,000","27,327,000","22,211,000","29,307,000","24,857,000","22,693,000","17,897,000","16,507,000","14,511,000","16,305,000","8,847,000"
