name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992
TotalAssets,"6,808,313,000","6,314,652,000","5,900,881,000","5,863,174,000","5,642,100,000","6,859,963,000","5,621,691,000","5,903,200,000","6,656,765,000","7,620,887,000","8,076,306,000","8,116,119,000","8,210,189,000","7,928,671,000","7,230,610,000","7,000,820,000","6,445,767,000","5,393,405,000","4,438,626,000","2,272,811,000","1,776,712,000","968,173,000","704,615,000","592,748,000","499,100,000","410,200,000","375,100,000","335,400,000"
	TotalInvestments,"5,725,189,000","5,180,889,000","4,671,906,000","4,462,430,000","4,298,686,000","3,629,299,000","4,947,799,000","5,166,027,000","5,783,559,000","6,655,228,000","6,327,209,000","6,260,780,000","6,411,049,000","5,596,999,000","5,421,449,000","5,380,473,000","4,948,963,000","4,154,362,000","3,340,506,000","1,750,457,000","1,388,677,000","736,310,000","596,930,000","513,158,000",,,,
		FixedMaturityInvestments,,,,,,"0","358,000","679,000","2,640,000","10,773,000","19,283,000","36,628,000","53,310,000",,,,,,,,,,,,,,,
		EquityInvestments,"130,221,000","130,565,000","3,621,549,000","2,839,842,000","1,940,891,000","680,258,000","255,721,000","152,835,000","4,458,216,000","458,164,000","4,411,610,000","4,467,067,000","4,899,593,000","5,358,322,000","5,059,512,000","4,920,755,000","4,693,890,000","3,973,443,000","3,129,718,000","1,654,633,000","1,331,703,000","717,714,000","585,903,000","507,962,000",,,,
		TradingAssets,"317,150,000","469,071,000","606,401,000","879,862,000","1,279,137,000","1,633,584,000","3,117,429,000","4,094,622,000",,,,,,,,,,,,,,,,,,,,
		DerivativeAssets,,,,,,,"16,642,000","13,609,000","17,212,000","26,212,000","68,534,000","179,515,000",,,,,,,,,,,,,,,,
		SecurityAgreeToBeResell,"66,442,000","27,860,000","27,964,000",,,,,,,,,,,,,,,,,,,,,,,,,
		LongTermEquityInvestment,,,,,,,,,,"133,000","121,480,000","99,712,000",,,,,,,,,,,,,,,,
			InvestmentsInOtherVenturesUnderEquityMethod,,,,,,,,,,"133,000","121,480,000","99,712,000",,,,,,,,,,,,,,,,
		OtherShortTermInvestments,"5,207,304,000","4,549,978,000","4,037,207,000","3,581,373,000","1,076,944,000","1,981,130,000","1,429,228,000","777,532,000","1,261,703,000","1,537,498,000","1,401,157,000","1,029,285,000","697,271,000","238,677,000","361,937,000","459,718,000","255,073,000","180,919,000","210,788,000","95,824,000","56,974,000","18,596,000","11,027,000","5,196,000",,,,
			ShortTermInvestmentsAvailableForSale,"5,207,304,000","4,549,978,000","4,037,207,000","3,581,373,000",,"1,981,130,000",,,"1,261,703,000",,,,,,,,,,,,,,,,,,,
		OtherInvestedAssets,"4,072,000","3,415,000","334,000","1,195,000","1,714,000","14,585,000","128,421,000","126,750,000","61,000,000","4,622,448,000","305,145,000","448,573,000","760,875,000",,,,,,,,,,,,,,,
	CashAndCashEquivalents,"92,729,000","95,393,000","80,569,000","52,149,000","46,898,000","30,465,000","23,858,000","31,555,000","35,589,000","20,334,000","77,181,000","79,048,000","200,787,000","57,901,000","7,847,000","30,680,000","67,169,000","21,969,000","60,159,000","2,424,000","7,507,000","2,191,000","2,364,000","3,189,000",,,,
	RestrictedCashAndCashEquivalents,"3,545,000","11,609,000","15,675,000","9,665,000","13,000,000","14,031,000","22,527,000","24,226,000","27,020,000","31,413,000",,,,,,,,,,,,,,,,,,
	ReinsuranceRecoverable,,,,,,,,,"157,985,000","244,894,000","628,572,000","492,359,000",,,,,,,,,,,,,,,,
	Receivables,"110,606,000","137,560,000","81,050,000","84,999,000","72,778,000","113,911,000","121,952,000","176,723,000","102,647,000","116,452,000","173,331,000","90,158,000","130,773,000","68,151,000","84,524,000","115,437,000","122,413,000","48,561,000","47,229,000","43,740,000","40,065,000","32,718,000","31,325,000",,,,,
		AccountsReceivable,"110,606,000","93,054,000","81,050,000","84,999,000","72,778,000","113,911,000","121,952,000","176,723,000","102,647,000","116,452,000","173,331,000","90,158,000","130,773,000","68,151,000","84,524,000","115,437,000","122,413,000",,,,,,,,,,,
		TaxesReceivable,"0","44,506,000",,,,,,,,,,,,,,,,,,,,,,,,,,
	AccruedInvestmentIncome,"46,105,000","54,795,000","31,389,000","29,255,000","25,620,000","20,022,000","30,264,000","34,349,000","32,262,000","40,498,000","38,151,000","61,722,000","65,362,000","62,823,000","60,124,000","60,268,000","53,702,000",,,,,,,,,,,
	PrepaidAssets,"498,656,000","417,628,000","386,509,000","229,438,000","40,491,000","57,291,000",,,,,,"248,828,000","793,486,000","808,740,000","585,514,000","460,149,000","358,840,000","294,136,000","326,514,000","270,250,000","204,701,000","103,763,000",,,,,,
	DeferredPolicyAcquisitionCosts,"20,759,000","17,311,000","16,987,000","14,127,000","14,267,000","12,003,000","66,926,000","88,202,000","139,906,000","148,326,000","160,281,000","160,526,000","234,955,000","221,769,000","208,325,000","211,928,000","218,779,000","183,587,000","151,037,000","70,049,000","61,680,000","32,144,000","25,025,000","23,900,000","21,400,000","16,900,000","16,200,000","12,800,000"
	DeferredTaxAssets,"0","131,643,000","229,567,000","411,798,000","577,945,000","700,201,000","17,902,000","0","15,975,000","27,531,000","440,948,000","446,102,000",,,,,,,,,,,,,,,,
	NetPPE,"67,389,000","37,090,000","87,042,000","70,665,000","46,802,000","27,248,000","10,516,000","7,456,000","11,044,000","13,024,000","16,197,000","18,178,000","24,567,000","33,937,000","52,062,000","69,337,000","71,436,000",,,,,,,,,,,
	GoodwillAndOtherIntangibleAssets,"86,543,000","110,365,000","64,212,000","276,228,000","289,417,000","288,240,000",,,,,,,,,,,,,,,,,,,,,,
		Goodwill,"9,802,000","14,092,000","10,922,000","195,170,000","195,170,000",,,,,,,,,,,,,,,,,,,,,,,
		OtherIntangibleAssets,"76,741,000","96,273,000","53,290,000","81,058,000","94,247,000",,,,,,,,,,,,,,,,,,,,,,,
	AssetsOfDiscontinuedOperations,"24,908,000",,,,"0","1,736,444,000",,,,,,,,,,,,,,,,,,,,,,
	OtherAssets,"131,884,000","120,369,000","235,975,000","222,420,000","216,196,000","230,808,000","379,947,000","374,662,000","350,778,000","323,187,000","214,436,000","258,418,000","349,210,000","1,078,351,000","810,765,000","672,548,000","604,465,000","690,790,000","513,181,000","135,891,000","74,082,000","61,047,000","48,971,000","52,501,000","477,700,000","393,300,000","358,900,000","322,600,000"
TotalLiabilitiesNetMinorityInterest,"2,759,590,000","2,825,937,000","2,900,843,000","2,990,888,000","3,145,169,000","4,688,213,000","4,682,046,000","5,166,875,000","5,474,474,000","6,761,107,000","6,071,312,000","6,085,409,000","5,489,453,000","3,861,114,000","3,567,730,000","3,311,765,000","3,219,923,000","2,639,970,000","2,132,298,000","910,614,000","719,456,000","445,204,000","274,672,000","236,404,000","160,500,000","130,500,000","122,200,000","114,700,000"
