name,ttm,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,01/31/2008,10/31/2007
MarketCap,"12,509,713,188","15,314,095,135","13,720,632,692","20,416,366,742","20,502,309,077","17,314,401,368","16,408,169,933","14,707,379,935","15,183,074,200","13,546,409,374","12,324,122,460","15,485,840,450","17,488,062,150","16,916,484,120","15,163,975,440","16,313,773,118","13,045,193,950","11,540,418,305","11,122,849,315","10,664,561,490","9,706,554,343","8,492,404,520","7,777,359,275","5,939,083,300","5,641,154,605","5,505,360,032","8,236,625,310","6,434,042,675","5,581,072,379","6,238,325,726","5,878,495,350","5,367,132,160","5,545,022,940","4,737,215,350","4,156,637,880","3,857,268,592","3,241,644,656","2,229,882,080","1,810,048,538","1,480,837,314","1,347,743,384","1,127,211,993","876,764,682","654,645,054","505,264,270","336,222,757","507,407,385","542,441,890","810,441,250","867,247,440","1,941,576,442"
EnterpriseValue,"13,945,735,188","17,034,685,135","15,285,238,692","21,760,368,742","20,093,058,077","17,017,457,368","16,022,062,933","14,238,300,935","14,785,629,200","13,439,622,374","12,051,262,460","15,014,115,450","17,073,052,150","16,673,376,120","14,859,891,440","15,944,519,118","12,569,353,950","11,180,657,305","10,647,426,315","10,128,345,490","9,167,196,343","8,097,344,520","7,314,155,275","5,482,374,300","5,221,678,605","5,264,444,032","7,950,415,310","6,140,828,675","5,260,597,379","6,046,601,726","5,686,771,350","5,169,731,160","5,278,677,940","4,483,477,350","4,025,980,880","3,740,457,592","3,130,459,656","2,118,697,080","1,794,132,538","1,472,167,314","1,339,073,384","1,162,578,993","938,552,682","716,433,054","602,005,270","470,554,757","641,739,385","657,342,890","911,000,250","938,228,440","2,035,064,442"
PeRatio,"18.285","22.589","19.758","30.37","31.899","27.206","26.809","25.431","28.003","28.402","26.87","35.282","43.166","45.685","42.842","48.462","41.823","38.961","39.004","39.066","37.962","35.373","34.419","28.235","27.844","28.102","43.827","36.165","32.705","40.589","38.253","37.893","42.599","40.079","40.536","48.485","45.853","31.931","33.359","31.185","28.543","36.604","31.542","23.604","19.886","8.969","13.569","15.21","29.479","31.75","131.538"
ForwardPeRatio,"31.949","20.45","17.794","27.027","27.1","22.936","21.277","22.624","23.148","20.45","20.661","30.96","31.746","33.67","31.646","43.668","34.965","32.051","36.63","35.714","32.895","29.24","31.153","25.126","21.186","21.598","36.496","28.011","25.063","29.674","29.07","27.1","28.653","32.787","31.056","30.864","28.329","26.455",,,"15.873",,,,,,"16.611",,,,
PegRatio,"3.414","1.977","1.78","1.592","1.596","1.348","1.182","1.224","1.198","1.061","1.163","1.438","1.476","1.582","1.543","2.236","1.746","1.642","1.831","1.785","1.646","1.463","1.558","1.255","1.059","1.08","1.825","1.401","1.254","1.484","1.162","1.085","1.146","1.311","1.306","1.315","1.232","1.15",,,"0.858",,,,,,"0.879",,,,
PsRatio,"1.745","2.177","1.946","3.015","3.127","2.712","2.655","2.461","2.643","2.503","2.374","3.089","3.644","3.787","3.579","4.046","3.412","3.153","3.175","3.16","3.014","2.785","2.659","2.125","2.117","2.158","3.393","2.795","2.542","3.071","2.894","2.781","3.011","2.715","2.548","2.566","2.241","1.56","1.393","1.182","1.082","0.981","0.784","0.586","0.463","0.497","0.752","0.742","0.708","0.89","0.848"
PbRatio,"6.577","8.291","7.459","10.515","11.264","9.432","9.053","8.247","8.558","8.382","7.536","9.433","11.27","11.65","10.894","12.351","9.04","8.377","8.255","8.185","7.781","7.138","6.907","5.604","5.624","5.93","9.572","8.005","7.092","8.824","8.315","8.39","9.48","8.102","7.926","8.582","8.07","5.54","5.553","4.788","4.34","4.176","3.396","2.527","2.01","1.455","2.196","2.418","3.702","4.1","9.819"
EnterprisesValueRevenueRatio,"1.885","7.387","9.085","13.057","11.528","8.009","10.27","9.567","9.578","6.936","8.979","11.64","12.985","10.549","13.136","14.912","11.706","8.816","11.691","11.549","10.56","7.729","9.808","7.467","7.316","6.064","12.849","10.218","9.028","7.968","11.247","10.733","11.134","7.697","9.747","9.48","8.11","4.473","5.29","4.575","4.182","2.933","3.304","2.619","2.239","1.378","2.518","2.639","3.807","3.033","9.773"
EnterprisesValueEBITDARatio,"11.654","46.78","63.153","77.395","64.953","48.204","67.024","54.171","53.065","42.075","53.61","61.81","68.052","58.81","76.945","82.429","64.441","51.886","69.554","64.417","62.984","46.758","57.244","42.212","46.893","36.853","79.734","62.131","56.887","47.549","68.085","65.367","67.303","47.924","63.448","63.885","55.338","31.984","44.413","38.812","34.117","23.405","31.184","27.312","24.755","13.357","28.059","33.636","45.319","26.925","116.489"
