name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001
DilutedAverageShares,,"103,133,000","105,370,000","104,997,000","103,843,000","95,219,000","87,506,000","86,541,000","82,912,000","81,183,000","75,083,000","58,813,139","32,652,000","31,014,151","28,290,071","22,633,065","18,400,917","14,613,173","10,780,769","11,024,074"
InterestIncomeAfterProvisionForLoanLoss,"990,841,000","1,015,779,000","884,964,000","759,674,000","640,211,000","479,059,000","375,561,000","318,312,000","242,212,000","207,786,000","137,366,000","51,223,000","126,719,000","159,630,000","144,128,000","96,163,000","67,221,000","35,880,000","27,759,000","26,573,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"462,339,000","499,171,000","435,788,000","325,492,000","259,798,000","194,244,000","147,951,000","114,523,000","72,834,000","31,494,000","-7,195,000","-151,406,000","-236,460,000","32,875,000","39,889,000","28,065,000","20,057,000","8,689,000","8,409,000","5,953,000"
NormalizedIncome,"464,211,075.021","502,325,049.8","435,795,685.1","325,434,368","268,636,039.1","199,388,151.1","145,544,645","111,044,560","69,934,341","34,680,867.916","-4,036,100","-61,408,181.346","-3,240,660.436","31,232,201.166","39,889,000","28,065,000","20,044,714.134","8,868,050.156","8,409,000","5,953,000"
TotalMoneyMarketInvestments,,,,,,,"2,248,000","1,538,000","508,000","729,000","1,455,000","1,030,000","322,000","1,644,000","1,798,000","2,341,000","293,000","578,000",,
ReconciledDepreciation,"29,899,000","28,915,000","14,319,000","13,393,000","2,788,000","1,970,000","1,461,000","9,237,000","9,561,000","10,623,000","14,091,000","15,489,000","12,873,000","12,782,000","7,734,000","5,002,000","6,327,000","4,741,000",,
NetIncomeFromContinuingOperationNetMinorityInterest,"462,339,000","499,171,000","435,788,000","325,492,000","259,798,000","194,244,000","149,109,000","115,384,000","75,324,000","33,490,000","-4,170,000","-151,406,000","-236,460,000","32,875,000","39,889,000","28,065,000","20,057,000","8,689,000","8,409,000","5,953,000"
TotalUnusualItemsExcludingGoodwill,"-2,269,000","-3,818,000","-9,000","80,000","-12,287,000","-6,847,000","4,721,000","5,292,000","7,101,000","-1,790,000","-206,000","-114,729,000","-286,643,000","2,418,000",,,"19,000","-265,000",,
TotalUnusualItems,"-2,269,000","-3,818,000","-9,000","80,000","-12,287,000","-6,847,000","4,721,000","5,292,000","7,101,000","-1,790,000","-206,000","-114,729,000","-286,643,000","2,418,000",,,"19,000","-265,000",,
TaxRateForCalcs,"0.175","0.174","0.146","0.28","0.281","0.249","0.245","0.18","0.241","0.335","0.35","0.216","0.186","0.321","0.351","0.354","0.353","0.324","0.335","0.335"
TaxEffectOfUnusualItems,"-396,924.979","-663,950.2","-1,314.9","22,368","-3,448,960.9","-1,702,848.9","1,156,645","952,560","1,711,341","-599,132.084","-72,100","-24,731,181.346","-53,423,660.436","775,201.166","0","0","6,714.134","-85,949.844","0","0"
