name,ttm,06/30/2019,06/30/2018,06/30/2017,06/30/2016,06/30/2015,06/30/2014,06/30/2013,06/30/2012,06/30/2011,06/30/2010,06/30/2009,06/30/2008,06/30/2007,06/30/2006,06/30/2005,06/30/2004,06/30/2003,06/30/2002,06/30/2001,06/30/2000
TotalRevenue,"10,363,000,000","10,390,000,000","11,184,000,000","10,771,000,000","11,160,000,000","13,739,000,000","13,724,000,000","14,351,000,000","14,939,000,000","10,971,000,000","11,395,000,000","9,805,000,000","12,708,000,000","11,360,000,000","9,206,000,000","7,553,000,000","6,224,000,000","6,486,000,000","6,087,000,000","5,966,000,000","6,073,000,000"
	OperatingRevenue,"10,363,000,000","10,390,000,000","11,184,000,000","10,771,000,000","11,160,000,000","13,739,000,000","13,724,000,000","14,351,000,000","14,939,000,000","10,971,000,000","11,395,000,000","9,805,000,000","12,708,000,000","11,360,000,000","9,206,000,000","7,553,000,000","6,224,000,000","6,486,000,000","6,087,000,000","5,966,000,000","6,073,000,000"
CostOfRevenue,"7,564,000,000","7,458,000,000","7,820,000,000","7,597,000,000","8,545,000,000","9,930,000,000","9,878,000,000","10,411,000,000","10,255,000,000","8,825,000,000","8,191,000,000","8,395,000,000","9,503,000,000","9,175,000,000","7,069,000,000","5,880,000,000","4,765,000,000","4,759,000,000","4,494,000,000",,
GrossProfit,"2,799,000,000","2,932,000,000","3,364,000,000","3,174,000,000","2,615,000,000","3,809,000,000","3,846,000,000","3,940,000,000","4,684,000,000","2,146,000,000","3,204,000,000","1,410,000,000","3,205,000,000","2,185,000,000","2,137,000,000","1,673,000,000","1,459,000,000","1,727,000,000","1,593,000,000",,
OperatingExpense,"1,478,000,000","1,467,000,000","1,641,000,000","1,942,000,000","1,995,000,000","2,339,000,000","2,046,000,000","1,847,000,000","1,572,000,000","1,322,000,000","1,341,000,000","1,545,000,000","1,741,000,000","1,542,000,000","1,259,000,000","951,000,000","956,000,000","1,027,000,000","1,215,000,000",,
	SellingGeneralAndAdministration,"469,000,000","453,000,000","562,000,000","606,000,000","635,000,000","857,000,000","722,000,000","635,000,000","528,000,000","445,000,000","437,000,000","537,000,000","659,000,000","589,000,000","447,000,000","306,000,000","290,000,000","357,000,000","498,000,000",,
	ResearchAndDevelopment,"992,000,000","991,000,000","1,026,000,000","1,232,000,000","1,237,000,000","1,353,000,000","1,226,000,000","1,133,000,000","1,006,000,000","875,000,000","877,000,000","953,000,000","1,028,000,000","904,000,000","805,000,000","645,000,000","666,000,000","670,000,000","698,000,000",,
	DepreciationAmortizationDepletionIncomeStatement,"17,000,000","23,000,000","53,000,000","104,000,000","123,000,000","129,000,000","98,000,000","79,000,000","38,000,000","2,000,000","27,000,000","55,000,000","54,000,000","49,000,000","7,000,000",,,,"19,000,000",,
		DepreciationAndAmortizationInIncomeStatement,"17,000,000","23,000,000","53,000,000","104,000,000","123,000,000","129,000,000","98,000,000","79,000,000","38,000,000","2,000,000","27,000,000","55,000,000","54,000,000","49,000,000","7,000,000",,,,"19,000,000",,
			Amortization,"17,000,000","23,000,000","53,000,000","104,000,000","123,000,000","129,000,000","98,000,000","79,000,000","38,000,000","2,000,000","27,000,000","55,000,000","54,000,000","49,000,000","7,000,000",,,,"19,000,000",,
				AmortizationOfIntangiblesIncomeStatement,"17,000,000","23,000,000","53,000,000","104,000,000","123,000,000","129,000,000","98,000,000","79,000,000","38,000,000","2,000,000","27,000,000","55,000,000","54,000,000","49,000,000","7,000,000",,,,"19,000,000",,
OperatingIncome,"1,321,000,000","1,465,000,000","1,723,000,000","1,232,000,000","620,000,000","1,470,000,000","1,800,000,000","2,093,000,000","3,112,000,000","824,000,000","1,863,000,000","-135,000,000","1,464,000,000","643,000,000","878,000,000","722,000,000","503,000,000","700,000,000","378,000,000","5,966,000,000","6,073,000,000"
NetNonOperatingInterestIncomeExpense,"-171,000,000","-140,000,000","-198,000,000","-210,000,000","-190,000,000","-201,000,000","-187,000,000","-206,000,000","-233,000,000","-207,000,000","-168,000,000","-117,000,000",,,,,,,,,
	InterestIncomeNonOperating,"36,000,000","84,000,000","38,000,000","12,000,000","3,000,000","6,000,000","8,000,000","8,000,000","8,000,000","7,000,000","6,000,000","17,000,000",,,,,,,,,
	InterestExpenseNonOperating,"207,000,000","224,000,000","236,000,000","222,000,000","193,000,000","207,000,000","195,000,000","214,000,000","241,000,000","214,000,000","174,000,000","134,000,000",,,,,,,,,
OtherIncomeExpense,"13,000,000","47,000,000","-107,000,000","-207,000,000","-156,000,000","701,000,000","-57,000,000","-56,000,000","3,000,000","-38,000,000","-126,000,000","-2,523,000,000","-66,000,000","-14,000,000","18,000,000","22,000,000","-47,000,000","-9,000,000","-87,000,000",,
	SpecialIncomeCharges,"44,000,000","22,000,000","-89,000,000","-178,000,000","-175,000,000","588,000,000","-24,000,000","-2,000,000","-4,000,000","-38,000,000","-126,000,000","-2,523,000,000","-66,000,000","-14,000,000","18,000,000","22,000,000","-47,000,000","-9,000,000","-87,000,000",,
		RestructuringAndMergernAcquisition,"-44,000,000","-22,000,000","89,000,000","178,000,000","175,000,000","32,000,000","24,000,000","2,000,000","4,000,000","18,000,000","66,000,000","210,000,000","88,000,000","29,000,000","4,000,000",,"59,000,000","9,000,000","4,000,000",,
		ImpairmentOfCapitalAssets,,,,,,,,,"0","0","57,000,000","2,290,000,000",,,,,,,,,
		OtherSpecialCharges,,,,,,"-620,000,000",,,,"20,000,000","3,000,000","23,000,000","-22,000,000","-15,000,000","-22,000,000",,"-12,000,000",,"83,000,000",,
	OtherNonOperatingIncomeExpenses,"-31,000,000","25,000,000","-18,000,000","-29,000,000","19,000,000","113,000,000","-33,000,000","-54,000,000","7,000,000",,,,,,,,,,,,
