name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007
TotalRevenue,"2,260,500,000","2,156,200,000","1,801,200,000","1,494,930,000","1,275,443,000","1,009,268,000","770,364,000","615,297,000","533,639,000","433,576,000","324,696,000","252,115,000","211,791,000","155,366,000"
	OperatingRevenue,"2,260,500,000","2,156,200,000","1,801,200,000","1,494,930,000","1,275,443,000","1,009,268,000","770,364,000","615,297,000","533,639,000","433,576,000","324,696,000","252,115,000","211,791,000","155,366,000"
CostOfRevenue,"521,600,000","505,900,000","450,400,000","385,284,000","337,837,000","286,777,000","231,009,000","180,643,000","147,420,000","113,598,000","85,206,000","69,975,000","65,472,000","56,652,000"
GrossProfit,"1,738,900,000","1,650,300,000","1,350,800,000","1,109,646,000","937,606,000","722,491,000","539,355,000","434,654,000","386,219,000","319,978,000","239,490,000","182,140,000","146,319,000","98,714,000"
OperatingExpense,"1,366,200,000","1,306,100,000","1,119,800,000","999,502,000","890,665,000","700,014,000","480,031,000","362,564,000","285,744,000","231,074,000","184,149,000","156,806,000","141,392,000","120,291,000"
	SellingGeneralAndAdministration,"1,077,400,000","1,029,000,000","875,300,000","788,888,000","707,581,000","541,885,000","357,151,000","259,904,000","204,666,000","167,497,000","134,348,000","114,611,000","104,357,000","92,703,000"
		GeneralAndAdministrativeExpense,"106,400,000","102,100,000","93,000,000","87,862,000","81,080,000","71,514,000","41,347,000","34,913,000","25,511,000","21,965,000","22,380,000","18,320,000","16,640,000","20,544,000"
			OtherGandA,"106,400,000","102,100,000","93,000,000","87,862,000","81,080,000","71,514,000","41,347,000","34,913,000","25,511,000","21,965,000","22,380,000","18,320,000","16,640,000","20,544,000"
		SellingAndMarketingExpense,"971,000,000","926,900,000","782,300,000","701,026,000","626,501,000","470,371,000","315,804,000","224,991,000","179,155,000","145,532,000","111,968,000","96,291,000","87,717,000","72,159,000"
	ResearchAndDevelopment,"288,800,000","277,100,000","244,500,000","210,614,000","183,084,000","158,129,000","122,880,000","102,660,000","81,078,000","63,577,000","49,801,000","42,195,000","37,035,000","27,588,000"
OperatingIncome,"372,700,000","344,200,000","231,000,000","110,144,000","46,941,000","22,477,000","59,324,000","72,090,000","100,475,000","88,904,000","55,341,000","25,334,000","4,927,000","-21,577,000"
NetNonOperatingInterestIncomeExpense,"41,500,000","42,500,000","26,500,000","13,482,000","7,303,000","5,295,000","5,393,000","5,306,000","5,006,000","3,523,000","1,815,000","1,981,000","2,614,000","3,507,000"
