name,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,09/30/1992
		DefinedPensionBenefit,"278,600,000","257,200,000","224,700,000","463,300,000","447,700,000","428,400,000","420,000,000","426,700,000","407,500,000","384,800,000","368,000,000","354,100,000","336,000,000","271,500,000","257,800,000","545,100,000","543,000,000","530,400,000","532,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherNonCurrentAssets,"3,043,300,000","3,150,900,000","2,423,100,000","2,489,100,000","2,423,100,000","2,370,500,000","2,373,300,000","2,401,300,000","2,504,000,000","2,429,600,000","2,254,200,000","2,288,800,000","2,247,300,000","2,203,100,000","2,196,100,000","2,231,600,000","1,829,300,000","1,806,500,000","1,820,100,000","206,900,000","201,800,000","164,300,000","157,100,000","184,100,000","187,500,000","203,200,000","200,800,000","228,100,000","228,700,000","211,300,000","225,500,000","244,300,000","225,400,000","167,200,000","171,100,000","178,500,000","28,600,000","31,900,000","32,300,000","30,500,000","32,800,000","36,400,000","38,500,000","41,400,000","35,600,000","63,200,000","66,900,000","80,900,000","83,400,000","43,700,000","36,600,000","43,100,000","42,400,000","43,800,000","36,100,000","32,500,000","36,500,000","40,088,000","32,280,000","27,383,000","28,495,000","29,253,000","29,496,000","30,808,000","32,211,000","50,224,000","53,248,000","44,947,000","48,805,000","50,712,000","52,582,000","47,786,000","35,625,000","38,600,000","45,018,000","34,946,000","34,966,000","31,664,000","28,656,000","22,735,000","20,026,000","20,000,000","17,100,000","16,300,000","15,800,000","16,500,000","16,400,000","16,200,000","17,400,000","17,100,000","19,200,000","18,200,000","16,800,000",,"8,900,000",,,"13,300,000","13,600,000","9,500,000",,,,,,"-100,000","5,400,000",
TotalLiabilitiesNetMinorityInterest,"19,462,300,000","19,096,300,000","18,472,500,000","18,970,800,000","19,039,400,000","19,051,400,000","13,878,100,000","13,722,900,000","13,857,500,000","13,743,300,000","14,702,900,000","14,673,400,000","13,193,500,000","13,241,100,000","13,208,200,000","13,423,600,000","14,193,600,000","13,708,800,000","13,572,900,000","6,279,000,000","6,393,900,000","6,509,700,000","6,732,300,000","6,452,900,000","6,143,500,000","6,240,100,000","6,420,600,000","6,764,700,000","6,823,100,000","7,072,900,000","7,269,500,000","7,035,800,000","7,104,600,000","7,115,900,000","7,187,400,000","7,215,400,000","1,791,900,000","1,777,800,000","1,897,500,000","1,850,700,000","1,918,800,000","1,974,300,000","2,089,800,000","2,069,500,000","2,149,200,000","2,226,900,000","2,355,000,000","2,367,400,000","2,410,600,000","1,185,500,000","1,201,800,000","1,177,700,000","1,221,500,000","1,210,900,000","1,256,600,000","1,310,100,000","1,312,100,000","1,316,493,000","1,325,608,000","1,340,250,000","821,033,000","828,516,000","846,212,000","821,676,000","851,048,000","830,497,000","865,752,000","847,714,000","811,583,000","739,994,000","768,586,000","744,747,000","735,252,000","727,815,000","761,653,000","750,965,000","765,400,000","762,864,000","772,660,000","766,570,000","740,781,000","735,600,000","729,300,000","724,500,000","708,400,000","701,600,000","714,100,000","715,800,000","721,500,000","719,800,000","729,100,000","740,900,000","707,900,000","222,100,000","232,500,000","232,600,000","221,200,000","226,900,000","247,400,000","236,500,000","232,800,000","130,900,000","131,700,000","129,600,000","118,400,000","125,400,000","120,100,000","102,500,000"
	CurrentLiabilities,"3,139,800,000","3,446,800,000","3,435,100,000","3,590,500,000","4,046,600,000","3,729,900,000","3,333,300,000","2,967,500,000","3,345,500,000","3,487,300,000","3,009,800,000","3,058,900,000","2,321,100,000","2,232,500,000","2,183,000,000","2,307,100,000","2,557,100,000","2,249,100,000","2,163,200,000","1,316,300,000","1,319,200,000","1,278,300,000","1,360,500,000","1,267,500,000","1,242,700,000","1,128,200,000","1,243,400,000","1,232,700,000","1,186,400,000","1,166,100,000","1,408,300,000","1,443,900,000","1,431,600,000","1,246,500,000","1,318,300,000","1,549,500,000","629,300,000","587,000,000","631,200,000","449,800,000","441,800,000","396,800,000","449,300,000","425,700,000","546,500,000","534,100,000","647,700,000","636,500,000","595,300,000","442,400,000","344,900,000","395,300,000","369,500,000","366,100,000","306,000,000","387,600,000","338,100,000","309,532,000","279,210,000","352,006,000","240,227,000","251,013,000","267,662,000","169,617,000","161,605,000","149,325,000","183,876,000","192,265,000","156,587,000","190,810,000","222,517,000","241,526,000","244,600,000","233,543,000","259,247,000","237,841,000","254,406,000","225,644,000","160,375,000","177,157,000","502,233,000","155,500,000","168,900,000","146,400,000","142,100,000","155,500,000","152,500,000","145,800,000","154,900,000","153,300,000","152,100,000","126,900,000","120,100,000","60,300,000","68,900,000","68,200,000","59,300,000","64,200,000","80,600,000","77,200,000","70,800,000","68,500,000","64,500,000","62,800,000","52,300,000","59,900,000","55,500,000","51,800,000"
		PayablesAndAccruedExpenses,"1,696,400,000","1,781,000,000","1,831,800,000","1,706,800,000","1,702,000,000","1,679,500,000","1,716,800,000","1,484,000,000","1,442,900,000","1,402,300,000","1,492,100,000","1,452,700,000","1,225,300,000","1,213,300,000","1,054,400,000","1,109,500,000","1,243,400,000","1,313,700,000","1,303,800,000","752,500,000","789,800,000","756,800,000","812,800,000","787,100,000","818,300,000","738,300,000","802,100,000","758,100,000","754,600,000","677,500,000","708,900,000","758,500,000","760,200,000","729,300,000","780,700,000","845,900,000","264,000,000","288,200,000","343,000,000","310,200,000","241,800,000","263,000,000","321,900,000","299,800,000","280,100,000","273,200,000","336,700,000","316,100,000","273,900,000","195,400,000","235,400,000","199,500,000","192,000,000","180,300,000","207,500,000","217,800,000","196,200,000","158,370,000","167,310,000","158,429,000","124,784,000","117,822,000","143,234,000","120,804,000","123,000,000","97,858,000","127,479,000","127,595,000","116,675,000","93,883,000","114,587,000","107,503,000","99,526,000","91,997,000","115,459,000","70,413,000","108,788,000","72,868,000","77,852,000","70,676,000","61,975,000","58,500,000","66,300,000","61,500,000","57,500,000","58,300,000","45,900,000","48,700,000","48,700,000","41,000,000","54,500,000","40,900,000","45,900,000",,"28,600,000",,,"23,300,000","29,900,000","30,000,000",,,"26,400,000",,"17,700,000","15,300,000","19,100,000","23,500,000"
			Payables,"1,696,400,000","1,781,000,000","1,831,800,000","1,706,800,000","1,702,000,000","1,679,500,000","1,716,800,000","1,484,000,000","1,442,900,000","1,402,300,000","1,492,100,000","1,452,700,000","1,225,300,000","1,213,300,000","1,054,400,000","1,109,500,000","1,243,400,000","1,313,700,000","1,303,800,000","752,500,000","789,800,000","756,800,000","812,800,000","787,100,000","818,300,000","738,300,000","802,100,000","758,100,000","754,600,000","677,500,000","708,900,000","758,500,000","760,200,000","729,300,000","780,700,000","845,900,000","264,000,000","227,300,000","252,300,000","230,400,000","241,800,000","203,300,000","233,900,000","224,000,000","211,600,000","205,100,000","241,500,000","239,500,000","200,600,000","147,200,000","161,600,000","132,700,000","129,700,000","129,400,000","141,800,000","159,000,000","142,400,000","114,274,000","116,423,000","109,292,000","84,436,000","82,945,000","94,483,000","77,044,000","80,478,000","65,354,000","84,151,000","88,753,000","80,892,000","62,218,000","75,130,000","68,194,000","65,147,000","61,111,000","79,596,000","70,413,000","77,459,000","72,868,000","77,852,000","70,676,000","61,975,000","58,500,000","66,300,000","61,500,000","57,500,000","58,300,000","45,900,000","48,700,000","48,700,000","41,000,000","54,500,000","40,900,000","45,900,000",,"28,600,000",,,"23,300,000","29,900,000","30,000,000",,,"26,400,000",,"17,700,000","15,300,000","19,100,000","23,500,000"
				AccountsPayable,"1,696,400,000","1,781,000,000","1,831,800,000","1,706,800,000","1,702,000,000","1,679,500,000","1,716,800,000","1,484,000,000","1,442,900,000","1,402,300,000","1,492,100,000","1,452,700,000","1,225,300,000","1,213,300,000","1,054,400,000","1,109,500,000","1,243,400,000","1,313,700,000","1,303,800,000","752,500,000","789,800,000","756,800,000","812,800,000","787,100,000","818,300,000","738,300,000","802,100,000","758,100,000","754,600,000","677,500,000","708,900,000","758,500,000","760,200,000","729,300,000","780,700,000","845,900,000","264,000,000","227,300,000","252,300,000","230,400,000","241,800,000","203,300,000","233,900,000","224,000,000","211,600,000","205,100,000","241,500,000","239,500,000","200,600,000","147,200,000","161,600,000","132,700,000","129,700,000","129,400,000","141,800,000","159,000,000","142,400,000","114,274,000","116,423,000","109,292,000","84,436,000","82,945,000","94,483,000","77,044,000","80,478,000","65,354,000","84,151,000","88,753,000","80,892,000","62,218,000","75,130,000","68,194,000","65,147,000","61,111,000","79,596,000","70,413,000","77,459,000","72,868,000","77,852,000","70,676,000","61,975,000","58,500,000","66,300,000","61,500,000","57,500,000","58,300,000","45,900,000","48,700,000","48,700,000","41,000,000","54,500,000","40,900,000","45,900,000",,"28,600,000",,,"23,300,000","29,900,000","30,000,000",,,"26,400,000",,"17,700,000","15,300,000","19,100,000","23,500,000"
			CurrentAccruedExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"269,900,000","76,800,000","60,900,000","90,700,000","79,800,000","76,200,000","59,700,000","88,000,000","75,800,000","68,500,000","68,100,000","95,200,000","76,600,000","73,300,000","48,200,000","73,800,000","66,800,000","62,300,000","50,900,000","65,700,000","58,800,000","53,800,000","44,096,000","50,887,000","49,137,000","40,348,000","34,877,000","48,751,000","43,760,000","42,522,000","32,504,000","43,328,000","38,842,000","35,783,000","31,665,000","39,457,000","39,309,000","34,379,000","30,886,000","35,863,000",,"31,329,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		PensionandOtherPostRetirementBenefitPlansCurrent,"381,500,000","375,700,000","470,400,000","427,800,000","380,600,000","365,200,000","399,300,000","363,100,000","333,200,000","314,300,000","416,700,000","388,000,000","303,100,000","296,000,000","405,900,000","376,100,000","350,100,000","275,600,000","358,000,000","223,800,000","212,600,000","171,900,000","224,400,000","210,400,000","221,300,000","183,200,000","249,000,000","212,800,000","203,200,000","184,900,000","211,400,000","208,400,000","211,200,000","176,800,000","220,000,000","269,900,000","76,800,000",,,,"76,200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDebtAndCapitalLeaseObligation,"432,000,000","565,100,000","561,100,000","779,100,000","1,422,400,000","1,092,800,000","740,700,000","594,400,000","1,113,500,000","1,244,600,000","608,700,000","710,500,000","214,200,000","283,400,000","292,900,000","345,200,000","518,900,000","184,800,000","74,100,000","129,000,000","126,400,000","128,200,000","132,600,000","63,100,000","32,000,000","3,200,000","2,900,000","54,100,000","29,700,000","87,400,000","261,300,000","257,700,000","260,000,000","161,000,000","143,300,000","241,500,000","237,800,000","234,700,000","231,600,000","72,300,000","70,400,000","63,300,000","56,300,000","50,000,000","182,600,000","191,500,000","245,100,000","247,200,000","247,700,000","182,700,000","46,000,000","135,400,000","125,800,000","125,500,000","40,800,000","111,300,000","92,800,000","96,720,000","62,079,000","135,401,000","75,090,000","79,100,000","83,906,000","420,000","414,000","429,000","12,927,000","18,831,000","4,335,000","51,156,000","62,917,000","85,893,000","107,276,000","91,908,000","97,152,000","103,143,000","115,338,000","101,631,000","20,328,000","42,617,000","386,997,000","42,200,000","41,400,000","25,500,000","34,600,000","40,400,000","43,500,000","37,500,000","54,500,000","57,400,000","41,300,000","25,200,000","25,000,000","7,300,000","7,300,000","6,700,000","6,800,000","10,500,000","17,800,000","19,300,000","9,200,000","12,400,000","9,100,000","9,500,000","9,300,000","9,300,000","3,300,000","4,000,000"
