name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997
TotalRevenue,"12,669,582,000","13,053,376,000","12,119,134,000","9,591,590,000","7,131,507,272.383","6,581,379,869.988","11,252,605,382.158","10,823,876,745.176","12,771,030,786.293","12,584,218,984.902","13,717,884,512.452","12,712,730,154.903","10,414,349,688.742","9,410,844,487.087","7,309,297,609.967","6,245,078,752.566","4,876,065,580.191","3,956,624,752.124","3,450,392,005.897","4,494,022,438.062","4,525,441,832.937","4,287,549,538.923","3,195,872,695.229",
	OperatingRevenue,"12,669,582,000","13,053,376,000","12,119,134,000","9,591,590,000","7,131,507,272.383","6,581,379,869.988","11,252,605,382.158","10,823,876,745.176","12,771,030,786.293","12,584,218,984.902","13,717,884,512.452","12,712,730,154.903","10,414,349,688.742","9,430,920,077.645","7,307,375,608.416","6,213,312,254.86","4,858,803,559.175","4,108,823,709.782","3,326,226,122.875","4,495,460,084.799","4,525,441,832.937","4,287,549,538.923","3,195,872,695.229",
CostOfRevenue,"8,435,956,000","8,794,059,000","8,346,155,000","6,232,249,000","4,122,479,473.863","4,068,122,263.243","6,707,270,330.603","6,073,976,423.926","7,773,721,648.284","6,813,963,706.987","7,360,240,663.5","6,318,732,675.772","6,743,045,631.987","6,353,041,131.049","4,872,365,966.012","4,243,639,278.084","3,416,558,356.468","2,778,212,951.36","2,401,309,877.799","2,975,045,803.427","2,350,756,015.898","2,330,351,421.096","1,485,321,740.804",
	FuelAndPurchasePower,"6,100,545,000","6,373,980,000","5,964,447,000","4,169,774,000","2,836,513,428.605","3,023,082,782.82","5,153,672,819.951","4,192,786,528.407","5,380,691,840.702","4,824,758,509.038",,"4,217,323,091.465",,,,,,,,,,,,
	OtherCostofRevenue,"2,335,411,000","2,420,079,000","2,381,708,000","2,062,475,000","1,285,966,045.258","1,045,039,480.423","1,553,597,510.652","1,881,189,895.519","2,393,029,807.582","1,989,203,794.114",,"2,101,409,251.208",,,,,,,,,,,,
GrossProfit,"4,233,626,000","4,259,317,000","3,772,979,000","3,359,341,000","3,009,027,798.52","2,513,257,606.746","4,545,335,051.555","4,749,900,321.25","4,997,309,138.009","5,770,255,277.915","6,357,643,848.952","6,393,997,479.13","3,671,304,056.754","3,057,803,356.039","2,436,931,643.955","2,001,439,474.482","1,459,507,223.724","1,178,411,800.764","1,049,082,128.098","1,518,976,634.635","2,174,685,817.039","1,957,198,117.827","1,710,550,954.425",
OperatingExpense,"1,233,765,000","1,213,455,000","1,277,711,000","1,060,194,000","1,029,713,259.493","687,913,570.271","1,540,948,684.984","1,299,469,565.601","1,855,566,876.422","2,588,430,712.226","2,795,655,310.094","2,470,596,257.264","572,507,217.694","545,523,410.097","442,558,948.918","437,482,489.472","317,944,297.056","285,105,494.704","430,026,399.768","410,603,116.148","1,383,188,333.514","1,180,683,524.565","705,073,853.825",
	OperationAndMaintenance,,,,,,,,,,"171,475,590.145","941,409,149.059","128,886,518.827",,,,,,,,,,,,
	SellingGeneralAndAdministration,"1,370,152,000","1,511,518,000","1,147,241,000","1,078,914,000","852,817,881.436","1,000,757,143.208","1,339,792,749.441","1,401,547,853.998","1,404,651,197.945","1,424,769,658.84","783,077,046.387","1,009,632,982.651","572,507,217.694","536,625,445.974","431,147,909.102","437,482,489.472","317,944,297.056","285,105,494.704","309,771,760.058","410,603,116.148","549,940,344.788","462,082,918.042","267,990,546.767",
		GeneralAndAdministrativeExpense,"1,359,790,000","1,499,707,000","1,134,504,000","1,073,777,000","847,543,367.448","993,325,320.867","1,325,824,156.432","1,385,906,599.914","1,388,348,790.957","1,404,903,635.18","783,077,046.387","977,430,733.295",,,,,,,,,,,,
			SalariesAndWages,"741,940,000","809,753,000","840,493,000","837,984,000","633,209,847.939","687,654,385.482","851,416,223.866","884,795,985.315","849,344,082.882","728,977,823.62","783,077,046.387","663,580,368.422",,,,,,,,,,,,
			RentAndLandingFees,,"10,341,000","27,885,000","26,448,000","17,467,007.44","17,553,353.624","34,793,891.324","35,868,741.464","38,566,444.677","32,817,950.543",,"25,940,151.728",,,,,,,,,,,,
			InsuranceAndClaims,,"38,755,000","37,793,000","38,522,000","42,549,041.917","39,825,700.876","59,184,055.865","52,288,942.348","48,948,245.363","39,948,707.825",,"39,157,691.57",,,,,,,,,,,,
			OtherGandA,,"640,858,000","228,333,000","170,823,000","154,317,470.151","248,291,880.884","380,429,985.377","412,952,930.787","451,490,018.035","603,159,153.192",,"248,752,521.574",,,,,,,,,,,,
		SellingAndMarketingExpense,,"11,811,000","12,737,000","5,137,000","5,274,513.989","7,431,822.341","13,968,593.009","15,641,254.084","16,302,406.988","19,866,023.66",,"32,202,249.356",,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"933,186,000","948,330,000","862,440,000","648,114,000","478,610,597.945","451,964,496.595","790,646,836.461","827,399,191.273","903,423,632.029","818,229,993.243","938,446,103.812","895,563,192.261",,"965,484,636.722","104,995,372.984","107,170,559.218","95,762,375.234","89,529,894.792","702,805,704.569","117,996,669.07","833,247,988.726","718,600,606.523","437,083,307.058",
		DepreciationAndAmortizationInIncomeStatement,"933,186,000","948,330,000","862,440,000","648,114,000","478,610,597.945","451,964,496.595","790,646,836.461","827,399,191.273","903,423,632.029","818,229,993.243","938,446,103.812","895,563,192.261",,"965,484,636.722","104,995,372.984","107,170,559.218","95,762,375.234","89,529,894.792","702,805,704.569","117,996,669.07","833,247,988.726","718,600,606.523","437,083,307.058",
			DepreciationIncomeStatement,,"498,867,000","511,326,000","407,535,000","352,340,311.881","346,293,242.55","605,469,893.514","644,557,652.355","694,382,299.018",,,,,"845,121,649.057",,,,,,,"715,249,411.823","718,600,606.523","437,083,307.058",
			Amortization,,"449,463,000","351,114,000","240,579,000","126,270,286.064","105,671,254.045","185,176,942.946","182,841,538.917","209,041,333.011",,,,,"120,362,987.665","104,995,372.984","107,170,559.218","95,762,375.234","89,529,894.792","702,805,704.569","117,996,669.07","117,998,576.903",,,
				AmortizationOfIntangiblesIncomeStatement,,"449,463,000","351,114,000","240,579,000","126,270,286.064","105,671,254.045","185,176,942.946","182,841,538.917","209,041,333.011",,,,,"120,362,987.665","104,995,372.984","107,170,559.218","95,762,375.234","89,529,894.792","702,805,704.569","117,996,669.07","117,998,576.903",,,
	OtherTaxes,,"25,673,000","20,548,000","26,413,000","37,239,861.46","45,475,582.142","32,552,006.638","55,306,537.545","50,458,432.879","173,955,469.998",,"65,736,662.139",,,,,,,,,,,,
	OtherOperatingExpenses,"-1,086,043,000","-1,272,066,000","-752,518,000","-693,247,000","-338,955,081.348","-810,283,651.673","-622,042,907.557","-984,784,017.215","-502,966,386.431","165,581,313.269","1,074,132,159.896","370,776,901.386",,"-956,586,672.599","-93,584,333.168","-107,170,559.218","-95,762,375.234","-89,529,894.792","-582,551,064.859","-117,996,669.07",,,,
OperatingIncome,"2,999,861,000","3,045,862,000","2,495,268,000","2,299,147,000","1,979,314,539.027","1,825,344,036.474","3,004,386,366.571","3,450,430,755.65","3,141,742,261.586","3,181,824,565.689","3,561,988,538.858","3,923,401,221.866","3,098,796,839.06","2,512,279,945.941","1,994,372,695.037","1,563,956,985.011","1,141,562,926.667","893,306,306.06","619,055,728.33","1,108,373,518.487","791,497,483.525","776,514,593.262","1,005,477,100.601",
NetNonOperatingInterestIncomeExpense,"-521,327,000","-638,970,000","-713,678,000","-575,692,000","-502,338,444.546","-127,865,945.548","-372,857,110.776","-243,658,066.956","-385,025,930.848","-685,372,001.62","-558,283,522.712","-868,398,791.328","-500,084,529.549","-584,083,475.612",,,,,,,,,,
	InterestIncomeNonOperating,"37,020,000","76,122,000","358,081,000","293,843,000","279,595,448.394","415,626,082.439","438,709,054.198","494,240,436.906","540,006,837.672","125,473,819.926","357,885,220.962","82,554,759.751","276,174,827.302","233,746,793.249",,,,,,,,,,
	InterestExpenseNonOperating,"499,069,000","411,392,000","463,237,000","311,159,000","781,933,892.939","543,492,027.987","811,566,164.975","737,898,503.862","925,032,768.52","726,196,675.706","916,168,743.674","950,953,551.079","776,259,356.85","817,830,268.861",,,,,,,,,,
	TotalOtherFinanceCost,,"303,700,000","608,522,000","558,376,000",,,,,,"84,649,145.839",,,,,,,,,,,,,,
OtherIncomeExpense,"-110,380,000","-783,000","323,400,000","-77,807,000","-85,286,577.704","107,057,065.492","-113,398,593.913","-133,392,482.867","-93,591,778.621","71,232,106.564","19,888,316.67","238,667,050.539","83,327,748.455","-529,207,783.462","-257,233,881.389","-280,540,812.431","-147,866,670.617","-162,671,299.926","-493,627,861.371","-154,858,289.166","610,169,004.344","-13,165,454.06","40,711,132.241",
	GainOnSaleOfSecurity,"181,797,000","262,485,000","381,015,000","-6,714,000","58,558,811.824","167,750,529.434","-48,892,375.632","-75,596,952.924","-55,999,032.061","18,432,430.529","24,186,470.636",,,,,,,,,,,,,
