name,ttm,01/31/2020,01/31/2019
MarketCap,"3,742,917,858","2,816,708,538","3,600,219,172"
EnterpriseValue,"7,519,169,858","6,678,225,538","5,507,500,172"
PeRatio,"20.015","13.325","27.107"
ForwardPeRatio,"15.015","12.658","18.149"
PegRatio,"1.501","1.266","1.815"
PsRatio,"0.285","0.218","0.274"
EnterprisesValueRevenueRatio,"0.57","0.506","0.423"
EnterprisesValueEBITDARatio,"15.032","13.351","12.698"
