name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992
TotalRevenue,"169,702,000,000","38,577,000,000","43,385,000,000","42,538,000,000","45,202,000,000","45,124,000,000","46,312,000,000","48,400,000,000","46,102,000,000","43,292,000,000","41,442,000,000","37,082,000,000","34,482,000,000","36,093,000,000","36,867,000,000","31,825,000,000","31,711,000,000","27,522,000,000","32,292,000,000","34,897,000,000","39,269,000,000","36,963,000,000","46,734,000,000","54,222,000,000","56,207,000,000","54,855,000,000","58,767,000,000","56,712,591,253.188","55,297,668,609.492","56,262,165,761.705","60,133,044,145.264","58,395,500,828.187","56,433,174,239.451","62,397,449,408.375","48,004,116,288.255","56,398,381,050.687","58,581,252,262.034","58,738,316,437.466","44,120,412,104.647","48,008,940,009.267","44,264,512,355.608","44,517,982,520.909","42,282,992,979.62","42,196,514,863.084","37,283,236,994.22","33,788,391,376.451","44,869,536,459.058","62,020,000,000","68,202,000,000","62,046,147,285.965","58,310,000,000","48,462,000,000","45,344,288,479.5","42,305,000,000","44,803,000,000","42,507,000,000","45,737,000,000","42,400,000,000","64,013,000,000","39,909,000,000","33,623,000,000","34,582,000,000","56,963,000,000","38,680,000,000","35,211,000,000","34,282,000,000","41,740,000,000","28,501,000,000","27,960,000,000","30,839,000,000","32,227,000,000","25,664,000,000","26,218,000,000","20,711,000,000","23,289,000,000","23,289,000,000","23,646,000,000","23,928,000,000","34,202,000,000","27,421,000,000","25,011,000,000","25,055,000,000","-6,930,000,000","30,672,000,000","9,107,300,000","9,486,100,000","7,126,800,000","7,126,800,000","6,584,100,000","6,448,400,000","7,500,100,000","8,073,300,000","8,130,700,000","8,474,600,000","8,515,500,000","8,515,400,000","8,515,400,000","8,515,400,000","6,923,900,000","6,923,900,000","6,923,900,000","6,923,900,000","6,224,400,000","6,462,500,000","6,283,700,000","5,986,000,000","5,622,900,000","5,622,800,000","5,895,500,000","5,895,500,000","6,183,000,000","6,182,900,000","6,182,800,000","6,182,800,000"
	OperatingRevenue,"192,981,000,000","43,870,000,000","49,280,000,000","48,589,000,000","51,242,000,000","51,205,000,000","52,495,000,000","54,717,000,000","52,540,000,000","49,611,000,000","47,351,000,000","43,044,000,000","39,915,000,000","41,183,000,000","42,275,000,000","37,412,000,000","37,215,000,000","32,841,000,000","37,749,000,000","40,580,000,000","44,715,000,000","42,313,000,000","52,511,000,000","60,363,000,000","62,561,000,000","60,687,000,000","64,975,000,000","62,998,097,345.73","61,111,833,888.426","61,635,590,615.716","65,950,749,861.137","64,059,269,911.789","62,204,863,968.401","68,257,673,785.734","53,035,661,176.073","62,697,615,037.757","65,159,609,120.521","64,988,845,904.047","49,495,467,905.122","54,757,556,760.882","50,359,458,010.43","50,481,279,115.037","48,900,769,206.942","49,242,934,543.857","44,096,189,460.688","39,855,389,718.076","72,217,310,493.638","62,020,000,000","68,202,000,000","69,825,802,681.66","58,310,000,000","48,462,000,000","52,917,687,507.614","42,305,000,000","44,803,000,000","42,507,000,000","45,737,000,000","42,400,000,000","64,013,000,000","39,909,000,000","33,623,000,000","34,582,000,000","56,963,000,000","38,680,000,000","35,211,000,000","34,282,000,000","41,740,000,000","28,501,000,000","27,960,000,000","30,839,000,000","32,227,000,000","25,664,000,000","26,218,000,000","20,711,000,000","23,289,000,000","23,289,000,000","23,646,000,000","23,928,000,000","34,202,000,000","27,421,000,000","25,011,000,000","25,055,000,000","-6,930,000,000","30,672,000,000","9,107,300,000","9,486,100,000","7,126,800,000","7,126,800,000","6,584,100,000","6,448,400,000","7,500,100,000","8,073,300,000","8,130,700,000","8,474,600,000","8,515,500,000","8,515,400,000","8,515,400,000","8,515,400,000","6,923,900,000","6,923,900,000","6,923,900,000","6,923,900,000","6,224,400,000","6,462,500,000","6,283,700,000","5,986,000,000","5,622,900,000","5,622,800,000","5,895,500,000","5,895,500,000","6,183,000,000","6,182,900,000","6,182,800,000","6,182,800,000"
	ExciseTaxes,"23,279,000,000","5,293,000,000","5,895,000,000","6,051,000,000","6,040,000,000","6,081,000,000","6,183,000,000","6,317,000,000","6,438,000,000","6,319,000,000","5,909,000,000","5,962,000,000","5,433,000,000","5,090,000,000","5,408,000,000","5,587,000,000","5,504,000,000","5,319,000,000","5,457,000,000","5,683,000,000","5,446,000,000","5,350,000,000","5,777,000,000","6,141,000,000","6,354,000,000","5,832,000,000","6,208,000,000","6,285,506,092.542","5,814,165,278.934","5,373,424,854.011","5,817,705,715.873","5,663,769,083.602","5,771,689,728.95","5,860,224,377.359","5,031,544,887.817","6,299,233,987.07","6,578,356,858.487","6,250,529,466.58","5,375,055,800.474","6,748,616,751.615","6,094,945,654.823","5,963,296,594.128","6,617,776,227.322","7,046,419,680.773","6,812,952,466.468","6,066,998,341.625",,,,"7,779,655,395.695",,,"7,573,399,028.114",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CostOfRevenue,"130,468,000,000","31,703,000,000","32,643,000,000","32,071,000,000","34,051,000,000","33,187,000,000","37,782,000,000","35,630,000,000","34,034,000,000","32,362,000,000","33,350,000,000","27,402,000,000","26,196,000,000","28,566,000,000","28,906,000,000","24,159,000,000","23,516,000,000","20,319,000,000","29,546,000,000","27,585,000,000","29,184,000,000","27,578,000,000","46,544,000,000","41,710,000,000","43,300,000,000","41,077,000,000","44,926,000,000","43,377,818,559.65","42,002,758,118.235","41,863,026,329.27","45,318,327,293.887","39,302,268,846.06","40,884,173,745.711","42,742,419,593.666","32,632,470,117.59","39,411,636,877.275","41,094,462,540.717","38,481,631,039.449","29,133,632,413.157","32,595,600,861.294","29,157,527,903.69","29,133,160,600.894","27,905,651,800.124","27,734,661,004.539","22,868,847,859.027","20,202,985,074.627","34,614,338,224.239","43,936,000,000","44,356,000,000","40,460,209,415.815","37,755,000,000","32,423,000,000","28,946,762,862.596","26,607,000,000","29,085,000,000","27,438,000,000","28,813,000,000","25,661,000,000","32,495,000,000","29,585,000,000","18,126,000,000","25,118,000,000","47,168,000,000","31,567,000,000","28,887,000,000","28,500,000,000","34,925,000,000","23,654,000,000","23,310,000,000","25,290,000,000",,,"22,169,000,000",,,,"19,543,000,000",,,,"20,726,000,000",,,,"7,993,400,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GrossProfit,"39,234,000,000","6,874,000,000","10,742,000,000","10,467,000,000","11,151,000,000","11,937,000,000","8,530,000,000","12,770,000,000","12,068,000,000","10,930,000,000","8,092,000,000","9,680,000,000","8,286,000,000","7,527,000,000","7,961,000,000","7,666,000,000","8,195,000,000","7,203,000,000","2,746,000,000","7,312,000,000","10,085,000,000","9,385,000,000","190,000,000","12,512,000,000","12,907,000,000","13,778,000,000","13,841,000,000","13,334,772,693.538","13,294,910,491.257","14,399,139,432.435","14,814,716,851.377","19,093,231,982.127","15,549,000,493.74","19,655,029,814.709","15,371,646,170.666","16,986,744,173.412","17,486,789,721.317","20,256,685,398.018","14,986,779,691.49","15,413,339,147.974","15,106,984,451.918","15,384,821,920.015","14,377,341,179.496","14,461,853,858.544","14,414,389,135.193","13,585,406,301.824","10,255,198,234.819","18,084,000,000","23,846,000,000","21,585,937,870.15","20,555,000,000","16,039,000,000","16,397,525,616.904","15,698,000,000","15,718,000,000","15,069,000,000","16,924,000,000","16,739,000,000","31,518,000,000","10,324,000,000","15,497,000,000","9,464,000,000","9,795,000,000","7,113,000,000","6,324,000,000","5,782,000,000","6,815,000,000","4,847,000,000","4,650,000,000","5,549,000,000",,,"4,049,000,000",,,,"4,103,000,000",,,,"4,285,000,000",,,,"1,113,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingExpense,"29,016,000,000","7,084,000,000","7,321,000,000","6,458,000,000","7,248,000,000","7,013,000,000","7,114,000,000","7,107,000,000","6,919,000,000","7,141,000,000","6,873,000,000","6,289,000,000","6,305,000,000","6,363,000,000","7,918,000,000","5,743,000,000","6,442,000,000","6,330,000,000","7,820,000,000","6,069,000,000","6,383,000,000","6,909,000,000","7,442,000,000","7,358,000,000","7,530,000,000","7,983,000,000","8,278,000,000","7,607,918,280.324","7,685,002,081.599","7,246,952,156.541","8,967,915,994.393","11,672,936,916.578","10,284,976,389.117","9,719,461,601.057","10,977,638,862.844","9,746,292,171.457","9,273,977,560.623","9,384,971,620.591","11,521,358,462.42","8,622,475,401.346","8,385,728,907.735","8,965,082,092.658","9,554,580,966.923","9,169,717,381.754","9,294,853,807.733","8,547,927,031.509","11,106,784,809.422","8,502,000,000","9,172,000,000","9,809,062,050.885","9,594,000,000","7,666,000,000","7,795,389,634.122","7,949,000,000","8,258,000,000","8,189,000,000","8,164,000,000","8,214,000,000","26,185,000,000","1,534,000,000","8,468,000,000","1,543,000,000","2,842,000,000","1,592,000,000","1,500,000,000","1,468,000,000","1,980,000,000","1,471,000,000","1,354,000,000","1,339,000,000",,,"1,313,000,000",,,,"949,000,000",,,,"1,114,000,000",,,,"545,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,889,018,862.407","6,325,766,220.516",,"6,601,259,335.188","6,627,756,888.714","6,202,321,724.71","6,903,472,478.214","6,630,000,000","6,992,000,000",,"7,086,000,000","5,795,000,000",,"6,213,000,000","6,332,000,000","6,542,000,000","6,613,000,000","6,657,000,000",,,"6,889,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,167,897,176.462","2,567,446,100.09","2,451,876,258.954","3,582,624,423.653","2,543,869,180.203","2,216,431,415.128","2,380,481,743.992","4,385,004,126.898","2,459,865,354.738","2,140,907,540.089","2,280,873,686.048","2,814,112,472.253","2,341,484,844.047","2,295,302,766.71","2,016,583,747.927","2,594,046,523.93","1,872,000,000","2,180,000,000","2,043,620,398.301","2,508,000,000","1,870,000,000","1,847,665,714.634","1,736,000,000","2,168,000,000","1,647,000,000","1,550,000,000","1,557,000,000","1,866,000,000","1,535,000,000","1,580,000,000","1,543,000,000","3,157,000,000","1,623,000,000","1,533,000,000","1,505,000,000","2,041,000,000","1,509,000,000","1,395,000,000","1,372,000,000",,,"1,361,000,000",,,,"986,000,000",,,,"1,114,000,000",,,,"545,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,594,046,523.93","1,872,000,000","2,180,000,000",,"2,508,000,000","1,870,000,000",,"1,736,000,000","2,168,000,000","1,647,000,000","1,550,000,000","1,557,000,000","1,866,000,000","1,535,000,000","1,580,000,000","1,543,000,000","3,157,000,000","1,623,000,000","1,533,000,000","1,505,000,000","2,041,000,000","1,509,000,000","1,395,000,000","1,372,000,000",,,"1,361,000,000",,,,"986,000,000",,,,"1,114,000,000",,,,"545,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			DepreciationIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,843,000,000","1,591,000,000","1,500,000,000","1,468,000,000","1,980,000,000","1,472,000,000","1,354,000,000","1,339,000,000",,,"1,313,000,000",,,,"949,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
